r_id,pltd_poka,pltmg_ambon_peaker,lmvpp_ambon,pltd_hative_kecil,pltd_masohi,pltmg_seram,pltd_namlea,pltd_mako,pltmg_langgur,pltd_masohi,pltmg_ambon_2,pltmg_mpp_sambelia,pltp_tueihu,plt_ebt_base_ambon,pltmg_buia,plts_buia,plts_buia,pltmg_nambea,pltmg_namrole,plts_namlea,pltbio_namlea,plta_wai_tina,pltp_buru,pltmg_dobo,pltbio_dobo_2,plts_lisdes,plts_dedieselisasi,plts_lisdes,plts_lisded,pltmg_masela,plts_saparua_2,pltmg_saumlaki,pltbio_saumlaki_2,pltmg_seram_2,pltm_nua_masohi,pltm_seram,pltm_wae_maia,plta_wai_tala,pltbio_seram,pltmg_seram_utara,pltbio_langgur_2,maluku_solar_potential_ruen,maluku_wind_potential_ruen,maluku_geothermal_potential_ruen,maluku_hydropower_potential_ruen,maluku_hydropower_mini_potential_ruen,maluku_biomass_potential_ruen,maluku_biogas_potential_ruen,gas_candidate_1,gas_candidate_2,gas_candidate_3,gas_candidate_4,ccgt_candidate_1,ccgt_candidate_2,ccgt_candidate_3,ccgt_candidate_4,diesel_candidate_1,diesel_candidate_2,diesel_candidate_3,diesel_candidate_4
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0.5,1,1,1,0,0,0,0,1,0,1,1,1,0.5,0.5,0.5,0.5,1,1,1,0,0.137,1,0.5,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0.5,1,1,1,0,0,0,0,1,0,1,1,1,0.5,0.5,0.5,0.5,1,1,1,0,0.15,1,0.5,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0.5,1,1,1,0,0,0,0,1,0,1,1,1,0.5,0.5,0.5,0.5,1,1,1,0,0.181,1,0.5,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0.5,1,1,1,0,0,0,0,1,0,1,1,1,0.5,0.5,0.5,0.5,1,1,1,0,0.2,1,0.5,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0.5,1,1,1,0,0,0,0,1,0,1,1,1,0.5,0.5,0.5,0.5,1,1,1,0,0.237,1,0.5,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0.5,1,1,1,0,0,0,0,1,0,1,1,1,0.5,0.5,0.5,0.5,1,1,1,0,0.22,1,0.5,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1
7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.022,1,1,1,1,1,0.5,1,1,1,0.022,0.022,0.022,0.022,1,0.022,1,1,1,0.5,0.5,0.5,0.5,1,1,1,0.022,0.194,1,0.5,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1
8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.085,1,1,1,1,1,0.5,1,1,1,0.085,0.085,0.085,0.085,1,0.085,1,1,1,0.5,0.5,0.5,0.5,1,1,1,0.085,0.163,1,0.5,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1
9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.156,1,1,1,1,1,0.5,1,1,1,0.156,0.156,0.156,0.156,1,0.156,1,1,1,0.5,0.5,0.5,0.5,1,1,1,0.156,0.139,1,0.5,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.225,1,1,1,1,1,0.5,1,1,1,0.225,0.225,0.225,0.225,1,0.225,1,1,1,0.5,0.5,0.5,0.5,1,1,1,0.225,0.132,1,0.5,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1
11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.264,1,1,1,1,1,0.5,1,1,1,0.264,0.264,0.264,0.264,1,0.264,1,1,1,0.5,0.5,0.5,0.5,1,1,1,0.264,0.169,1,0.5,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1
12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.281,1,1,1,1,1,0.5,1,1,1,0.281,0.281,0.281,0.281,1,0.281,1,1,1,0.5,0.5,0.5,0.5,1,1,1,0.281,0.182,1,0.5,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1
13,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.257,1,1,1,1,1,0.5,1,1,1,0.257,0.257,0.257,0.257,1,0.257,1,1,1,0.5,0.5,0.5,0.5,1,1,1,0.257,0.168,1,0.5,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1
14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.21,1,1,1,1,1,0.5,1,1,1,0.21,0.21,0.21,0.21,1,0.21,1,1,1,0.5,0.5,0.5,0.5,1,1,1,0.21,0.135,1,0.5,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1
15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.158,1,1,1,1,1,0.5,1,1,1,0.158,0.158,0.158,0.158,1,0.158,1,1,1,0.5,0.5,0.5,0.5,1,1,1,0.158,0.111,1,0.5,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1
16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.122,1,1,1,1,1,0.5,1,1,1,0.122,0.122,0.122,0.122,1,0.122,1,1,1,0.5,0.5,0.5,0.5,1,1,1,0.122,0.084,1,0.5,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1
17,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.047,1,1,1,1,1,0.5,1,1,1,0.047,0.047,0.047,0.047,1,0.047,1,1,1,0.5,0.5,0.5,0.5,1,1,1,0.047,0.063,1,0.5,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1
18,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0.5,1,1,1,0,0,0,0,1,0,1,1,1,0.5,0.5,0.5,0.5,1,1,1,0,0.051,1,0.5,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1
