R_ID,Zone,System,Province,Resource,technology,Existing_Cap_MW,Existing_Cap_MWh,cod,status,owner,quota_allocation,New_Build,Inv_Cost_per_MWyr,Inv_Cost_per_MWhyr,capex_mw,Fixed_OM_Cost_per_MWyr,Fixed_OM_Cost_per_MWhyr,Var_OM_Cost_per_MWh,Max_Cap_MW,Min_Power_MW,Ramp_Up_Percentage,Ramp_Dn_Percentage,Commit,Start_Cost_per_MW,Start_Fuel_MMBTU_per_MW,Heat_Rate_MMBTU_per_MWh,Fuel,Up_Time,Down_Time,Eff_Up,Eff_Down,THERM,VRE,STOR,RE
1,1,nusa_tenggara,west_nusa_tenggara,pltm_kokok_putih,hydropower,38,0,,,,,1,2200000,0,0,40200,0,0.48,38,0,0.5,0.5,0,0,0,10.34,None,0,0,1,1,0,0,0,1
2,1,nusa_tenggara,west_nusa_tenggara,pltmh_santon,hydropower,0.85,0,,,,,1,2200000,0,0,40200,0,0.48,0.85,0,0.5,0.5,0,0,0,10.34,None,0,0,1,1,0,0,0,1
3,1,nusa_tenggara,west_nusa_tenggara,pltm_segara,hydropower,5.8,0,,,,,1,2200000,0,0,40200,0,0.48,5.8,0,0.5,0.5,0,0,0,10.34,None,0,0,1,1,0,0,0,1
4,1,nusa_tenggara,west_nusa_tenggara,pltu_lombok_timure,coal,50,0,,,,,-1,1600000,0,0,43900,0,0.12,50,0.25,0.035,0.035,1,110,13.7,8.97,coal,24,24,1,1,1,0,0,0
5,1,nusa_tenggara,west_nusa_tenggara,pltd_ampenan,diesel,55,0,,,,,1,800000,0,0,8000,0,6,55,0.06,0.25,0.25,1,0,2,7.42,diesel,0.5,0.5,1,1,0,0,0,0
6,1,nusa_tenggara,west_nusa_tenggara,pltd_taman,diesel,9.6,0,,,,,1,800000,0,0,8000,0,6,9.6,0.06,0.25,0.25,1,0,2,7.42,diesel,0.5,0.5,1,1,0,0,0,0
7,1,nusa_tenggara,west_nusa_tenggara,pltu_lombok_apbn,coal,25,0,,,,,-1,1600000,0,0,43900,0,0.12,25,0.25,0.035,0.035,1,110,13.7,8.97,coal,24,24,1,1,1,0,0,0
8,1,nusa_tenggara,west_nusa_tenggara,pltu_lombok_ftp1,coal,25,0,,,,,-1,1600000,0,0,43900,0,0.12,25,0.25,0.035,0.035,1,110,13.7,8.97,coal,24,24,1,1,1,0,0,0
9,1,nusa_tenggara,west_nusa_tenggara,pltu_lombok_ftp1,coal,25,0,,,,,-1,1600000,0,0,43900,0,0.12,25,0.25,0.035,0.035,1,110,13.7,8.97,coal,24,24,1,1,1,0,0,0
10,1,nusa_tenggara,west_nusa_tenggara,mpp_lombok,gas,50,0,,,,,1,730000,0,0,22500,0,2.23,50,0.3,0.2,0.2,1,24,13.7,9.75,gas,1,1,1,1,0,0,0,0
