r_id,pltm_kokok_putih,pltmh_santon,pltm_segara,pltu_lombok_timure,pltd_ampenan,pltd_taman,pltu_lombok_apbn,pltu_lombok_ftp1,pltu_lombok_ftp1,mpp_lombok,pltmg_sumbawa,pltd_bima,pltu_sumbawa_barat,pltmg_bima,pltd_taliwang,pltmg_lombok_peaker,pltm_sedau_kumbi,pltu_lombok_ftp2,plts_lunyuk_kuota_tersebar,plts_medang,plts_dedieselisasi,pltmg_sumbawa_2,pltm_koko_babak,plts_sumbawa_bima_kuota_tersebar,pltm_lombok_kuota_tersebar,plts_lunyuk_kuota_tersebar,pltbm_sumbawa_bima_kuota_tersebar,pltm_lombok_kuota_tersebar,pltm_sumbawa_bima_kuota_tersebar,pltm_sumbawa_bima_kuota_tersebar,pltm_sumbawa_bima_kuota_tersebar,pltmg_bima_2,plts_lunyuk_kuota_tersebar,pltu_bima_ftp1,pltp_sumbawa_bima_kuota_tersebar,pltmg_lombok_2,pltmg_sumbawa_3,plt_ebt_base_lombok_3,plt_ebt_base_lombok_4,west_nusa_tenggara_solar_potential_ruen,west_nusa_tenggara_wind_potential_ruen,west_nusa_tenggara_geothermal_potential_ruen,west_nusa_tenggara_hydropower_potential_ruen,west_nusa_tenggara_hydropower_mini_potential_ruen,west_nusa_tenggara_biomass_potential_ruen,west_nusa_tenggara_biogas_potential_ruen,pltd_kefamenanu,pltu_kupang_ftp1,pltmg_kupang_peaker,pltd_labuhan_bajo,mpp_flores_labuan_bajo,pltd_ruteng,pltu_ende_ftp1,pltp_ulumbu_adb,pltd_bajawa,pltmg_maumere,pltmg_alor,plts_lisdes_ntt,pltp_sokoria,pltbm_sumba_kuota_tersebar,pltm_sumba_kuota_tersebar,pltmg_waingapu,plts_adonara,plts_adonara,plts_alor_kalabahi,plts_betun,pltmg_waingapu_2,plts_flores,plts_lembata,pltb_maubesi,plts_reep_1_tersebar,plts_rote,plts_rote,plts_sabu_raijua,pltp_sokoria,pltm_sumba_kuota_tersebar,pltu_timor_1,plts_dedieselisasi,plts_dedieselisasi,plts_lembata,plts_sumba,pltb_sumba_kuota_tersebar,plts_timor_kuota_tersebar,pltm_wae_lega_ruteng,pltmg_kupang_2,plts_sumba,plts_sumba,plts_timor_kuota_tersebar,pltb_timor_kuota_tersebar,pltb_timor_kuota_tersebar,pltp_sokoria,pltp_atadei,pltu_alor,plts_dedieselisasi,pltm_flores,pltu_rote_ndao,pltm_sumba,pltp_ulumbu_5,pltp_mataloko_ftp2,plts_sumba,plts_sumba,plt_ebt_base_timor_2,pltu_atambua,pltp_ulumbu_6,pltp_oka_ile_ange_ftp2,plts_rote,plts_sumba,plts_sumba,plt_ebt_base_timor_3,pltp_gunung_sirung,plts_sumba,plts_sumba,east_nusa_tenggara_solar_potential_ruen,east_nusa_tenggara_wind_potential_ruen,east_nusa_tenggara_geothermal_potential_ruen,east_nusa_tenggara_hydropower_potential_ruen,east_nusa_tenggara_hydropower_mini_potential_ruen,east_nusa_tenggara_biomass_potential_ruen,east_nusa_tenggara_biogas_potential_ruen
1,0.5,0.5,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,0,0,0,1,0.5,0,0.5,0,1,0.5,0.5,0.5,0.5,1,0,1,1,1,1,1,1,0,0.063,1,0.5,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0.5,1,0,0,0,0,1,0,0,0.067,0,0,0,0,1,0.5,1,0,0,0,0,0.067,0,0.5,1,0,0,0,0.067,0.067,1,1,1,0,0.5,1,0.5,1,1,0,0,1,1,1,1,0,0,0,1,1,0,0,0,0.067,1,0.5,0.5,1,1
2,0.5,0.5,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,0,0,0,1,0.5,0,0.5,0,1,0.5,0.5,0.5,0.5,1,0,1,1,1,1,1,1,0,0.073,1,0.5,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0.5,1,0,0,0,0,1,0,0,0.072,0,0,0,0,1,0.5,1,0,0,0,0,0.072,0,0.5,1,0,0,0,0.072,0.072,1,1,1,0,0.5,1,0.5,1,1,0,0,1,1,1,1,0,0,0,1,1,0,0,0,0.072,1,0.5,0.5,1,1
3,0.5,0.5,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,0,0,0,1,0.5,0,0.5,0,1,0.5,0.5,0.5,0.5,1,0,1,1,1,1,1,1,0,0.08,1,0.5,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0.5,1,0,0,0,0,1,0,0,0.076,0,0,0,0,1,0.5,1,0,0,0,0,0.076,0,0.5,1,0,0,0,0.076,0.076,1,1,1,0,0.5,1,0.5,1,1,0,0,1,1,1,1,0,0,0,1,1,0,0,0,0.076,1,0.5,0.5,1,1
4,0.5,0.5,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,0,0,0,1,0.5,0,0.5,0,1,0.5,0.5,0.5,0.5,1,0,1,1,1,1,1,1,0,0.082,1,0.5,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0.5,1,0,0,0,0,1,0,0,0.087,0,0,0,0,1,0.5,1,0,0,0,0,0.087,0,0.5,1,0,0,0,0.087,0.087,1,1,1,0,0.5,1,0.5,1,1,0,0,1,1,1,1,0,0,0,1,1,0,0,0,0.087,1,0.5,0.5,1,1
5,0.5,0.5,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,0,0,0,1,0.5,0,0.5,0,1,0.5,0.5,0.5,0.5,1,0,1,1,1,1,1,1,0,0.082,1,0.5,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0.5,1,0,0,0,0,1,0,0,0.085,0,0,0,0,1,0.5,1,0,0,0,0,0.085,0,0.5,1,0,0,0,0.085,0.085,1,1,1,0,0.5,1,0.5,1,1,0,0,1,1,1,1,0,0,0,1,1,0,0,0,0.085,1,0.5,0.5,1,1
6,0.5,0.5,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,0.007,0.007,0.007,1,0.5,0.007,0.5,0.007,1,0.5,0.5,0.5,0.5,1,0.007,1,1,1,1,1,1,0.007,0.083,1,0.5,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,0.025,1,1,0.5,1,0.025,0.025,0.025,0.025,1,0.025,0.025,0.085,0.025,0.025,0.025,0.025,1,0.5,1,0.025,0.025,0.025,0.025,0.085,0.025,0.5,1,0.025,0.025,0.025,0.085,0.085,1,1,1,0.025,0.5,1,0.5,1,1,0.025,0.025,1,1,1,1,0.025,0.025,0.025,1,1,0.025,0.025,0.025,0.085,1,0.5,0.5,1,1
7,0.5,0.5,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,0.126,0.126,0.126,1,0.5,0.126,0.5,0.126,1,0.5,0.5,0.5,0.5,1,0.126,1,1,1,1,1,1,0.126,0.068,1,0.5,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,0.17,1,1,0.5,1,0.17,0.17,0.17,0.17,1,0.17,0.17,0.054,0.17,0.17,0.17,0.17,1,0.5,1,0.17,0.17,0.17,0.17,0.054,0.17,0.5,1,0.17,0.17,0.17,0.054,0.054,1,1,1,0.17,0.5,1,0.5,1,1,0.17,0.17,1,1,1,1,0.17,0.17,0.17,1,1,0.17,0.17,0.17,0.054,1,0.5,0.5,1,1
8,0.5,0.5,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,0.299,0.299,0.299,1,0.5,0.299,0.5,0.299,1,0.5,0.5,0.5,0.5,1,0.299,1,1,1,1,1,1,0.299,0.087,1,0.5,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,0.396,1,1,0.5,1,0.396,0.396,0.396,0.396,1,0.396,0.396,0.097,0.396,0.396,0.396,0.396,1,0.5,1,0.396,0.396,0.396,0.396,0.097,0.396,0.5,1,0.396,0.396,0.396,0.097,0.097,1,1,1,0.396,0.5,1,0.5,1,1,0.396,0.396,1,1,1,1,0.396,0.396,0.396,1,1,0.396,0.396,0.396,0.097,1,0.5,0.5,1,1
9,0.5,0.5,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,0.453,0.453,0.453,1,0.5,0.453,0.5,0.453,1,0.5,0.5,0.5,0.5,1,0.453,1,1,1,1,1,1,0.453,0.112,1,0.5,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,0.57,1,1,0.5,1,0.57,0.57,0.57,0.57,1,0.57,0.57,0.111,0.57,0.57,0.57,0.57,1,0.5,1,0.57,0.57,0.57,0.57,0.111,0.57,0.5,1,0.57,0.57,0.57,0.111,0.111,1,1,1,0.57,0.5,1,0.5,1,1,0.57,0.57,1,1,1,1,0.57,0.57,0.57,1,1,0.57,0.57,0.57,0.111,1,0.5,0.5,1,1
10,0.5,0.5,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,0.556,0.556,0.556,1,0.5,0.556,0.5,0.556,1,0.5,0.5,0.5,0.5,1,0.556,1,1,1,1,1,1,0.556,0.105,1,0.5,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,0.664,1,1,0.5,1,0.664,0.664,0.664,0.664,1,0.664,0.664,0.105,0.664,0.664,0.664,0.664,1,0.5,1,0.664,0.664,0.664,0.664,0.105,0.664,0.5,1,0.664,0.664,0.664,0.105,0.105,1,1,1,0.664,0.5,1,0.5,1,1,0.664,0.664,1,1,1,1,0.664,0.664,0.664,1,1,0.664,0.664,0.664,0.105,1,0.5,0.5,1,1
