R_ID,Zone,System,Province,Resource,technology,Existing_Cap_MW,Existing_Cap_MWh,cod,status,owner,quota_allocation,New_Build,Inv_Cost_per_MWyr,Inv_Cost_per_MWhyr,capex_mw,Fixed_OM_Cost_per_MWyr,Fixed_OM_Cost_per_MWhyr,Var_OM_Cost_per_MWh,Max_Cap_MW,Min_Power_MW,Ramp_Up_Percentage,Ramp_Dn_Percentage,Commit,Start_Cost_per_MW,Start_Fuel_MMBTU_per_MW,Heat_Rate_MMBTU_per_MWh,Fuel,Up_Time,Down_Time,Eff_Up,Eff_Down,THERM,VRE,STOR,JETP,post_JETP,JETP_r,RE,priority
1,1,sulawesi,north_sulawesi,plts_likupang,solar,15,0,,operating,,,-1,560000,0,0,10000,0,0,15,0,1,1,0,0,0,0,None,0,0,1,1,0,1,0,0,,,1,
2,1,sulawesi,north_sulawesi,pltd_bitung,diesel,57,0,,operating,,,-1,800000,0,0,8000,0,6,57,0.06,0.25,0.25,1,0,2,7.42,diesel,0.5,0.5,1,1,1,0,0,0,,,0,
3,1,sulawesi,north_sulawesi,pltd_lopana,diesel,10,0,,operating,,,-1,800000,0,0,8000,0,6,10,0.06,0.25,0.25,1,0,2,7.42,diesel,0.5,0.5,1,1,1,0,0,0,,,0,
4,1,sulawesi,north_sulawesi,pltu_amurang,coal,50,0,,operating,,,-1,1600000,0,0,43900,0,0.12,50,0.25,0.035,0.035,1,110,13.7,8.97,coal,24,24,1,1,1,0,0,0,,,0,
5,1,sulawesi,north_sulawesi,pltu_amurang_sawa,coal,50,0,,operating,,,-1,1600000,0,0,43900,0,0.12,50,0.25,0.035,0.035,1,110,13.7,8.97,coal,24,24,1,1,1,0,0,0,,,0,
6,1,sulawesi,north_sulawesi,pltp_lahendong_iii,geothermal,40,0,,operating,,,-1,3440000,0,0,43000,0,0.22,40,0,0.1,0.1,0,0,0,10.34,None,0,0,1,1,1,0,0,0,,,0,
7,1,sulawesi,north_sulawesi,pltp_lahendong_iiiiv,geothermal,40,0,,operating,,,-1,3440000,0,0,43000,0,0.22,40,0,0.1,0.1,0,0,0,10.34,None,0,0,1,1,1,0,0,0,,,0,
8,1,sulawesi,north_sulawesi,pltp_lahendong_vvi_ftp_2,geothermal,40,0,,operating,,,-1,3440000,0,0,43000,0,0.22,40,0,0.1,0.1,0,0,0,10.34,None,0,0,1,1,1,0,0,0,,,0,
9,1,sulawesi,north_sulawesi,pltd_kotamobagu,diesel,10,0,,operating,,,-1,800000,0,0,8000,0,6,10,0.06,0.25,0.25,1,0,2,7.42,diesel,0.5,0.5,1,1,1,0,0,0,,,0,
10,2,sulawesi,gorontalo,pltu_gorontalo_ftp1,coal,50,0,,operating,,,-1,1600000,0,0,43900,0,0.12,50,0.25,0.035,0.035,1,110,13.7,8.97,coal,24,24,1,1,1,0,0,0,,,0,
11,2,sulawesi,gorontalo,plts_isimu_gorontalo,solar,10,0,,operating,,,-1,560000,0,0,10000,0,0,10,0,1,1,0,0,0,0,None,0,0,1,1,0,1,0,0,,,1,
12,2,sulawesi,gorontalo,pltd_talaga,diesel,24,0,,operating,,,-1,800000,0,0,8000,0,6,24,0.06,0.25,0.25,1,0,2,7.42,diesel,0.5,0.5,1,1,1,0,0,0,,,0,
