r_id,plts_likupang,pltd_bitung,pltd_lopana,pltu_amurang,pltu_amurang_sawa,pltp_lahendong_iii,pltp_lahendong_iiiiv,pltp_lahendong_vvi_ftp_2,pltd_kotamobagu,pltu_gorontalo_ftp1,plts_isimu_gorontalo,pltd_talaga,pltu_molotabu,pltg_gorontalo_peaker,pltd_silae,pltu_tawaeli_ekpansi,pltu_ampana,plta_poso_2,pltg_tello,plta_bakaru_1,pltb_sidrap,pltu_sulsel_barru,pltg_sengkang_gt_22,pltgu_sengkang_st_28,pltu_punagay_ftp_2,pltb_jeneponto,pltgu_jeneponto_2,pltu_jeneponto_1,pltu_kendari_ekspansi,pltu_kendarinii_tanasa,mpp_sultra_kendari,pltu_kendari_3,pltmg_baubau,pltu_baubau,pltu_mamuju,lisdes,sangihe,sulut_3,tahuna,talaud,dedieselisasi,tahuna_2,dominanga,sulbagut_kuota_tersebar,sulbagut_kuota_tersebar,sulbagut_kuota_tersebar,sulbagut_kuota_tersebar,sulbagut_kuota_tersebar,sawangan,sulbagut_kuota_tersebar,sulbagut_kuota_tersebar,tahuna_3,sulbagut_kuota_tersebar,minahasa,sulut_1,sulbagut_1,bone_bolango,iya,lisdes,luwuk,poso_peaker,tomata,lisdes,koro_kabalo,dedieselisasi,lisdes,palu_3,koro_yaentu,lisdes,sulbagsel_kuota_tersebar,buleleng,biak_i,biak_ii,biak_iii,sulbagut_kuota_tersebar,sulbagsel_kuota_tersebar,halulai,alani,lisdes,sulsel_barru_2,malea_ftp_2,sulbagsel_kuota_tersebar,ussu_malili,selayar,selayar,bungin_111,madong,dedieselisasi,makassar,selayar_2,lisdes,sulbagsel_kuota_tersebar,sulbagsel_kuota_tersebar,sulbagsel_kuota_tersebar,dedieselisasi,bakaru_2,belaj_en,poko,sulbagsel_kuota_tersebar,buttu_batu,sulbagsel_kuota_tersebar,lisdes,lisdes,lisdes,dedieselisasi,mpp_sulselbar,lisdes,sulbagsel,dedieselisasi,lapai_1,lapai_2,riorita,watunohu,konawe_bendungan_pelosika_pupr,baubau_2,sulbagsel_kuota_tersebar,lisdes,lisdes,bonehau,pltp_kotamobagu_1,pltp_kotamobagu_2,pltp_kotamobagu_3,pltp_kotamobagu_4,pltp_marana,pltp_lainea,pltp_sipaholon_riaria,pltp_borapulu,pltp_pentadio,pltp_suwawa,pltm_riorita,pltm_riorita,plta_sulbagut_kuota_tersebar,plta_sulbagut_kuota_tersebar,plta_sulbagut,plta_sulbagsel_kuota_tersebar,plta_sulbagsel_kuota_tersebar,plta_sulawesi_kuota_tersebar,plta_sulawesi_kuota_tersebar,plta_pokko,plta_watunohu,plta_konawe_bendung_piipr,pltm_dominanga,pltm_lapa_1,pltm_lapa_1,pltm_lapa_2,pltm_lapa_2,pltm_riorita,pltm_riorita,pltsa_makassar,plts_dedieselisasi,pltb_sulbagsel_kuota_tersebar,pltb_sulbagsel,pltb_sulbagsel_kuota_tersebar,pltb_sulbagsel_kuota_tersebar,pltb_sulbagsel_kuota_tersebar,pltb_sulbagsel_kuota_tersebar,pltb_sulbagsel_kuota_tersebar,pltb_sulbagsel_kuota_tersebar,north_sulawesi_geothermal_potential_ruen,gorontalo_geothermal_potential_ruen,central_sulawesi_geothermal_potential_ruen,south_sulawesi_geothermal_potential_ruen,southeast_sulawesi_geothermal_potential_ruen,west_sulawesi_geothermal_potential_ruen,north_sulawesi_hydropower_potential_ruen,gorontalo_hydropower_potential_ruen,central_sulawesi_hydropower_potential_ruen,south_sulawesi_hydropower_potential_ruen,southeast_sulawesi_hydropower_potential_ruen,west_sulawesi_hydropower_potential_ruen,north_sulawesi_hydropower_mini_potential_ruen,gorontalo_hydropower_mini_potential_ruen,central_sulawesi_hydropower_mini_potential_ruen,south_sulawesi_hydropower_mini_potential_ruen,southeast_sulawesi_hydropower_mini_potential_ruen,west_sulawesi_hydropower_mini_potential_ruen,north_sulawesi_biomass_potential_ruen,gorontalo_biomass_potential_ruen,central_sulawesi_biomass_potential_ruen,south_sulawesi_biomass_potential_ruen,southeast_sulawesi_biomass_potential_ruen,west_sulawesi_biomass_potential_ruen,north_sulawesi_biogas_potential_ruen,gorontalo_biogas_potential_ruen,central_sulawesi_biogas_potential_ruen,south_sulawesi_biogas_potential_ruen,southeast_sulawesi_biogas_potential_ruen,west_sulawesi_biogas_potential_ruen,north_sulawesi_solar_potential_ruen,gorontalo_solar_potential_ruen,central_sulawesi_solar_potential_ruen,south_sulawesi_solar_potential_ruen,southeast_sulawesi_solar_potential_ruen,west_sulawesi_solar_potential_ruen,north_sulawesi_wind_potential_ruen,gorontalo_wind_potential_ruen,central_sulawesi_wind_potential_ruen,south_sulawesi_wind_potential_ruen,southeast_sulawesi_wind_potential_ruen,west_sulawesi_wind_potential_ruen,gas_candidate_1,gas_candidate_2,gas_candidate_3,gas_candidate_4,ccgt_candidate_1,ccgt_candidate_2,ccgt_candidate_3,ccgt_candidate_4,diesel_candidate_1,diesel_candidate_2,diesel_candidate_3,diesel_candidate_4,gas_candidate_1,gas_candidate_2,gas_candidate_3,gas_candidate_4,ccgt_candidate_1,ccgt_candidate_2,ccgt_candidate_3,ccgt_candidate_4,diesel_candidate_1,diesel_candidate_2,diesel_candidate_3,diesel_candidate_4,gas_candidate_1,gas_candidate_2,gas_candidate_3,gas_candidate_4,ccgt_candidate_1,ccgt_candidate_2,ccgt_candidate_3,ccgt_candidate_4,diesel_candidate_1,diesel_candidate_2,diesel_candidate_3,diesel_candidate_4,gas_candidate_1,gas_candidate_2,gas_candidate_3,gas_candidate_4,ccgt_candidate_1,ccgt_candidate_2,ccgt_candidate_3,ccgt_candidate_4,diesel_candidate_1,diesel_candidate_2,diesel_candidate_3,diesel_candidate_4,gas_candidate_1,gas_candidate_2,gas_candidate_3,gas_candidate_4,ccgt_candidate_1,ccgt_candidate_2,ccgt_candidate_3,ccgt_candidate_4,diesel_candidate_1,diesel_candidate_2,diesel_candidate_3,diesel_candidate_4,gas_candidate_1,gas_candidate_2,gas_candidate_3,gas_candidate_4,ccgt_candidate_1,ccgt_candidate_2,ccgt_candidate_3,ccgt_candidate_4,diesel_candidate_1,diesel_candidate_2,diesel_candidate_3,diesel_candidate_4
1,0.236,1,1,1,1,1,1,1,1,1,0.192,1,1,1,1,1,1,0.5,1,0.5,0.121,1,1,1,1,0.121,1,1,1,1,1,1,1,1,1,0.236,0.236,1,1,1,0.236,1,0.5,1,1,0.5,0.5,1,0.5,0.5,1,1,1,1,1,1,0.5,0.5,0.162,1,0.5,0.5,0.162,0.5,0.162,0.162,1,0.5,0.162,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,0.14,1,0.5,0.5,0.5,0.14,1,0.5,0.5,0.14,1,1,0.14,1,0.5,0.121,0.14,0.5,0.5,0.5,0.121,0.5,0.5,0.102,0.102,0.102,0.102,1,0.102,1,0.102,0.5,0.5,0.5,0.5,0.5,1,1,0.249,0.249,0.5,1,1,1,1,1,1,1,1,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.162,0.104,0.104,0.104,0.104,0.104,0.104,0.104,0.104,1,1,1,1,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,1,1,1,1,1,1,1,1,1,1,0.236,0.192,0.162,0.14,0.102,0.249,0.131,0.22,0.037,0.121,0.104,0.002,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,0.301,1,1,1,1,1,1,1,1,1,0.284,1,1,1,1,1,1,0.5,1,0.5,0.2,1,1,1,1,0.2,1,1,1,1,1,1,1,1,1,0.301,0.301,1,1,1,0.301,1,0.5,1,1,0.5,0.5,1,0.5,0.5,1,1,1,1,1,1,0.5,0.5,0.227,1,0.5,0.5,0.227,0.5,0.227,0.227,1,0.5,0.227,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,0.207,1,0.5,0.5,0.5,0.207,1,0.5,0.5,0.207,1,1,0.207,1,0.5,0.2,0.207,0.5,0.5,0.5,0.2,0.5,0.5,0.164,0.164,0.164,0.164,1,0.164,1,0.164,0.5,0.5,0.5,0.5,0.5,1,1,0.336,0.336,0.5,1,1,1,1,1,1,1,1,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.227,0.076,0.076,0.076,0.076,0.076,0.076,0.076,0.076,1,1,1,1,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,1,1,1,1,1,1,1,1,1,1,0.301,0.284,0.227,0.207,0.164,0.336,0.195,0.3,0.068,0.2,0.076,0.002,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,0.352,1,1,1,1,1,1,1,1,1,0.352,1,1,1,1,1,1,0.5,1,0.5,0.251,1,1,1,1,0.251,1,1,1,1,1,1,1,1,1,0.352,0.352,1,1,1,0.352,1,0.5,1,1,0.5,0.5,1,0.5,0.5,1,1,1,1,1,1,0.5,0.5,0.262,1,0.5,0.5,0.262,0.5,0.262,0.262,1,0.5,0.262,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,0.257,1,0.5,0.5,0.5,0.257,1,0.5,0.5,0.257,1,1,0.257,1,0.5,0.251,0.257,0.5,0.5,0.5,0.251,0.5,0.5,0.248,0.248,0.248,0.248,1,0.248,1,0.248,0.5,0.5,0.5,0.5,0.5,1,1,0.357,0.357,0.5,1,1,1,1,1,1,1,1,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.262,0.062,0.062,0.062,0.062,0.062,0.062,0.062,0.062,1,1,1,1,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,1,1,1,1,1,1,1,1,1,1,0.352,0.352,0.262,0.257,0.248,0.357,0.249,0.369,0.118,0.251,0.062,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4,0.383,1,1,1,1,1,1,1,1,1,0.357,1,1,1,1,1,1,0.5,1,0.5,0.261,1,1,1,1,0.261,1,1,1,1,1,1,1,1,1,0.383,0.383,1,1,1,0.383,1,0.5,1,1,0.5,0.5,1,0.5,0.5,1,1,1,1,1,1,0.5,0.5,0.287,1,0.5,0.5,0.287,0.5,0.287,0.287,1,0.5,0.287,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,0.3,1,0.5,0.5,0.5,0.3,1,0.5,0.5,0.3,1,1,0.3,1,0.5,0.261,0.3,0.5,0.5,0.5,0.261,0.5,0.5,0.291,0.291,0.291,0.291,1,0.291,1,0.291,0.5,0.5,0.5,0.5,0.5,1,1,0.354,0.354,0.5,1,1,1,1,1,1,1,1,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.287,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,1,1,1,1,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,1,1,1,1,1,1,1,1,1,1,0.383,0.357,0.287,0.3,0.291,0.354,0.252,0.392,0.111,0.261,0.045,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5,0.403,1,1,1,1,1,1,1,1,1,0.356,1,1,1,1,1,1,0.5,1,0.5,0.246,1,1,1,1,0.246,1,1,1,1,1,1,1,1,1,0.403,0.403,1,1,1,0.403,1,0.5,1,1,0.5,0.5,1,0.5,0.5,1,1,1,1,1,1,0.5,0.5,0.3,1,0.5,0.5,0.3,0.5,0.3,0.3,1,0.5,0.3,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,0.289,1,0.5,0.5,0.5,0.289,1,0.5,0.5,0.289,1,1,0.289,1,0.5,0.246,0.289,0.5,0.5,0.5,0.246,0.5,0.5,0.281,0.281,0.281,0.281,1,0.281,1,0.281,0.5,0.5,0.5,0.5,0.5,1,1,0.392,0.392,0.5,1,1,1,1,1,1,1,1,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.3,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,1,1,1,1,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,1,1,1,1,1,1,1,1,1,1,0.403,0.356,0.3,0.289,0.281,0.392,0.214,0.364,0.084,0.246,0.017,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6,0.381,1,1,1,1,1,1,1,1,1,0.343,1,1,1,1,1,1,0.5,1,0.5,0.239,1,1,1,1,0.239,1,1,1,1,1,1,1,1,1,0.381,0.381,1,1,1,0.381,1,0.5,1,1,0.5,0.5,1,0.5,0.5,1,1,1,1,1,1,0.5,0.5,0.274,1,0.5,0.5,0.274,0.5,0.274,0.274,1,0.5,0.274,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,0.251,1,0.5,0.5,0.5,0.251,1,0.5,0.5,0.251,1,1,0.251,1,0.5,0.239,0.251,0.5,0.5,0.5,0.239,0.5,0.5,0.268,0.268,0.268,0.268,1,0.268,1,0.268,0.5,0.5,0.5,0.5,0.5,1,1,0.354,0.354,0.5,1,1,1,1,1,1,1,1,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.274,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,1,1,1,1,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,1,1,1,1,1,1,1,1,1,1,0.381,0.343,0.274,0.251,0.268,0.354,0.147,0.315,0.054,0.239,0.004,0.003,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
7,0.318,1,1,1,1,1,1,1,1,1,0.279,1,1,1,1,1,1,0.5,1,0.5,0.189,1,1,1,1,0.189,1,1,1,1,1,1,1,1,1,0.318,0.318,1,1,1,0.318,1,0.5,1,1,0.5,0.5,1,0.5,0.5,1,1,1,1,1,1,0.5,0.5,0.226,1,0.5,0.5,0.226,0.5,0.226,0.226,1,0.5,0.226,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,0.215,1,0.5,0.5,0.5,0.215,1,0.5,0.5,0.215,1,1,0.215,1,0.5,0.189,0.215,0.5,0.5,0.5,0.189,0.5,0.5,0.223,0.223,0.223,0.223,1,0.223,1,0.223,0.5,0.5,0.5,0.5,0.5,1,1,0.254,0.254,0.5,1,1,1,1,1,1,1,1,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.226,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,1,1,1,1,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,1,1,1,1,1,1,1,1,1,1,0.318,0.279,0.226,0.215,0.223,0.254,0.095,0.253,0.023,0.189,0.001,0.005,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
8,0.219,1,1,1,1,1,1,1,1,1,0.201,1,1,1,1,1,1,0.5,1,0.5,0.133,1,1,1,1,0.133,1,1,1,1,1,1,1,1,1,0.219,0.219,1,1,1,0.219,1,0.5,1,1,0.5,0.5,1,0.5,0.5,1,1,1,1,1,1,0.5,0.5,0.173,1,0.5,0.5,0.173,0.5,0.173,0.173,1,0.5,0.173,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,0.176,1,0.5,0.5,0.5,0.176,1,0.5,0.5,0.176,1,1,0.176,1,0.5,0.133,0.176,0.5,0.5,0.5,0.133,0.5,0.5,0.132,0.132,0.132,0.132,1,0.132,1,0.132,0.5,0.5,0.5,0.5,0.5,1,1,0.146,0.146,0.5,1,1,1,1,1,1,1,1,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.173,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,1,1,1,1,1,1,1,1,1,1,0.219,0.201,0.173,0.176,0.132,0.146,0.071,0.185,0.008,0.133,0,0.004,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
9,0.099,1,1,1,1,1,1,1,1,1,0.1,1,1,1,1,1,1,0.5,1,0.5,0.084,1,1,1,1,0.084,1,1,1,1,1,1,1,1,1,0.099,0.099,1,1,1,0.099,1,0.5,1,1,0.5,0.5,1,0.5,0.5,1,1,1,1,1,1,0.5,0.5,0.093,1,0.5,0.5,0.093,0.5,0.093,0.093,1,0.5,0.093,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,0.082,1,0.5,0.5,0.5,0.082,1,0.5,0.5,0.082,1,1,0.082,1,0.5,0.084,0.082,0.5,0.5,0.5,0.084,0.5,0.5,0.055,0.055,0.055,0.055,1,0.055,1,0.055,0.5,0.5,0.5,0.5,0.5,1,1,0.062,0.062,0.5,1,1,1,1,1,1,1,1,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.093,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,1,1,1,1,1,1,1,1,1,1,0.099,0.1,0.093,0.082,0.055,0.062,0.079,0.134,0.002,0.084,0,0.003,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10,0.01,1,1,1,1,1,1,1,1,1,0.013,1,1,1,1,1,1,0.5,1,0.5,0.087,1,1,1,1,0.087,1,1,1,1,1,1,1,1,1,0.01,0.01,1,1,1,0.01,1,0.5,1,1,0.5,0.5,1,0.5,0.5,1,1,1,1,1,1,0.5,0.5,0.015,1,0.5,0.5,0.015,0.5,0.015,0.015,1,0.5,0.015,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,0.012,1,0.5,0.5,0.5,0.012,1,0.5,0.5,0.012,1,1,0.012,1,0.5,0.087,0.012,0.5,0.5,0.5,0.087,0.5,0.5,0.004,0.004,0.004,0.004,1,0.004,1,0.004,0.5,0.5,0.5,0.5,0.5,1,1,0.012,0.012,0.5,1,1,1,1,1,1,1,1,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.015,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,1,1,1,1,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,1,1,1,1,1,1,1,1,1,1,0.01,0.013,0.015,0.012,0.004,0.012,0.092,0.129,0.008,0.087,0.008,0.001,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
