r_id,path_name,substation_path,z1,z2,z3,z4,z5,z6,z7,z8,z9,voltage_kV,distance_km,Dm,x,B,Line_Max_Flow_MW,Line_Loss_Percentage,Line_Max_Reinforcement_MW,Line_Reinforcement_Cost_per_MWyr
1,aceh_to_north_sumatera_1,arun_to_pangkalan_susu,1,-1,0,0,0,0,0,0,0,275,333.23,6.299605249,0.351494418,2.844995393,322.8293676,0.033323,322.8293676,35178
2,aceh_to_north_sumatera_2,langsa_to_pangkalan_brandan,1,-1,0,0,0,0,0,0,0,150,333.23,6.299605249,0.351494418,2.844995393,96.0484069,0.033323,96.0484069,35178
3,aceh_to_north_sumatera_3,kutacane_to_brastagi,1,-1,0,0,0,0,0,0,0,150,333.23,6.299605249,0.351494418,2.844995393,96.0484069,0.033323,96.0484069,35178
4,aceh_to_north_sumatera_4,subulussalam_to_sidikalang,1,-1,0,0,0,0,0,0,0,150,333.23,6.299605249,0.351494418,2.844995393,96.0484069,0.033323,96.0484069,35178
5,aceh_to_north_sumatera_new,,1,-1,0,0,0,0,0,0,0,,333.23,6.299605249,0.351494418,2.844995393,500,0.033323,500,35178
6,north_sumatera_to_riau_1,rantau_perapat_to_perawang,0,1,-1,0,0,0,0,0,0,500,357.6,6.299605249,0.351494418,2.844995393,994.4758461,0.03576,994.4758461,35178
7,north_sumatera_to_riau_2,kota_pinang_to_bagan_batu,0,1,-1,0,0,0,0,0,0,150,357.6,6.299605249,0.351494418,2.844995393,89.50282615,0.03576,89.50282615,35178
8,north_sumatera_to_riau_new,,0,1,-1,0,0,0,0,0,0,,357.6,6.299605249,0.351494418,2.844995393,500,0.03576,500,35178
9,north_sumatera_to_west_sumatera_1,padang_sidempuan_to_payakumbuh,0,1,0,0,-1,0,0,0,0,275,368.46,6.299605249,0.351494418,2.844995393,291.962303,0.036846,291.962303,35178
10,north_sumatera_to_west_sumatera_2,natal_to_ujung_gading,0,1,0,0,-1,0,0,0,0,150,368.46,6.299605249,0.351494418,2.844995393,86.86481743,0.036846,86.86481743,35178
11,north_sumatera_to_west_sumatera_new,,0,1,0,0,-1,0,0,0,0,,368.46,6.299605249,0.351494418,2.844995393,500,0.036846,500,35178
12,riau_to_jambi_1,peranap_to_new_aurduri,0,0,1,0,0,-1,0,0,0,500,265.35,6.299605249,0.351494418,2.844995393,1340.209393,0.026535,1340.209393,35178
13,riau_to_jambi_new,,0,0,1,0,0,-1,0,0,0,,265.35,6.299605249,0.351494418,2.844995393,500,0.026535,500,35178
14,riau_to_west_sumatera_1,koto_panjang_to_payakumbuh,0,0,1,0,-1,0,0,0,0,150,184.06,6.299605249,0.351494418,2.844995393,173.8900936,0.018406,173.8900936,35178
15,riau_to_west_sumatera_2,perawang_to_payakumbuh,0,0,1,0,-1,0,0,0,0,275,184.06,6.299605249,0.351494418,2.844995393,584.4639258,0.018406,584.4639258,35178
