Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,corresponding_week,r_id,hour,demand_z1
2000,1,1.0,1.0,8,168,1095,2,1,0,0
,2,0.9,0.04,,,1095,9,2,1,0
,3,0.55,0.024,,,1095,16,3,2,0
,4,0.2,0.003,,,1095,24,4,3,0
,,,,,,1095,32,5,4,0
,,,,,,1095,40,6,5,0
,,,,,,1095,46,7,6,0
,,,,,,1095,52,8,7,0
,,,,,,,,9,8,0
,,,,,,,,10,9,0
,,,,,,,,11,10,0
,,,,,,,,12,11,0
,,,,,,,,13,12,0
,,,,,,,,14,13,0
,,,,,,,,15,14,0
,,,,,,,,16,15,0
,,,,,,,,17,16,0
,,,,,,,,18,17,0
,,,,,,,,19,18,0
,,,,,,,,20,19,0
,,,,,,,,21,20,0
,,,,,,,,22,21,0
,,,,,,,,23,22,0
,,,,,,,,24,23,0
,,,,,,,,25,0,0
,,,,,,,,26,1,0
,,,,,,,,27,2,0
,,,,,,,,28,3,0
,,,,,,,,29,4,0
,,,,,,,,30,5,0
,,,,,,,,31,6,0
,,,,,,,,32,7,0
,,,,,,,,33,8,0
,,,,,,,,34,9,0
,,,,,,,,35,10,0
,,,,,,,,36,11,0
,,,,,,,,37,12,0
,,,,,,,,38,13,0
,,,,,,,,39,14,0
,,,,,,,,40,15,0
,,,,,,,,41,16,0
,,,,,,,,42,17,0
,,,,,,,,43,18,0
,,,,,,,,44,19,0
,,,,,,,,45,20,0
,,,,,,,,46,21,0
,,,,,,,,47,22,0
,,,,,,,,48,23,0
,,,,,,,,49,0,0
,,,,,,,,50,1,0
,,,,,,,,51,2,0
,,,,,,,,52,3,0
,,,,,,,,53,4,0
,,,,,,,,54,5,0
,,,,,,,,55,6,0
,,,,,,,,56,7,0
,,,,,,,,57,8,0
,,,,,,,,58,9,0
,,,,,,,,59,10,0
,,,,,,,,60,11,0
,,,,,,,,61,12,0
,,,,,,,,62,13,0
,,,,,,,,63,14,0
,,,,,,,,64,15,0
,,,,,,,,65,16,0
,,,,,,,,66,17,0
,,,,,,,,67,18,0
,,,,,,,,68,19,0
,,,,,,,,69,20,0
,,,,,,,,70,21,0
,,,,,,,,71,22,0
,,,,,,,,72,23,0
,,,,,,,,73,0,0
,,,,,,,,74,1,0
,,,,,,,,75,2,0
,,,,,,,,76,3,0
,,,,,,,,77,4,0
,,,,,,,,78,5,0
,,,,,,,,79,6,0
,,,,,,,,80,7,0
,,,,,,,,81,8,0
,,,,,,,,82,9,0
,,,,,,,,83,10,0
,,,,,,,,84,11,0
,,,,,,,,85,12,0
,,,,,,,,86,13,0
,,,,,,,,87,14,0
,,,,,,,,88,15,0
,,,,,,,,89,16,0
,,,,,,,,90,17,0
,,,,,,,,91,18,0
,,,,,,,,92,19,0
,,,,,,,,93,20,0
,,,,,,,,94,21,0
,,,,,,,,95,22,0
,,,,,,,,96,23,0
,,,,,,,,97,0,0
,,,,,,,,98,1,0
,,,,,,,,99,2,0
,,,,,,,,100,3,0
,,,,,,,,101,4,0
,,,,,,,,102,5,0
,,,,,,,,103,6,0
,,,,,,,,104,7,0
,,,,,,,,105,8,0
,,,,,,,,106,9,0
,,,,,,,,107,10,0
,,,,,,,,108,11,0
,,,,,,,,109,12,0
,,,,,,,,110,13,0
,,,,,,,,111,14,0
,,,,,,,,112,15,0
,,,,,,,,113,16,0
,,,,,,,,114,17,0
,,,,,,,,115,18,0
,,,,,,,,116,19,0
,,,,,,,,117,20,0
,,,,,,,,118,21,0
,,,,,,,,119,22,0
,,,,,,,,120,23,0
,,,,,,,,121,0,0
,,,,,,,,122,1,0
,,,,,,,,123,2,0
,,,,,,,,124,3,0
,,,,,,,,125,4,0
,,,,,,,,126,5,0
,,,,,,,,127,6,0
,,,,,,,,128,7,0
,,,,,,,,129,8,0
,,,,,,,,130,9,0
,,,,,,,,131,10,0
,,,,,,,,132,11,0
,,,,,,,,133,12,0
,,,,,,,,134,13,0
,,,,,,,,135,14,0
,,,,,,,,136,15,0
