Village,kabupaten,kecamatan,desa,archetype,households,ghi,ghi_matched,lat,lon,annual_kwh,peak_mw,diesel_mw
1,BELU,ATAMBUA,ATAMBUA,trade,900,5.449,False,,,1116900,0.25206,0.2773
2,BELU,ATAMBUA,FATUBENAO,rice,2746,5.4793,True,-9.105784992570412,124.9127571110508,3407786,0.76906,0.846
3,BELU,ATAMBUA,MANUMUTIN,livestock,2733,5.5602,True,-9.07973091924861,124.8937891843532,3391653,0.76542,0.842
4,BELU,ATAMBUA,TENUKIIK,government,1263,5.5165,True,-9.095833760828894,124.8984548266226,1567383,0.35372,0.3891
5,BELU,ATAMBUA BARAT,BEIRAFU,trade,1422,5.4932,True,-9.106675262055433,124.8855370719488,1764702,0.39825,0.4381
6,BELU,ATAMBUA BARAT,BERDAO,trade,1250,5.449,False,,,1551250,0.35008,0.3851
7,BELU,ATAMBUA BARAT,TULAMALAE,government,1164,5.5272,True,-9.097269963307276,124.8876530367458,1444524,0.326,0.3586
8,BELU,ATAMBUA BARAT,UMANEN,rice,2301,5.549,True,-9.090877615745365,124.8692508441395,2855541,0.64443,0.7089
9,BELU,ATAMBUA SELATAN,FATUKBOT,horticulture,2218,5.4392,True,-9.131846840803224,124.8933963504213,2752538,0.62119,0.6833
10,BELU,ATAMBUA SELATAN,LIDAK,trade,1288,5.449,True,-9.12169363439536,124.8812416309854,1598408,0.36072,0.3968
11,BELU,ATAMBUA SELATAN,MANUAMAN,trade,2143,5.458,True,-9.112204974767929,124.8760526563727,2659463,0.60018,0.6602
12,BELU,ATAMBUA SELATAN,RINBESI,trade,922,5.4779,True,-9.11347790257048,124.8918834159944,1144202,0.25822,0.284
13,BELU,KAKULUK MESAK,DUALAUS,fishing,1158,5.8323,True,-9.020482536688355,124.8358096296354,1689112,0.24292,0.2672
14,BELU,KAKULUK MESAK,FATUKETY,rice,667,5.449,False,,,827747,0.1868,0.2055
15,BELU,KAKULUK MESAK,JENILU,fishing,688,5.7835,True,-9.008593687316871,124.8737648302888,1105842,0.15904,0.1749
16,BELU,KAKULUK MESAK,KABUNA,rice,1593,5.6268,True,-9.049623698686425,124.8964877996104,1976913,0.44614,0.4908
17,BELU,KAKULUK MESAK,KENEBIBI,fishing,935,5.8109,True,-8.992609713891497,124.8975835345267,1412369,0.20312,0.2234
18,BELU,KAKULUK MESAK,LEOSAMA,rice,421,5.6812,True,-9.049086029627352,124.86093470528,522461,0.11791,0.1297
19,BELU,LAMAKNEN,DIRUN,rice,659,5.3407,True,-9.108012693263726,125.0891196097135,817819,0.18456,0.203
20,BELU,LAMAKNEN,DUARATO,rice,144,5.3999,True,-9.115069711649108,125.1521399483562,178704,0.04033,0.0444
21,BELU,LAMAKNEN,FULUR,rice,540,5.4037,True,-9.08818808108067,125.141206463893,670140,0.15124,0.1664
22,BELU,LAMAKNEN,KEWAR,rice,384,5.3482,True,-9.089568369219522,125.1623294881406,476544,0.10755,0.1183
23,BELU,LAMAKNEN,LAMAK SENULU,rice,371,5.449,False,,,460411,0.1039,0.1143
24,BELU,LAMAKNEN,LEOWALU,rice,218,5.4395,True,-9.106662883921786,125.1358878001917,270538,0.06105,0.0672
25,BELU,LAMAKNEN,MAHUITAS,rice,159,5.2941,True,-9.071430339940491,125.1699292089707,197319,0.04453,0.049
26,BELU,LAMAKNEN,MAKIR,rice,445,5.3724,True,-9.043211644567872,125.1682963405756,552245,0.12463,0.1371
27,BELU,LAMAKNEN,MAUDEMU,rice,407,5.2563,True,-9.12996396148219,125.0476896695519,505087,0.11399,0.1254
28,BELU,LAMAKNEN SELATAN,DEBULULIK,rice,302,5.338,True,-9.14912055578032,125.068148878096,374782,0.08458,0.093
29,BELU,LAMAKNEN SELATAN,EKIN,rice,215,5.4095,True,-9.116100533010556,125.1144659010554,266815,0.06021,0.0662
30,BELU,LAMAKNEN SELATAN,HENES,rice,165,5.0352,True,-9.15244989643432,125.1762748453092,204765,0.04621,0.0508
31,BELU,LAMAKNEN SELATAN,LAKMARAS,rice,336,5.1666,True,-9.15025956444454,125.1564760273714,416976,0.0941,0.1035
