Village,Cost_per_yr,Max_Connect_MW
1,27514,0.3781
2,237109,1.1536
3,239256,1.1481
4,236532,0.5306
5,231652,0.5974
6,27514,0.5251
7,234156,0.489
8,232165,0.9666
9,227633,0.9318
10,227493,0.5411
11,228614,0.9003
12,231360,0.3873
13,242965,0.3644
14,27514,0.2802
15,252198,0.2386
16,246609,0.6692
17,260103,0.3047
18,240373,0.1769
19,273889,0.2768
20,287000,0.0605
21,289344,0.2269
22,293925,0.1613
23,27514,0.1559
24,284753,0.0916
25,298966,0.0668
26,303834,0.1869
27,260484,0.171
28,261511,0.1269
29,278128,0.0903
30,286280,0.0693
31,281912,0.1412
32,272978,0.2117
33,264543,0.1252
34,282498,0.1008
35,264065,0.1033
36,280322,0.0605
37,278098,0.1059
38,272058,0.2164
39,27514,0.097
40,263099,0.087
41,267001,0.0941
42,27514,0.1059
43,206513,0.1861
44,219728,0.1458
45,216611,0.1105
46,214056,0.1491
47,27514,0.1542
48,202723,0.1496
49,180648,0.2726
50,188399,0.3201
51,190582,0.2008
52,182733,0.2185
53,197978,0.1874
54,173187,0.1722
55,179991,0.2815
56,295496,0.2176
57,288013,0.2361
58,302490,0.3378
59,291826,0.1067
60,297703,0.5764
61,284456,0.076
62,203181,0.3907
63,27514,0.1542
64,200692,0.1441
65,225922,0.0706
66,212566,0.61
67,198110,0.4924
68,189770,0.2483
69,213321,0.4697
70,255535,0.0861
71,235994,0.2025
72,27514,0.1756
73,254039,0.1344
74,239824,0.97
75,27514,0.2084
76,259166,0.0937
77,266911,0.4293
78,247228,0.1361
79,221694,0.0903
80,255491,0.147
81,246425,0.2281
82,27514,0.9104
83,27514,0.4999
84,27514,0.6587
85,27514,0.1008
86,27514,0.6381
87,27514,0.5835
88,27514,0.2697
89,27514,1.2855
90,27514,0.4121
91,27514,0.3903
92,27514,0.3289
93,27514,1.4703
94,27514,0.2159
95,197518,0.0723
96,182615,0.0739
97,202698,0.1378
98,174557,0.0714
99,193074,0.076
100,171222,0.3067
101,126732,0.1638
102,147621,0.2
103,141098,0.2432
104,136082,0.2857
105,130007,0.1638
106,124363,0.1071
107,165757,0.1092
108,27514,0.1554
109,164078,0.1806
110,133155,0.1252
111,201941,0.2172
112,223956,0.2407
113,214706,0.3457
114,198634,0.1731
115,189840,0.1743
116,223983,0.1785
117,212558,0.2621
118,207823,0.1865
119,204216,0.1571
120,257499,0.189
121,269408,0.2609
122,271679,0.1953
123,265148,0.1827
124,252776,0.1911
125,258035,0.2663
126,245047,0.2042
127,237113,0.3525
128,219465,0.3046
129,214290,0.2651
130,239092,0.2126
131,249195,0.2462
132,232685,0.2008
133,145617,0.1672
134,182161,0.2613
135,186134,0.3878
136,170092,0.189
137,27514,0.0836
138,167220,0.0807
139,188959,0.281
140,171243,0.0542
141,153730,0.121
142,145401,0.1659
143,177473,0.2151
144,172858,0.1613
145,185313,0.1643
146,171468,0.1445
147,135995,0.063
148,152800,0.0601
149,130247,0.1189
150,120148,0.2285
151,148419,0.1365
152,27514,0.2042
153,27514,0.0853
154,91005,0.1391
155,113472,0.1701
156,93625,0.1088
157,101166,0.2172
158,128761,0.1134
159,99481,0.0983
160,139212,0.2395
161,124851,0.2252
162,132933,0.1588
163,169266,0.1349
164,140898,0.1201
165,155843,0.1361
166,151051,0.1323
167,149591,0.0794
168,158309,0.1458
169,171267,0.4726
170,162327,0.3487
171,146592,0.3075
172,140291,0.1311
173,177318,0.2491
174,27514,0.247
175,155647,0.2054
176,163423,0.1323
177,137977,0.4348
178,164596,0.1655
179,214236,0.142
180,191405,0.1815
181,176235,0.171
182,192570,0.3016
183,193399,0.2172
184,151214,0.1227
185,162922,0.2655
186,180987,0.1521
187,163652,0.0937
188,27514,1.4619
189,27514,1.3477
190,27514,4.2934
191,27514,0.8028
192,27514,0.2474
193,27514,0.1911
194,27514,0.1428
195,27514,0.4289
196,27514,0.084
197,206158,0.113
198,27514,0.2781
199,27514,0.4709
200,27514,0.5739
201,27514,0.2634
202,27514,0.0962
203,27514,0.6054
204,27514,0.4848
205,27514,0.576
206,27514,0.4096
207,27514,0.5012
208,27514,0.6965
209,27514,0.1983
210,27514,0.4289
211,288679,0.1496
212,294949,0.3025
213,202698,0.1727
214,317538,0.1315
215,281890,0.1613
216,289021,0.1445
217,27514,0.213
218,303297,0.0878
219,288216,0.1143
220,300102,0.2159
221,315208,0.1424
222,307965,0.132
223,234756,0.5512
224,229175,0.978
225,217422,0.505
226,231253,0.2781
227,223655,0.1722
228,240450,0.5083
229,222022,0.4856
230,237894,0.6121
231,202322,0.423
232,184973,0.4361
233,206158,0.2983
234,191155,0.9171
235,187621,0.3285
236,215742,0.276
