# developable solar land per village, derived from usable_land_ntt.shp
# region=Kupang|Kota Kupang|Timor Tengah Selatan|Timor Tengah Utara|Belu excluded_classes=Settlement Area mwp_per_km2=50 max_radius_km=10
# nearest-village allocation; land beyond the radius (0.0 km²) is not attributed to any village
Village,developable_km2,developable_MW,source
1,0.0,233.6,fallback
2,10.9555,547.77,sited
3,10.0574,502.87,sited
4,9.4429,472.14,sited
5,10.9371,546.86,sited
6,0.0,233.6,fallback
7,10.4353,521.76,sited
8,12.8469,642.34,sited
9,13.6915,684.58,sited
10,13.1349,656.74,sited
11,11.8498,592.49,sited
12,11.8933,594.67,sited
13,9.58,479.0,sited
14,0.0,233.6,fallback
15,7.7804,389.02,sited
16,8.7903,439.51,sited
17,5.9789,298.94,sited
18,11.5577,577.89,sited
19,13.4964,674.82,sited
20,7.6267,381.33,sited
21,8.766,438.3,sited
22,6.8439,342.19,sited
23,0.0,233.6,fallback
24,9.4723,473.61,sited
25,5.7061,285.31,sited
26,5.37,268.5,sited
27,12.062,603.1,sited
28,9.9619,498.09,sited
29,10.7429,537.14,sited
30,4.7052,235.26,sited
31,6.2583,312.91,sited
32,7.9657,398.29,sited
33,7.917,395.85,sited
34,8.1467,407.34,sited
35,9.5373,476.87,sited
36,8.5215,426.08,sited
37,10.7176,535.88,sited
38,8.774,438.7,sited
39,0.0,233.6,fallback
40,9.8852,494.26,sited
41,7.379,368.95,sited
42,0.0,233.6,fallback
43,15.7122,785.61,sited
44,15.0955,754.78,sited
45,13.1459,657.3,sited
46,17.6752,883.76,sited
47,0.0,233.6,fallback
48,13.1205,656.02,sited
49,7.6976,384.88,sited
50,11.3828,569.14,sited
51,12.5827,629.13,sited
52,8.7204,436.02,sited
53,9.3327,466.63,sited
54,5.3612,268.06,sited
55,7.5255,376.27,sited
56,7.4334,371.67,sited
57,7.4228,371.14,sited
58,4.7393,236.97,sited
59,8.5432,427.16,sited
60,5.3996,269.98,sited
61,10.7466,537.33,sited
62,16.1059,805.29,sited
63,0.0,233.6,fallback
64,17.5398,876.99,sited
65,15.7106,785.53,sited
66,14.7714,738.57,sited
67,15.4331,771.65,sited
68,11.5446,577.23,sited
69,12.8676,643.38,sited
70,9.488,474.4,sited
71,13.0742,653.71,sited
72,0.0,233.6,fallback
73,11.1089,555.45,sited
74,12.1741,608.7,sited
75,0.0,233.6,fallback
76,7.802,390.1,sited
77,3.9552,197.76,sited
78,11.4123,570.62,sited
79,17.3001,865.0,sited
80,5.9084,295.42,sited
81,9.1464,457.32,sited
82,0.0,233.6,fallback
83,0.0,233.6,fallback
84,0.0,233.6,fallback
85,0.0,233.6,fallback
86,0.0,233.6,fallback
87,0.0,233.6,fallback
88,0.0,233.6,fallback
89,0.0,233.6,fallback
90,0.0,233.6,fallback
91,0.0,233.6,fallback
92,0.0,233.6,fallback
93,0.0,233.6,fallback
94,0.0,233.6,fallback
95,8.1343,406.71,sited
96,14.1169,705.85,sited
97,10.0199,501.0,sited
98,17.4856,874.28,sited
99,8.3355,416.78,sited
100,11.9091,595.45,sited
101,9.19,459.5,sited
102,13.7346,686.73,sited
103,13.1493,657.47,sited
104,12.7248,636.24,sited
105,9.3157,465.78,sited
106,9.5306,476.53,sited
107,16.5509,827.54,sited
108,0.0,233.6,fallback
109,18.9532,947.66,sited
110,12.1256,606.28,sited
111,14.671,733.55,sited
112,17.5299,876.5,sited
113,11.4595,572.97,sited
114,15.7159,785.79,sited
115,16.814,840.7,sited
116,12.628,631.4,sited
117,13.488,674.4,sited
118,14.3614,718.07,sited
119,15.6859,784.29,sited
120,16.2087,810.43,sited
121,13.0931,654.66,sited
122,14.2087,710.43,sited
123,16.1931,809.65,sited
124,17.7499,887.5,sited
125,17.8323,891.61,sited
126,18.8847,944.24,sited
127,16.8458,842.29,sited
128,13.424,671.2,sited
129,15.2538,762.69,sited
130,14.9826,749.13,sited
131,14.9576,747.88,sited
132,18.0911,904.56,sited
133,9.8686,493.43,sited
134,19.9341,996.71,sited
135,17.3432,867.16,sited
136,19.2125,960.62,sited
137,0.0,233.6,fallback
138,2.5186,125.93,sited
139,8.1461,407.3,sited
140,5.138,256.9,sited
141,4.8265,241.32,sited
142,11.592,579.6,sited
143,4.672,233.6,sited
144,2.9047,145.23,sited
145,5.9976,299.88,sited
146,4.5518,227.59,sited
147,5.4611,273.05,sited
148,6.1874,309.37,sited
149,10.8335,541.68,sited
150,9.872,493.6,sited
151,3.0417,152.08,sited
152,0.0,233.6,fallback
153,0.0,233.6,fallback
154,27.4879,1374.39,sited
155,14.0005,700.02,sited
156,9.5294,476.47,sited
157,28.9961,1449.8,sited
158,7.7751,388.76,sited
159,5.8021,290.1,sited
160,2.1113,105.56,sited
161,2.6549,132.75,sited
162,12.2584,612.92,sited
163,8.7532,437.66,sited
164,17.8752,893.76,sited
165,13.8156,690.78,sited
166,17.4412,872.06,sited
167,16.0777,803.89,sited
168,10.8931,544.65,sited
169,10.5692,528.46,sited
170,12.2905,614.52,sited
171,11.1726,558.63,sited
172,6.9893,349.46,sited
173,9.2548,462.74,sited
174,0.0,233.6,fallback
175,10.2429,512.14,sited
176,11.3772,568.86,sited
177,12.9695,648.47,sited
178,8.5809,429.05,sited
179,15.2801,764.01,sited
180,7.075,353.75,sited
181,8.4542,422.71,sited
182,5.127,256.35,sited
183,10.2131,510.66,sited
184,5.9571,297.86,sited
185,5.9448,297.24,sited
186,4.2318,211.59,sited
187,5.4104,270.52,sited
188,0.0,233.6,fallback
189,0.0,233.6,fallback
190,0.0,233.6,fallback
191,0.0,233.6,fallback
192,0.0,233.6,fallback
193,0.0,233.6,fallback
194,0.0,233.6,fallback
195,0.0,233.6,fallback
196,0.0,233.6,fallback
197,2.6663,133.32,sited
198,0.0,233.6,fallback
199,0.0,233.6,fallback
200,0.0,233.6,fallback
201,0.0,233.6,fallback
202,0.0,233.6,fallback
203,0.0,233.6,fallback
204,0.0,233.6,fallback
205,0.0,233.6,fallback
206,0.0,233.6,fallback
207,0.0,233.6,fallback
208,0.0,233.6,fallback
209,0.0,233.6,fallback
210,0.0,233.6,fallback
211,10.7779,538.9,sited
212,7.733,386.65,sited
213,10.0199,501.0,sited
214,5.2129,260.65,sited
215,9.5561,477.81,sited
216,7.5414,377.07,sited
217,0.0,233.6,fallback
218,10.0287,501.43,sited
219,13.1442,657.21,sited
220,12.2106,610.53,sited
221,6.6925,334.63,sited
222,8.9359,446.79,sited
223,4.1957,209.78,sited
224,4.441,222.05,sited
225,3.4512,172.56,sited
226,8.4549,422.74,sited
227,8.0078,400.39,sited
228,5.7682,288.41,sited
229,3.5148,175.74,sited
230,4.2857,214.28,sited
231,4.1727,208.64,sited
232,8.4243,421.21,sited
233,2.6663,133.32,sited
234,8.6322,431.61,sited
235,6.1358,306.79,sited
236,9.2046,460.23,sited
237,4.9852,249.26,sited
238,8.5171,425.86,sited
239,0.0,233.6,fallback
240,7.8666,393.33,sited
241,5.3813,269.07,sited
242,3.9653,198.26,sited
243,8.8059,440.29,sited
244,0.0,233.6,fallback
245,0.0,233.6,fallback
246,0.0,233.6,fallback
247,0.0,233.6,fallback
248,0.0,233.6,fallback
249,0.0,233.6,fallback
250,0.0,233.6,fallback
251,0.0,233.6,fallback
252,0.0,233.6,fallback
253,0.0,233.6,fallback
254,11.6257,581.28,sited
255,15.0472,752.36,sited
256,9.757,487.85,sited
257,13.6311,681.55,sited
258,14.3975,719.87,sited
259,11.8694,593.47,sited
260,13.454,672.7,sited
261,10.8295,541.47,sited
262,10.1322,506.61,sited
263,0.0,233.6,fallback
264,0.0,233.6,fallback
265,0.0,233.6,fallback
266,0.0,233.6,fallback
267,0.0,233.6,fallback
268,0.0,233.6,fallback
269,0.0,233.6,fallback
270,0.0,233.6,fallback
271,2.8117,140.59,sited
272,4.5201,226.0,sited
273,4.749,237.45,sited
274,4.9,245.0,sited
275,2.8038,140.19,sited
276,3.5988,179.94,sited
277,2.4333,121.66,sited
278,3.6791,183.96,sited
279,5.3253,266.27,sited
