Village,kabupaten,kecamatan,desa,archetype,households,lat,lon,sited,solar_MW,solar_cap_MW,hubdist_km,hub_name,peak_mw
1,BELU,ATAMBUA,ATAMBUA,trade,900,,,False,,3246.8,,,0.25206
2,BELU,ATAMBUA,FATUBENAO,rice,2746,-9.105784992570412,124.9127571110508,True,4302.8,4302.8,5.639,Gardu Induk Atambua,0.76906
3,BELU,ATAMBUA,MANUMUTIN,livestock,2733,-9.07973091924861,124.8937891843532,True,4130.5,4130.5,3.244,Gardu Induk Atambua,0.76542
4,BELU,ATAMBUA,TENUKIIK,government,1263,-9.095833760828894,124.8984548266226,True,4337.5,4337.5,3.773,Gardu Induk Atambua,0.35372
5,BELU,ATAMBUA BARAT,BEIRAFU,trade,1422,-9.106675262055433,124.8855370719488,True,4249.6,4249.6,3.106,Gardu Induk Atambua,0.39825
6,BELU,ATAMBUA BARAT,BERDAO,trade,1250,,,False,,3246.8,,,0.35008
7,BELU,ATAMBUA BARAT,TULAMALAE,government,1164,-9.097269963307276,124.8876530367458,True,4225.1,4225.1,2.691,Gardu Induk Atambua,0.326
8,BELU,ATAMBUA BARAT,UMANEN,rice,2301,-9.090877615745365,124.8692508441395,True,4018.9,4018.9,0.565,Gardu Induk Atambua,0.64443
9,BELU,ATAMBUA SELATAN,FATUKBOT,horticulture,2218,-9.131846840803224,124.8933963504213,True,4336.8,4336.8,5.893,Gardu Induk Atambua,0.62119
10,BELU,ATAMBUA SELATAN,LIDAK,trade,1288,-9.12169363439536,124.8812416309854,True,4252.7,4252.7,4.245,Gardu Induk Atambua,0.36072
11,BELU,ATAMBUA SELATAN,MANUAMAN,trade,2143,-9.112204974767929,124.8760526563727,True,4221.4,4221.4,3.034,Gardu Induk Atambua,0.60018
12,BELU,ATAMBUA SELATAN,RINBESI,trade,922,-9.11347790257048,124.8918834159944,True,4244.1,4244.1,4.148,Gardu Induk Atambua,0.25822
13,BELU,KAKULUK MESAK,DUALAUS,fishing,1158,-9.020482536688355,124.8358096296354,True,1928.7,1928.7,2.489,Gardu Induk Atapupu,0.24292
14,BELU,KAKULUK MESAK,FATUKETY,rice,667,,,False,,3246.8,,,0.1868
15,BELU,KAKULUK MESAK,JENILU,fishing,688,-9.008593687316871,124.8737648302888,True,1702.9,1702.9,6.181,Gardu Induk Atapupu,0.15904
16,BELU,KAKULUK MESAK,KABUNA,rice,1593,-9.049623698686425,124.8964877996104,True,3233.0,3233.0,5.461,Gardu Induk Atambua,0.44614
17,BELU,KAKULUK MESAK,KENEBIBI,fishing,935,-8.992609713891497,124.8975835345267,True,1477.2,1477.2,8.973,Gardu Induk Atapupu,0.20312
18,BELU,KAKULUK MESAK,LEOSAMA,rice,421,-9.049086029627352,124.86093470528,True,3216.2,3216.2,4.342,Gardu Induk Atambua,0.11791
19,BELU,LAMAKNEN,DIRUN,rice,659,-9.108012693263726,125.0891196097135,True,2709.0,2709.0,24.982,Gardu Induk Atambua,0.18456
20,BELU,LAMAKNEN,DUARATO,rice,144,-9.115069711649108,125.1521399483562,True,2439.5,2439.5,32.042,Gardu Induk Atambua,0.04033
21,BELU,LAMAKNEN,FULUR,rice,540,-9.08818808108067,125.141206463893,True,3056.9,3056.9,30.672,Gardu Induk Atambua,0.15124
22,BELU,LAMAKNEN,KEWAR,rice,384,-9.089568369219522,125.1623294881406,True,2293.5,2293.5,33.024,Gardu Induk Atambua,0.10755
23,BELU,LAMAKNEN,LAMAK SENULU,rice,371,,,False,,3246.8,,,0.1039
24,BELU,LAMAKNEN,LEOWALU,rice,218,-9.106662883921786,125.1358878001917,True,2965.9,2965.9,30.158,Gardu Induk Atambua,0.06105
25,BELU,LAMAKNEN,MAHUITAS,rice,159,-9.071430339940491,125.1699292089707,True,2152.9,2152.9,33.916,Gardu Induk Atambua,0.04453
26,BELU,LAMAKNEN,MAKIR,rice,445,-9.043211644567872,125.1682963405756,True,2270.9,2270.9,34.052,Gardu Induk Atambua,0.12463
27,BELU,LAMAKNEN,MAUDEMU,rice,407,-9.12996396148219,125.0476896695519,True,2207.6,2207.6,20.824,Gardu Induk Atambua,0.11399
28,BELU,LAMAKNEN SELATAN,DEBULULIK,rice,302,-9.14912055578032,125.068148878096,True,1922.9,1922.9,23.591,Gardu Induk Atambua,0.08458
29,BELU,LAMAKNEN SELATAN,EKIN,rice,215,-9.116100533010556,125.1144659010554,True,3066.7,3066.7,27.884,Gardu Induk Atambua,0.06021
30,BELU,LAMAKNEN SELATAN,HENES,rice,165,-9.15244989643432,125.1762748453092,True,945.2,945.2,35.346,Gardu Induk Atambua,0.04621
31,BELU,LAMAKNEN SELATAN,LAKMARAS,rice,336,-9.15025956444454,125.1564760273714,True,1604.7,1604.7,33.14,Gardu Induk Atambua,0.0941
32,BELU,LAMAKNEN SELATAN,LOONUNA,rice,504,-9.155281874689452,125.1223747967733,True,2164.0,2164.0,29.585,Gardu Induk Atambua,0.14115
33,BELU,LAMAKNEN SELATAN,LUTHA RATO,rice,298,-9.16861788217358,125.096356804942,True,1596.3,1596.3,27.266,Gardu Induk Atambua,0.08346
34,BELU,LAMAKNEN SELATAN,NUALAIN,rice,240,-9.126336781229496,125.1413713000971,True,2683.9,2683.9,31.003,Gardu Induk Atambua,0.06722
35,BELU,LAMAKNEN SELATAN,SISI FATUBERAL,rice,246,-9.153262837732845,125.0825749660869,True,2033.5,2033.5,25.263,Gardu Induk Atambua,0.0689
36,BELU,LASIOLAT,BAUDAOK,rice,144,-9.043962969785383,125.0609531103099,True,2413.6,2413.6,22.28,Gardu Induk Atambua,0.04033
37,BELU,LASIOLAT,DUALASI,rice,252,-9.067194083406092,125.0724118353735,True,3026.7,3026.7,23.125,Gardu Induk Atambua,0.07058
38,BELU,LASIOLAT,FATULOTU,rice,515,-9.064767361650956,125.0418266592423,True,2499.0,2499.0,19.773,Gardu Induk Atambua,0.14423
39,BELU,LASIOLAT,LAKANMAU,rice,231,,,False,,3246.8,,,0.0647
40,BELU,LASIOLAT,LASIOLAT,rice,207,-9.090890819321594,125.0244874487279,True,3002.4,3002.4,17.683,Gardu Induk Atambua,0.05797
41,BELU,LASIOLAT,MANEIKUN,rice,224,-9.064819026824496,125.0177054352475,True,2381.3,2381.3,17.112,Gardu Induk Atambua,0.06273
42,BELU,LASIOLAT,RAIULUN,rice,252,,,False,,3246.8,,,0.07058
43,BELU,NANAET DUABESI,DUBESI,rice,443,-9.308277287878468,124.9522208890798,True,3061.6,3061.6,26.715,Gardu Induk Atambua,0.12407
44,BELU,NANAET DUABESI,FOHOEKA,rice,347,-9.264028413728203,124.9762922186827,True,2052.4,2052.4,23.424,Gardu Induk Atambua,0.09718
45,BELU,NANAET DUABESI,NANAENOE,rice,263,-9.301376897491188,124.9891840978211,True,2037.3,2037.3,27.78,Gardu Induk Atambua,0.07366
46,BELU,NANAET DUABESI,NANAET,rice,355,-9.26458153511547,124.9525094001315,True,2984.3,2984.3,22.203,Gardu Induk Atambua,0.09942
47,BELU,RAI MANUK,DUAKORAN,horticulture,367,,,False,,3246.8,,,0.10278
48,BELU,RAI MANUK,FATURIKA,horticulture,356,-9.338818641875918,124.9567042844563,True,3200.2,3200.2,30.118,Gardu Induk Atambua,0.0997
49,BELU,RAI MANUK,LEUNTOLU,rice,649,-9.319416751655554,124.8503997471428,True,4479.8,4479.8,26.229,Gardu Induk Atambua,0.18176
50,BELU,RAI MANUK,MANDEU,rice,762,-9.30568838798459,124.8733514768248,True,4357.0,4357.0,24.64,Gardu Induk Atambua,0.21341
51,BELU,RAI MANUK,MANDEU RAIMANUS,rice,478,-9.350889883446746,124.9151044228672,True,3580.9,3580.9,30.23,Gardu Induk Atambua,0.13387
52,BELU,RAI MANUK,RAFAE,rice,520,-9.334395772899244,124.8709633244761,True,4119.3,4119.3,27.87,Gardu Induk Atambua,0.14563
53,BELU,RAI MANUK,RENRUA,rice,446,-9.371868740873769,124.9574932138848,True,3549.5,3549.5,33.68,Gardu Induk Atambua,0.12491
54,BELU,RAI MANUK,TASAIN,horticulture,410,-9.359571714403016,124.8489133501756,True,4402.1,4402.1,30.761,Gardu Induk Atambua,0.11483
55,BELU,RAI MANUK,TEUN,rice,670,-9.365681866048488,124.8814469787683,True,3940.6,3940.6,31.442,Gardu Induk Atambua,0.18764
56,BELU,RAIHAT,AITOUN,rice,518,-9.05524897029047,125.1411687077674,True,3352.1,3352.1,30.88,Gardu Induk Atambua,0.14507
57,BELU,RAIHAT,ASUMANU,rice,562,-9.034102938240192,125.0878493467668,True,2720.1,2720.1,25.449,Gardu Induk Atambua,0.1574
58,BELU,RAIHAT,MAUMUTIN,rice,804,-9.007708192727506,125.1308398209848,True,2800.6,2800.6,30.851,Gardu Induk Atambua,0.22517
59,BELU,RAIHAT,RAIFATUS,rice,254,-9.053986676477855,125.1235176187817,True,3412.7,3412.7,28.947,Gardu Induk Atambua,0.07114
60,BELU,RAIHAT,TOHE,rice,1372,-9.009831122886585,125.1104180312812,True,2653.1,2653.1,28.61,Gardu Induk Atambua,0.38425
61,BELU,RAIHAT,TOHE LETEN,rice,181,-9.072190360752652,125.1059957851396,True,3251.6,3251.6,26.806,Gardu Induk Atambua,0.05069
62,BELU,TASIFETO BARAT,BAKUSTULAMA,rice,930,-9.241533446379584,124.8851403420126,True,4220.9,4220.9,17.524,Gardu Induk Atambua,0.26046
63,BELU,TASIFETO BARAT,DEROK FATURENE,rice,367,,,False,,3246.8,,,0.10278
64,BELU,TASIFETO BARAT,LAWALUTOLUS,rice,343,-9.28690429646604,124.9120381825492,True,3832.1,3832.1,23.091,Gardu Induk Atambua,0.09606
65,BELU,TASIFETO BARAT,LOOKEU,rice,168,-9.210630402374424,124.9612715894952,True,2754.7,2754.7,17.509,Gardu Induk Atambua,0.04705
66,BELU,TASIFETO BARAT,NAEKASA,rice,1452,-9.184060500494052,124.8740070460746,True,4337.4,4337.4,10.947,Gardu Induk Atambua,0.40666
67,BELU,TASIFETO BARAT,NAITIMU,rice,1172,-9.273351984761373,124.8898283408177,True,4109.4,4109.4,21.149,Gardu Induk Atambua,0.32824
68,BELU,TASIFETO BARAT,RINBESIHAT,rice,591,-9.284469535652176,124.8619058095663,True,4150.7,4150.7,22.236,Gardu Induk Atambua,0.16552
69,BELU,TASIFETO BARAT,TUKUNENO,rice,1118,-9.152859066296855,124.8433740528104,True,3924.2,3924.2,7.795,Gardu Induk Atambua,0.31311
70,BELU,TASIFETO TIMUR,BAUHO,rice,205,-9.091057531205768,124.9886007219215,True,3414.7,3414.7,13.69,Gardu Induk Atambua,0.05741
71,BELU,TASIFETO TIMUR,DAFALA,rice,482,-9.168637765699437,124.9703213214636,True,3794.7,3794.7,14.824,Gardu Induk Atambua,0.13499
72,BELU,TASIFETO TIMUR,FATUBA A,rice,418,,,False,,3246.8,,,0.11707
73,BELU,TASIFETO TIMUR,HALIMODOK,rice,320,-9.123361089139545,125.0124515829522,True,3353.9,3353.9,16.836,Gardu Induk Atambua,0.08962
74,BELU,TASIFETO TIMUR,MANLETEN,rice,2309,-9.127366029349592,124.9490754397423,True,4326.7,4326.7,10.323,Gardu Induk Atambua,0.64667
75,BELU,TASIFETO TIMUR,S A D I,rice,496,,,False,,3246.8,,,0.13891
76,BELU,TASIFETO TIMUR,SARABAU,rice,223,-9.075907642578304,124.9908971649122,True,2797.9,2797.9,13.998,Gardu Induk Atambua,0.06245
77,BELU,TASIFETO TIMUR,SILAWAN,rice,1022,-8.986734313331151,124.9283676899621,True,1215.1,1215.1,12.463,Gardu Induk Atapupu,0.28623
78,BELU,TASIFETO TIMUR,TAKIRIN,horticulture,324,-9.15889272550711,125.0128396446905,True,2557.7,2557.7,18.261,Gardu Induk Atambua,0.09074
79,BELU,TASIFETO TIMUR,TIALAI,horticulture,215,-9.17481515629172,124.9090114223354,True,4364.6,4364.6,10.981,Gardu Induk Atambua,0.06021
80,BELU,TASIFETO TIMUR,TULAKADI,plantation,350,-9.03075605245612,124.9213381177877,True,2314.3,2314.3,8.891,Gardu Induk Atambua,0.09802
81,BELU,TASIFETO TIMUR,UMAKLARAN,rice,543,-9.09095832415644,124.9436558371755,True,4032.7,4032.7,8.69,Gardu Induk Atambua,0.15208
82,KUPANG,ALAK,ALAK,trade,2167,,,False,,3246.8,,,0.6069
83,KUPANG,ALAK,BATUPLAT,trade,1190,,,False,,3246.8,,,0.33328
84,KUPANG,ALAK,FATUFETO,trade,1568,,,False,,3246.8,,,0.43914
85,KUPANG,ALAK,MANTASI,trade,240,,,False,,3246.8,,,0.06722
86,KUPANG,ALAK,MANULAI II,trade,1519,,,False,,3246.8,,,0.42542
87,KUPANG,ALAK,MANUTAPEN,trade,1389,,,False,,3246.8,,,0.38901
88,KUPANG,ALAK,NAIONI,rice,642,,,False,,3246.8,,,0.1798
89,KUPANG,ALAK,NAMOSAIN,trade,3060,,,False,,3246.8,,,0.857
90,KUPANG,ALAK,NUNBAUN DELHA,trade,981,,,False,,3246.8,,,0.27474
91,KUPANG,ALAK,NUNBAUN SABU,trade,929,,,False,,3246.8,,,0.26018
92,KUPANG,ALAK,NUNHILA,trade,783,,,False,,3246.8,,,0.21929
93,KUPANG,ALAK,PENKASE-OELETA,trade,3500,,,False,,3246.8,,,0.98023
94,KUPANG,AMABI OEFETO,FATUKNUTU,rice,514,,,False,,3246.8,,,0.14395
95,KUPANG,AMABI OEFETO,FATUTETA,rice,172,-10.13472199975404,123.8554211998816,True,4648.2,4648.2,4.042,Gardu Induk Naibonat,0.04817
96,KUPANG,AMABI OEFETO,KAIRANE,rice,176,-10.15597896768101,123.9484721185155,True,4340.1,4340.1,9.4,Gardu Induk Naibonat,0.04929
97,KUPANG,AMABI OEFETO,KUANHEUM,rice,328,-10.17367464530846,123.867483017995,True,4555.8,4555.8,7.548,Gardu Induk Naibonat,0.09186
98,KUPANG,AMABI OEFETO,NIUNBAUN,horticulture,170,-10.15388334084138,123.9886467125371,True,4078.0,4078.0,13.21,Gardu Induk Naibonat,0.04761
99,KUPANG,AMABI OEFETO,OEFETO,rice,181,-10.14074432479049,123.8814644871817,True,4636.4,4636.4,3.71,Gardu Induk Naibonat,0.05069
100,KUPANG,AMABI OEFETO,RAKNAMO,rice,730,-10.1191446356831,123.9657428023801,True,4239.9,4239.9,9.68,Gardu Induk Naibonat,0.20445
101,KUPANG,AMABI OEFETO TIMUR,ENOLANAN,rice,390,-10.06613039027998,124.1483503810528,True,3639.6,3639.6,30.297,Gardu Induk Naibonat,0.10923
102,KUPANG,AMABI OEFETO TIMUR,MUKE,rice,476,-10.1170460448897,124.0949902243565,True,3763.3,3763.3,24.007,Gardu Induk Naibonat,0.13331
103,KUPANG,AMABI OEFETO TIMUR,NUNMAFO,rice,579,-10.09227824930569,124.0975713609835,True,4189.3,4189.3,24.338,Gardu Induk Naibonat,0.16216
104,KUPANG,AMABI OEFETO TIMUR,OEMOFA,rice,680,-10.08455301421634,124.1171564590802,True,4165.5,4165.5,26.585,Gardu Induk Naibonat,0.19044
105,KUPANG,AMABI OEFETO TIMUR,OEMOLO,rice,390,-10.09043232308637,124.1705349274475,True,3758.3,3758.3,32.456,Gardu Induk Naibonat,0.10923
106,KUPANG,AMABI OEFETO TIMUR,OENAUNU,rice,255,-10.04626955294411,124.1313880574038,True,3572.5,3572.5,28.893,Gardu Induk Naibonat,0.07142
107,KUPANG,AMABI OEFETO TIMUR,OENIKO,rice,260,-10.13798130165265,124.0169890168319,True,3792.7,3792.7,15.674,Gardu Induk Naibonat,0.07282
108,KUPANG,AMABI OEFETO TIMUR,OENUNUTONO,horticulture,370,,,False,,3246.8,,,0.10362
109,KUPANG,AMABI OEFETO TIMUR,PATHAU,rice,430,-10.15262610827164,124.04696314465,True,3766.6,3766.6,19.311,Gardu Induk Naibonat,0.12043
110,KUPANG,AMABI OEFETO TIMUR,SEKI,rice,298,-10.05398130568263,124.0902303162224,True,4266.9,4266.9,24.237,Gardu Induk Naibonat,0.08346
111,KUPANG,AMARASI,APREN,plantation,517,-10.23810173968751,123.9447254216313,True,3178.0,3178.0,16.408,Gardu Induk Naibonat,0.14479
112,KUPANG,AMARASI,KOTABES,livestock,573,-10.24613859580244,123.8377435262301,True,3047.5,3047.5,16.302,Gardu Induk Naibonat,0.16048
113,KUPANG,AMARASI,NONBES,rice,823,-10.19516882006144,123.8311306498693,True,4188.4,4188.4,11.235,Gardu Induk Naibonat,0.23049
114,KUPANG,AMARASI,OENONI,horticulture,412,-10.21106468122563,123.928741775739,True,3945.3,3945.3,12.88,Gardu Induk Naibonat,0.11539
115,KUPANG,AMARASI,OENONI II,horticulture,415,-10.19450245679481,123.9559348974979,True,4130.7,4130.7,12.964,Gardu Induk Naibonat,0.11623
116,KUPANG,AMARASI,OESENA,rice,425,-10.21511568469039,123.8063141423751,True,3813.4,3813.4,14.601,Gardu Induk Naibonat,0.11903
117,KUPANG,AMARASI,PONAIN,horticulture,624,-10.21270934606261,123.8590776999478,True,4100.6,4100.6,12.06,Gardu Induk Naibonat,0.17476
118,KUPANG,AMARASI,TESBATAN,rice,444,-10.21190468170315,123.8819054168172,True,4134.9,4134.9,11.755,Gardu Induk Naibonat,0.12435
119,KUPANG,AMARASI,TESBATAN II,rice,374,-10.2122889243398,123.9007935678025,True,4134.5,4134.5,12.031,Gardu Induk Naibonat,0.10474
120,KUPANG,AMARASI BARAT,ERBAUN,livestock,450,-10.32657821259509,123.7559554104337,True,3019.5,3019.5,20.657,Gardu Induk Maulafa,0.12603
121,KUPANG,AMARASI BARAT,MERBAUN,plantation,621,-10.34101968795551,123.7122875180651,True,2903.9,2903.9,18.423,Gardu Induk Maulafa,0.17392
122,KUPANG,AMARASI BARAT,NEKBAUN,plantation,465,-10.3255635051305,123.6862253868342,True,3310.5,3310.5,15.321,Gardu Induk Maulafa,0.13023
123,KUPANG,AMARASI BARAT,NIUKBAUN,rice,435,-10.29290346755248,123.6864299389411,True,3306.6,3306.6,12.392,Gardu Induk Maulafa,0.12183
124,KUPANG,AMARASI BARAT,SOBA,livestock,455,-10.27053394353247,123.7233048371844,True,3288.6,3288.6,14.091,Gardu Induk Maulafa,0.12743
125,KUPANG,AMARASI BARAT,TEUNBAUN,rice,634,-10.30089967938595,123.7272523027124,True,3478.8,3478.8,16.347,Gardu Induk Maulafa,0.17756
126,KUPANG,AMARASI BARAT,TOOBAUN,livestock,486,-10.28210283912845,123.771152998274,True,3142.1,3142.1,19.452,Gardu Induk Maulafa,0.13611
127,KUPANG,AMARASI BARAT,TUNBAUN,livestock,839,-10.25199667353974,123.7794895347488,True,3385.2,3385.2,19.223,Gardu Induk Maulafa,0.23498
128,KUPANG,AMARASI SELATAN,BURAEN,livestock,725,-10.28434521924404,123.906770707501,True,1931.5,1931.5,20.176,Gardu Induk Naibonat,0.20305
129,KUPANG,AMARASI SELATAN,NEKMESE,livestock,631,-10.25093634097198,123.8930962433243,True,2777.2,2777.2,16.238,Gardu Induk Naibonat,0.17672
130,KUPANG,AMARASI SELATAN,RETRAEN,livestock,506,-10.3177258655116,123.8410103800724,True,2451.9,2451.9,24.108,Gardu Induk Naibonat,0.14171
131,KUPANG,AMARASI SELATAN,SAHRAEN,livestock,586,-10.32909060541795,123.8010162088357,True,2549.1,2549.1,24.908,Gardu Induk Maulafa,0.16412
132,KUPANG,AMARASI SELATAN,SONRAEN,livestock,478,-10.27903620622966,123.829515262588,True,2659.6,2659.6,20.131,Gardu Induk Naibonat,0.13387
133,KUPANG,AMARASI TIMUR,ENORAEN,livestock,398,-10.14069254718038,124.1526041108065,True,2316.5,2316.5,30.623,Gardu Induk Naibonat,0.11147
134,KUPANG,AMARASI TIMUR,OEBESI,rice,622,-10.19544759754867,124.000595179835,True,3995.8,3995.8,16.717,Gardu Induk Naibonat,0.1742
135,KUPANG,AMARASI TIMUR,PAKUBAUN,horticulture,923,-10.22890546919172,124.026439046603,True,2703.4,2703.4,21.318,Gardu Induk Naibonat,0.2585
136,KUPANG,AMARASI TIMUR,RABEKA,horticulture,450,-10.18139059444339,124.0535153043256,True,3566.2,3566.2,21.072,Gardu Induk Naibonat,0.12603
137,KUPANG,AMFOANG BARAT DAYA,BIOBA BARUTAEN,rice,199,,,False,,3246.8,,,0.05573
138,KUPANG,AMFOANG BARAT DAYA,LETKOLE,rice,192,-9.677046119530129,123.7946963081708,True,1851.3,1851.3,49.604,Gardu Induk Naibonat,0.05377
139,KUPANG,AMFOANG BARAT DAYA,MANUBELON,rice,669,-9.6871051954843,123.7196057833776,True,2072.1,2072.1,50.783,Gardu Induk Naibonat,0.18736
140,KUPANG,AMFOANG BARAT DAYA,NEFONEUT,rice,129,-9.73789214945535,123.7818428603139,True,1351.9,1351.9,43.215,Gardu Induk Naibonat,0.03613
141,KUPANG,AMFOANG BARAT LAUT,FAUMES,rice,288,-9.631378864905631,123.8450773010944,True,623.0,623.0,53.608,Gardu Induk Nonohonis,0.08066
142,KUPANG,AMFOANG BARAT LAUT,HONUK,rice,395,-9.588132990771502,123.8820239526761,True,678.2,678.2,52.092,Gardu Induk Nonohonis,0.11063
143,KUPANG,AMFOANG BARAT LAUT,OELFATU,rice,512,-9.575012057914066,123.7720183800842,True,2204.7,2204.7,61.395,Gardu Induk Naibonat,0.14339
144,KUPANG,AMFOANG BARAT LAUT,SAUKIBE,rice,384,-9.62010711249906,123.7802252555251,True,3031.6,3031.6,56.223,Gardu Induk Naibonat,0.10755
145,KUPANG,AMFOANG BARAT LAUT,SOLIU,rice,391,-9.612827964625286,123.7379989073645,True,1925.0,1925.0,58.124,Gardu Induk Naibonat,0.10951
146,KUPANG,AMFOANG BARAT LAUT,TIMAU,rice,344,-9.594161579640172,123.7892461221388,True,2711.6,2711.6,58.919,Gardu Induk Naibonat,0.09634
147,KUPANG,AMFOANG SELATAN,FATUMETAN,rice,150,-9.752769603572949,123.905057372066,True,2920.2,2920.2,40.245,Gardu Induk Naibonat,0.04201
148,KUPANG,AMFOANG SELATAN,FATUSUKI,rice,143,-9.782832799980328,123.8510369215714,True,1378.3,1378.3,36.885,Gardu Induk Naibonat,0.04005
149,KUPANG,AMFOANG SELATAN,LELOBOKO,rice,283,-9.67221559906568,123.9222618732908,True,1714.2,1714.2,43.906,Gardu Induk Nonohonis,0.07926
150,KUPANG,AMFOANG SELATAN,LELOGAMA,rice,544,-9.70285377070369,123.9562681466401,True,3004.7,3004.7,39.145,Gardu Induk Nonohonis,0.15236
151,KUPANG,AMFOANG SELATAN,OELBANU,rice,325,-9.700784796579656,123.8589828967674,True,1598.2,1598.2,46.073,Gardu Induk Naibonat,0.09102
152,KUPANG,AMFOANG SELATAN,OHAEM I,rice,486,,,False,,3246.8,,,0.13611
153,KUPANG,AMFOANG SELATAN,OHAEM II,rice,203,,,False,,3246.8,,,0.05685
154,KUPANG,AMFOANG TENGAH,BINAFUN,rice,331,-9.67170445235194,124.0576313138876,True,3299.9,3299.9,30.475,Gardu Induk Nonohonis,0.0927
155,KUPANG,AMFOANG TENGAH,BITOBE,rice,405,-9.58122354664954,123.9977420387837,True,2648.4,2648.4,41.896,Gardu Induk Nonohonis,0.11343
156,KUPANG,AMFOANG TENGAH,BONMUTI,rice,259,-9.554970283031968,124.0823224036268,True,1868.1,1868.1,37.436,Gardu Induk Nonohonis,0.07254
157,KUPANG,AMFOANG TENGAH,FATUMONAS,rice,517,-9.69447901393796,124.0215593969569,True,3133.7,3133.7,32.76,Gardu Induk Nonohonis,0.14479
158,KUPANG,AMFOANG TIMUR,KIFU,rice,270,-9.434475804950472,124.017128322366,True,2838.7,2838.7,52.696,Gardu Induk Nonohonis,0.07562
159,KUPANG,AMFOANG TIMUR,NETEMNANU,rice,234,-9.462597433896882,124.125556823736,True,2143.0,2143.0,41.746,Gardu Induk Kefamenanu,0.06554
160,KUPANG,AMFOANG TIMUR,NETEMNANU SELATAN,rice,570,-9.374393512548483,124.0220079515875,True,3277.0,3277.0,55.474,Gardu Induk Kefamenanu,0.15964
