Village,Cost_per_yr,Max_Connect_MW
1,27514,0.3781
2,15949,1.1536
3,9598,1.1481
4,11000,0.5306
5,9232,0.5974
6,27514,0.5251
7,8131,0.489
8,2493,0.9666
9,16623,0.9318
10,12252,0.5411
11,9041,0.9003
12,11995,0.3873
13,7595,0.3644
14,27514,0.2802
15,17386,0.2386
16,15477,0.6692
17,24791,0.3047
18,12509,0.1769
19,67246,0.2768
20,85969,0.0605
21,82336,0.2269
22,88574,0.1613
23,27514,0.1559
24,80973,0.0916
25,90939,0.0668
26,91300,0.1869
27,56219,0.171
28,63557,0.1269
29,74942,0.0903
30,94731,0.0693
31,88881,0.1411
32,79453,0.2117
33,73303,0.1252
34,83214,0.1008
35,67991,0.1033
36,60081,0.0605
37,62322,0.1059
38,53432,0.2163
39,27514,0.097
40,47889,0.087
41,46375,0.0941
42,27514,0.1059
43,71842,0.1861
44,63115,0.1458
45,74667,0.1105
46,59876,0.1491
47,27514,0.1542
48,80867,0.1495
49,70553,0.2726
50,66339,0.3201
51,81164,0.2008
52,74905,0.2184
53,90313,0.1874
54,82572,0.1722
55,84378,0.2815
56,82888,0.2176
57,68485,0.2361
58,82811,0.3378
59,77761,0.1067
60,76868,0.5764
61,72084,0.076
62,47468,0.3907
63,27514,0.1542
64,62231,0.1441
65,47428,0.0706
66,30026,0.61
67,57081,0.4924
68,59964,0.2483
69,21667,0.4697
70,37300,0.0861
71,40307,0.2025
72,27514,0.1756
73,45643,0.1344
74,28371,0.97
75,27514,0.2084
76,38117,0.0937
77,34046,0.4293
78,49422,0.1361
79,30116,0.0903
80,24573,0.147
81,24040,0.2281
