# developable solar land per village, derived from usable_land_ntt.shp
# region=Belu excluded_classes=Settlement Area mwp_per_km2=50 max_radius_km=10
# nearest-village allocation; land beyond the radius (0.0 km²) is not attributed to any village
Village,developable_km2,developable_MW,source
1,0.0,498.09,fallback
2,11.6261,581.3,sited
3,10.3676,518.38,sited
4,10.0125,500.63,sited
5,11.266,563.3,sited
6,0.0,498.09,fallback
7,10.7785,538.92,sited
8,11.4295,571.47,sited
9,15.5209,776.05,sited
10,14.0621,703.1,sited
11,11.6946,584.73,sited
12,12.754,637.7,sited
13,7.2785,363.93,sited
14,0.0,498.09,fallback
15,8.2081,410.4,sited
16,9.2844,464.22,sited
17,6.3215,316.07,sited
18,9.7839,489.19,sited
19,13.4964,674.82,sited
20,7.6267,381.33,sited
21,8.766,438.3,sited
22,6.8439,342.19,sited
23,0.0,498.09,fallback
24,9.4723,473.61,sited
25,5.7061,285.31,sited
26,5.37,268.5,sited
27,12.062,603.1,sited
28,9.9619,498.09,sited
29,10.7429,537.14,sited
30,4.7052,235.26,sited
31,6.2583,312.91,sited
32,7.9657,398.29,sited
33,7.917,395.85,sited
34,8.1467,407.34,sited
35,9.5373,476.87,sited
36,8.5215,426.08,sited
37,10.7176,535.88,sited
38,8.774,438.7,sited
39,0.0,498.09,fallback
40,9.8852,494.26,sited
41,7.379,368.95,sited
42,0.0,498.09,fallback
43,16.6351,831.75,sited
44,15.5995,779.98,sited
45,13.3775,668.87,sited
46,18.9393,946.96,sited
47,0.0,498.09,fallback
48,13.7879,689.4,sited
49,9.2747,463.74,sited
50,13.9311,696.56,sited
51,14.4065,720.33,sited
52,10.025,501.25,sited
53,9.6594,482.97,sited
54,5.7661,288.31,sited
55,8.8652,443.26,sited
56,7.4334,371.67,sited
57,7.4228,371.14,sited
58,4.7393,236.97,sited
59,8.5432,427.16,sited
60,5.3996,269.98,sited
61,10.7466,537.33,sited
62,19.7477,987.39,sited
63,0.0,498.09,fallback
64,19.9813,999.07,sited
65,16.4046,820.23,sited
66,18.6775,933.88,sited
67,18.341,917.05,sited
68,14.7941,739.71,sited
69,13.7032,685.16,sited
70,9.488,474.4,sited
71,13.1929,659.65,sited
72,0.0,498.09,fallback
73,11.1089,555.45,sited
74,12.3131,615.66,sited
75,0.0,498.09,fallback
76,7.802,390.1,sited
77,4.0395,201.97,sited
78,11.4123,570.62,sited
79,20.6808,1034.04,sited
80,6.0735,303.68,sited
81,9.2247,461.24,sited
