R_ID,Zone,Village,Resource,technology,owner,Existing_Cap_MW,Existing_Cap_MWh,New_Build,Max_Cap_MW,Inv_Cost_per_MWyr,Inv_Cost_per_MWhyr,Fixed_OM_Cost_per_MWyr,Fixed_OM_Cost_per_MWhyr,Var_OM_Cost_per_MWh,Min_Power_MW,Ramp_Up_Percentage,Ramp_Dn_Percentage,Commit,Start_Cost_per_MW,Start_Fuel_MMBTU_per_MW,Heat_Rate_MMBTU_per_MWh,Fuel,Up_Time,Down_Time,Eff_Up,Eff_Down,STOR,VRE,RE,THERM
1,2,1,pltd_amfoang,diesel,village_coop,0.4,0,0,0,0,0,18000,0,8,0.3,1.0,1.0,1,30,0.3,10.5,diesel,1,1,1,1,0,0,0,1
2,2,1,plts_amfoang,solar,village_coop,0.0,0,1,0,75000,0,9000,0,0,0,1,1,0,0,0,0,None,0,0,1,1,0,1,1,0
3,2,1,batt_amfoang,battery,village_coop,0,0,1,0,30000,18000,5000,2000,1,0,1,1,0,0,0,0,None,0,0,0.92,0.92,1,0,0,0
4,2,2,pltd_boking,diesel,village_coop,0.25,0,0,0,0,0,18000,0,8,0.3,1.0,1.0,1,30,0.3,10.5,diesel,1,1,1,1,0,0,0,1
5,2,2,plts_boking,solar,village_coop,0.0,0,1,0,75000,0,9000,0,0,0,1,1,0,0,0,0,None,0,0,1,1,0,1,1,0
6,2,2,batt_boking,battery,village_coop,0,0,1,0,30000,18000,5000,2000,1,0,1,1,0,0,0,0,None,0,0,0.92,0.92,1,0,0,0
7,2,3,pltd_raijua,diesel,village_coop,0.15,0,0,0,0,0,18000,0,8,0.3,1.0,1.0,1,30,0.3,10.5,diesel,1,1,1,1,0,0,0,1
8,2,3,plts_raijua,solar,village_coop,0.0,0,1,0,75000,0,9000,0,0,0,1,1,0,0,0,0,None,0,0,1,1,0,1,1,0
9,2,3,batt_raijua,battery,village_coop,0,0,1,0,30000,18000,5000,2000,1,0,1,1,0,0,0,0,None,0,0,0.92,0.92,1,0,0,0
10,2,4,pltd_wini,diesel,village_coop,0.5,0,0,0,0,0,18000,0,8,0.3,1.0,1.0,1,30,0.3,10.5,diesel,1,1,1,1,0,0,0,1
11,2,4,plts_wini,solar,village_coop,0.0,0,1,0,75000,0,9000,0,0,0,1,1,0,0,0,0,None,0,0,1,1,0,1,1,0
12,2,4,batt_wini,battery,village_coop,0,0,1,0,30000,18000,5000,2000,1,0,1,1,0,0,0,0,None,0,0,0.92,0.92,1,0,0,0
