Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,corresponding_week,r_id,month,day,hour,date,demand_z1,demand_z2,demand_z3,demand_z4,demand_z5,demand_z6,demand_z7
2000,1,1,1,2000,8,168,2022,24,1,6,11,1,2023-06-10T23:40:00+08:00,6972,4607,10938,5877,773,8382,1433
,2,0.9,0.04,1800,,,505,3,2,6,11,2,2023-06-11T00:40:00+08:00,6688,4420,10493,5638,742,8041,1375
,3,0.55,0.024,1100,,,168,4,3,6,11,3,2023-06-11T01:40:00+08:00,6457,4268,10131,5443,716,7763,1327
,4,0.2,0.003,400,,,2527,45,4,6,11,4,2023-06-11T02:40:00+08:00,6206,4101,9737,5232,689,7461,1276
,,,,,,,1516,8,5,6,11,5,2023-06-11T03:40:00+08:00,6016,3976,9438,5072,668,7233,1237
,,,,,,,842,46,6,6,11,6,2023-06-11T04:40:00+08:00,5846,3863,9171,4928,649,7029,1202
,,,,,,,337,39,7,6,11,7,2023-06-11T05:40:00+08:00,5776,3817,9062,4869,641,6945,1187
,,,,,,,843,5,8,6,11,8,2023-06-11T06:40:00+08:00,5730,3786,8989,4830,636,6889,1178
,,,,,,,,,9,6,11,9,2023-06-11T07:40:00+08:00,5290,3496,8300,4460,587,6360,1088
,,,,,,,,,10,6,11,10,2023-06-11T08:40:00+08:00,5421,3583,8504,4570,601,6518,1114
,,,,,,,,,11,6,11,11,2023-06-11T09:40:00+08:00,5640,3727,8849,4754,626,6781,1160
,,,,,,,,,12,6,11,12,2023-06-11T10:40:00+08:00,5873,3881,9214,4951,652,7061,1207
,,,,,,,,,13,6,11,13,2023-06-11T11:40:00+08:00,5971,3945,9367,5033,663,7178,1228
,,,,,,,,,14,6,11,14,2023-06-11T12:40:00+08:00,5967,3943,9362,5030,663,7174,1227
,,,,,,,,,15,6,11,15,2023-06-11T13:40:00+08:00,6149,4063,9646,5183,683,7392,1264
,,,,,,,,,16,6,11,16,2023-06-11T14:40:00+08:00,6271,4143,9837,5286,696,7539,1289
,,,,,,,,,17,6,11,17,2023-06-11T15:40:00+08:00,6474,4278,10157,5458,718,7784,1330
,,,,,,,,,18,6,11,18,2023-06-11T16:40:00+08:00,6549,4328,10275,5521,727,7874,1346
,,,,,,,,,19,6,11,19,2023-06-11T17:40:00+08:00,6358,4202,9976,5360,706,7645,1307
,,,,,,,,,20,6,11,20,2023-06-11T18:40:00+08:00,6377,4214,10004,5375,708,7667,1311
,,,,,,,,,21,6,11,21,2023-06-11T19:40:00+08:00,7031,4646,11031,5927,781,8454,1445
,,,,,,,,,22,6,11,22,2023-06-11T20:40:00+08:00,7228,4777,11341,6094,802,8691,1486
,,,,,,,,,23,6,11,23,2023-06-11T21:40:00+08:00,7234,4780,11348,6097,803,8696,1488
,,,,,,,,,24,6,11,24,2023-06-11T22:40:00+08:00,7118,4704,11167,6001,790,8557,1463
,,,,,,,,,25,6,12,1,2023-06-11T23:40:00+08:00,6876,4544,10788,5796,763,8267,1413
,,,,,,,,,26,6,12,2,2023-06-12T00:40:00+08:00,6533,4317,10249,5507,725,7854,1343
,,,,,,,,,27,6,12,3,2023-06-12T01:40:00+08:00,6223,4113,9763,5246,691,7482,1280
