ID,Resource,Zone,technology,owner,Total_MW,Start_MW,Change_in_MW,Percent_MW,GWh,Percent_GWh,STOR,VRE,THERM,New_Build
1,pltgu_muara_karang_blok_1__2_,1,ccgt,pln,0.0,1074.0,-1074.0,0.0,0.0,0.0,0,0,1,-1
2,pltu_muara_karan_4_5_,1,coal,pln,0.0,324.0,-324.0,0.0,0.0,0.0,0,0,1,-1
3,pltgu_muara_karang_blok_3_gt,1,ccgt,pln,0.0,300.0,-300.0,0.0,0.0,0.0,0,0,1,-1
4,pltd_senayan,1,diesel,pln,0.0,100.0,-100.0,0.0,0.0,0.0,0,0,1,-1
5,pltgu_priok_blok_1_2__3,1,ccgt,pln,0.0,1815.0,-1815.0,0.0,0.0,0.0,0,0,1,-1
6,pltgu_jawa2,1,ccgt,pln,0.0,600.0,-600.0,0.0,0.0,0.0,0,0,1,-1
7,pltu_ipp_lbe,2,coal,ipp,0.0,625.0,-625.0,0.0,0.0,0.0,0,0,1,-1
8,pltu_suralaya_18,2,coal,pln,0.0,3802.0,-3802.0,0.0,0.0,0.0,0,0,1,-1
9,pltu_jawa7,2,coal,pln,0.0,1882.0,-1882.0,0.0,0.0,0.0,0,0,1,-1
10,pltgu_cilegon,2,ccgt,pln,0.0,660.0,-660.0,0.0,0.0,0.0,0,0,1,-1
11,pltu_lontar_13,2,coal,pln,0.0,30.0,-30.0,0.0,0.0,0.0,0,0,1,-1
12,pltu_labuhan_12,2,coal,pln,0.0,560.0,-560.0,0.0,0.0,0.0,0,0,1,-1
13,pltgu_muara_tawar_blok_1__5,3,ccgt,pln,0.0,829.0,-829.0,0.0,0.0,0.0,0,0,1,-1
14,pltg_muara_tawar_blok_2_3_4,3,gas,pln,0.0,1114.0,-1114.0,0.0,0.0,0.0,0,0,1,-1
15,plta_cirata_18,3,hydropower,pln,984.0,984.0,0.0,2.183173588924388,1322.496,2.7730463441503717,0,0,0,-1
16,plta_saguling_14,3,hydropower,pln,698.0,698.0,0.0,1.5486332978345758,469.056,0.9835296484842273,0,0,0,-1
17,plta_ipp_jatiluhur,3,hydropower,ipp,180.0,180.0,0.0,0.3993610223642172,120.96,0.2536322875747291,0,0,0,-1
18,pltg_ipp_cikarang_listrindo,3,gas,ipp,0.0,150.0,-150.0,0.0,0.0,0.0,0,0,1,-1
19,pltgu_ipp_bekasi_power,3,ccgt,ipp,0.0,119.0,-119.0,0.0,0.0,0.0,0,0,1,-1
