ID,Resource,Zone,technology,Total_MW,Start_MW,Change_in_MW,Electricity_GWh,commodity,plant_owner,owner_parent_company,owner_home_country_flag
1,asahimas_chemical_power_station_unit_1,2,coal_captive,0.0,150.0,-150.0,0.0,chemicals,pt_asahimas_chemical,agc_inc_525_ableman_finance_18_rodamas_18_mitsubishi_corporation_energy_solutions_115,japan_indonesia
2,asahimas_chemical_power_station_unit_2,2,coal_captive,0.0,303.0,-303.0,0.0,chemicals,pt_asahimas_chemical,agc_inc_525_ableman_finance_18_rodamas_18_mitsubishi_corporation_energy_solutions_115,japan_indonesia
3,asahimas_chemical_power_station_geothermal,2,geothermal,0.0,344.317985,-344.317985,0.0,,,,
4,asahimas_chemical_power_station_geothermal,2,geothermal,0.0,5635.53771,-5635.53771,0.0,,,,
5,asahimas_chemical_power_station_geothermal,2,geothermal,0.0,340.500439,-340.500439,0.0,,,,
6,asahimas_chemical_power_station_geothermal,2,geothermal,0.0,401.715956,-401.715956,0.0,,,,
7,asahimas_chemical_power_station_geothermal,2,geothermal,0.0,439.986712,-439.986712,0.0,,,,
8,asahimas_chemical_power_station_solar,2,solar,0.0,344.376764,-344.376764,0.0,,,,
9,asahimas_chemical_power_station_solar,2,solar,0.0,10316.54992,-10316.54992,0.0,,,,
10,asahimas_chemical_power_station_solar,2,solar,0.0,803.429662,-803.429662,0.0,,,,
11,asahimas_chemical_power_station_solar,2,solar,0.0,64.580689,-64.580689,0.0,,,,
12,asahimas_chemical_power_station_solar,2,solar,0.0,1055.96811,-1055.96811,0.0,,,,
13,cemindo_gemilang_power_station_unit_1,2,coal_captive,0.0,60.0,-60.0,0.0,cement,pt_cemindo_gemilang,wh_investments_pte_ltd_873_pemegang_saham_1263,singapore_indonesia
14,cemindo_gemilang_power_station_geothermal,2,geothermal,0.0,255.874894,-255.874894,0.0,,,,
15,cemindo_gemilang_power_station_geothermal,2,geothermal,0.0,3066.939257,-3066.939257,0.0,,,,
16,cemindo_gemilang_power_station_geothermal,2,geothermal,0.0,74.472756,-74.472756,0.0,,,,
17,cemindo_gemilang_power_station_geothermal,2,geothermal,0.0,139.40282,-139.40282,0.0,,,,
18,cemindo_gemilang_power_station_geothermal,2,geothermal,0.0,139.401765,-139.401765,0.0,,,,
19,cemindo_gemilang_power_station_solar,2,solar,0.0,614.099745,-614.099745,0.0,,,,
20,cemindo_gemilang_power_station_solar,2,solar,0.0,6920.633272,-6920.633272,0.0,,,,
21,cemindo_gemilang_power_station_solar,2,solar,0.0,178.734615,-178.734615,0.0,,,,
22,cemindo_gemilang_power_station_solar,2,solar,0.0,22.779537,-22.779537,0.0,,,,
23,cemindo_gemilang_power_station_solar,2,solar,0.0,334.564236,-334.564236,0.0,,,,
24,cilegon_ptip_power_station_unit_1,2,coal_captive,0.0,40.0,-40.0,0.0,chemicals,pt_indorama_petrochemicals,indorama_ventures_europe_bv,netherlands
25,cilegon_ptip_power_station_geothermal,2,geothermal,0.0,344.317985,-344.317985,0.0,,,,
26,cilegon_ptip_power_station_geothermal,2,geothermal,0.0,5652.756373,-5652.756373,0.0,,,,
27,cilegon_ptip_power_station_geothermal,2,geothermal,0.0,340.500439,-340.500439,0.0,,,,
28,cilegon_ptip_power_station_geothermal,2,geothermal,0.0,407.455521,-407.455521,0.0,,,,
29,cilegon_ptip_power_station_geothermal,2,geothermal,0.0,439.986712,-439.986712,0.0,,,,
30,cilegon_ptip_power_station_solar,2,solar,0.0,344.376764,-344.376764,0.0,,,,
31,cilegon_ptip_power_station_solar,2,solar,0.0,10357.87471,-10357.87471,0.0,,,,
32,cilegon_ptip_power_station_solar,2,solar,0.0,803.429662,-803.429662,0.0,,,,
33,cilegon_ptip_power_station_solar,2,solar,0.0,65.465003,-65.465003,0.0,,,,
34,cilegon_ptip_power_station_solar,2,solar,0.0,1055.96811,-1055.96811,0.0,,,,
35,dss_serang_power_station_unit_1,2,coal_captive,0.0,35.0,-35.0,0.0,pulp_paper,pt_dian_swastatika_sentosa_tbk,sinar_mas_group_599,indonesia
36,dss_serang_power_station_unit_2,2,coal_captive,0.0,35.0,-35.0,0.0,pulp_paper,pt_dian_swastatika_sentosa_tbk,sinar_mas_group_599,indonesia
37,dss_serang_power_station_unit_3,2,coal_captive,0.0,35.0,-35.0,0.0,pulp_paper,pt_dian_swastatika_sentosa_tbk,sinar_mas_group_599,indonesia
38,dss_serang_power_station_unit_4,2,coal_captive,0.0,70.0,-70.0,0.0,pulp_paper,pt_dian_swastatika_sentosa_tbk,sinar_mas_group_599,indonesia
39,dss_serang_power_station_geothermal,2,geothermal,0.0,6042.848192,-6042.848192,0.0,,,,
40,dss_serang_power_station_geothermal,2,geothermal,0.0,2683.228819,-2683.228819,0.0,,,,
41,dss_serang_power_station_geothermal,2,geothermal,0.0,2627.982416,-2627.982416,0.0,,,,
42,dss_serang_power_station_geothermal,2,geothermal,0.0,1270.109778,-1270.109778,0.0,,,,
43,dss_serang_power_station_solar,2,solar,0.0,14401.86744,-14401.86744,0.0,,,,
44,dss_serang_power_station_solar,2,solar,0.0,6439.749167,-6439.749167,0.0,,,,
45,dss_serang_power_station_solar,2,solar,0.0,414.526139,-414.526139,0.0,,,,
46,dss_serang_power_station_solar,2,solar,0.0,3048.263467,-3048.263467,0.0,,,,
47,pt_indocoke_industry,2,coal_captive,0.0,15.0,-15.0,0.0,coke,pt_indocoke_industry,pt_indocoke_industry,indonesia
48,pt_indocoke_industry_geothermal,2,geothermal,0.0,363.444426,-363.444426,0.0,,,,
49,pt_indocoke_industry_geothermal,2,geothermal,0.0,5652.753533,-5652.753533,0.0,,,,
50,pt_indocoke_industry_geothermal,2,geothermal,0.0,342.41342,-342.41342,0.0,,,,
51,pt_indocoke_industry_geothermal,2,geothermal,0.0,401.715956,-401.715956,0.0,,,,
52,pt_indocoke_industry_geothermal,2,geothermal,0.0,439.986712,-439.986712,0.0,,,,
53,pt_indocoke_industry_solar,2,solar,0.0,344.376764,-344.376764,0.0,,,,
54,pt_indocoke_industry_solar,2,solar,0.0,10334.91637,-10334.91637,0.0,,,,
55,pt_indocoke_industry_solar,2,solar,0.0,808.020816,-808.020816,0.0,,,,
56,pt_indocoke_industry_solar,2,solar,0.0,64.818771,-64.818771,0.0,,,,
57,pt_indocoke_industry_solar,2,solar,0.0,1055.96811,-1055.96811,0.0,,,,
58,pt_permata_dunia_sukses_utama,2,coal_captive,0.0,21.0,-21.0,0.0,sugar,pt_permata_dunia_sukses_utama,fks_food_and_agri_pte_ltd,singapore
59,pt_permata_dunia_sukses_utama_geothermal,2,geothermal,0.0,355.796264,-355.796264,0.0,,,,
60,pt_permata_dunia_sukses_utama_geothermal,2,geothermal,0.0,5650.846727,-5650.846727,0.0,,,,
61,pt_permata_dunia_sukses_utama_geothermal,2,geothermal,0.0,443.807494,-443.807494,0.0,,,,
62,pt_permata_dunia_sukses_utama_geothermal,2,geothermal,0.0,585.363407,-585.363407,0.0,,,,
63,pt_permata_dunia_sukses_utama_geothermal,2,geothermal,0.0,420.859928,-420.859928,0.0,,,,
64,pt_permata_dunia_sukses_utama_solar,2,solar,0.0,362.743546,-362.743546,0.0,,,,
65,pt_permata_dunia_sukses_utama_solar,2,solar,0.0,10220.16683,-10220.16683,0.0,,,,
66,pt_permata_dunia_sukses_utama_solar,2,solar,0.0,1065.137987,-1065.137987,0.0,,,,
67,pt_permata_dunia_sukses_utama_solar,2,solar,0.0,98.657246,-98.657246,0.0,,,,
68,pt_permata_dunia_sukses_utama_solar,2,solar,0.0,1010.063827,-1010.063827,0.0,,,,
69,pt_sentra_usahatama_jaya,2,coal_captive,0.0,22.0,-22.0,0.0,sugar,pt_sentra_usahatama_jaya,pt_sumbermas_mulyalestari,indonesia
70,pt_sentra_usahatama_jaya_geothermal,2,geothermal,0.0,348.143438,-348.143438,0.0,,,,
71,pt_sentra_usahatama_jaya_geothermal,2,geothermal,0.0,5652.759303,-5652.759303,0.0,,,,
72,pt_sentra_usahatama_jaya_geothermal,2,geothermal,0.0,403.636059,-403.636059,0.0,,,,
73,pt_sentra_usahatama_jaya_geothermal,2,geothermal,0.0,583.450203,-583.450203,0.0,,,,
74,pt_sentra_usahatama_jaya_geothermal,2,geothermal,0.0,422.771801,-422.771801,0.0,,,,
75,pt_sentra_usahatama_jaya_solar,2,solar,0.0,344.376764,-344.376764,0.0,,,,
76,pt_sentra_usahatama_jaya_solar,2,solar,0.0,10224.75701,-10224.75701,0.0,,,,
77,pt_sentra_usahatama_jaya_solar,2,solar,0.0,968.726542,-968.726542,0.0,,,,
