ID,Resource,Zone,technology,GWh
1,asahimas_chemical_power_station_unit_1,2,coal_captive,0.0
2,asahimas_chemical_power_station_unit_2,2,coal_captive,0.0
13,cemindo_gemilang_power_station_unit_1,2,coal_captive,0.0
24,cilegon_ptip_power_station_unit_1,2,coal_captive,0.0
35,dss_serang_power_station_unit_1,2,coal_captive,0.0
36,dss_serang_power_station_unit_2,2,coal_captive,0.0
37,dss_serang_power_station_unit_3,2,coal_captive,0.0
38,dss_serang_power_station_unit_4,2,coal_captive,0.0
47,pt_indocoke_industry,2,coal_captive,0.0
58,pt_permata_dunia_sukses_utama,2,coal_captive,0.0
69,pt_sentra_usahatama_jaya,2,coal_captive,0.0
80,pt_angels_products,2,coal_captive,0.0
91,pt_berkah_manis_makmur,2,coal_captive,0.0
100,pt_chandra_asri_petrochemical_tbk,2,coal_captive,0.0
110,pt_dian_swastatika_sentosa_tangerang_power_plant,2,coal_captive,0.0
119,bandung_indosyntec_power_station_unit_1,3,coal_captive,0.0
124,fajar_power_station_unit_1,3,coal_captive,0.0
133,indo_bharat_rayon_power_station_unit_1,3,coal_captive,0.0
138,pindodeliii_power_station_unit_1,3,coal_captive,0.0
139,pindodeliii_power_station_unit_2,3,coal_captive,0.0
150,purwakarta_indorama_power_station_unit_1,3,coal_captive,0.0
151,purwakarta_indorama_power_station_unit_2,3,coal_captive,0.0
156,pt_south_pasific_viscose,3,coal_captive,0.0
161,pt_aspek_kumbong,3,coal_captive,0.0
164,pt_pura_grouppt_pura_unit_tss,4,coal_captive,0.0
173,pt_rayon_utama_makmur,4,coal_captive,0.0
178,tjiwi_kimia_paper_mill_power_station_unit_1,6,coal_captive,0.0
179,tjiwi_kimia_paper_mill_power_station_unit_2,6,coal_captive,0.0
180,tjiwi_kimia_paper_mill_power_station_unit_3,6,coal_captive,0.0
181,tjiwi_kimia_paper_mill_power_station_unit_4,6,coal_captive,0.0
