Segment,Zone,NSE_Price,Max_NSE_MW,Total_NSE_MWh,NSE_Percent_of_Demand
1.0,1.0,2000.0,55.980000000000004,68967.36000000003,0.1446126759655248
1.0,2.0,2000.0,2.799,3761.8560000000057,0.007887964143574087
1.0,3.0,2000.0,4.665,5851.776000000007,0.012270166445559687
1.0,4.0,2000.0,26.124,35110.65600000001,0.07362099867335806
1.0,5.0,2000.0,0.0,0.0,0.0
1.0,6.0,2000.0,2.799,3343.8720000000058,0.007011523683176968
1.0,7.0,2000.0,2.799,3343.8720000000058,0.007011523683176968
1.0,8.0,2000.0,1.8659999999999999,2298.912000000002,0.004820422532184162
1.0,9.0,2000.0,1.8659999999999999,2507.9040000000027,0.005258642762382723
1.0,10.0,2000.0,2.799,3134.8800000000056,0.006573303452978407
1.0,11.0,2000.0,2.799,3761.8560000000057,0.007887964143574087
1.0,12.0,2000.0,34.52100000000001,46396.224000000046,0.09728489110408035
1.0,13.0,2000.0,1.8659999999999999,2507.9040000000027,0.005258642762382723
1.0,14.0,2000.0,0.0,0.0,0.0
1.0,15.0,2000.0,2.799,3030.3840000000055,0.006354193337879127
1.0,16.0,2000.0,9.33,12539.520000000013,0.02629321381191361
1.0,17.0,2000.0,3.7319999999999998,3866.3520000000044,0.008107074258673365
1.0,18.0,2000.0,13.062,17555.328000000005,0.03681049933667903
1.0,19.0,2000.0,5.598,6060.768000000011,0.012708386675758254
1.0,20.0,2000.0,0.0,0.0,0.0
1.0,21.0,2000.0,4.665,6269.760000000007,0.013146606905956804
2.0,1.0,1800.0,2.4,2956.8000000000043,0.006199900362937832
2.0,2.0,1800.0,0.12,161.27999999999994,0.000338176383432972
2.0,3.0,1800.0,0.2,250.87999999999977,0.000526052152006845
2.0,4.0,1800.0,1.12,1505.280000000001,0.0031563129120410756
2.0,5.0,1800.0,0.0,0.0,0.0
2.0,6.0,1800.0,0.12,143.36,0.0003006012297181975
2.0,7.0,1800.0,0.12,143.36,0.0003006012297181975
2.0,8.0,1800.0,0.08,98.56000000000003,0.00020666334543126085
2.0,9.0,1800.0,0.08,107.52000000000004,0.00022545092228864818
2.0,10.0,1800.0,0.12,134.40000000000003,0.0002818136528608102
2.0,11.0,1800.0,0.12,161.27999999999994,0.000338176383432972
2.0,12.0,1800.0,1.48,1989.1200000000017,0.0041708420623399935
2.0,13.0,1800.0,0.08,107.52000000000004,0.00022545092228864818
2.0,14.0,1800.0,0.0,0.0,0.0
2.0,15.0,1800.0,0.12,129.92000000000004,0.0002724198644321165
2.0,16.0,1800.0,0.4,537.5999999999989,0.0011272546114432381
2.0,17.0,1800.0,0.16,165.7600000000001,0.000347570171861666
2.0,18.0,1800.0,0.56,752.6400000000006,0.0015781564560205378
2.0,19.0,1800.0,0.24,259.8400000000001,0.000544839728864233
2.0,20.0,1800.0,0.0,0.0,0.0
2.0,21.0,1800.0,0.2,268.79999999999944,0.0005636273057216191
3.0,1.0,1100.0,1.44,1774.0799999999992,0.003719940217762692
3.0,2.0,1100.0,0.07200000000000001,96.7680000000001,0.00020290583005978352
3.0,3.0,1100.0,0.12,150.52800000000002,0.0003156312912041074
3.0,4.0,1100.0,0.672,903.1679999999989,0.0018937877472246416
3.0,5.0,1100.0,0.0,0.0,0.0
3.0,6.0,1100.0,0.07200000000000001,86.01600000000008,0.00018036073783091864
3.0,7.0,1100.0,0.07200000000000001,86.01600000000008,0.00018036073783091864
3.0,8.0,1100.0,0.048,59.13600000000002,0.00012399800725875648
