Segment,Zone,NSE_Price,Max_NSE_MW,Total_NSE_MWh,NSE_Percent_of_Demand
1.0,1.0,2000.0,7457.213000000001,7.860801477e6,16.482746864933194
1.0,2.0,2000.0,3706.1910000000007,3.3974026748e6,7.123768288872583
1.0,3.0,2000.0,5949.617999999996,4.4609823375999965e6,9.353911665971806
1.0,4.0,2000.0,1317.7530000000008,127341.9335088006,0.2670141030094754
1.0,6.0,2000.0,0.0,0.0,0.0
1.0,7.0,2000.0,0.0,0.0,0.0
1.0,5.0,2000.0,8771.193,9.191017957999997e6,19.271981728075023
2.0,1.0,1800.0,322.44,341166.56,0.7153675186574162
2.0,2.0,1800.0,213.08,225452.27999999997,0.4727346024746886
2.0,3.0,1800.0,505.84000000000003,535252.2799999999,1.12233184694105
2.0,4.0,1800.0,271.8,130270.11609600022,0.27315399758642583
2.0,6.0,1800.0,66.24,2757.7145349258512,0.0057824524303184835
2.0,7.0,1800.0,35.8,1402.62108127914,0.002941054839991471
2.0,5.0,1800.0,387.64,410173.24,0.8600626418910249
3.0,1.0,1100.0,193.464,204699.936,0.42922051119444976
3.0,2.0,1100.0,127.848,135271.36800000002,0.28364076148481326
3.0,3.0,1100.0,303.504,321151.368,0.6733991081646301
3.0,4.0,1100.0,163.08,141677.21535520005,0.29707272013687935
3.0,6.0,1100.0,39.768,5731.776,0.012018547112648235
3.0,7.0,1100.0,21.48,3093.984,0.006487551584322178
3.0,5.0,1100.0,232.584,246103.94400000002,0.516037585134615
4.0,1.0,400.0,24.183,25587.492,0.05365256389930622
4.0,2.0,400.0,15.981,16908.921000000002,0.03545509518560166
4.0,3.0,400.0,37.938,40143.921,0.08417488852057876
4.0,4.0,400.0,20.385,19250.064,0.04036406885152066
4.0,6.0,400.0,4.971,716.472,0.0015023183890810294
4.0,7.0,400.0,2.685,386.748,0.0008109439480402722
4.0,5.0,400.0,29.073,30762.993000000002,0.06450469814182687
