r_id,banten,banten,banten,banten,banten,banten,banten,banten,banten,banten,banten,banten,banten,banten,banten,banten,banten,banten,banten,banten,banten,banten,banten,banten,banten,banten,banten,banten,banten,banten,banten,banten,banten,banten,banten,banten,banten,banten,banten,banten,banten,banten,banten,banten,banten,banten,banten,banten,,,,,,,,,,banten,,,,,,,,,,,banten,banten,banten,banten,banten,banten,banten,banten,banten,banten,banten,banten,banten,banten,banten,banten,banten,banten,banten,banten,banten,banten,banten,banten,banten,banten,banten,banten,banten,banten,banten,banten,banten,banten,banten,banten,banten,banten,banten,banten,banten,banten,banten,banten,banten,banten,banten,banten,banten,banten,west_java,west_java,west_java,west_java,west_java,west_java,west_java,west_java,west_java,west_java,west_java,west_java,west_java,west_java,west_java,west_java,west_java,west_java,west_java,west_java,west_java,west_java,west_java,west_java,west_java,west_java,west_java,west_java,west_java,west_java,west_java,west_java,west_java,west_java,west_java,west_java,west_java,west_java,west_java,west_java,west_java,west_java,west_java,west_java,west_java,central_java,central_java,central_java,central_java,central_java,central_java,central_java,central_java,central_java,central_java,central_java,central_java,central_java,central_java,east_java,east_java,east_java,east_java
1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,1,0,0,1,1,1,1,1,0,0,0,0,1,1,1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,0,0,1,1,1,0,0,1,1,0,1,1,1,1,1,0,0,0,0,1,1,1,0,0,,,,
2,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,1,0,0,1,1,1,1,1,0,0,0,0,1,1,1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,0,0,1,1,1,0,0,1,1,0,1,1,1,1,1,0,0,0,0,1,1,1,0,0,,,,
3,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,1,0,0,1,1,1,1,1,0,0,0,0,1,1,1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,0,0,1,1,1,0,0,1,1,0,1,1,1,1,1,0,0,0,0,1,1,1,0,0,,,,
4,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,1,0,0,1,1,1,1,1,0,0,0,0,1,1,1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,0,0,1,1,1,0,0,1,1,0,1,1,1,1,1,0,0,0,0,1,1,1,0,0,,,,
5,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,1,0,0,1,1,1,1,1,0,0,0,0,1,1,1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,0,0,1,1,1,0,0,1,1,0,1,1,1,1,1,0,0,0,0,1,1,1,0,0,,,,
6,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,1,0,0,1,1,1,1,1,0,0,0,0,1,1,1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,0,0,1,1,1,0,0,1,1,0,1,1,1,1,1,0,0,0,0,1,1,1,0,0,,,,
7,1,1,1,1,1,1,1,0.037,0.037,0.037,0.037,0.037,1,1,1,1,1,1,0.037,0.037,0.037,0.037,0.037,1,1,1,1,1,1,0.037,0.037,0.037,0.037,0.037,1,1,1,1,1,1,1,1,0.037,0.037,0.037,0.037,1,1,1,1,1,1,0.037,0.037,0.037,0.037,0.037,1,1,1,1,1,1,0.037,0.037,0.037,0.037,0.037,1,1,1,1,1,1,0.037,0.037,0.037,0.037,0.037,1,1,1,1,1,1,0.037,0.037,0.037,0.037,0.037,1,1,1,1,1,0.037,0.037,0.037,0.037,1,1,1,1,1,1,0.037,0.037,0.037,0.037,1,1,1,1,1,0.037,0.037,0.037,0.037,1,1,1,0.062,0.062,1,1,1,1,1,0.062,0.062,0.062,0.062,1,1,1,0.062,0.062,1,1,1,1,1,1,1,0.062,0.062,0.062,0.062,0.062,1,1,1,1,0.062,0.062,1,1,1,0.062,0.062,1,1,0.062,1,1,1,1,1,0.077,0.077,0.077,0.077,1,1,1,0.077,0.077,,,,
8,1,1,1,1,1,1,1,0.206,0.206,0.206,0.206,0.206,1,1,1,1,1,1,0.206,0.206,0.206,0.206,0.206,1,1,1,1,1,1,0.206,0.206,0.206,0.206,0.206,1,1,1,1,1,1,1,1,0.206,0.206,0.206,0.206,1,1,1,1,1,1,0.206,0.206,0.206,0.206,0.206,1,1,1,1,1,1,0.206,0.206,0.206,0.206,0.206,1,1,1,1,1,1,0.206,0.206,0.206,0.206,0.206,1,1,1,1,1,1,0.206,0.206,0.206,0.206,0.206,1,1,1,1,1,0.206,0.206,0.206,0.206,1,1,1,1,1,1,0.206,0.206,0.206,0.206,1,1,1,1,1,0.206,0.206,0.206,0.206,1,1,1,0.248,0.248,1,1,1,1,1,0.248,0.248,0.248,0.248,1,1,1,0.248,0.248,1,1,1,1,1,1,1,0.248,0.248,0.248,0.248,0.248,1,1,1,1,0.248,0.248,1,1,1,0.248,0.248,1,1,0.248,1,1,1,1,1,0.262,0.262,0.262,0.262,1,1,1,0.262,0.262,,,,
9,1,1,1,1,1,1,1,0.41,0.41,0.41,0.41,0.41,1,1,1,1,1,1,0.41,0.41,0.41,0.41,0.41,1,1,1,1,1,1,0.41,0.41,0.41,0.41,0.41,1,1,1,1,1,1,1,1,0.41,0.41,0.41,0.41,1,1,1,1,1,1,0.41,0.41,0.41,0.41,0.41,1,1,1,1,1,1,0.41,0.41,0.41,0.41,0.41,1,1,1,1,1,1,0.41,0.41,0.41,0.41,0.41,1,1,1,1,1,1,0.41,0.41,0.41,0.41,0.41,1,1,1,1,1,0.41,0.41,0.41,0.41,1,1,1,1,1,1,0.41,0.41,0.41,0.41,1,1,1,1,1,0.41,0.41,0.41,0.41,1,1,1,0.489,0.489,1,1,1,1,1,0.489,0.489,0.489,0.489,1,1,1,0.489,0.489,1,1,1,1,1,1,1,0.489,0.489,0.489,0.489,0.489,1,1,1,1,0.489,0.489,1,1,1,0.489,0.489,1,1,0.489,1,1,1,1,1,0.482,0.482,0.482,0.482,1,1,1,0.482,0.482,,,,
10,1,1,1,1,1,1,1,0.559,0.559,0.559,0.559,0.559,1,1,1,1,1,1,0.559,0.559,0.559,0.559,0.559,1,1,1,1,1,1,0.559,0.559,0.559,0.559,0.559,1,1,1,1,1,1,1,1,0.559,0.559,0.559,0.559,1,1,1,1,1,1,0.559,0.559,0.559,0.559,0.559,1,1,1,1,1,1,0.559,0.559,0.559,0.559,0.559,1,1,1,1,1,1,0.559,0.559,0.559,0.559,0.559,1,1,1,1,1,1,0.559,0.559,0.559,0.559,0.559,1,1,1,1,1,0.559,0.559,0.559,0.559,1,1,1,1,1,1,0.559,0.559,0.559,0.559,1,1,1,1,1,0.559,0.559,0.559,0.559,1,1,1,0.636,0.636,1,1,1,1,1,0.636,0.636,0.636,0.636,1,1,1,0.636,0.636,1,1,1,1,1,1,1,0.636,0.636,0.636,0.636,0.636,1,1,1,1,0.636,0.636,1,1,1,0.636,0.636,1,1,0.636,1,1,1,1,1,0.593,0.593,0.593,0.593,1,1,1,0.593,0.593,,,,
