R_ID,Zone,System,Province,Resource,technology,Existing_Cap_MW,Existing_Cap_MWh,cod,status,owner,quota_allocation,New_Build,Inv_Cost_per_MWyr,Inv_Cost_per_MWhyr,capex_mw,Fixed_OM_Cost_per_MWyr,Fixed_OM_Cost_per_MWhyr,Var_OM_Cost_per_MWh,Max_Cap_MW,Min_Power_MW,Ramp_Up_Percentage,Ramp_Dn_Percentage,Commit,Start_Cost_per_MW,Start_Fuel_MMBTU_per_MW,Heat_Rate_MMBTU_per_MWh,Fuel,Up_Time,Down_Time,Eff_Up,Eff_Down,THERM,VRE,STOR,RE,,,,
1,1,maluku,maluku,pltd_poka,diesel,8.9,0,,,,,-1,800000,0,0,8000,0,6,8.9,0.06,0.25,0.25,1,0,2,7.42,diesel,0.5,0.5,1,1,0,0,0,1,,,,
2,1,maluku,maluku,pltmg_ambon_peaker,gas,30,0,,,,,-1,730000,0,0,22500,0,2.23,30,0.3,0.2,0.2,1,24,13.7,9.75,gas,1,1,1,1,0,0,0,1,,,,
3,1,maluku,maluku,lmvpp_ambon,coal,60,0,,,,,-1,1600000,0,0,43900,0,0.12,60,0.25,0.035,0.035,1,110,13.7,8.97,coal,24,24,1,1,1,0,0,0,,,,
4,1,maluku,maluku,pltd_hative_kecil,diesel,2.5,0,,,,,-1,800000,0,0,8000,0,6,2.5,0.06,0.25,0.25,1,0,2,7.42,diesel,0.5,0.5,1,1,0,0,0,1,,,,
5,1,maluku,maluku,pltd_masohi,diesel,8.1,0,,,,,-1,800000,0,0,8000,0,6,8.1,0.06,0.25,0.25,1,0,2,7.42,diesel,0.5,0.5,1,1,0,0,0,1,,,,
6,1,maluku,maluku,pltmg_seram,gas,20,0,,,,,-1,730000,0,0,22500,0,2.23,20,0.3,0.2,0.2,1,24,13.7,9.75,gas,1,1,1,1,0,0,0,1,,,,
7,1,maluku,maluku,pltd_namlea,diesel,6.4,0,,,,,-1,800000,0,0,8000,0,6,6.4,0.06,0.25,0.25,1,0,2,7.42,diesel,0.5,0.5,1,1,0,0,0,1,,,,
8,1,maluku,maluku,pltd_mako,diesel,4.3,0,,,,,-1,800000,0,0,8000,0,6,4.3,0.06,0.25,0.25,1,0,2,7.42,diesel,0.5,0.5,1,1,0,0,0,1,,,,
9,1,maluku,maluku,pltmg_langgur,gas,20,0,,,,,-1,730000,0,0,22500,0,2.23,20,0.3,0.2,0.2,1,24,13.7,9.75,gas,1,1,1,1,0,0,0,1,,,,
10,1,maluku,maluku,pltd_masohi,diesel,8.1,0,,,,,-1,800000,0,0,8000,0,6,8.1,0.06,0.25,0.25,1,0,2,7.42,diesel,0.5,0.5,1,1,0,0,0,1,,,,
