R_ID,Zone,System,Province,Resource,technology,Existing_Cap_MW,Existing_Cap_MWh,cod,status,owner,quota_allocation,New_Build,Inv_Cost_per_MWyr,Inv_Cost_per_MWhyr,capex_mw,Fixed_OM_Cost_per_MWyr,Fixed_OM_Cost_per_MWhyr,Var_OM_Cost_per_MWh,Max_Cap_MW,Min_Power_MW,Ramp_Up_Percentage,Ramp_Dn_Percentage,Commit,Start_Cost_per_MW,Start_Fuel_MMBTU_per_MW,Heat_Rate_MMBTU_per_MWh,Fuel,Up_Time,Down_Time,Eff_Up,Eff_Down,THERM,VRE,STOR,RE
1,1,north_maluku,north_maluku,mpp_ternate,gas,30,0,,,,,-1,730000,0,0,22500,0,2.23,30,0.3,0.2,0.2,1,24,13.7,9.75,gas,1,1,1,1,0,0,0,0
2,1,north_maluku,north_maluku,pltd_kayu_merah,diesel,14.8,0,,,,,-1,800000,0,0,8000,0,6,14.8,0.06,0.25,0.25,1,0,2,7.42,diesel,0.5,0.5,1,1,0,0,0,0
3,1,north_maluku,north_maluku,pltu_tidore_ftp1,coal,14,0,,,,,-1,1600000,0,0,43900,0,0.12,14,0.25,0.035,0.035,1,110,13.7,8.97,coal,24,24,1,1,1,0,0,0
4,1,north_maluku,north_maluku,pltmg_bacan,gas,10,0,2022,Procurement,PLN,,1,730000,0,0,22500,0,2.23,10,0.3,0.2,0.2,1,24,13.7,9.75,gas,1,1,1,1,0,0,0,0
5,1,north_maluku,north_maluku,pltp_songa_wayaua,geothermal,10,0,2025/27,Plan,PLN,,1,3440000,0,0,43000,0,0.22,10,0,0.1,0.1,0,0,0,10.34,None,0,0,1,1,0,0,0,1
6,1,north_maluku,north_maluku,pltbio_bacan,biomass,4,0,2024,Plan,IPP,,1,1820000,0,0,43800,0,2.8,4,0.3,0.1,0.1,1,0,0,0,biomass,0,0,1,1,0,0,0,1
7,1,north_maluku,north_maluku,pltu_sofifi,coal,6,0,2021,Construction,PLN,,1,1600000,0,0,43900,0,0.12,6,0.25,0.035,0.035,1,110,13.7,8.97,coal,24,24,1,1,1,0,0,0
8,1,north_maluku,north_maluku,pltmg_sofifi,gas,10,0,2022,Procurement,PLN,,1,730000,0,0,22500,0,2.23,10,0.3,0.2,0.2,1,24,13.7,9.75,gas,1,1,1,1,0,0,0,0
9,1,north_maluku,north_maluku,pltmg_tobelo,gas,10,0,2022,Procurement,PLN,,1,730000,0,0,22500,0,2.23,10,0.3,0.2,0.2,1,24,13.7,9.75,gas,1,1,1,1,0,0,0,0
10,1,north_maluku,north_maluku,pltmg_tobelo_2,gas,20,0,2022,Plan,PLN,,1,730000,0,0,22500,0,2.23,20,0.3,0.2,0.2,1,24,13.7,9.75,gas,1,1,1,1,0,0,0,0
11,1,north_maluku,north_maluku,plts_weda,solar,5,0,2023,Plan,PLN,,1,560000,0,0,10000,0,0,5,0,1,1,0,0,0,0,None,0,0,1,1,0,1,0,1
12,1,north_maluku,north_maluku,pltgu_haltim,ccgt,200,0,2024,Relocation,PLN,,1,660000,0,0,22800,0,2.23,200,0.3,0.2,0.2,1,80,2,5.78,gas,6,6,1,1,0,0,0,0
13,1,north_maluku,north_maluku,pltmg_halmahera,gas,60,0,2027,Plan,PLN,,1,730000,0,0,22500,0,2.23,60,0.3,0.2,0.2,1,24,13.7,9.75,gas,1,1,1,1,0,0,0,0
14,1,north_maluku,north_maluku,plts_tobelo,solar,10,0,2022,Plan,IPP,,1,560000,0,0,10000,0,0,10,0,1,1,0,0,0,0,None,0,0,1,1,0,1,0,1
15,1,north_maluku,north_maluku,pltbio_halmahera_kuota_terbesar,biomass,10,0,2023,Plan,IPP,,1,1820000,0,0,43800,0,2.8,10,0.3,0.1,0.1,1,0,0,0,biomass,0,0,1,1,0,0,0,1
16,1,north_maluku,north_maluku,pltp_halmahera_kuota_terbesar,geothermal,20,0,2025,Plan,IPP,,1,3440000,0,0,43000,0,0.22,20,0,0.1,0.1,0,0,0,10.34,None,0,0,1,1,0,0,0,1
17,1,north_maluku,north_maluku,pltbio_weda,biomass,5,0,2028,Plan,IPP,,1,1820000,0,0,43800,0,2.8,5,0.3,0.1,0.1,1,0,0,0,biomass,0,0,1,1,0,0,0,1
18,1,north_maluku,north_maluku,plts_lisdes,solar,9.79,0,2021,Plan,PLN,,1,560000,0,0,10000,0,0,9.79,0,1,1,0,0,0,0,None,0,0,1,1,0,1,0,1
19,1,north_maluku,north_maluku,plts_dedieselisasi,solar,22.43,0,2023,Plan,IPP,,1,560000,0,0,10000,0,0,22.43,0,1,1,0,0,0,0,None,0,0,1,1,0,1,0,1
20,1,north_maluku,north_maluku,plts_lisdes,solar,9.33,0,2022,Plan,PLN,,1,560000,0,0,10000,0,0,9.33,0,1,1,0,0,0,0,None,0,0,1,1,0,1,0,1
21,1,north_maluku,north_maluku,plts_lisdes,solar,0.25,0,2023,Plan,PLN,,1,560000,0,0,10000,0,0,0.25,0,1,1,0,0,0,0,None,0,0,1,1,0,1,0,1
22,1,north_maluku,north_maluku,pltmg_morotai,gas,10,0,2022,Procurement,PLN,,1,730000,0,0,22500,0,2.23,10,0.3,0.2,0.2,1,24,13.7,9.75,gas,1,1,1,1,0,0,0,0
23,1,north_maluku,north_maluku,pltmg_morotai_2,gas,20,0,2025,Plan,PLN,,1,730000,0,0,22500,0,2.23,20,0.3,0.2,0.2,1,24,13.7,9.75,gas,1,1,1,1,0,0,0,0
24,1,north_maluku,north_maluku,plts_morotai_3,solar,10,0,2023,Plan,IPP,,1,560000,0,0,10000,0,0,10,0,1,1,0,0,0,0,None,0,0,1,1,0,1,0,1
