r_id,jinchuan_group_wprka_power_station_unit_1,jinchuan_group_wprka_power_station_unit_2,jinchuan_group_wprka_power_station_unit_3,xinxing_ductile_iron_pipes_power_station_unit_1,xinxing_ductile_iron_pipes_power_station_unit_2,xinxing_ductile_iron_pipes_power_station_unit_3,xinxing_ductile_iron_pipes_power_station_geothermal,xinxing_ductile_iron_pipes_power_station_geothermal,xinxing_ductile_iron_pipes_power_station_geothermal,xinxing_ductile_iron_pipes_power_station_geothermal,xinxing_ductile_iron_pipes_power_station_geothermal,xinxing_ductile_iron_pipes_power_station_solar,xinxing_ductile_iron_pipes_power_station_solar,xinxing_ductile_iron_pipes_power_station_solar,xinxing_ductile_iron_pipes_power_station_solar,xinxing_ductile_iron_pipes_power_station_solar,xinxing_ductile_iron_pipes_power_station_wind,xinxing_ductile_iron_pipes_power_station_wind,xinxing_ductile_iron_pipes_power_station_wind,pt_halmahera_persada_lygend_nickel_smelter_power_station_phase_ii_unit_1,pt_halmahera_persada_lygend_nickel_smelter_power_station_phase_ii_unit_2,pt_halmahera_persada_lygend_nickel_smelter_power_station_phase_ii_unit_3,pt_halmahera_persada_lygend_nickel_smelter_power_station_phase_ii_unit_4,pt_halmahera_persada_lygend_nickel_smelter_power_station_phase_i_unit_1,pt_halmahera_persada_lygend_nickel_smelter_power_station_phase_i_unit_2,pt_halmahera_persada_lygend_nickel_smelter_power_station_phase_i_unit_3,pt_halmahera_persada_lygend_nickel_smelter_power_station_phase_iii_unit_5,pt_halmahera_persada_lygend_nickel_smelter_power_station_phase_iii_unit_6,pt_halmahera_persada_lygend_nickel_smelter_power_station_phase_iii_unit_7,pt_halmahera_persada_lygend_nickel_smelter_power_station_phase_iii_unit_8,pt_halmahera_persada_lygend_nickel_smelter_power_station_geothermal,pt_halmahera_persada_lygend_nickel_smelter_power_station_geothermal,pt_halmahera_persada_lygend_nickel_smelter_power_station_geothermal,pt_halmahera_persada_lygend_nickel_smelter_power_station_geothermal,pt_halmahera_persada_lygend_nickel_smelter_power_station_geothermal,pt_halmahera_persada_lygend_nickel_smelter_power_station_solar,pt_halmahera_persada_lygend_nickel_smelter_power_station_solar,pt_halmahera_persada_lygend_nickel_smelter_power_station_solar,pt_halmahera_persada_lygend_nickel_smelter_power_station_solar,pt_halmahera_persada_lygend_nickel_smelter_power_station_solar,pt_halmahera_persada_lygend_nickel_smelter_power_station_wind,pt_halmahera_persada_lygend_nickel_smelter_power_station_wind,pt_halmahera_persada_lygend_nickel_smelter_power_station_wind,weda_bay_power_station_unit_1314,weda_bay_power_station_unit_1315,weda_bay_power_station_unit_1,weda_bay_power_station_unit_2,weda_bay_power_station_unit_3,weda_bay_power_station_unit_4,weda_bay_power_station_unit_9,weda_bay_power_station_unit_5,weda_bay_power_station_unit_6,weda_bay_power_station_unit_7,weda_bay_power_station_unit_8,weda_bay_power_station_unit_10,weda_bay_power_station_unit_11,weda_bay_power_station_unit_12,weda_bay_power_station_geothermal,weda_bay_power_station_geothermal,weda_bay_power_station_geothermal,weda_bay_power_station_geothermal,weda_bay_power_station_geothermal,weda_bay_power_station_solar,weda_bay_power_station_solar,weda_bay_power_station_solar,weda_bay_power_station_solar,weda_bay_power_station_solar
1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
2,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
3,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
4,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
5,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.001,0.001,0.001,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.001,0.001,0.001,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
6,1,1,1,1,1,1,1,1,1,1,1,0.001,0.001,0.001,0.001,0.001,0.006,0.006,0.006,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.001,0.001,0.001,0.001,0.001,0.006,0.006,0.006,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.001,0.001,0.001,0.001,0.001
7,1,1,1,1,1,1,1,1,1,1,1,0.053,0.053,0.053,0.053,0.053,0.017,0.017,0.017,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.053,0.053,0.053,0.053,0.053,0.017,0.017,0.017,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.053,0.053,0.053,0.053,0.053
8,1,1,1,1,1,1,1,1,1,1,1,0.145,0.145,0.145,0.145,0.145,0.029,0.029,0.029,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.145,0.145,0.145,0.145,0.145,0.029,0.029,0.029,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.145,0.145,0.145,0.145,0.145
9,1,1,1,1,1,1,1,1,1,1,1,0.244,0.244,0.244,0.244,0.244,0.041,0.041,0.041,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.244,0.244,0.244,0.244,0.244,0.041,0.041,0.041,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.244,0.244,0.244,0.244,0.244
10,1,1,1,1,1,1,1,1,1,1,1,0.323,0.323,0.323,0.323,0.323,0.04,0.04,0.04,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.323,0.323,0.323,0.323,0.323,0.04,0.04,0.04,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.323,0.323,0.323,0.323,0.323
