Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,corresponding_week,r_id,month,day,hour,date,demand_z1,demand_z2
2000,1,1,1,2000,8,168,2022,24,1,6,11,1,2023-06-10T23:40:00+08:00,634,358
,2,0.9,0.04,1800,,,505,3,2,6,11,2,2023-06-11T00:40:00+08:00,604,341
,3,0.55,0.024,1100,,,168,4,3,6,11,3,2023-06-11T01:40:00+08:00,588,332
,4,0.2,0.003,400,,,2527,45,4,6,11,4,2023-06-11T02:40:00+08:00,565,320
,,,,,,,1516,8,5,6,11,5,2023-06-11T03:40:00+08:00,547,309
,,,,,,,842,46,6,6,11,6,2023-06-11T04:40:00+08:00,532,300
,,,,,,,337,39,7,6,11,7,2023-06-11T05:40:00+08:00,523,296
,,,,,,,843,5,8,6,11,8,2023-06-11T06:40:00+08:00,527,298
,,,,,,,,,9,6,11,9,2023-06-11T07:40:00+08:00,497,280
,,,,,,,,,10,6,11,10,2023-06-11T08:40:00+08:00,498,282
,,,,,,,,,11,6,11,11,2023-06-11T09:40:00+08:00,512,289
,,,,,,,,,12,6,11,12,2023-06-11T10:40:00+08:00,535,302
,,,,,,,,,13,6,11,13,2023-06-11T11:40:00+08:00,537,303
,,,,,,,,,14,6,11,14,2023-06-11T12:40:00+08:00,534,302
,,,,,,,,,15,6,11,15,2023-06-11T13:40:00+08:00,543,307
,,,,,,,,,16,6,11,16,2023-06-11T14:40:00+08:00,557,314
,,,,,,,,,17,6,11,17,2023-06-11T15:40:00+08:00,573,324
,,,,,,,,,18,6,11,18,2023-06-11T16:40:00+08:00,578,326
,,,,,,,,,19,6,11,19,2023-06-11T17:40:00+08:00,574,324
,,,,,,,,,20,6,11,20,2023-06-11T18:40:00+08:00,578,326
,,,,,,,,,21,6,11,21,2023-06-11T19:40:00+08:00,652,368
,,,,,,,,,22,6,11,22,2023-06-11T20:40:00+08:00,654,370
,,,,,,,,,23,6,11,23,2023-06-11T21:40:00+08:00,647,365
,,,,,,,,,24,6,11,24,2023-06-11T22:40:00+08:00,636,359
,,,,,,,,,25,6,12,1,2023-06-11T23:40:00+08:00,621,350
,,,,,,,,,26,6,12,2,2023-06-12T00:40:00+08:00,593,335
,,,,,,,,,27,6,12,3,2023-06-12T01:40:00+08:00,566,320
,,,,,,,,,28,6,12,4,2023-06-12T02:40:00+08:00,543,307
,,,,,,,,,29,6,12,5,2023-06-12T03:40:00+08:00,527,298
,,,,,,,,,30,6,12,6,2023-06-12T04:40:00+08:00,518,292
,,,,,,,,,31,6,12,7,2023-06-12T05:40:00+08:00,516,291
,,,,,,,,,32,6,12,8,2023-06-12T06:40:00+08:00,524,297
,,,,,,,,,33,6,12,9,2023-06-12T07:40:00+08:00,508,287
,,,,,,,,,34,6,12,10,2023-06-12T08:40:00+08:00,529,299
,,,,,,,,,35,6,12,11,2023-06-12T09:40:00+08:00,556,314
,,,,,,,,,36,6,12,12,2023-06-12T10:40:00+08:00,579,327
,,,,,,,,,37,6,12,13,2023-06-12T11:40:00+08:00,595,336
,,,,,,,,,38,6,12,14,2023-06-12T12:40:00+08:00,588,333
,,,,,,,,,39,6,12,15,2023-06-12T13:40:00+08:00,595,336
,,,,,,,,,40,6,12,16,2023-06-12T14:40:00+08:00,617,349
,,,,,,,,,41,6,12,17,2023-06-12T15:40:00+08:00,633,357
,,,,,,,,,42,6,12,18,2023-06-12T16:40:00+08:00,640,362
,,,,,,,,,43,6,12,19,2023-06-12T17:40:00+08:00,624,352
,,,,,,,,,44,6,12,20,2023-06-12T18:40:00+08:00,622,351
,,,,,,,,,45,6,12,21,2023-06-12T19:40:00+08:00,688,388
,,,,,,,,,46,6,12,22,2023-06-12T20:40:00+08:00,697,393
,,,,,,,,,47,6,12,23,2023-06-12T21:40:00+08:00,690,389
,,,,,,,,,48,6,12,24,2023-06-12T22:40:00+08:00,676,382
,,,,,,,,,49,6,13,1,2023-06-12T23:40:00+08:00,658,372
,,,,,,,,,50,6,13,2,2023-06-13T00:40:00+08:00,623,352
,,,,,,,,,51,6,13,3,2023-06-13T01:40:00+08:00,597,337
,,,,,,,,,52,6,13,4,2023-06-13T02:40:00+08:00,574,324
,,,,,,,,,53,6,13,5,2023-06-13T03:40:00+08:00,552,312
,,,,,,,,,54,6,13,6,2023-06-13T04:40:00+08:00,546,308
,,,,,,,,,55,6,13,7,2023-06-13T05:40:00+08:00,552,312
,,,,,,,,,56,6,13,8,2023-06-13T06:40:00+08:00,575,325
,,,,,,,,,57,6,13,9,2023-06-13T07:40:00+08:00,571,322
,,,,,,,,,58,6,13,10,2023-06-13T08:40:00+08:00,643,363
,,,,,,,,,59,6,13,11,2023-06-13T09:40:00+08:00,700,396
,,,,,,,,,60,6,13,12,2023-06-13T10:40:00+08:00,725,409
,,,,,,,,,61,6,13,13,2023-06-13T11:40:00+08:00,741,418
,,,,,,,,,62,6,13,14,2023-06-13T12:40:00+08:00,735,415
,,,,,,,,,63,6,13,15,2023-06-13T13:40:00+08:00,742,418
,,,,,,,,,64,6,13,16,2023-06-13T14:40:00+08:00,776,438
,,,,,,,,,65,6,13,17,2023-06-13T15:40:00+08:00,790,446
,,,,,,,,,66,6,13,18,2023-06-13T16:40:00+08:00,792,447
,,,,,,,,,67,6,13,19,2023-06-13T17:40:00+08:00,751,424
,,,,,,,,,68,6,13,20,2023-06-13T18:40:00+08:00,719,407
,,,,,,,,,69,6,13,21,2023-06-13T19:40:00+08:00,761,429
,,,,,,,,,70,6,13,22,2023-06-13T20:40:00+08:00,758,428
,,,,,,,,,71,6,13,23,2023-06-13T21:40:00+08:00,744,421
,,,,,,,,,72,6,13,24,2023-06-13T22:40:00+08:00,726,410
,,,,,,,,,73,6,14,1,2023-06-13T23:40:00+08:00,695,392
,,,,,,,,,74,6,14,2,2023-06-14T00:40:00+08:00,655,371
,,,,,,,,,75,6,14,3,2023-06-14T01:40:00+08:00,630,357
,,,,,,,,,76,6,14,4,2023-06-14T02:40:00+08:00,609,343
,,,,,,,,,77,6,14,5,2023-06-14T03:40:00+08:00,591,335
,,,,,,,,,78,6,14,6,2023-06-14T04:40:00+08:00,583,329
,,,,,,,,,79,6,14,7,2023-06-14T05:40:00+08:00,582,328
,,,,,,,,,80,6,14,8,2023-06-14T06:40:00+08:00,610,345
,,,,,,,,,81,6,14,9,2023-06-14T07:40:00+08:00,603,341
,,,,,,,,,82,6,14,10,2023-06-14T08:40:00+08:00,665,376
,,,,,,,,,83,6,14,11,2023-06-14T09:40:00+08:00,710,401
,,,,,,,,,84,6,14,12,2023-06-14T10:40:00+08:00,743,420
,,,,,,,,,85,6,14,13,2023-06-14T11:40:00+08:00,752,425
,,,,,,,,,86,6,14,14,2023-06-14T12:40:00+08:00,731,413
,,,,,,,,,87,6,14,15,2023-06-14T13:40:00+08:00,744,421
,,,,,,,,,88,6,14,16,2023-06-14T14:40:00+08:00,780,440
,,,,,,,,,89,6,14,17,2023-06-14T15:40:00+08:00,790,446
,,,,,,,,,90,6,14,18,2023-06-14T16:40:00+08:00,790,446
,,,,,,,,,91,6,14,19,2023-06-14T17:40:00+08:00,748,422
,,,,,,,,,92,6,14,20,2023-06-14T18:40:00+08:00,717,405
,,,,,,,,,93,6,14,21,2023-06-14T19:40:00+08:00,760,429
,,,,,,,,,94,6,14,22,2023-06-14T20:40:00+08:00,751,424
,,,,,,,,,95,6,14,23,2023-06-14T21:40:00+08:00,739,417
,,,,,,,,,96,6,14,24,2023-06-14T22:40:00+08:00,709,400
,,,,,,,,,97,6,15,1,2023-06-14T23:40:00+08:00,680,385
,,,,,,,,,98,6,15,2,2023-06-15T00:40:00+08:00,641,362
,,,,,,,,,99,6,15,3,2023-06-15T01:40:00+08:00,616,348
,,,,,,,,,100,6,15,4,2023-06-15T02:40:00+08:00,599,338
,,,,,,,,,101,6,15,5,2023-06-15T03:40:00+08:00,583,329
,,,,,,,,,102,6,15,6,2023-06-15T04:40:00+08:00,575,325
,,,,,,,,,103,6,15,7,2023-06-15T05:40:00+08:00,575,325
,,,,,,,,,104,6,15,8,2023-06-15T06:40:00+08:00,607,342
,,,,,,,,,105,6,15,9,2023-06-15T07:40:00+08:00,599,338
,,,,,,,,,106,6,15,10,2023-06-15T08:40:00+08:00,660,373
,,,,,,,,,107,6,15,11,2023-06-15T09:40:00+08:00,704,398
,,,,,,,,,108,6,15,12,2023-06-15T10:40:00+08:00,730,412
,,,,,,,,,109,6,15,13,2023-06-15T11:40:00+08:00,751,424
,,,,,,,,,110,6,15,14,2023-06-15T12:40:00+08:00,732,414
,,,,,,,,,111,6,15,15,2023-06-15T13:40:00+08:00,744,421
,,,,,,,,,112,6,15,16,2023-06-15T14:40:00+08:00,781,441
,,,,,,,,,113,6,15,17,2023-06-15T15:40:00+08:00,781,441
,,,,,,,,,114,6,15,18,2023-06-15T16:40:00+08:00,784,443
,,,,,,,,,115,6,15,19,2023-06-15T17:40:00+08:00,751,424
,,,,,,,,,116,6,15,20,2023-06-15T18:40:00+08:00,717,405
,,,,,,,,,117,6,15,21,2023-06-15T19:40:00+08:00,769,435
,,,,,,,,,118,6,15,22,2023-06-15T20:40:00+08:00,774,437
,,,,,,,,,119,6,15,23,2023-06-15T21:40:00+08:00,756,427
,,,,,,,,,120,6,15,24,2023-06-15T22:40:00+08:00,737,416
,,,,,,,,,121,6,16,1,2023-06-15T23:40:00+08:00,705,399
,,,,,,,,,122,6,16,2,2023-06-16T00:40:00+08:00,667,377
,,,,,,,,,123,6,16,3,2023-06-16T01:40:00+08:00,639,361
,,,,,,,,,124,6,16,4,2023-06-16T02:50:00+08:00,618,349
,,,,,,,,,125,6,16,5,2023-06-16T03:50:00+08:00,598,338
,,,,,,,,,126,6,16,6,2023-06-16T04:50:00+08:00,590,334
,,,,,,,,,127,6,16,7,2023-06-16T05:50:00+08:00,588,333
,,,,,,,,,128,6,16,8,2023-06-16T06:50:00+08:00,611,345
,,,,,,,,,129,6,16,9,2023-06-16T07:50:00+08:00,601,340
,,,,,,,,,130,6,16,10,2023-06-16T08:50:00+08:00,652,368
,,,,,,,,,131,6,16,11,2023-06-16T09:50:00+08:00,700,396
,,,,,,,,,132,6,16,12,2023-06-16T10:50:00+08:00,726,410
,,,,,,,,,133,6,16,13,2023-06-16T11:50:00+08:00,743,420
,,,,,,,,,134,6,16,14,2023-06-16T12:50:00+08:00,731,413
,,,,,,,,,135,6,16,15,2023-06-16T13:50:00+08:00,731,413
,,,,,,,,,136,6,16,16,2023-06-16T14:50:00+08:00,762,430
,,,,,,,,,137,6,16,17,2023-06-16T15:50:00+08:00,780,441
,,,,,,,,,138,6,16,18,2023-06-16T16:50:00+08:00,781,441
,,,,,,,,,139,6,16,19,2023-06-16T17:50:00+08:00,750,423
,,,,,,,,,140,6,16,20,2023-06-16T18:50:00+08:00,720,407
,,,,,,,,,141,6,16,21,2023-06-16T19:50:00+08:00,764,432
,,,,,,,,,142,6,16,22,2023-06-16T20:50:00+08:00,758,428
,,,,,,,,,143,6,16,23,2023-06-16T21:50:00+08:00,741,418
,,,,,,,,,144,6,16,24,2023-06-16T22:50:00+08:00,718,405
,,,,,,,,,145,6,17,1,2023-06-16T23:50:00+08:00,697,393
,,,,,,,,,146,6,17,2,2023-06-17T00:50:00+08:00,660,373
,,,,,,,,,147,6,17,3,2023-06-17T01:50:00+08:00,631,357
,,,,,,,,,148,6,17,4,2023-06-17T02:50:00+08:00,612,346
,,,,,,,,,149,6,17,5,2023-06-17T03:50:00+08:00,592,335
,,,,,,,,,150,6,17,6,2023-06-17T04:50:00+08:00,584,329
,,,,,,,,,151,6,17,7,2023-06-17T05:50:00+08:00,577,326
,,,,,,,,,152,6,17,8,2023-06-17T06:50:00+08:00,585,330
,,,,,,,,,153,6,17,9,2023-06-17T07:50:00+08:00,574,324
,,,,,,,,,154,6,17,10,2023-06-17T08:50:00+08:00,603,341
,,,,,,,,,155,6,17,11,2023-06-17T09:50:00+08:00,641,362
,,,,,,,,,156,6,17,12,2023-06-17T10:50:00+08:00,668,377
,,,,,,,,,157,6,17,13,2023-06-17T11:50:00+08:00,674,380
,,,,,,,,,158,6,17,14,2023-06-17T12:50:00+08:00,662,374
