R_ID,Zone,System,Province,Resource,technology,Existing_Cap_MW,Existing_Cap_MWh,cod,status,owner,quota_allocation,New_Build,Inv_Cost_per_MWyr,Inv_Cost_per_MWhyr,capex_mw,Fixed_OM_Cost_per_MWyr,Fixed_OM_Cost_per_MWhyr,Var_OM_Cost_per_MWh,Max_Cap_MW,Min_Power_MW,Ramp_Up_Percentage,Ramp_Dn_Percentage,Commit,Start_Cost_per_MW,Start_Fuel_MMBTU_per_MW,Heat_Rate_MMBTU_per_MWh,Fuel,Up_Time,Down_Time,Eff_Up,Eff_Down,THERM,VRE,STOR,RE,,,,
1,1,papua,papua,plta_orya_genyem,hydropower,20,0,,,,,-1,2200000,0,0,40200,0,0.48,20,0,0.5,0.5,0,0,0,10.34,None,0,0,1,1,0,0,0,1,,,,
2,1,papua,papua,pltd_genyem,diesel,10,0,,,,,-1,800000,0,0,8000,0,6,,0.06,0.25,0.25,1,0,2,7.42,diesel,0.5,0.5,1,1,0,0,0,0,,,,
3,1,papua,papua,pltd_sentani,diesel,10,0,,,,,-1,800000,0,0,8000,0,6,,0.06,0.25,0.25,1,0,2,7.42,diesel,0.5,0.5,1,1,0,0,0,0,,,,
4,1,papua,papua,pltmg_jayapura_peaker,gas,40,0,,,,,-1,730000,0,0,22500,0,2.23,40,0.3,0.2,0.2,1,24,13.7,9.75,gas,1,1,1,1,0,0,0,0,,,,
5,1,papua,papua,mpp_jayapura,gas,50,0,,,,,-1,730000,0,0,22500,0,2.23,50,0.3,0.2,0.2,1,24,13.7,9.75,gas,1,1,1,1,0,0,0,0,,,,
6,1,papua,papua,pltu_jayapura_ftp_1,coal,20,0,,,,,-1,1600000,0,0,43900,0,0.12,20,0.25,0.035,0.035,1,110,13.7,8.97,coal,24,24,1,1,1,0,0,0,,,,
7,1,papua,papua,pltd_jayapura,diesel,10,0,,,,,-1,800000,0,0,8000,0,6,,0.06,0.25,0.25,1,0,2,7.42,diesel,0.5,0.5,1,1,0,0,0,0,,,,
8,1,papua,papua,pltd_wamena,diesel,7,0,,,,,-1,800000,0,0,8000,0,6,7,0.06,0.25,0.25,1,0,2,7.42,diesel,0.5,0.5,1,1,0,0,0,0,,,,
9,1,papua,papua,pltmg_merauke,gas,20,0,,,,,-1,730000,0,0,22500,0,2.23,20,0.3,0.2,0.2,1,24,13.7,9.75,gas,1,1,1,1,0,0,0,0,,,,
10,1,papua,papua,pltg_merauke_2,gas,20,0,,,,,-1,730000,0,0,22500,0,2.23,20,0.3,0.2,0.2,1,24,13.7,9.75,gas,1,1,1,1,0,0,0,0,,,,
