r_id,amamapare_port_power_station_unit_1,amamapare_port_power_station_unit_2,amamapare_port_power_station_unit_3,amamapare_port_power_station_solar,amamapare_port_power_station_solar,amamapare_port_power_station_solar,amamapare_port_power_station_solar,amamapare_port_power_station_solar,bp_berau_ltd,bp_berau_ltd_solar,bp_berau_ltd_solar,bp_berau_ltd_solar,bp_berau_ltd_solar,bp_berau_ltd_solar,bp_berau_ltd_wind,amamapare_port_power_station_battery,bp_berau_ltd_battery
1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0.005,1,1
2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0.003,1,1
3,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0.005,1,1
4,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0.008,1,1
5,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0.012,1,1
6,1,1,1,0.028,0.028,0.028,0.028,0.028,1,0.002,0.002,0.002,0.002,0.002,0.04,1,1
7,1,1,1,0.141,0.141,0.141,0.141,0.141,1,0.033,0.033,0.033,0.033,0.033,0.05,1,1
8,1,1,1,0.303,0.303,0.303,0.303,0.303,1,0.112,0.112,0.112,0.112,0.112,0.016,1,1
9,1,1,1,0.468,0.468,0.468,0.468,0.468,1,0.233,0.233,0.233,0.233,0.233,0.004,1,1
10,1,1,1,0.619,0.619,0.619,0.619,0.619,1,0.353,0.353,0.353,0.353,0.353,0.002,1,1
11,1,1,1,0.647,0.647,0.647,0.647,0.647,1,0.452,0.452,0.452,0.452,0.452,0.001,1,1
12,1,1,1,0.568,0.568,0.568,0.568,0.568,1,0.487,0.487,0.487,0.487,0.487,0.001,1,1
13,1,1,1,0.509,0.509,0.509,0.509,0.509,1,0.435,0.435,0.435,0.435,0.435,0,1,1
14,1,1,1,0.429,0.429,0.429,0.429,0.429,1,0.346,0.346,0.346,0.346,0.346,0,1,1
15,1,1,1,0.203,0.203,0.203,0.203,0.203,1,0.216,0.216,0.216,0.216,0.216,0,1,1
