Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,corresponding_week,r_id,month,day,hour,date,demand_z1,demand_z2,demand_z3,demand_z4,demand_z5,demand_z6
2000,1,1,1,2000,8,168,2022,24,1,6,11,1,2023-06-10T23:40:00+08:00,557,389,160,1715,402,128
,2,0.9,0.04,1800,,,505,3,2,6,11,2,2023-06-11T00:40:00+08:00,535,373,153,1645,386,123
,3,0.55,0.024,1100,,,168,4,3,6,11,3,2023-06-11T01:40:00+08:00,516,361,148,1588,372,119
,4,0.2,0.003,400,,,2527,45,4,6,11,4,2023-06-11T02:40:00+08:00,496,347,142,1527,358,113
,,,,,,,1516,8,5,6,11,5,2023-06-11T03:40:00+08:00,481,336,138,1479,347,110
,,,,,,,842,46,6,6,11,6,2023-06-11T04:40:00+08:00,467,327,134,1438,337,107
,,,,,,,337,39,7,6,11,7,2023-06-11T05:40:00+08:00,462,323,132,1420,333,106
,,,,,,,843,5,8,6,11,8,2023-06-11T06:40:00+08:00,458,320,131,1409,331,105
,,,,,,,,,9,6,11,9,2023-06-11T07:40:00+08:00,423,296,121,1302,305,98
,,,,,,,,,10,6,11,10,2023-06-11T08:40:00+08:00,433,303,124,1333,312,100
,,,,,,,,,11,6,11,11,2023-06-11T09:40:00+08:00,451,315,129,1387,325,104
,,,,,,,,,12,6,11,12,2023-06-11T10:40:00+08:00,469,329,134,1445,338,108
,,,,,,,,,13,6,11,13,2023-06-11T11:40:00+08:00,477,334,137,1469,344,109
,,,,,,,,,14,6,11,14,2023-06-11T12:40:00+08:00,477,333,137,1468,344,109
,,,,,,,,,15,6,11,15,2023-06-11T13:40:00+08:00,492,344,141,1512,355,112
,,,,,,,,,16,6,11,16,2023-06-11T14:40:00+08:00,501,350,144,1543,361,116
,,,,,,,,,17,6,11,17,2023-06-11T15:40:00+08:00,517,362,148,1592,373,119
,,,,,,,,,18,6,11,18,2023-06-11T16:40:00+08:00,524,366,150,1611,377,120
,,,,,,,,,19,6,11,19,2023-06-11T17:40:00+08:00,508,355,146,1564,366,117
,,,,,,,,,20,6,11,20,2023-06-11T18:40:00+08:00,510,356,146,1568,368,117
,,,,,,,,,21,6,11,21,2023-06-11T19:40:00+08:00,562,394,161,1729,405,129
,,,,,,,,,22,6,11,22,2023-06-11T20:40:00+08:00,578,404,166,1779,416,133
,,,,,,,,,23,6,11,23,2023-06-11T21:40:00+08:00,578,404,166,1780,417,133
,,,,,,,,,24,6,11,24,2023-06-11T22:40:00+08:00,569,398,163,1751,411,130
,,,,,,,,,25,6,12,1,2023-06-11T23:40:00+08:00,549,384,158,1691,397,126
,,,,,,,,,26,6,12,2,2023-06-12T00:40:00+08:00,522,365,150,1607,376,120
,,,,,,,,,27,6,12,3,2023-06-12T01:40:00+08:00,497,348,143,1531,359,114
,,,,,,,,,28,6,12,4,2023-06-12T02:40:00+08:00,480,336,138,1477,346,110
,,,,,,,,,29,6,12,5,2023-06-12T03:40:00+08:00,464,325,133,1428,335,107
,,,,,,,,,30,6,12,6,2023-06-12T04:40:00+08:00,451,316,129,1390,325,104
,,,,,,,,,31,6,12,7,2023-06-12T05:40:00+08:00,454,318,130,1398,328,104
,,,,,,,,,32,6,12,8,2023-06-12T06:40:00+08:00,464,325,133,1428,335,107
,,,,,,,,,33,6,12,9,2023-06-12T07:40:00+08:00,464,325,133,1428,335,107
,,,,,,,,,34,6,12,10,2023-06-12T08:40:00+08:00,529,370,151,1628,382,122
,,,,,,,,,35,6,12,11,2023-06-12T09:40:00+08:00,564,395,162,1737,408,129
,,,,,,,,,36,6,12,12,2023-06-12T10:40:00+08:00,584,408,167,1796,421,134
,,,,,,,,,37,6,12,13,2023-06-12T11:40:00+08:00,590,413,169,1816,426,136
,,,,,,,,,38,6,12,14,2023-06-12T12:40:00+08:00,578,405,166,1781,417,133
,,,,,,,,,39,6,12,15,2023-06-12T13:40:00+08:00,600,419,172,1845,432,138
,,,,,,,,,40,6,12,16,2023-06-12T14:40:00+08:00,618,432,177,1901,445,142
,,,,,,,,,41,6,12,17,2023-06-12T15:40:00+08:00,629,439,180,1933,453,144
,,,,,,,,,42,6,12,18,2023-06-12T16:40:00+08:00,631,441,181,1940,455,145
,,,,,,,,,43,6,12,19,2023-06-12T17:40:00+08:00,597,417,171,1835,430,137
,,,,,,,,,44,6,12,20,2023-06-12T18:40:00+08:00,575,403,165,1771,415,133
,,,,,,,,,45,6,12,21,2023-06-12T19:40:00+08:00,616,431,176,1894,444,141
,,,,,,,,,46,6,12,22,2023-06-12T20:40:00+08:00,624,437,180,1922,451,143
,,,,,,,,,47,6,12,23,2023-06-12T21:40:00+08:00,617,432,176,1898,444,142
,,,,,,,,,48,6,12,24,2023-06-12T22:40:00+08:00,601,420,172,1850,433,138
,,,,,,,,,49,6,13,1,2023-06-12T23:40:00+08:00,576,403,165,1772,415,133
,,,,,,,,,50,6,13,2,2023-06-13T00:40:00+08:00,544,381,156,1674,392,125
,,,,,,,,,51,6,13,3,2023-06-13T01:40:00+08:00,524,366,150,1612,378,120
,,,,,,,,,52,6,13,4,2023-06-13T02:40:00+08:00,505,353,145,1554,364,116
,,,,,,,,,53,6,13,5,2023-06-13T03:40:00+08:00,489,342,140,1505,352,112
,,,,,,,,,54,6,13,6,2023-06-13T04:40:00+08:00,478,334,137,1470,345,109
