R_ID,Zone,System,Province,Village,Resource,Resource_Other_Name,technology,Existing_Cap_MW,Existing_Cap_MWh,status,Start_Year,Retire_Year,commodity,supported_project,nature_of_support,plant_owner,owner_parent_company,owner_home_country_flag,major_mainland_china_shareholder,financier,epc,mainland_china_involvement_type,industrial_park,combustion_tech,coal_type,coal_source,alternate_fuel,latitude,longitude,hubname,hubdist,class,New_Build,Inv_Cost_per_MWyr,Inv_Cost_per_MWhyr,capex_mw,Fixed_OM_Cost_per_MWyr,Fixed_OM_Cost_per_MWhyr,Var_OM_Cost_per_MWh,Max_Cap_MW,Min_Power_MW,Ramp_Up_Percentage,Ramp_Dn_Percentage,Commit,Start_Cost_per_MW,Start_Fuel_MMBTU_per_MW,Heat_Rate_MMBTU_per_MWh,Fuel,Up_Time,Down_Time,Eff_Up,Eff_Down,THERM,VRE,STOR,RE
1,3,sulawesi,central_sulawesi,1,delong_nickel_phase_iii_power_station_phase_iii_unit_1,pltu_gni,coal_captive,2295,0,operating,2021,,nickel,pt_gunbuster_nickel_industry,the_power_plants_were_constructed_by_the_industrial_park_developer_as_part_of_the_infrastructure_for_both_the_park_and_local_communities_preferential_policies_regarding_the_park_also_provides_the_power_plants_highly_discounted_coal_prices,pt_gunbuster_nickel_industry,jiangsu_delong_nickel_industry_co,china,jiangsu_delong_nickel_industry_co_,,,owner,stardust_estate_investment_industrial_park_sei_,,,,,-2.00469,121.4381,,,4,-1,1360000,0,0,40000,0,0.12,2295,0.25,0.04,0.04,1,50,13.7,8.97,coal_captive,24,24,1,1,1,0,0,0
2,3,sulawesi,central_sulawesi,1,delong_nickel_phase_iii_power_station_geothermal,,geothermal,2123.978655,0,,,,,,,,,,,,,,,,,,,,,Gardu Induk Kolonodale,8.92570057,1,1,3440000,0,0,43000,0,0.22,2123.978655,0,0.1,0.1,0,0,0,10.34,None,0,0,1,1,0,0,0,1
3,3,sulawesi,central_sulawesi,1,delong_nickel_phase_iii_power_station_geothermal,,geothermal,1107.137836,0,,,,,,,,,,,,,,,,,,,,,Gardu Induk Kolonodale,8.92570057,1.5,1,3440000,0,0,43000,0,0.22,1107.137836,0,0.1,0.1,0,0,0,10.34,None,0,0,1,1,0,0,0,1
4,3,sulawesi,central_sulawesi,1,delong_nickel_phase_iii_power_station_geothermal,,geothermal,378.65318,0,,,,,,,,,,,,,,,,,,,,,Gardu Induk Kolonodale,8.92570057,2,1,3440000,0,0,43000,0,0.22,378.65318,0,0.1,0.1,0,0,0,10.34,None,0,0,1,1,0,0,0,1
5,3,sulawesi,central_sulawesi,1,delong_nickel_phase_iii_power_station_geothermal,,geothermal,520.891353,0,,,,,,,,,,,,,,,,,,,,,Gardu Induk Kolonodale,8.92570057,2.5,1,3440000,0,0,43000,0,0.22,520.891353,0,0.1,0.1,0,0,0,10.34,None,0,0,1,1,0,0,0,1
6,3,sulawesi,central_sulawesi,1,delong_nickel_phase_iii_power_station_geothermal,,geothermal,328.678036,0,,,,,,,,,,,,,,,,,,,,,Gardu Induk Kolonodale,8.92570057,3,1,3440000,0,0,43000,0,0.22,328.678036,0,0.1,0.1,0,0,0,10.34,None,0,0,1,1,0,0,0,1
7,3,sulawesi,central_sulawesi,1,delong_nickel_phase_iii_power_station_solar,,solar,5097.548772,0,,,,,,,,,,,,,,,,,,,,,Gardu Induk Kolonodale,8.92570057,1,1,560000,0,0,10000,0,0,5097.548772,0,1,1,0,0,0,0,None,0,0,1,1,0,1,0,1
8,3,sulawesi,central_sulawesi,1,delong_nickel_phase_iii_power_station_solar,,solar,2657.130806,0,,,,,,,,,,,,,,,,,,,,,Gardu Induk Kolonodale,8.92570057,1.5,1,560000,0,0,10000,0,0,2657.130806,0,1,1,0,0,0,0,None,0,0,1,1,0,1,0,1
9,3,sulawesi,central_sulawesi,1,delong_nickel_phase_iii_power_station_solar,,solar,908.767633,0,,,,,,,,,,,,,,,,,,,,,Gardu Induk Kolonodale,8.92570057,2,1,560000,0,0,10000,0,0,908.767633,0,1,1,0,0,0,0,None,0,0,1,1,0,1,0,1
10,3,sulawesi,central_sulawesi,1,delong_nickel_phase_iii_power_station_solar,,solar,81.634021,0,,,,,,,,,,,,,,,,,,,,,Gardu Induk Kolonodale,8.92570057,2.5,1,560000,0,0,10000,0,0,81.634021,0,1,1,0,0,0,0,None,0,0,1,1,0,1,0,1
