Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,corresponding_week,r_id,month,day,hour,date,demand_z1,demand_z2,demand_z3,demand_z4,demand_z5,demand_z6,demand_z7,demand_z8,demand_z9
2000,1,1,1,2000,8,168,2022,24,1,6,11,1,2023-06-10T23:40:00+08:00,732,2915,1519,207,1039,535,1612,303,1665
,2,0.9,0.04,1800,,,505,3,2,6,11,2,2023-06-11T00:40:00+08:00,702,2796,1457,199,997,514,1546,290,1598
,3,0.55,0.024,1100,,,168,4,3,6,11,3,2023-06-11T01:40:00+08:00,678,2700,1407,192,963,496,1493,280,1542
,4,0.2,0.003,400,,,2527,45,4,6,11,4,2023-06-11T02:40:00+08:00,652,2595,1352,185,925,476,1435,270,1483
,,,,,,,1516,8,5,6,11,5,2023-06-11T03:40:00+08:00,632,2515,1311,178,897,463,1391,261,1437
,,,,,,,842,46,6,6,11,6,2023-06-11T04:40:00+08:00,613,2444,1274,174,872,449,1352,254,1397
,,,,,,,337,39,7,6,11,7,2023-06-11T05:40:00+08:00,606,2415,1259,172,861,443,1336,251,1380
,,,,,,,843,5,8,6,11,8,2023-06-11T06:40:00+08:00,602,2396,1249,170,854,440,1326,248,1369
,,,,,,,,,9,6,11,9,2023-06-11T07:40:00+08:00,555,2212,1152,157,789,406,1224,229,1264
,,,,,,,,,10,6,11,10,2023-06-11T08:40:00+08:00,569,2267,1181,161,808,417,1253,236,1295
,,,,,,,,,11,6,11,11,2023-06-11T09:40:00+08:00,592,2358,1229,168,841,434,1305,245,1347
,,,,,,,,,12,6,11,12,2023-06-11T10:40:00+08:00,616,2455,1280,174,876,451,1358,255,1403
,,,,,,,,,13,6,11,13,2023-06-11T11:40:00+08:00,627,2496,1301,177,890,458,1381,259,1427
,,,,,,,,,14,6,11,14,2023-06-11T12:40:00+08:00,627,2495,1301,177,890,458,1380,259,1426
,,,,,,,,,15,6,11,15,2023-06-11T13:40:00+08:00,646,2571,1340,183,916,472,1422,267,1469
,,,,,,,,,16,6,11,16,2023-06-11T14:40:00+08:00,658,2621,1367,186,934,482,1450,272,1498
,,,,,,,,,17,6,11,17,2023-06-11T15:40:00+08:00,679,2706,1411,192,965,498,1497,281,1547
,,,,,,,,,18,6,11,18,2023-06-11T16:40:00+08:00,687,2738,1427,194,977,503,1515,285,1565
,,,,,,,,,19,6,11,19,2023-06-11T17:40:00+08:00,668,2658,1386,189,948,488,1470,276,1519
,,,,,,,,,20,6,11,20,2023-06-11T18:40:00+08:00,670,2665,1390,189,950,490,1474,277,1523
,,,,,,,,,21,6,11,21,2023-06-11T19:40:00+08:00,738,2940,1532,208,1048,541,1626,305,1679
,,,,,,,,,22,6,11,22,2023-06-11T20:40:00+08:00,759,3022,1575,215,1077,556,1672,313,1727
,,,,,,,,,23,6,11,23,2023-06-11T21:40:00+08:00,759,3024,1576,215,1078,556,1673,314,1728
,,,,,,,,,24,6,11,24,2023-06-11T22:40:00+08:00,747,2976,1551,212,1061,547,1646,309,1701
,,,,,,,,,25,6,12,1,2023-06-11T23:40:00+08:00,722,2875,1498,204,1025,529,1590,298,1642
,,,,,,,,,26,6,12,2,2023-06-12T00:40:00+08:00,685,2732,1424,194,973,502,1511,284,1560
,,,,,,,,,27,6,12,3,2023-06-12T01:40:00+08:00,653,2602,1356,185,928,479,1440,270,1487
,,,,,,,,,28,6,12,4,2023-06-12T02:40:00+08:00,631,2511,1309,178,895,462,1389,261,1435
,,,,,,,,,29,6,12,5,2023-06-12T03:40:00+08:00,609,2428,1265,172,865,447,1342,252,1387
,,,,,,,,,30,6,12,6,2023-06-12T04:40:00+08:00,593,2362,1231,168,842,434,1307,245,1349
,,,,,,,,,31,6,12,7,2023-06-12T05:40:00+08:00,596,2376,1239,169,847,437,1314,247,1358
,,,,,,,,,32,6,12,8,2023-06-12T06:40:00+08:00,610,2428,1265,172,865,447,1343,253,1387
,,,,,,,,,33,6,12,9,2023-06-12T07:40:00+08:00,609,2428,1265,172,865,447,1342,252,1387
,,,,,,,,,34,6,12,10,2023-06-12T08:40:00+08:00,695,2767,1443,197,986,509,1531,288,1581
,,,,,,,,,35,6,12,11,2023-06-12T09:40:00+08:00,741,2952,1539,209,1053,543,1633,307,1687
,,,,,,,,,36,6,12,12,2023-06-12T10:40:00+08:00,766,3053,1591,217,1089,561,1689,317,1745
,,,,,,,,,37,6,12,13,2023-06-12T11:40:00+08:00,774,3087,1609,219,1101,567,1708,321,1764
,,,,,,,,,38,6,12,14,2023-06-12T12:40:00+08:00,760,3027,1577,215,1079,557,1674,314,1729
,,,,,,,,,39,6,12,15,2023-06-12T13:40:00+08:00,787,3135,1634,222,1118,576,1735,326,1792
,,,,,,,,,40,6,12,16,2023-06-12T14:40:00+08:00,811,3231,1685,230,1152,594,1787,336,1846
,,,,,,,,,41,6,12,17,2023-06-12T15:40:00+08:00,825,3286,1713,233,1172,604,1818,341,1878
,,,,,,,,,42,6,12,18,2023-06-12T16:40:00+08:00,828,3297,1719,234,1176,606,1824,342,1884
,,,,,,,,,43,6,12,19,2023-06-12T17:40:00+08:00,783,3120,1626,221,1112,574,1725,324,1782
,,,,,,,,,44,6,12,20,2023-06-12T18:40:00+08:00,756,3010,1570,214,1073,553,1666,312,1721
,,,,,,,,,45,6,12,21,2023-06-12T19:40:00+08:00,808,3221,1678,229,1148,592,1781,335,1841
,,,,,,,,,46,6,12,22,2023-06-12T20:40:00+08:00,821,3267,1703,232,1165,600,1807,339,1867
,,,,,,,,,47,6,12,23,2023-06-12T21:40:00+08:00,810,3225,1681,229,1149,593,1784,335,1843
,,,,,,,,,48,6,12,24,2023-06-12T22:40:00+08:00,789,3145,1639,223,1121,578,1739,326,1797
,,,,,,,,,49,6,13,1,2023-06-12T23:40:00+08:00,757,3012,1570,214,1074,553,1667,313,1722
,,,,,,,,,50,6,13,2,2023-06-13T00:40:00+08:00,715,2846,1484,202,1015,523,1575,295,1626
,,,,,,,,,51,6,13,3,2023-06-13T01:40:00+08:00,687,2740,1428,194,977,503,1516,285,1566
,,,,,,,,,52,6,13,4,2023-06-13T02:40:00+08:00,663,2642,1377,188,942,485,1462,274,1509
,,,,,,,,,53,6,13,5,2023-06-13T03:40:00+08:00,641,2557,1332,182,912,470,1414,265,1461
,,,,,,,,,54,6,13,6,2023-06-13T04:40:00+08:00,628,2498,1303,177,891,459,1382,259,1428
,,,,,,,,,55,6,13,7,2023-06-13T05:40:00+08:00,626,2494,1300,177,889,458,1379,259,1425
,,,,,,,,,56,6,13,8,2023-06-13T06:40:00+08:00,639,2546,1327,181,908,468,1408,264,1455
,,,,,,,,,57,6,13,9,2023-06-13T07:40:00+08:00,631,2513,1309,178,896,462,1389,261,1436
,,,,,,,,,58,6,13,10,2023-06-13T08:40:00+08:00,709,2824,1472,201,1007,519,1562,293,1613
,,,,,,,,,59,6,13,11,2023-06-13T09:40:00+08:00,754,3002,1565,214,1070,551,1661,311,1715
,,,,,,,,,60,6,13,12,2023-06-13T10:40:00+08:00,784,3124,1629,222,1114,574,1729,324,1785
,,,,,,,,,61,6,13,13,2023-06-13T11:40:00+08:00,796,3174,1655,225,1131,583,1756,329,1814
,,,,,,,,,62,6,13,14,2023-06-13T12:40:00+08:00,780,3107,1619,221,1108,570,1718,323,1776
,,,,,,,,,63,6,13,15,2023-06-13T13:40:00+08:00,804,3201,1669,228,1141,589,1770,333,1829
,,,,,,,,,64,6,13,16,2023-06-13T14:40:00+08:00,830,3305,1722,235,1178,607,1828,343,1888
,,,,,,,,,65,6,13,17,2023-06-13T15:40:00+08:00,844,3358,1751,238,1197,617,1858,349,1919
,,,,,,,,,66,6,13,18,2023-06-13T16:40:00+08:00,846,3369,1756,239,1201,620,1864,350,1926
,,,,,,,,,67,6,13,19,2023-06-13T17:40:00+08:00,798,3177,1656,225,1133,584,1758,330,1816
,,,,,,,,,68,6,13,20,2023-06-13T18:40:00+08:00,766,3052,1591,217,1088,561,1689,317,1744
,,,,,,,,,69,6,13,21,2023-06-13T19:40:00+08:00,824,3280,1710,233,1170,603,1813,341,1874
,,,,,,,,,70,6,13,22,2023-06-13T20:40:00+08:00,837,3335,1738,237,1189,613,1845,346,1905
,,,,,,,,,71,6,13,23,2023-06-13T21:40:00+08:00,824,3283,1711,233,1171,604,1815,341,1876
,,,,,,,,,72,6,13,24,2023-06-13T22:40:00+08:00,806,3211,1674,229,1145,590,1776,334,1835
,,,,,,,,,73,6,14,1,2023-06-13T23:40:00+08:00,773,3081,1606,219,1099,566,1705,320,1761
,,,,,,,,,74,6,14,2,2023-06-14T00:40:00+08:00,730,2909,1516,206,1037,534,1609,302,1662
,,,,,,,,,75,6,14,3,2023-06-14T01:40:00+08:00,699,2783,1451,198,993,512,1539,289,1590
,,,,,,,,,76,6,14,4,2023-06-14T02:40:00+08:00,680,2707,1411,192,965,498,1497,281,1547
,,,,,,,,,77,6,14,5,2023-06-14T03:40:00+08:00,651,2591,1350,184,924,476,1433,269,1481
,,,,,,,,,78,6,14,6,2023-06-14T04:40:00+08:00,630,2510,1308,178,895,462,1388,261,1434
,,,,,,,,,79,6,14,7,2023-06-14T05:40:00+08:00,628,2502,1304,177,892,459,1384,260,1430
,,,,,,,,,80,6,14,8,2023-06-14T06:40:00+08:00,635,2530,1319,179,902,465,1400,263,1446
,,,,,,,,,81,6,14,9,2023-06-14T07:40:00+08:00,628,2499,1303,177,891,459,1383,260,1429
,,,,,,,,,82,6,14,10,2023-06-14T08:40:00+08:00,693,2761,1440,197,984,507,1528,287,1577
,,,,,,,,,83,6,14,11,2023-06-14T09:40:00+08:00,742,2955,1540,209,1053,543,1634,307,1688
,,,,,,,,,84,6,14,12,2023-06-14T10:40:00+08:00,762,3037,1583,216,1083,558,1679,316,1736
,,,,,,,,,85,6,14,13,2023-06-14T11:40:00+08:00,772,3075,1602,218,1096,565,1701,320,1757
,,,,,,,,,86,6,14,14,2023-06-14T12:40:00+08:00,756,3011,1570,214,1073,553,1666,312,1721
,,,,,,,,,87,6,14,15,2023-06-14T13:40:00+08:00,787,3134,1634,222,1118,576,1734,325,1791
,,,,,,,,,88,6,14,16,2023-06-14T14:40:00+08:00,806,3208,1672,228,1144,590,1775,334,1833
,,,,,,,,,89,6,14,17,2023-06-14T15:40:00+08:00,822,3273,1707,233,1168,601,1811,340,1870
,,,,,,,,,90,6,14,18,2023-06-14T16:40:00+08:00,828,3297,1719,234,1176,606,1824,342,1884
,,,,,,,,,91,6,14,19,2023-06-14T17:40:00+08:00,785,3126,1630,222,1114,575,1730,325,1787
