Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,corresponding_week,r_id,month,day,hour,date,demand_ip1,demand_ip2,demand_ip3,demand_ip4,demand_ip5,demand_ip6,demand_ip7,demand_ip8,demand_ip9,demand_ip10,demand_ip11,demand_ip12,demand_ip13,demand_ip14,demand_ip15,demand_ip16,demand_ip17,demand_ip18,demand_ip19,demand_ip20,demand_ip21
2000,1,1.0,1.0,2000,8,168,2022,24,1,6,11,1,,126,23,11,65,0,6,6,4,5,5,7,85,6,0,8,24,9,33,15,0,12
,2,0.9,0.04,1800,,,505,3,2,6,11,2,,126,23,11,65,0,6,6,4,5,5,7,85,6,0,8,24,9,33,15,0,12
,3,0.55,0.024,1100,,,168,4,3,6,11,3,,126,23,11,65,0,6,6,4,5,5,7,85,6,0,8,24,9,33,15,0,12
,4,0.2,0.003,400,,,2527,45,4,6,11,4,,126,23,11,65,0,6,6,4,5,5,7,85,6,0,8,24,9,33,15,0,12
,,,,,,,1516,8,5,6,11,5,,180,23,16,65,0,8,9,6,7,5,7,85,6,0,8,24,9,33,15,0,12
,,,,,,,842,46,6,6,11,6,,180,23,16,65,0,8,9,6,7,5,7,85,6,0,8,24,9,33,15,0,12
,,,,,,,337,39,7,6,11,7,,180,29,16,65,0,8,9,6,7,8,7,85,6,0,8,24,9,33,15,0,12
,,,,,,,843,5,8,6,11,8,,180,29,16,65,0,8,9,6,7,8,7,85,6,0,8,24,9,33,15,0,12
,,,,,,,,,9,6,11,9,,180,29,16,65,0,8,9,6,7,8,7,85,6,0,13,24,16,33,25,0,12
,,,,,,,,,10,6,11,10,,180,29,16,65,0,8,9,6,7,8,7,85,6,0,13,24,16,33,25,0,12
,,,,,,,,,11,6,11,11,,180,29,16,65,0,8,9,6,7,8,7,85,6,0,13,24,16,33,25,0,12
,,,,,,,,,12,6,11,12,,180,29,16,65,0,8,9,6,7,8,7,85,6,0,13,24,16,33,25,0,12
,,,,,,,,,13,6,11,13,,180,29,16,65,0,8,9,6,7,8,7,85,6,0,13,24,16,33,25,0,12
,,,,,,,,,14,6,11,14,,180,29,16,65,0,8,9,6,7,8,7,85,6,0,13,24,16,33,25,0,12
