Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,corresponding_week,r_id,month,day,hour,date,demand_z1,demand_z2,demand_z3,demand_z4,demand_z5
2000,1,1,1,2000,8,168,2022,24,1,6,11,1,2023-06-10T23:40:00+08:00,743,815,395,1266,236
,2,0.9,0.04,1800,,,505,3,2,6,11,2,2023-06-11T00:40:00+08:00,712,782,379,1214,227
,3,0.55,0.024,1100,,,168,4,3,6,11,3,2023-06-11T01:40:00+08:00,688,755,365,1172,219
,4,0.2,0.003,400,,,2527,45,4,6,11,4,2023-06-11T02:40:00+08:00,661,725,351,1127,210
,,,,,,,1516,8,5,6,11,5,2023-06-11T03:40:00+08:00,641,703,341,1092,204
,,,,,,,842,46,6,6,11,6,2023-06-11T04:40:00+08:00,623,683,331,1061,198
,,,,,,,337,39,7,6,11,7,2023-06-11T05:40:00+08:00,615,675,327,1049,196
,,,,,,,843,5,8,6,11,8,2023-06-11T06:40:00+08:00,610,670,324,1040,194
,,,,,,,,,9,6,11,9,2023-06-11T07:40:00+08:00,563,618,299,960,179
,,,,,,,,,10,6,11,10,2023-06-11T08:40:00+08:00,577,634,307,984,184
,,,,,,,,,11,6,11,11,2023-06-11T09:40:00+08:00,601,659,319,1024,191
,,,,,,,,,12,6,11,12,2023-06-11T10:40:00+08:00,626,686,332,1066,199
,,,,,,,,,13,6,11,13,2023-06-11T11:40:00+08:00,636,698,338,1084,202
,,,,,,,,,14,6,11,14,2023-06-11T12:40:00+08:00,636,697,338,1083,202
,,,,,,,,,15,6,11,15,2023-06-11T13:40:00+08:00,655,719,348,1116,208
,,,,,,,,,16,6,11,16,2023-06-11T14:40:00+08:00,668,733,355,1138,213
,,,,,,,,,17,6,11,17,2023-06-11T15:40:00+08:00,690,757,366,1175,220
,,,,,,,,,18,6,11,18,2023-06-11T16:40:00+08:00,698,765,371,1189,222
,,,,,,,,,19,6,11,19,2023-06-11T17:40:00+08:00,677,743,360,1154,216
,,,,,,,,,20,6,11,20,2023-06-11T18:40:00+08:00,679,745,361,1158,216
,,,,,,,,,21,6,11,21,2023-06-11T19:40:00+08:00,749,822,398,1277,238
,,,,,,,,,22,6,11,22,2023-06-11T20:40:00+08:00,770,845,409,1312,245
,,,,,,,,,23,6,11,23,2023-06-11T21:40:00+08:00,770,845,409,1313,245
,,,,,,,,,24,6,11,24,2023-06-11T22:40:00+08:00,758,832,403,1292,241
,,,,,,,,,25,6,12,1,2023-06-11T23:40:00+08:00,732,804,389,1248,233
,,,,,,,,,26,6,12,2,2023-06-12T00:40:00+08:00,696,763,370,1186,222
,,,,,,,,,27,6,12,3,2023-06-12T01:40:00+08:00,663,727,352,1130,211
,,,,,,,,,28,6,12,4,2023-06-12T02:40:00+08:00,640,702,340,1090,204
,,,,,,,,,29,6,12,5,2023-06-12T03:40:00+08:00,618,679,329,1054,197
,,,,,,,,,30,6,12,6,2023-06-12T04:40:00+08:00,602,660,320,1026,192
,,,,,,,,,31,6,12,7,2023-06-12T05:40:00+08:00,605,664,322,1032,193
,,,,,,,,,32,6,12,8,2023-06-12T06:40:00+08:00,618,679,329,1054,197
,,,,,,,,,33,6,12,9,2023-06-12T07:40:00+08:00,618,679,329,1054,197
,,,,,,,,,34,6,12,10,2023-06-12T08:40:00+08:00,705,773,375,1202,224
,,,,,,,,,35,6,12,11,2023-06-12T09:40:00+08:00,752,825,400,1282,239
,,,,,,,,,36,6,12,12,2023-06-12T10:40:00+08:00,778,853,413,1326,248
,,,,,,,,,37,6,12,13,2023-06-12T11:40:00+08:00,786,863,418,1340,250
,,,,,,,,,38,6,12,14,2023-06-12T12:40:00+08:00,771,846,410,1314,245
,,,,,,,,,39,6,12,15,2023-06-12T13:40:00+08:00,799,877,425,1362,254
,,,,,,,,,40,6,12,16,2023-06-12T14:40:00+08:00,823,903,437,1403,262
,,,,,,,,,41,6,12,17,2023-06-12T15:40:00+08:00,837,919,445,1427,266
,,,,,,,,,42,6,12,18,2023-06-12T16:40:00+08:00,840,922,446,1432,267
,,,,,,,,,43,6,12,19,2023-06-12T17:40:00+08:00,795,872,422,1355,253
,,,,,,,,,44,6,12,20,2023-06-12T18:40:00+08:00,767,842,408,1308,244
,,,,,,,,,45,6,12,21,2023-06-12T19:40:00+08:00,820,900,436,1399,261
,,,,,,,,,46,6,12,22,2023-06-12T20:40:00+08:00,832,913,442,1419,265
,,,,,,,,,47,6,12,23,2023-06-12T21:40:00+08:00,822,902,437,1401,262
,,,,,,,,,48,6,12,24,2023-06-12T22:40:00+08:00,801,879,426,1366,255
,,,,,,,,,49,6,13,1,2023-06-12T23:40:00+08:00,768,842,408,1308,244
,,,,,,,,,50,6,13,2,2023-06-13T00:40:00+08:00,725,796,385,1236,231
,,,,,,,,,51,6,13,3,2023-06-13T01:40:00+08:00,698,766,371,1190,222
,,,,,,,,,52,6,13,4,2023-06-13T02:40:00+08:00,673,739,358,1147,214
,,,,,,,,,53,6,13,5,2023-06-13T03:40:00+08:00,651,715,346,1110,207
