Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,corresponding_week,r_id,month,day,hour,date,demand_ip1,demand_ip2,demand_ip3,demand_ip4,demand_ip5,demand_ip6,demand_ip7
2000,1,1,1,2000,8,168,2022,24,1,6,11,1,2023-06-10T23:40:00+08:00,100,28,2,1,2,0,801
,2,0.9,0.04,1800,,,505,3,2,6,11,2,2023-06-11T00:40:00+08:00,100,28,2,1,2,0,801
,3,0.55,0.024,1100,,,168,4,3,6,11,3,2023-06-11T01:40:00+08:00,100,28,2,1,2,0,801
,4,0.2,0.003,400,,,2527,45,4,6,11,4,2023-06-11T02:40:00+08:00,100,28,2,1,2,0,801
,,,,,,,1516,8,5,6,11,5,2023-06-11T03:40:00+08:00,100,28,2,1,2,0,801
,,,,,,,842,46,6,6,11,6,2023-06-11T04:40:00+08:00,100,28,2,1,2,0,801
,,,,,,,337,39,7,6,11,7,2023-06-11T05:40:00+08:00,100,28,3,2,3,0,801
,,,,,,,843,5,8,6,11,8,2023-06-11T06:40:00+08:00,100,28,3,2,3,0,801
,,,,,,,,,9,6,11,9,2023-06-11T07:40:00+08:00,100,28,3,2,3,0,801
,,,,,,,,,10,6,11,10,2023-06-11T08:40:00+08:00,100,28,3,2,3,0,801
,,,,,,,,,11,6,11,11,2023-06-11T09:40:00+08:00,100,28,3,2,3,0,801
,,,,,,,,,12,6,11,12,2023-06-11T10:40:00+08:00,100,28,3,2,3,0,801
,,,,,,,,,13,6,11,13,2023-06-11T11:40:00+08:00,100,28,3,2,2,0,801
,,,,,,,,,14,6,11,14,2023-06-11T12:40:00+08:00,100,28,3,2,2,0,801
,,,,,,,,,15,6,11,15,2023-06-11T13:40:00+08:00,100,28,3,2,3,0,801
,,,,,,,,,16,6,11,16,2023-06-11T14:40:00+08:00,100,28,3,2,3,0,801
,,,,,,,,,17,6,11,17,2023-06-11T15:40:00+08:00,100,28,3,2,3,0,801
,,,,,,,,,18,6,11,18,2023-06-11T16:40:00+08:00,100,28,3,2,3,0,801
,,,,,,,,,19,6,11,19,2023-06-11T17:40:00+08:00,100,28,3,1,2,0,801
,,,,,,,,,20,6,11,20,2023-06-11T18:40:00+08:00,100,28,3,1,2,0,801
,,,,,,,,,21,6,11,21,2023-06-11T19:40:00+08:00,100,28,3,1,2,0,801
,,,,,,,,,22,6,11,22,2023-06-11T20:40:00+08:00,100,28,3,1,2,0,801
,,,,,,,,,23,6,11,23,2023-06-11T21:40:00+08:00,100,28,3,1,2,0,801
,,,,,,,,,24,6,11,24,2023-06-11T22:40:00+08:00,100,28,3,1,2,0,801
,,,,,,,,,25,6,12,1,2023-06-11T23:40:00+08:00,100,28,2,1,2,0,801
,,,,,,,,,26,6,12,2,2023-06-12T00:40:00+08:00,100,28,2,1,2,0,801
,,,,,,,,,27,6,12,3,2023-06-12T01:40:00+08:00,100,28,2,1,2,0,801
,,,,,,,,,28,6,12,4,2023-06-12T02:40:00+08:00,100,28,2,1,2,0,801
,,,,,,,,,29,6,12,5,2023-06-12T03:40:00+08:00,100,28,2,1,2,0,801
,,,,,,,,,30,6,12,6,2023-06-12T04:40:00+08:00,100,28,2,1,2,0,801
,,,,,,,,,31,6,12,7,2023-06-12T05:40:00+08:00,100,28,3,2,3,0,801
,,,,,,,,,32,6,12,8,2023-06-12T06:40:00+08:00,100,28,3,2,3,0,801
,,,,,,,,,33,6,12,9,2023-06-12T07:40:00+08:00,100,28,3,2,3,0,801
,,,,,,,,,34,6,12,10,2023-06-12T08:40:00+08:00,100,28,3,2,3,0,801
,,,,,,,,,35,6,12,11,2023-06-12T09:40:00+08:00,100,28,3,2,3,0,801
,,,,,,,,,36,6,12,12,2023-06-12T10:40:00+08:00,100,28,3,2,3,0,801
,,,,,,,,,37,6,12,13,2023-06-12T11:40:00+08:00,100,28,3,2,2,0,801
,,,,,,,,,38,6,12,14,2023-06-12T12:40:00+08:00,100,28,3,2,2,0,801
,,,,,,,,,39,6,12,15,2023-06-12T13:40:00+08:00,100,28,3,2,3,0,801
,,,,,,,,,40,6,12,16,2023-06-12T14:40:00+08:00,100,28,3,2,3,0,801
,,,,,,,,,41,6,12,17,2023-06-12T15:40:00+08:00,100,28,3,2,3,0,801
,,,,,,,,,42,6,12,18,2023-06-12T16:40:00+08:00,100,28,3,2,3,0,801
,,,,,,,,,43,6,12,19,2023-06-12T17:40:00+08:00,100,28,3,1,2,0,801
,,,,,,,,,44,6,12,20,2023-06-12T18:40:00+08:00,100,28,3,1,2,0,801
,,,,,,,,,45,6,12,21,2023-06-12T19:40:00+08:00,100,28,3,1,2,0,801
,,,,,,,,,46,6,12,22,2023-06-12T20:40:00+08:00,100,28,3,1,2,0,801
,,,,,,,,,47,6,12,23,2023-06-12T21:40:00+08:00,100,28,3,1,2,0,801
,,,,,,,,,48,6,12,24,2023-06-12T22:40:00+08:00,100,28,3,1,2,0,801
,,,,,,,,,49,6,13,1,2023-06-12T23:40:00+08:00,100,28,2,1,2,0,801
,,,,,,,,,50,6,13,2,2023-06-13T00:40:00+08:00,100,28,2,1,2,0,801
,,,,,,,,,51,6,13,3,2023-06-13T01:40:00+08:00,100,28,2,1,2,0,801
,,,,,,,,,52,6,13,4,2023-06-13T02:40:00+08:00,100,28,2,1,2,0,801
,,,,,,,,,53,6,13,5,2023-06-13T03:40:00+08:00,100,28,2,1,2,0,801
,,,,,,,,,54,6,13,6,2023-06-13T04:40:00+08:00,100,28,2,1,2,0,801
,,,,,,,,,55,6,13,7,2023-06-13T05:40:00+08:00,100,28,3,2,3,0,801
,,,,,,,,,56,6,13,8,2023-06-13T06:40:00+08:00,100,28,3,2,3,0,801
,,,,,,,,,57,6,13,9,2023-06-13T07:40:00+08:00,100,28,3,2,3,0,801
,,,,,,,,,58,6,13,10,2023-06-13T08:40:00+08:00,100,28,3,2,3,0,801
,,,,,,,,,59,6,13,11,2023-06-13T09:40:00+08:00,100,28,3,2,3,0,801
,,,,,,,,,60,6,13,12,2023-06-13T10:40:00+08:00,100,28,3,2,3,0,801
,,,,,,,,,61,6,13,13,2023-06-13T11:40:00+08:00,100,28,3,2,2,0,801
,,,,,,,,,62,6,13,14,2023-06-13T12:40:00+08:00,100,28,3,2,2,0,801
,,,,,,,,,63,6,13,15,2023-06-13T13:40:00+08:00,100,28,3,2,3,0,801
,,,,,,,,,64,6,13,16,2023-06-13T14:40:00+08:00,100,28,3,2,3,0,801
,,,,,,,,,65,6,13,17,2023-06-13T15:40:00+08:00,100,28,3,2,3,0,801
,,,,,,,,,66,6,13,18,2023-06-13T16:40:00+08:00,100,28,3,2,3,0,801
,,,,,,,,,67,6,13,19,2023-06-13T17:40:00+08:00,100,28,3,1,2,0,801
,,,,,,,,,68,6,13,20,2023-06-13T18:40:00+08:00,100,28,3,1,2,0,801
,,,,,,,,,69,6,13,21,2023-06-13T19:40:00+08:00,100,28,3,1,2,0,801
,,,,,,,,,70,6,13,22,2023-06-13T20:40:00+08:00,100,28,3,1,2,0,801
,,,,,,,,,71,6,13,23,2023-06-13T21:40:00+08:00,100,28,3,1,2,0,801
,,,,,,,,,72,6,13,24,2023-06-13T22:40:00+08:00,100,28,3,1,2,0,801
,,,,,,,,,73,6,14,1,2023-06-13T23:40:00+08:00,100,28,2,1,2,0,801
,,,,,,,,,74,6,14,2,2023-06-14T00:40:00+08:00,100,28,2,1,2,0,801
,,,,,,,,,75,6,14,3,2023-06-14T01:40:00+08:00,100,28,2,1,2,0,801
,,,,,,,,,76,6,14,4,2023-06-14T02:40:00+08:00,100,28,2,1,2,0,801
,,,,,,,,,77,6,14,5,2023-06-14T03:40:00+08:00,100,28,2,1,2,0,801
,,,,,,,,,78,6,14,6,2023-06-14T04:40:00+08:00,100,28,2,1,2,0,801
,,,,,,,,,79,6,14,7,2023-06-14T05:40:00+08:00,100,28,3,2,3,0,801
,,,,,,,,,80,6,14,8,2023-06-14T06:40:00+08:00,100,28,3,2,3,0,801
,,,,,,,,,81,6,14,9,2023-06-14T07:40:00+08:00,100,28,3,2,3,0,801
,,,,,,,,,82,6,14,10,2023-06-14T08:40:00+08:00,100,28,3,2,3,0,801
,,,,,,,,,83,6,14,11,2023-06-14T09:40:00+08:00,100,28,3,2,3,0,801
,,,,,,,,,84,6,14,12,2023-06-14T10:40:00+08:00,100,28,3,2,3,0,801
,,,,,,,,,85,6,14,13,2023-06-14T11:40:00+08:00,100,28,3,2,2,0,801
,,,,,,,,,86,6,14,14,2023-06-14T12:40:00+08:00,100,28,3,2,2,0,801
,,,,,,,,,87,6,14,15,2023-06-14T13:40:00+08:00,100,28,3,2,3,0,801
,,,,,,,,,88,6,14,16,2023-06-14T14:40:00+08:00,100,28,3,2,3,0,801
,,,,,,,,,89,6,14,17,2023-06-14T15:40:00+08:00,100,28,3,2,3,0,801
,,,,,,,,,90,6,14,18,2023-06-14T16:40:00+08:00,100,28,3,2,3,0,801
,,,,,,,,,91,6,14,19,2023-06-14T17:40:00+08:00,100,28,3,1,2,0,801
,,,,,,,,,92,6,14,20,2023-06-14T18:40:00+08:00,100,28,3,1,2,0,801
,,,,,,,,,93,6,14,21,2023-06-14T19:40:00+08:00,100,28,3,1,2,0,801
,,,,,,,,,94,6,14,22,2023-06-14T20:40:00+08:00,100,28,3,1,2,0,801
,,,,,,,,,95,6,14,23,2023-06-14T21:40:00+08:00,100,28,3,1,2,0,801
,,,,,,,,,96,6,14,24,2023-06-14T22:40:00+08:00,100,28,3,1,2,0,801
,,,,,,,,,97,6,15,1,2023-06-14T23:40:00+08:00,100,28,2,1,2,0,801
,,,,,,,,,98,6,15,2,2023-06-15T00:40:00+08:00,100,28,2,1,2,0,801
,,,,,,,,,99,6,15,3,2023-06-15T01:40:00+08:00,100,28,2,1,2,0,801
,,,,,,,,,100,6,15,4,2023-06-15T02:40:00+08:00,100,28,2,1,2,0,801
,,,,,,,,,101,6,15,5,2023-06-15T03:40:00+08:00,100,28,2,1,2,0,801
,,,,,,,,,102,6,15,6,2023-06-15T04:40:00+08:00,100,28,2,1,2,0,801
