R_ID,Zone,System,Province,Industrial_Park,Resource,Resource_Other_Name,technology,Existing_Cap_MW,Existing_Cap_MWh,status,Start_Year,Retire_Year,commodity,supported_project,nature_of_support,plant_owner,owner_parent_company,owner_home_country_flag,major_mainland_china_shareholder,financier,epc,mainland_china_involvement_type,industrial_park,combustion_tech,coal_type,coal_source,alternate_fuel,latitude,longitude,hubname,hubdist,class,New_Build,Inv_Cost_per_MWyr,Inv_Cost_per_MWhyr,capex_mw,Fixed_OM_Cost_per_MWyr,Fixed_OM_Cost_per_MWhyr,Var_OM_Cost_per_MWh,Max_Cap_MW,Min_Power_MW,Ramp_Up_Percentage,Ramp_Dn_Percentage,Commit,Start_Cost_per_MW,Start_Fuel_MMBTU_per_MW,Heat_Rate_MMBTU_per_MWh,Fuel,Up_Time,Down_Time,Eff_Up,Eff_Down,THERM,VRE,STOR,RE
1,1,north_maluku,north_maluku,1,jinchuan_group_wprka_power_station_unit_1,wprka,coal_captive,50,0,operating,2019,,nickel,jinchuan_ferronickel_smelter,,pt_wanatiara_persada,jinchuan_group_60_indonesian_individual_shareholders_40,china,jinchuan_group_,china_development_bank_,jinchuan_group,owner_financier_epc,obi_island_industrial_area_oiia,,,,,-1.56606,127.415933,,,4,-1,1600000,0,0,43900,0,0.12,50,0.25,0.035,0.035,1,110,13.7,8.97,coal_captive,24,24,1,1,1,0,0,0
2,1,north_maluku,north_maluku,1,jinchuan_group_wprka_power_station_unit_2,wprka,coal_captive,50,0,operating,2019,,nickel,jinchuan_ferronickel_smelter,,pt_wanatiara_persada,jinchuan_group_60_indonesian_individual_shareholders_40,china,jinchuan_group_,china_development_bank_,jinchuan_group,owner_financier_epc,obi_island_industrial_area_oiia,,,,,-1.56606,127.415933,,,4,-1,1600000,0,0,43900,0,0.12,50,0.25,0.035,0.035,1,110,13.7,8.97,coal_captive,24,24,1,1,1,0,0,0
3,1,north_maluku,north_maluku,1,jinchuan_group_wprka_power_station_unit_3,wprka,coal_captive,50,0,operating,2019,,nickel,jinchuan_ferronickel_smelter,,pt_wanatiara_persada,jinchuan_group_60_indonesian_individual_shareholders_40,china,jinchuan_group_,china_development_bank_,jinchuan_group,owner_financier_epc,obi_island_industrial_area_oiia,,,,,-1.56606,127.415933,,,4,-1,1600000,0,0,43900,0,0.12,50,0.25,0.035,0.035,1,110,13.7,8.97,coal_captive,24,24,1,1,1,0,0,0
4,1,north_maluku,north_maluku,2,xinxing_ductile_iron_pipes_power_station_unit_1,,coal_captive,38,0,operating,2016,,nickel,pt_megah_surya_pertiwi_rkef_smelter,the_power_plants_were_constructed_by_the_industrial_park_developer_as_part_of_the_infrastructure_for_both_the_park_and_local_communities,pt_megah_surya_pertiwi,harita_group_50,indonesia,,,,,obi_island_industrial_area_oiia,,,,,-1.53064,127.4191,Gardu Induk Piru,189.5735441,4,-1,1600000,0,0,43900,0,0.12,38,0.25,0.035,0.035,1,110,13.7,8.97,coal_captive,24,24,1,1,1,0,0,0
5,1,north_maluku,north_maluku,2,xinxing_ductile_iron_pipes_power_station_unit_2,,coal_captive,38,0,operating,2016,,nickel,pt_megah_surya_pertiwi_rkef_smelter,the_power_plants_were_constructed_by_the_industrial_park_developer_as_part_of_the_infrastructure_for_both_the_park_and_local_communities,pt_megah_surya_pertiwi,harita_group_50,indonesia,,,,,obi_island_industrial_area_oiia,,,,,-1.53064,127.4191,Gardu Induk Piru,189.5735441,4,-1,1600000,0,0,43900,0,0.12,38,0.25,0.035,0.035,1,110,13.7,8.97,coal_captive,24,24,1,1,1,0,0,0
6,1,north_maluku,north_maluku,2,xinxing_ductile_iron_pipes_power_station_unit_3,,coal_captive,38,0,operating,2016,,nickel,pt_megah_surya_pertiwi_rkef_smelter,the_power_plants_were_constructed_by_the_industrial_park_developer_as_part_of_the_infrastructure_for_both_the_park_and_local_communities,pt_megah_surya_pertiwi,harita_group_50,indonesia,,,,,obi_island_industrial_area_oiia,,,,,-1.53064,127.4191,Gardu Induk Piru,189.5735441,4,-1,1600000,0,0,43900,0,0.12,38,0.25,0.035,0.035,1,110,13.7,8.97,coal_captive,24,24,1,1,1,0,0,0
7,1,north_maluku,north_maluku,2,xinxing_ductile_iron_pipes_power_station_geothermal,,geothermal,260855.4116,0,,,,,,,,,,,,,,,,,,,-1.53064,127.4191,Gardu Induk Piru,189.5735441,1,1,3440000,0,0,43000,0,0.22,260855.4116,0,0.1,0.1,0,0,0,10.34,None,0,0,1,1,0,0,0,1
8,1,north_maluku,north_maluku,2,xinxing_ductile_iron_pipes_power_station_geothermal,,geothermal,49202.6718,0,,,,,,,,,,,,,,,,,,,-1.53064,127.4191,Gardu Induk Piru,189.5735441,1.5,1,3440000,0,0,43000,0,0.22,49202.6718,0,0.1,0.1,0,0,0,10.34,None,0,0,1,1,0,0,0,1
9,1,north_maluku,north_maluku,2,xinxing_ductile_iron_pipes_power_station_geothermal,,geothermal,5910.051896,0,,,,,,,,,,,,,,,,,,,-1.53064,127.4191,Gardu Induk Piru,189.5735441,2,1,3440000,0,0,43000,0,0.22,5910.051896,0,0.1,0.1,0,0,0,10.34,None,0,0,1,1,0,0,0,1
10,1,north_maluku,north_maluku,2,xinxing_ductile_iron_pipes_power_station_geothermal,,geothermal,3475.844981,0,,,,,,,,,,,,,,,,,,,-1.53064,127.4191,Gardu Induk Piru,189.5735441,2.5,1,3440000,0,0,43000,0,0.22,3475.844981,0,0.1,0.1,0,0,0,10.34,None,0,0,1,1,0,0,0,1
