r_id,amman_mineral_power_station_unit_1,amman_mineral_power_station_unit_2,amman_mineral_power_station_unit_3,amman_mineral_power_station_unit_4,amman_mineral_power_station_geothermal,amman_mineral_power_station_geothermal,amman_mineral_power_station_geothermal,amman_mineral_power_station_geothermal,amman_mineral_power_station_geothermal,amman_mineral_power_station_solar,amman_mineral_power_station_solar,amman_mineral_power_station_solar,amman_mineral_power_station_solar,amman_mineral_power_station_solar,amman_mineral_power_station_wind
1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.063
2,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.073
3,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.08
4,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.082
5,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.082
6,1,1,1,1,1,1,1,1,1,0.007,0.007,0.007,0.007,0.007,0.083
7,1,1,1,1,1,1,1,1,1,0.126,0.126,0.126,0.126,0.126,0.068
8,1,1,1,1,1,1,1,1,1,0.299,0.299,0.299,0.299,0.299,0.087
9,1,1,1,1,1,1,1,1,1,0.453,0.453,0.453,0.453,0.453,0.112
10,1,1,1,1,1,1,1,1,1,0.556,0.556,0.556,0.556,0.556,0.105
11,1,1,1,1,1,1,1,1,1,0.609,0.609,0.609,0.609,0.609,0.093
12,1,1,1,1,1,1,1,1,1,0.618,0.618,0.618,0.618,0.618,0.083
13,1,1,1,1,1,1,1,1,1,0.582,0.582,0.582,0.582,0.582,0.073
14,1,1,1,1,1,1,1,1,1,0.497,0.497,0.497,0.497,0.497,0.066
15,1,1,1,1,1,1,1,1,1,0.356,0.356,0.356,0.356,0.356,0.06
16,1,1,1,1,1,1,1,1,1,0.198,0.198,0.198,0.198,0.198,0.046
17,1,1,1,1,1,1,1,1,1,0.051,0.051,0.051,0.051,0.051,0.043
18,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.06
19,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.068
20,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.073
21,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.088
22,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.098
23,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.104
24,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.102
25,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.1
26,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.103
27,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.114
28,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.117
29,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.133
30,1,1,1,1,1,1,1,1,1,0.01,0.01,0.01,0.01,0.01,0.134
31,1,1,1,1,1,1,1,1,1,0.166,0.166,0.166,0.166,0.166,0.117
32,1,1,1,1,1,1,1,1,1,0.364,0.364,0.364,0.364,0.364,0.177
33,1,1,1,1,1,1,1,1,1,0.515,0.515,0.515,0.515,0.515,0.223
34,1,1,1,1,1,1,1,1,1,0.618,0.618,0.618,0.618,0.618,0.223
35,1,1,1,1,1,1,1,1,1,0.674,0.674,0.674,0.674,0.674,0.21
36,1,1,1,1,1,1,1,1,1,0.689,0.689,0.689,0.689,0.689,0.202
37,1,1,1,1,1,1,1,1,1,0.651,0.651,0.651,0.651,0.651,0.201
38,1,1,1,1,1,1,1,1,1,0.554,0.554,0.554,0.554,0.554,0.212
39,1,1,1,1,1,1,1,1,1,0.415,0.415,0.415,0.415,0.415,0.223
40,1,1,1,1,1,1,1,1,1,0.211,0.211,0.211,0.211,0.211,0.179
41,1,1,1,1,1,1,1,1,1,0.045,0.045,0.045,0.045,0.045,0.138
42,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.127
43,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.128
44,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.132
45,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.128
46,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.133
47,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.147
48,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.167
49,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.21
50,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.209
51,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.21
52,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.186
53,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.19
54,1,1,1,1,1,1,1,1,1,0.01,0.01,0.01,0.01,0.01,0.205
55,1,1,1,1,1,1,1,1,1,0.16,0.16,0.16,0.16,0.16,0.178
56,1,1,1,1,1,1,1,1,1,0.332,0.332,0.332,0.332,0.332,0.224
57,1,1,1,1,1,1,1,1,1,0.525,0.525,0.525,0.525,0.525,0.243
58,1,1,1,1,1,1,1,1,1,0.627,0.627,0.627,0.627,0.627,0.214
59,1,1,1,1,1,1,1,1,1,0.684,0.684,0.684,0.684,0.684,0.188
60,1,1,1,1,1,1,1,1,1,0.696,0.696,0.696,0.696,0.696,0.167
61,1,1,1,1,1,1,1,1,1,0.669,0.669,0.669,0.669,0.669,0.146
62,1,1,1,1,1,1,1,1,1,0.589,0.589,0.589,0.589,0.589,0.127
63,1,1,1,1,1,1,1,1,1,0.46,0.46,0.46,0.46,0.46,0.112
64,1,1,1,1,1,1,1,1,1,0.279,0.279,0.279,0.279,0.279,0.09
65,1,1,1,1,1,1,1,1,1,0.064,0.064,0.064,0.064,0.064,0.077
66,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.095
67,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.106
68,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.119
69,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.125
70,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.13
71,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.13
72,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.125
73,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.128
74,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.135
75,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.146
76,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.143
77,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.133
