r_id,plta_orya_genyem,pltd_genyem,pltd_sentani,pltmg_jayapura_peaker,mpp_jayapura,pltu_jayapura_ftp_1,pltd_jayapura,pltd_wamena,pltmg_merauke,pltg_merauke_2,pltbm_merauke,pltmg_biak_2,pltmg_biak,pltmg_nabire_2,mpp_nabire,mpp_timika,pltmg_biak_3,pltm_wabudori,plts_dedieselisasi,plts_dedieselisasi,plts_lisdes,plts_lisdes,plts_lisdes,plts_lisdes,plts_lisdes,plts_lisdes,plts_lisdes,plts_lisdes,plts_lisdes,plts_lisdes,pltmg_jayapura,plta_orya_2,pltm_amai,plt_ebt_base_jayapura_2,pltm_mamberamo_raya,pltbm_merauke_3,pltm_kalibumi_1,pltu_nabire_kalibobo,pltm_digoel,pltd_sarmi,plts_sarmi,pltmg_serui_1,plts_serui,pltmg_serui_2,pltmg_timika_2,pltmg_timika_2,plts_timika,pltmg_timika_3,pltm_cascade_walesi,pltm_uwe,pltm_walesi_blok_2,plta_baliem,papua_solar_potential_ruen,papua_wind_potential_ruen,papua_hydropower_potential_ruen,papua_hydropower_mini_potential_ruen,papua_biomass_potential_ruen,papua_biogas_potential_ruen,pltd_sorong,pltg_sorong,pltmg_manokawari_2,pltmg_bintuni,pltmg_mpp_fak_fak,pltmg_dedieselisasi,plts_dedieselisasi,plts_dedieselisasi,plts_lisdes,plts_lisdes,plts_lisdes,plts_lisdes,plts_lisdes,plts_lisdes,plts_lisdes,pltmg_kaimana,pltbm_kaimana_2,pltmg_mpp_manokwari,pltmg_manokwari_3,pltm_warnasi_warkai,plts_manokwari,plts_manokwari_eks_apbn,pltmg_raja_ampat,pltmg_sorong_2,pltu_sorong_ex_timika,plt_ebt_base_sorong_3,pltm_waigo,pltmg_sorong,west_papua_solar_potential_ruen,west_papua_wind_potential_ruen,west_papua_hydropower_mini_potential_ruen,west_papua_biomass_potential_ruen,west_papua_biogas_potential_ruen
1,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0.5,1,0.5,1,0.5,1,0.5,1,0,1,0,1,1,1,0,1,0.5,0.5,0.5,0.5,0,0.001,0.5,0.5,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0.5,0,0,1,1,1,1,0.5,1,0,0.005,0.5,1,
2,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0.5,1,0.5,1,0.5,1,0.5,1,0,1,0,1,1,1,0,1,0.5,0.5,0.5,0.5,0,0.001,0.5,0.5,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0.5,0,0,1,1,1,1,0.5,1,0,0.003,0.5,1,
3,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0.5,1,0.5,1,0.5,1,0.5,1,0,1,0,1,1,1,0,1,0.5,0.5,0.5,0.5,0,0.001,0.5,0.5,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0.5,0,0,1,1,1,1,0.5,1,0,0.005,0.5,1,
4,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0.5,1,0.5,1,0.5,1,0.5,1,0,1,0,1,1,1,0,1,0.5,0.5,0.5,0.5,0,0,0.5,0.5,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0.5,0,0,1,1,1,1,0.5,1,0,0.008,0.5,1,
5,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0.5,1,0.5,1,0.5,1,0.5,1,0,1,0,1,1,1,0,1,0.5,0.5,0.5,0.5,0,0,0.5,0.5,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0.5,0,0,1,1,1,1,0.5,1,0,0.012,0.5,1,
6,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,1,0.5,0.5,1,0.5,1,0.5,1,0.5,1,0.028,1,0.028,1,1,1,0.028,1,0.5,0.5,0.5,0.5,0.028,0,0.5,0.5,1,1,1,1,1,1,1,1,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,1,1,1,1,0.5,0.002,0.002,1,1,1,1,0.5,1,0.002,0.04,0.5,1,
7,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,0.141,0.141,0.141,0.141,0.141,0.141,0.141,0.141,0.141,0.141,0.141,0.141,1,0.5,0.5,1,0.5,1,0.5,1,0.5,1,0.141,1,0.141,1,1,1,0.141,1,0.5,0.5,0.5,0.5,0.141,0,0.5,0.5,1,1,1,1,1,1,1,1,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,1,1,1,1,0.5,0.033,0.033,1,1,1,1,0.5,1,0.033,0.05,0.5,1,
8,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,0.303,0.303,0.303,0.303,0.303,0.303,0.303,0.303,0.303,0.303,0.303,0.303,1,0.5,0.5,1,0.5,1,0.5,1,0.5,1,0.303,1,0.303,1,1,1,0.303,1,0.5,0.5,0.5,0.5,0.303,0.001,0.5,0.5,1,1,1,1,1,1,1,1,0.112,0.112,0.112,0.112,0.112,0.112,0.112,0.112,0.112,1,1,1,1,0.5,0.112,0.112,1,1,1,1,0.5,1,0.112,0.016,0.5,1,
9,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,0.468,0.468,0.468,0.468,0.468,0.468,0.468,0.468,0.468,0.468,0.468,0.468,1,0.5,0.5,1,0.5,1,0.5,1,0.5,1,0.468,1,0.468,1,1,1,0.468,1,0.5,0.5,0.5,0.5,0.468,0.001,0.5,0.5,1,1,1,1,1,1,1,1,0.233,0.233,0.233,0.233,0.233,0.233,0.233,0.233,0.233,1,1,1,1,0.5,0.233,0.233,1,1,1,1,0.5,1,0.233,0.004,0.5,1,
10,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,0.619,0.619,0.619,0.619,0.619,0.619,0.619,0.619,0.619,0.619,0.619,0.619,1,0.5,0.5,1,0.5,1,0.5,1,0.5,1,0.619,1,0.619,1,1,1,0.619,1,0.5,0.5,0.5,0.5,0.619,0.005,0.5,0.5,1,1,1,1,1,1,1,1,0.353,0.353,0.353,0.353,0.353,0.353,0.353,0.353,0.353,1,1,1,1,0.5,0.353,0.353,1,1,1,1,0.5,1,0.353,0.002,0.5,1,
