R_ID,Zone,System,Province,Industrial_Park,Resource,Resource_Other_Name,technology,Existing_Cap_MW,Existing_Cap_MWh,status,Start_Year,Retire_Year,commodity,supported_project,nature_of_support,plant_owner,owner_parent_company,owner_home_country_flag,major_mainland_china_shareholder,financier,epc,mainland_china_involvement_type,industrial_park,combustion_tech,coal_type,coal_source,alternate_fuel,latitude,longitude,hubname,hubdist,class,New_Build,Inv_Cost_per_MWyr,Inv_Cost_per_MWhyr,capex_mw,Fixed_OM_Cost_per_MWyr,Fixed_OM_Cost_per_MWhyr,Var_OM_Cost_per_MWh,Max_Cap_MW,Min_Power_MW,Ramp_Up_Percentage,Ramp_Dn_Percentage,Commit,Start_Cost_per_MW,Start_Fuel_MMBTU_per_MW,Heat_Rate_MMBTU_per_MWh,Fuel,Up_Time,Down_Time,Eff_Up,Eff_Down,THERM,VRE,STOR,RE
1,3,sulawesi,central_sulawesi,1,delong_nickel_phase_iii_power_station_phase_iii_unit_1,pltu_gni,coal_captive,135,0,operating,2021,,nickel,pt_gunbuster_nickel_industry,the_power_plants_were_constructed_by_the_industrial_park_developer_as_part_of_the_infrastructure_for_both_the_park_and_local_communities_preferential_policies_regarding_the_park_also_provides_the_power_plants_highly_discounted_coal_prices,pt_gunbuster_nickel_industry,jiangsu_delong_nickel_industry_co,china,jiangsu_delong_nickel_industry_co_,,,owner,stardust_estate_investment_industrial_park_sei_,,,,,-2.00469,121.4381,,,4,-1,1360000,0,0,40000,0,0.12,135,0.25,0.04,0.04,1,50,13.7,8.97,coal_captive,24,24,1,1,1,0,0,0
2,3,sulawesi,central_sulawesi,1,delong_nickel_phase_iii_power_station_phase_iii_unit_2,pltu_gni,coal_captive,135,0,operating,2021,,nickel,pt_gunbuster_nickel_industry,the_power_plants_were_constructed_by_the_industrial_park_developer_as_part_of_the_infrastructure_for_both_the_park_and_local_communities_preferential_policies_regarding_the_park_also_provides_the_power_plants_highly_discounted_coal_prices,pt_gunbuster_nickel_industry,jiangsu_delong_nickel_industry_co,china,jiangsu_delong_nickel_industry_co_,,,owner,stardust_estate_investment_industrial_park_sei_,,,,,-2.00469,121.4381,,,4,-1,1360000,0,0,40000,0,0.12,135,0.25,0.04,0.04,1,50,13.7,8.97,coal_captive,24,24,1,1,1,0,0,0
3,3,sulawesi,central_sulawesi,1,delong_nickel_phase_iii_power_station_phase_iii_unit_3,pltu_gni,coal_captive,135,0,operating,2021,,nickel,pt_gunbuster_nickel_industry,the_power_plants_were_constructed_by_the_industrial_park_developer_as_part_of_the_infrastructure_for_both_the_park_and_local_communities_preferential_policies_regarding_the_park_also_provides_the_power_plants_highly_discounted_coal_prices,pt_gunbuster_nickel_industry,jiangsu_delong_nickel_industry_co,china,jiangsu_delong_nickel_industry_co_,,,owner,stardust_estate_investment_industrial_park_sei_,,,,,-2.00469,121.4381,,,4,-1,1360000,0,0,40000,0,0.12,135,0.25,0.04,0.04,1,50,13.7,8.97,coal_captive,24,24,1,1,1,0,0,0
4,3,sulawesi,central_sulawesi,1,delong_nickel_phase_iii_power_station_phase_iii_unit_4,pltu_gni,coal_captive,135,0,operating,2021,,nickel,pt_gunbuster_nickel_industry,the_power_plants_were_constructed_by_the_industrial_park_developer_as_part_of_the_infrastructure_for_both_the_park_and_local_communities_preferential_policies_regarding_the_park_also_provides_the_power_plants_highly_discounted_coal_prices,pt_gunbuster_nickel_industry,jiangsu_delong_nickel_industry_co,china,jiangsu_delong_nickel_industry_co_,,,owner,stardust_estate_investment_industrial_park_sei_,,,,,-2.00469,121.4381,,,4,-1,1360000,0,0,40000,0,0.12,135,0.25,0.04,0.04,1,50,13.7,8.97,coal_captive,24,24,1,1,1,0,0,0
5,3,sulawesi,central_sulawesi,1,delong_nickel_phase_iii_power_station_phase_iii_unit_5,pltu_gni,coal_captive,135,0,operating,2021,,nickel,pt_gunbuster_nickel_industry,the_power_plants_were_constructed_by_the_industrial_park_developer_as_part_of_the_infrastructure_for_both_the_park_and_local_communities_preferential_policies_regarding_the_park_also_provides_the_power_plants_highly_discounted_coal_prices,pt_gunbuster_nickel_industry,jiangsu_delong_nickel_industry_co,china,jiangsu_delong_nickel_industry_co_,,,owner,stardust_estate_investment_industrial_park_sei_,,,,,-2.00469,121.4381,,,4,-1,1360000,0,0,40000,0,0.12,135,0.25,0.04,0.04,1,50,13.7,8.97,coal_captive,24,24,1,1,1,0,0,0
6,3,sulawesi,central_sulawesi,1,delong_nickel_phase_iii_power_station_phase_iii_unit_6,pltu_gni,coal_captive,135,0,operating,2021,,nickel,pt_gunbuster_nickel_industry,the_power_plants_were_constructed_by_the_industrial_park_developer_as_part_of_the_infrastructure_for_both_the_park_and_local_communities_preferential_policies_regarding_the_park_also_provides_the_power_plants_highly_discounted_coal_prices,pt_gunbuster_nickel_industry,jiangsu_delong_nickel_industry_co,china,jiangsu_delong_nickel_industry_co_,,,owner,stardust_estate_investment_industrial_park_sei_,,,,,-2.00469,121.4381,,,4,-1,1360000,0,0,40000,0,0.12,135,0.25,0.04,0.04,1,50,13.7,8.97,coal_captive,24,24,1,1,1,0,0,0
7,3,sulawesi,central_sulawesi,1,delong_nickel_phase_iii_power_station_phase_iii_unit_7,pltu_gni,coal_captive,135,0,operating,2021,,nickel,pt_gunbuster_nickel_industry,the_power_plants_were_constructed_by_the_industrial_park_developer_as_part_of_the_infrastructure_for_both_the_park_and_local_communities_preferential_policies_regarding_the_park_also_provides_the_power_plants_highly_discounted_coal_prices,pt_gunbuster_nickel_industry,jiangsu_delong_nickel_industry_co,china,jiangsu_delong_nickel_industry_co_,,,owner,stardust_estate_investment_industrial_park_sei_,,,,,-2.00469,121.4381,,,4,-1,1360000,0,0,40000,0,0.12,135,0.25,0.04,0.04,1,50,13.7,8.97,coal_captive,24,24,1,1,1,0,0,0
8,3,sulawesi,central_sulawesi,1,delong_nickel_phase_iii_power_station_phase_iii_unit_8,pltu_nni,coal_captive,150,0,construction,,,nickel,pt_nadesico_nickel_industry,the_power_plants_were_constructed_by_the_industrial_park_developer_as_part_of_the_infrastructure_for_both_the_park_and_local_communities_preferential_policies_regarding_the_park_also_provides_the_power_plants_highly_discounted_coal_prices,pt_nadesico_nickel_industry,cngr_advanced_material_co_ltd_67_jiangsu_delong_nickel_industry_co_33,china,cngr_advanced_material_co_ltd__jiangsu_delong_nickel_industry_co_,,,owner,stardust_estate_investment_industrial_park_sei_,,,,,-2.015594,121.43204,,,4,-1,1360000,0,0,40000,0,0.12,150,0.25,0.04,0.04,1,50,13.7,8.97,coal_captive,24,24,1,1,1,0,0,0
9,3,sulawesi,central_sulawesi,1,delong_nickel_phase_iii_power_station_phase_iii_unit_9,pltu_nni,coal_captive,300,0,construction,,,nickel,pt_nadesico_nickel_industry,the_power_plants_were_constructed_by_the_industrial_park_developer_as_part_of_the_infrastructure_for_both_the_park_and_local_communities_preferential_policies_regarding_the_park_also_provides_the_power_plants_highly_discounted_coal_prices,pt_nadesico_nickel_industry,cngr_advanced_material_co_ltd_67_jiangsu_delong_nickel_industry_co_33,china,cngr_advanced_material_co_ltd__jiangsu_delong_nickel_industry_co_,,,owner,stardust_estate_investment_industrial_park_sei_,,,,,-2.015594,121.43204,,,4,-1,1360000,0,0,40000,0,0.12,300,0.25,0.04,0.04,1,50,13.7,8.97,coal_captive,24,24,1,1,1,0,0,0
10,3,sulawesi,central_sulawesi,1,delong_nickel_phase_iii_power_station_phase_iii_unit_10,pltu_nni,coal_captive,300,0,construction,,,nickel,pt_nadesico_nickel_industry,the_power_plants_were_constructed_by_the_industrial_park_developer_as_part_of_the_infrastructure_for_both_the_park_and_local_communities_preferential_policies_regarding_the_park_also_provides_the_power_plants_highly_discounted_coal_prices,pt_nadesico_nickel_industry,cngr_advanced_material_co_ltd_67_jiangsu_delong_nickel_industry_co_33,china,cngr_advanced_material_co_ltd__jiangsu_delong_nickel_industry_co_,,,owner,stardust_estate_investment_industrial_park_sei_,,,,,-2.015594,121.43204,,,4,-1,1360000,0,0,40000,0,0.12,300,0.25,0.04,0.04,1,50,13.7,8.97,coal_captive,24,24,1,1,1,0,0,0
