Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,corresponding_week,r_id,month,day,hour,date,demand_z1,demand_z2,demand_z3,demand_z4,demand_z5,demand_z6,demand_z7,demand_z8,demand_z9
2000,1,1,1,2000,8,168,2022,24,1,6,11,1,2023-06-10T23:40:00+08:00,698,2771,1445,194,980,501,1540,284,1569
,2,0.9,0.04,1800,,,505,3,2,6,11,2,2023-06-11T00:40:00+08:00,670,2658,1386,186,940,481,1477,272,1505
,3,0.55,0.024,1100,,,168,4,3,6,11,3,2023-06-11T01:40:00+08:00,647,2567,1338,180,908,464,1426,263,1453
,4,0.2,0.003,400,,,2527,45,4,6,11,4,2023-06-11T02:40:00+08:00,622,2467,1286,173,872,446,1371,253,1397
,,,,,,,1516,8,5,6,11,5,2023-06-11T03:40:00+08:00,603,2391,1247,167,846,433,1329,245,1354
,,,,,,,842,46,6,6,11,6,2023-06-11T04:40:00+08:00,585,2324,1212,163,822,420,1291,238,1316
,,,,,,,337,39,7,6,11,7,2023-06-11T05:40:00+08:00,578,2296,1197,161,812,415,1276,235,1300
,,,,,,,843,5,8,6,11,8,2023-06-11T06:40:00+08:00,574,2278,1188,159,805,412,1266,233,1290
,,,,,,,,,9,6,11,9,2023-06-11T07:40:00+08:00,530,2103,1096,147,744,380,1169,215,1191
,,,,,,,,,10,6,11,10,2023-06-11T08:40:00+08:00,543,2155,1123,151,762,390,1197,221,1220
,,,,,,,,,11,6,11,11,2023-06-11T09:40:00+08:00,565,2242,1169,157,793,406,1246,230,1269
,,,,,,,,,12,6,11,12,2023-06-11T10:40:00+08:00,588,2334,1217,163,826,422,1297,239,1322
,,,,,,,,,13,6,11,13,2023-06-11T11:40:00+08:00,598,2373,1237,166,839,429,1319,243,1344
,,,,,,,,,14,6,11,14,2023-06-11T12:40:00+08:00,598,2372,1237,166,839,429,1318,243,1343
,,,,,,,,,15,6,11,15,2023-06-11T13:40:00+08:00,616,2444,1274,171,864,442,1358,250,1384
,,,,,,,,,16,6,11,16,2023-06-11T14:40:00+08:00,628,2492,1300,174,881,451,1385,255,1411
,,,,,,,,,17,6,11,17,2023-06-11T15:40:00+08:00,648,2573,1342,180,910,466,1430,264,1457
,,,,,,,,,18,6,11,18,2023-06-11T16:40:00+08:00,656,2603,1357,182,921,471,1447,267,1474
,,,,,,,,,19,6,11,19,2023-06-11T17:40:00+08:00,637,2527,1318,177,894,457,1404,259,1431
,,,,,,,,,20,6,11,20,2023-06-11T18:40:00+08:00,639,2534,1322,177,896,459,1408,260,1435
,,,,,,,,,21,6,11,21,2023-06-11T19:40:00+08:00,704,2795,1457,195,988,506,1553,286,1582
,,,,,,,,,22,6,11,22,2023-06-11T20:40:00+08:00,724,2873,1498,201,1016,520,1597,294,1627
,,,,,,,,,23,6,11,23,2023-06-11T21:40:00+08:00,724,2875,1499,201,1017,520,1598,295,1628
,,,,,,,,,24,6,11,24,2023-06-11T22:40:00+08:00,713,2829,1475,198,1001,512,1572,290,1602
,,,,,,,,,25,6,12,1,2023-06-11T23:40:00+08:00,689,2733,1425,191,967,495,1519,280,1547
,,,,,,,,,26,6,12,2,2023-06-12T00:40:00+08:00,654,2597,1354,182,918,470,1443,266,1470
,,,,,,,,,27,6,12,3,2023-06-12T01:40:00+08:00,623,2474,1290,173,875,448,1375,253,1401
,,,,,,,,,28,6,12,4,2023-06-12T02:40:00+08:00,602,2387,1245,167,844,432,1327,245,1352
,,,,,,,,,29,6,12,5,2023-06-12T03:40:00+08:00,581,2308,1203,161,816,418,1282,236,1307
,,,,,,,,,30,6,12,6,2023-06-12T04:40:00+08:00,566,2246,1171,157,794,406,1248,230,1271
,,,,,,,,,31,6,12,7,2023-06-12T05:40:00+08:00,569,2259,1178,158,799,409,1255,232,1279
,,,,,,,,,32,6,12,8,2023-06-12T06:40:00+08:00,582,2308,1203,161,816,418,1283,237,1307
,,,,,,,,,33,6,12,9,2023-06-12T07:40:00+08:00,581,2308,1203,161,816,418,1282,236,1307
,,,,,,,,,34,6,12,10,2023-06-12T08:40:00+08:00,663,2631,1372,184,930,476,1462,270,1489
,,,,,,,,,35,6,12,11,2023-06-12T09:40:00+08:00,707,2807,1464,196,993,508,1560,288,1589
,,,,,,,,,36,6,12,12,2023-06-12T10:40:00+08:00,731,2903,1513,203,1027,525,1613,297,1644
,,,,,,,,,37,6,12,13,2023-06-12T11:40:00+08:00,739,2935,1530,205,1038,531,1631,301,1662
,,,,,,,,,38,6,12,14,2023-06-12T12:40:00+08:00,725,2878,1500,201,1018,521,1599,295,1629
,,,,,,,,,39,6,12,15,2023-06-12T13:40:00+08:00,751,2981,1554,208,1054,539,1657,306,1688
