R_ID,Zone,System,Province,Resource,technology,Existing_Cap_MW,Existing_Cap_MWh,cod,status,owner,quota_allocation,New_Build,Inv_Cost_per_MWyr,Inv_Cost_per_MWhyr,capex_mw,Fixed_OM_Cost_per_MWyr,Fixed_OM_Cost_per_MWhyr,Var_OM_Cost_per_MWh,Max_Cap_MW,Min_Power_MW,Ramp_Up_Percentage,Ramp_Dn_Percentage,Commit,Start_Cost_per_MW,Start_Fuel_MMBTU_per_MW,Heat_Rate_MMBTU_per_MWh,Fuel,Up_Time,Down_Time,Eff_Up,Eff_Down,THERM,VRE,STOR,JETP,post_JETP,JETP_r,RE,priority
1,1,jawa_bali,dki_jakarta,pltgu_muara_karang_blok_1__2_,ccgt,1074,0,,operating,pln,,-1,660000,0,0,22800,0,2.23,250,0.3,0.2,0.2,1,80,2,5.78,gas,6,6,1,1,1,0,0,,,,0,
2,1,jawa_bali,dki_jakarta,pltu_muara_karan_4_5_,coal,324,0,,operating,pln,,-1,1360000,0,0,40000,0,0.12,224,0.25,0.04,0.04,1,50,13.7,8.97,coal,24,24,1,1,1,0,0,,,,0,
3,1,jawa_bali,dki_jakarta,pltgu_muara_karang_blok_3_gt,ccgt,300,0,,operating,pln,,-1,660000,0,0,22800,0,2.23,250,0.3,0.2,0.2,1,80,2,5.78,gas,6,6,1,1,1,0,0,,,,0,
4,1,jawa_bali,dki_jakarta,pltd_senayan,diesel,100,0,,operating,pln,,-1,800000,0,0,8000,0,6,50,0.06,0.25,0.25,1,0,2,7.42,diesel,0.5,0.5,1,1,1,0,0,,,,0,
5,1,jawa_bali,dki_jakarta,pltgu_priok_blok_1_2__3,ccgt,1815,0,,operating,pln,,-1,660000,0,0,22800,0,2.23,250,0.3,0.2,0.2,1,80,2,5.78,gas,6,6,1,1,1,0,0,,,,0,
6,1,jawa_bali,dki_jakarta,pltgu_jawa2,ccgt,600,0,,operating,pln,,-1,660000,0,0,22800,0,2.23,250,0.3,0.2,0.2,1,80,2,5.78,gas,6,6,1,1,1,0,0,,,,0,
7,2,jawa_bali,banten,pltu_ipp_lbe,coal,625,0,,operating,ipp,,-1,1360000,0,0,40000,0,0.12,224,0.25,0.04,0.04,1,50,13.7,8.97,coal,24,24,1,1,1,0,0,,,,0,
8,2,jawa_bali,banten,pltu_suralaya_18,coal,3802,0,,operating,pln,,-1,1480000,0,0,54900,0,0.11,1200,0.25,0.05,0.05,1,60,13.7,8.97,coal,24,24,1,1,1,0,0,,,,0,
9,2,jawa_bali,banten,pltu_jawa7,coal,1882,0,,operating,pln,,-1,1480000,0,0,54900,0,0.11,1200,0.25,0.05,0.05,1,60,13.7,8.97,coal,24,24,1,1,1,0,0,,,,0,
10,2,jawa_bali,banten,pltgu_cilegon,ccgt,660,0,,operating,pln,,-1,660000,0,0,22800,0,2.23,250,0.3,0.2,0.2,1,80,2,5.78,gas,6,6,1,1,1,0,0,,,,0,
11,2,jawa_bali,banten,pltu_lontar_13,coal,30,0,,operating,pln,,-1,1600000,0,0,43900,0,0.12,14,0.25,0.035,0.035,1,110,13.7,8.97,coal,24,24,1,1,1,0,0,,,,0,
12,2,jawa_bali,banten,pltu_labuhan_12,coal,560,0,,operating,pln,,-1,1360000,0,0,40000,0,0.12,224,0.25,0.04,0.04,1,50,13.7,8.97,coal,24,24,1,1,1,0,0,,,,0,
13,3,jawa_bali,west_jawa,pltgu_muara_tawar_blok_1__5,ccgt,829,0,,operating,pln,,-1,660000,0,0,22800,0,2.23,250,0.3,0.2,0.2,1,80,2,5.78,gas,6,6,1,1,1,0,0,,,,0,
14,3,jawa_bali,west_jawa,pltg_muara_tawar_blok_2_3_4,gas,1114,0,,operating,pln,,-1,730000,0,0,22500,0,2.23,250,0.3,0.2,0.2,1,24,13.7,9.75,gas,1,1,1,1,1,0,0,,,,0,
15,3,jawa_bali,west_jawa,plta_cirata_18,hydropower,984,0,,operating,pln,,-1,2000000,0,0,36200,0,0.62,180,0,0.5,0.5,0,0,0,10.34,None,0,0,1,1,0,0,0,,,,1,
16,3,jawa_bali,west_jawa,plta_saguling_14,hydropower,698,0,,operating,pln,,-1,2000000,0,0,36200,0,0.62,180,0,0.5,0.5,0,0,0,10.34,None,0,0,1,1,0,0,0,,,,1,
17,3,jawa_bali,west_jawa,plta_ipp_jatiluhur,hydropower,180,0,,operating,ipp,,-1,2000000,0,0,36200,0,0.62,180,0,0.5,0.5,0,0,0,10.34,None,0,0,1,1,0,0,0,,,,1,
18,3,jawa_bali,west_jawa,pltg_ipp_cikarang_listrindo,gas,150,0,,operating,ipp,,-1,730000,0,0,22500,0,2.23,250,0.3,0.2,0.2,1,24,13.7,9.75,gas,1,1,1,1,1,0,0,,,,0,
19,3,jawa_bali,west_jawa,pltgu_ipp_bekasi_power,ccgt,119,0,,operating,ipp,,-1,660000,0,0,22800,0,2.23,250,0.3,0.2,0.2,1,80,2,5.78,gas,6,6,1,1,1,0,0,,,,0,
20,3,jawa_bali,west_jawa,pltu_indramayu_13,coal,870,0,,operating,pln,,-1,1360000,0,0,40000,0,0.12,224,0.25,0.04,0.04,1,50,13.7,8.97,coal,24,24,1,1,1,0,0,,,,0,
21,3,jawa_bali,west_jawa,pltu_pelabuhan_ratu_13,coal,969,0,,operating,pln,,-1,1360000,0,0,40000,0,0.12,224,0.25,0.04,0.04,1,50,13.7,8.97,coal,24,24,1,1,1,0,0,,,,0,
22,3,jawa_bali,west_jawa,plta_rajamandala,hydropower,47,0,,operating,pln,,-1,2200000,0,0,40200,0,0.48,43,0,0.5,0.5,0,0,0,10.34,None,0,0,1,1,0,0,0,,,,1,
23,3,jawa_bali,west_jawa,pltu_ipp_cirebon,coal,660,0,,operating,ipp,,-1,1360000,0,0,40000,0,0.12,224,0.25,0.04,0.04,1,50,13.7,8.97,coal,24,24,1,1,1,0,0,,,,0,
24,4,jawa_bali,central_jawa,plta_jawa_tengah_tersebar_,hydropower,296,0,,operating,pln,,-1,2000000,0,0,36200,0,0.62,180,0,0.5,0.5,0,0,0,10.34,None,0,0,1,1,0,0,0,,,,1,
25,4,jawa_bali,central_jawa,pltp_jawa_tengah_tersebar,geothermal,45,0,,operating,pln,,-1,3440000,0,0,43000,0,0.22,220,0,0.1,0.1,0,0,0,10.34,None,0,0,1,1,1,0,0,,,,1,
26,4,jawa_bali,central_jawa,pltm_jawa_tengah_tersebar,hydropower_mini,9.25,0,,operating,pln,,-1,2590000,0,0,50900,0,0.48,7.2,0,0.5,0.5,0,0,0,10.34,None,0,0,1,1,0,0,0,,,,1,
