R_ID,Zone,System,Province,Industrial_Park,Resource,Resource_Other_Name,technology,Existing_Cap_MW,Existing_Cap_MWh,status,Start_Year,Retire_Year,commodity,supported_project,nature_of_support,plant_owner,owner_parent_company,owner_home_country_flag,major_mainland_china_shareholder,financier,epc,mainland_china_involvement_type,industrial_park,combustion_tech,coal_type,coal_source,alternate_fuel,latitude,longitude,hubname,hubdist,class,New_Build,Inv_Cost_per_MWyr,Inv_Cost_per_MWhyr,capex_mw,Fixed_OM_Cost_per_MWyr,Fixed_OM_Cost_per_MWhyr,Var_OM_Cost_per_MWh,Max_Cap_MW,Min_Power_MW,Ramp_Up_Percentage,Ramp_Dn_Percentage,Commit,Start_Cost_per_MW,Start_Fuel_MMBTU_per_MW,Heat_Rate_MMBTU_per_MWh,Fuel,Up_Time,Down_Time,Eff_Up,Eff_Down,THERM,VRE,STOR,RE
1,2,jawa_bali,banten,1,asahimas_chemical_power_station_unit_1,_agc_cilegon_coalfired_power_plant,coal_captive,150,0,operating,2019,,chemicals,,,pt_asahimas_chemical,agc_inc_525_ableman_finance_18_rodamas_18_mitsubishi_corporation_energy_solutions_115,japan_indonesia,,,,,no,,,,biomass,-6.024754483,105.9426353,Gardu Induk Polyprima,0.878216484,4,-1,1360000,0,0,40000,0,0.12,150,0.25,0.04,0.04,1,50,13.7,8.97,coal_captive,24,24,1,1,1,0,0,0
2,2,jawa_bali,banten,1,asahimas_chemical_power_station_unit_2,_agc_cilegon_coalfired_power_plant,coal_captive,303,0,operating,2019,,chemicals,,,pt_asahimas_chemical,agc_inc_525_ableman_finance_18_rodamas_18_mitsubishi_corporation_energy_solutions_115,japan_indonesia,,,,,no,,,,biomass,-6.024754483,105.9426353,Gardu Induk Polyprima,0.878216484,4,-1,1360000,0,0,40000,0,0.12,303,0.25,0.04,0.04,1,50,13.7,8.97,coal_captive,24,24,1,1,1,0,0,0
3,2,jawa_bali,banten,1,asahimas_chemical_power_station_geothermal,,geothermal,344.317985,0,,,,,,,,,,,,,,,,,,,-6.024754483,105.9426353,Gardu Induk Polyprima,0.878216484,1,1,3440000,0,0,43000,0,0.22,344.317985,0,0.1,0.1,0,0,0,10.34,None,0,0,1,1,0,0,0,1
4,2,jawa_bali,banten,1,asahimas_chemical_power_station_geothermal,,geothermal,5635.53771,0,,,,,,,,,,,,,,,,,,,-6.024754483,105.9426353,Gardu Induk Polyprima,0.878216484,1.5,1,3440000,0,0,43000,0,0.22,5635.53771,0,0.1,0.1,0,0,0,10.34,None,0,0,1,1,0,0,0,1
5,2,jawa_bali,banten,1,asahimas_chemical_power_station_geothermal,,geothermal,340.500439,0,,,,,,,,,,,,,,,,,,,-6.024754483,105.9426353,Gardu Induk Polyprima,0.878216484,2,1,3440000,0,0,43000,0,0.22,340.500439,0,0.1,0.1,0,0,0,10.34,None,0,0,1,1,0,0,0,1
6,2,jawa_bali,banten,1,asahimas_chemical_power_station_geothermal,,geothermal,401.715956,0,,,,,,,,,,,,,,,,,,,-6.024754483,105.9426353,Gardu Induk Polyprima,0.878216484,2.5,1,3440000,0,0,43000,0,0.22,401.715956,0,0.1,0.1,0,0,0,10.34,None,0,0,1,1,0,0,0,1
7,2,jawa_bali,banten,1,asahimas_chemical_power_station_geothermal,,geothermal,439.986712,0,,,,,,,,,,,,,,,,,,,-6.024754483,105.9426353,Gardu Induk Polyprima,0.878216484,3,1,3440000,0,0,43000,0,0.22,439.986712,0,0.1,0.1,0,0,0,10.34,None,0,0,1,1,0,0,0,1
8,2,jawa_bali,banten,1,asahimas_chemical_power_station_solar,,solar,344.376764,0,,,,,,,,,,,,,,,,,,,-6.024754483,105.9426353,Gardu Induk Polyprima,0.878216484,1,1,560000,0,0,10000,0,0,344.376764,0,1,1,0,0,0,0,None,0,0,1,1,0,1,0,1
9,2,jawa_bali,banten,1,asahimas_chemical_power_station_solar,,solar,10316.54992,0,,,,,,,,,,,,,,,,,,,-6.024754483,105.9426353,Gardu Induk Polyprima,0.878216484,1.5,1,560000,0,0,10000,0,0,10316.54992,0,1,1,0,0,0,0,None,0,0,1,1,0,1,0,1
10,2,jawa_bali,banten,1,asahimas_chemical_power_station_solar,,solar,803.429662,0,,,,,,,,,,,,,,,,,,,-6.024754483,105.9426353,Gardu Induk Polyprima,0.878216484,2,1,560000,0,0,10000,0,0,803.429662,0,1,1,0,0,0,0,None,0,0,1,1,0,1,0,1
