R_ID,Zone,System,Province,Resource,technology,Existing_Cap_MW,Existing_Cap_MWh,cod,status,owner,quota_allocation,New_Build,Inv_Cost_per_MWyr,Inv_Cost_per_MWhyr,capex_mw,Fixed_OM_Cost_per_MWyr,Fixed_OM_Cost_per_MWhyr,Var_OM_Cost_per_MWh,Max_Cap_MW,Min_Power_MW,Ramp_Up_Percentage,Ramp_Dn_Percentage,Commit,Start_Cost_per_MW,Start_Fuel_MMBTU_per_MW,Heat_Rate_MMBTU_per_MWh,Fuel,Up_Time,Down_Time,Eff_Up,Eff_Down,THERM,VRE,STOR,JETP,post_JETP,JETP_r,RE,priority
1,1,kalimantan,west_kalimantan,pltu_kalbar_1,coal,100,0,,operating,pln,0,-1,1360000,0,0,40000,0,0.12,100,0.25,0.04,0.04,1,50,13.7,8.97,coal,24,24,1,1,1,0,0,0,,,0,
2,1,kalimantan,west_kalimantan,pltu_p_baru_ftp_2,coal,100,0,,operating,pln,0,-1,1360000,0,0,40000,0,0.12,100,0.25,0.04,0.04,1,50,13.7,8.97,coal,24,24,1,1,1,0,0,0,,,0,
3,1,kalimantan,west_kalimantan,pltu_sintang,coal,21,0,,operating,pln,0,-1,1600000,0,0,43900,0,0.12,21,0.25,0.035,0.035,1,110,13.7,8.97,coal,24,24,1,1,1,0,0,0,,,0,
4,1,kalimantan,west_kalimantan,mpp_kalbar,gas,100,0,,operating,pln,0,-1,730000,0,0,22500,0,2.23,100,0.3,0.2,0.2,1,24,13.7,9.75,gas,1,1,1,1,1,0,0,0,,,0,
5,1,kalimantan,west_kalimantan,pltu_ipp_ketapang,coal,12,0,,operating,pln,0,-1,1600000,0,0,43900,0,0.12,12,0.25,0.035,0.035,1,110,13.7,8.97,coal,24,24,1,1,1,0,0,0,,,0,
6,1,kalimantan,west_kalimantan,pltu_ketapang,coal,20,0,,operating,pln,0,-1,1600000,0,0,43900,0,0.12,20,0.25,0.035,0.035,1,110,13.7,8.97,coal,24,24,1,1,1,0,0,0,,,0,
7,1,kalimantan,west_kalimantan,kalbar_1,coal,100,0,2021,construction,ipp,0,0,1360000,0,0,40000,0,0.12,100,0.25,0.04,0.04,1,50,13.7,8.97,coal,24,24,1,1,1,0,0,0,,,0,
8,1,kalimantan,west_kalimantan,kalbarpontianak_relokasi_,gas,300,0,2022,relocation,pln,0,0,730000,0,0,22500,0,2.23,300,0.3,0.2,0.2,1,24,13.7,9.75,gas,1,1,1,1,1,0,0,0,,,0,
9,1,kalimantan,west_kalimantan,khatulistiwa_kuota_tersebar,biomass,5,0,2022,plan,ipp,0,1,2150000,0,0,89200,0,0.1,5,0.3,0.2,0.2,1,0,0,0,biogas,0,0,1,1,0,0,0,0,,,0,
10,1,kalimantan,west_kalimantan,lisdes_kalbar,solar,13.6,0,2022,plan,pln,0,1,560000,0,0,10000,0,0,13.6,0,1,1,0,0,0,0,None,0,0,1,1,0,1,0,0,,,1,
