R_ID,Zone,System,Province,Industrial_Park,Resource,Resource_Other_Name,technology,Existing_Cap_MW,Existing_Cap_MWh,status,Start_Year,Retire_Year,commodity,supported_project,nature_of_support,plant_owner,owner_parent_company,owner_home_country_flag,major_mainland_china_shareholder,financier,epc,mainland_china_involvement_type,industrial_park,combustion_tech,coal_type,coal_source,alternate_fuel,latitude,longitude,hubname,hubdist,class,New_Build,Inv_Cost_per_MWyr,Inv_Cost_per_MWhyr,capex_mw,Fixed_OM_Cost_per_MWyr,Fixed_OM_Cost_per_MWhyr,Var_OM_Cost_per_MWh,Max_Cap_MW,Min_Power_MW,Ramp_Up_Percentage,Ramp_Dn_Percentage,Commit,Start_Cost_per_MW,Start_Fuel_MMBTU_per_MW,Heat_Rate_MMBTU_per_MWh,Fuel,Up_Time,Down_Time,Eff_Up,Eff_Down,THERM,VRE,STOR,RE
1,1,kalimantan,west_kalimantan,1,ketapang_smelter_power_station_phase_i_unit_3,,coal_captive,30,0,operating,2016,,aluminium,well_harvest_ketapang_aluminum_smelter,the_power_plants_were_constructed_mainly_to_support_the_aluminum_smelter_operated_by_the_same_entities_who_built_the_power_plants,pt_well_harvest_winning_alumina_refinery,china_hongqiao_group_harita_group_winning_investment_shandong_weiqiao_aluminum_and_electricity,china_indonesia,china_hongqiao_group_,indonesia_exportimport_bank_bank_of_china_overseaschinese_banking_corporation_dbs_bank_china_hongqiao_group_harita_group_winning_investment,china_hongqiao_group,owner_financier_epc,no,subcritical,,,,-2.36618,110.1573,,,4,-1,1600000,0,0,43900,0,0.12,30,0.25,0.035,0.035,1,110,13.7,8.97,coal_captive,24,24,1,1,1,0,0,0
2,1,kalimantan,west_kalimantan,1,ketapang_smelter_power_station_phase_i_unit_1,,coal_captive,25,0,operating,2016,,aluminium,well_harvest_ketapang_aluminum_smelter,the_power_plants_were_constructed_mainly_to_support_the_aluminum_smelter_operated_by_the_same_entities_who_built_the_power_plants,pt_well_harvest_winning_alumina_refinery,china_hongqiao_group_harita_group_winning_investment_shandong_weiqiao_aluminum_and_electricity,china_indonesia,china_hongqiao_group_,indonesia_exportimport_bank_bank_of_china_overseaschinese_banking_corporation_dbs_bank_china_hongqiao_group_harita_group_winning_investment,,owner_financier,no,,,,,-2.36618,110.1573,,,4,-1,1600000,0,0,43900,0,0.12,25,0.25,0.035,0.035,1,110,13.7,8.97,coal_captive,24,24,1,1,1,0,0,0
3,1,kalimantan,west_kalimantan,1,ketapang_smelter_power_station_phase_i_unit_2,,coal_captive,25,0,operating,2016,,aluminium,well_harvest_ketapang_aluminum_smelter,the_power_plants_were_constructed_mainly_to_support_the_aluminum_smelter_operated_by_the_same_entities_who_built_the_power_plants,pt_well_harvest_winning_alumina_refinery,china_hongqiao_group_harita_group_winning_investment_shandong_weiqiao_aluminum_and_electricity,china_indonesia,china_hongqiao_group_,indonesia_exportimport_bank_bank_of_china_overseaschinese_banking_corporation_dbs_bank_china_hongqiao_group_harita_group_winning_investment,,owner_financier,no,,,,,-2.36618,110.1573,,,4,-1,1600000,0,0,43900,0,0.12,25,0.25,0.035,0.035,1,110,13.7,8.97,coal_captive,24,24,1,1,1,0,0,0
4,1,kalimantan,west_kalimantan,1,ketapang_smelter_power_station_phase_ii_unit_3,,coal_captive,30,0,operating,2021,,aluminium,well_harvest_ketapang_aluminum_smelter,the_power_plants_were_constructed_mainly_to_support_the_aluminum_smelter_operated_by_the_same_entities_who_built_the_power_plants,pt_well_harvest_winning_alumina_refinery,china_hongqiao_group_harita_group_winning_investment_shandong_weiqiao_aluminum_and_electricity,china_indonesia,china_hongqiao_group_,bank_of_china_dbs_bank_indonesia_exportimport_bank_overseaschinese_banking_corporation_bnp_paribas_exportimport_bank_of_china_china_hongqiao_group_cita_mineral_investindo_winning_investment_shandong_weiqiao_aluminium_electricity,china_hongqiao_group,owner_financier_epc,no,subcritical,,,,-2.36618,110.1573,,,4,-1,1600000,0,0,43900,0,0.12,30,0.25,0.035,0.035,1,110,13.7,8.97,coal_captive,24,24,1,1,1,0,0,0
5,1,kalimantan,west_kalimantan,1,ketapang_smelter_power_station_phase_ii_unit_1,,coal_captive,80,0,operating,2021,,aluminium,well_harvest_ketapang_aluminum_smelter,the_power_plants_were_constructed_mainly_to_support_the_aluminum_smelter_operated_by_the_same_entities_who_built_the_power_plants,pt_well_harvest_winning_alumina_refinery,china_hongqiao_group_harita_group_winning_investment_shandong_weiqiao_aluminum_and_electricity,china_indonesia,china_hongqiao_group_,bank_of_china_dbs_bank_indonesia_exportimport_bank_overseaschinese_banking_corporation_bnp_paribas_exportimport_bank_of_china_china_hongqiao_group_cita_mineral_investindo_winning_investment_shandong_weiqiao_aluminium_electricity,china_hongqiao_group,owner_financier_epc,no,subcritical,,,,-2.36618,110.1573,,,4,-1,1600000,0,0,43900,0,0.12,80,0.25,0.035,0.035,1,110,13.7,8.97,coal_captive,24,24,1,1,1,0,0,0
6,1,kalimantan,west_kalimantan,1,ketapang_smelter_power_station_phase_ii_unit_2,,coal_captive,80,0,operating,2021,,aluminium,well_harvest_ketapang_aluminum_smelter,the_power_plants_were_constructed_mainly_to_support_the_aluminum_smelter_operated_by_the_same_entities_who_built_the_power_plants,pt_well_harvest_winning_alumina_refinery,china_hongqiao_group_harita_group_winning_investment_shandong_weiqiao_aluminum_and_electricity,china_indonesia,china_hongqiao_group_,bank_of_china_dbs_bank_indonesia_exportimport_bank_overseaschinese_banking_corporation_bnp_paribas_exportimport_bank_of_china_china_hongqiao_group_cita_mineral_investindo_winning_investment_shandong_weiqiao_aluminium_electricity,china_hongqiao_group,owner_financier_epc,no,subcritical,,,,-2.36618,110.1573,,,4,-1,1600000,0,0,43900,0,0.12,80,0.25,0.035,0.035,1,110,13.7,8.97,coal_captive,24,24,1,1,1,0,0,0
7,1,kalimantan,west_kalimantan,1,ketapang_smelter_power_station_geothermal,,geothermal,182.560721,0,,,,,,,,,,,,,,,,,,,,,Gardu Induk Kendawangan,8.093806707,1,1,3440000,0,0,43000,0,0.22,182.560721,0,0.1,0.1,0,0,0,10.34,None,0,0,1,1,0,0,0,1
8,1,kalimantan,west_kalimantan,1,ketapang_smelter_power_station_geothermal,,geothermal,1164.527262,0,,,,,,,,,,,,,,,,,,,,,Gardu Induk Kendawangan,8.093806707,1.5,1,3440000,0,0,43000,0,0.22,1164.527262,0,0.1,0.1,0,0,0,10.34,None,0,0,1,1,0,0,0,1
9,1,kalimantan,west_kalimantan,1,ketapang_smelter_power_station_geothermal,,geothermal,1470.123667,0,,,,,,,,,,,,,,,,,,,,,Gardu Induk Kendawangan,8.093806707,2,1,3440000,0,0,43000,0,0.22,1470.123667,0,0.1,0.1,0,0,0,10.34,None,0,0,1,1,0,0,0,1
10,1,kalimantan,west_kalimantan,1,ketapang_smelter_power_station_geothermal,,geothermal,1149.189214,0,,,,,,,,,,,,,,,,,,,,,Gardu Induk Kendawangan,8.093806707,2.5,1,3440000,0,0,43000,0,0.22,1149.189214,0,0.1,0.1,0,0,0,10.34,None,0,0,1,1,0,0,0,1
