Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,corresponding_week,r_id,month,day,hour,date,demand_ip1,demand_ip2,demand_ip3,demand_ip4
2000,1,1,1,2000,8,168,2022,24,1,6,11,1,2023-06-10T23:40:00+08:00,12,9,178,361
,2,0.9,0.04,1800,,,505,3,2,6,11,2,2023-06-11T00:40:00+08:00,12,9,178,361
,3,0.55,0.024,1100,,,168,4,3,6,11,3,2023-06-11T01:40:00+08:00,12,9,178,361
,4,0.2,0.003,400,,,2527,45,4,6,11,4,2023-06-11T02:40:00+08:00,12,9,178,361
,,,,,,,1516,8,5,6,11,5,2023-06-11T03:40:00+08:00,12,9,178,361
,,,,,,,842,46,6,6,11,6,2023-06-11T04:40:00+08:00,12,9,178,361
,,,,,,,337,39,7,6,11,7,2023-06-11T05:40:00+08:00,20,15,297,602
,,,,,,,843,5,8,6,11,8,2023-06-11T06:40:00+08:00,20,15,297,602
,,,,,,,,,9,6,11,9,2023-06-11T07:40:00+08:00,20,15,297,602
,,,,,,,,,10,6,11,10,2023-06-11T08:40:00+08:00,20,15,297,602
,,,,,,,,,11,6,11,11,2023-06-11T09:40:00+08:00,20,15,297,602
,,,,,,,,,12,6,11,12,2023-06-11T10:40:00+08:00,20,15,297,602
,,,,,,,,,13,6,11,13,2023-06-11T11:40:00+08:00,20,15,297,602
,,,,,,,,,14,6,11,14,2023-06-11T12:40:00+08:00,20,15,297,602
,,,,,,,,,15,6,11,15,2023-06-11T13:40:00+08:00,20,15,297,602
,,,,,,,,,16,6,11,16,2023-06-11T14:40:00+08:00,20,15,297,602
,,,,,,,,,17,6,11,17,2023-06-11T15:40:00+08:00,20,15,297,602
,,,,,,,,,18,6,11,18,2023-06-11T16:40:00+08:00,20,15,297,602
,,,,,,,,,19,6,11,19,2023-06-11T17:40:00+08:00,16,12,237,481
,,,,,,,,,20,6,11,20,2023-06-11T18:40:00+08:00,16,12,237,481
,,,,,,,,,21,6,11,21,2023-06-11T19:40:00+08:00,16,12,237,481
,,,,,,,,,22,6,11,22,2023-06-11T20:40:00+08:00,16,12,237,481
,,,,,,,,,23,6,11,23,2023-06-11T21:40:00+08:00,16,12,237,481
,,,,,,,,,24,6,11,24,2023-06-11T22:40:00+08:00,16,12,237,481
,,,,,,,,,25,6,12,1,2023-06-11T23:40:00+08:00,12,9,178,361
,,,,,,,,,26,6,12,2,2023-06-12T00:40:00+08:00,12,9,178,361
,,,,,,,,,27,6,12,3,2023-06-12T01:40:00+08:00,12,9,178,361
,,,,,,,,,28,6,12,4,2023-06-12T02:40:00+08:00,12,9,178,361
,,,,,,,,,29,6,12,5,2023-06-12T03:40:00+08:00,12,9,178,361
,,,,,,,,,30,6,12,6,2023-06-12T04:40:00+08:00,12,9,178,361
,,,,,,,,,31,6,12,7,2023-06-12T05:40:00+08:00,20,15,297,602
,,,,,,,,,32,6,12,8,2023-06-12T06:40:00+08:00,20,15,297,602
,,,,,,,,,33,6,12,9,2023-06-12T07:40:00+08:00,20,15,297,602
,,,,,,,,,34,6,12,10,2023-06-12T08:40:00+08:00,20,15,297,602
,,,,,,,,,35,6,12,11,2023-06-12T09:40:00+08:00,20,15,297,602
,,,,,,,,,36,6,12,12,2023-06-12T10:40:00+08:00,20,15,297,602
,,,,,,,,,37,6,12,13,2023-06-12T11:40:00+08:00,20,15,297,602
,,,,,,,,,38,6,12,14,2023-06-12T12:40:00+08:00,20,15,297,602
,,,,,,,,,39,6,12,15,2023-06-12T13:40:00+08:00,20,15,297,602
,,,,,,,,,40,6,12,16,2023-06-12T14:40:00+08:00,20,15,297,602
,,,,,,,,,41,6,12,17,2023-06-12T15:40:00+08:00,20,15,297,602
,,,,,,,,,42,6,12,18,2023-06-12T16:40:00+08:00,20,15,297,602
,,,,,,,,,43,6,12,19,2023-06-12T17:40:00+08:00,16,12,237,481
,,,,,,,,,44,6,12,20,2023-06-12T18:40:00+08:00,16,12,237,481
,,,,,,,,,45,6,12,21,2023-06-12T19:40:00+08:00,16,12,237,481
,,,,,,,,,46,6,12,22,2023-06-12T20:40:00+08:00,16,12,237,481
,,,,,,,,,47,6,12,23,2023-06-12T21:40:00+08:00,16,12,237,481
,,,,,,,,,48,6,12,24,2023-06-12T22:40:00+08:00,16,12,237,481
,,,,,,,,,49,6,13,1,2023-06-12T23:40:00+08:00,12,9,178,361
,,,,,,,,,50,6,13,2,2023-06-13T00:40:00+08:00,12,9,178,361
,,,,,,,,,51,6,13,3,2023-06-13T01:40:00+08:00,12,9,178,361
,,,,,,,,,52,6,13,4,2023-06-13T02:40:00+08:00,12,9,178,361
,,,,,,,,,53,6,13,5,2023-06-13T03:40:00+08:00,12,9,178,361
,,,,,,,,,54,6,13,6,2023-06-13T04:40:00+08:00,12,9,178,361
,,,,,,,,,55,6,13,7,2023-06-13T05:40:00+08:00,20,15,297,602
,,,,,,,,,56,6,13,8,2023-06-13T06:40:00+08:00,20,15,297,602
,,,,,,,,,57,6,13,9,2023-06-13T07:40:00+08:00,20,15,297,602
,,,,,,,,,58,6,13,10,2023-06-13T08:40:00+08:00,20,15,297,602
,,,,,,,,,59,6,13,11,2023-06-13T09:40:00+08:00,20,15,297,602
,,,,,,,,,60,6,13,12,2023-06-13T10:40:00+08:00,20,15,297,602
,,,,,,,,,61,6,13,13,2023-06-13T11:40:00+08:00,20,15,297,602
,,,,,,,,,62,6,13,14,2023-06-13T12:40:00+08:00,20,15,297,602
,,,,,,,,,63,6,13,15,2023-06-13T13:40:00+08:00,20,15,297,602
,,,,,,,,,64,6,13,16,2023-06-13T14:40:00+08:00,20,15,297,602
,,,,,,,,,65,6,13,17,2023-06-13T15:40:00+08:00,20,15,297,602
,,,,,,,,,66,6,13,18,2023-06-13T16:40:00+08:00,20,15,297,602
,,,,,,,,,67,6,13,19,2023-06-13T17:40:00+08:00,16,12,237,481
,,,,,,,,,68,6,13,20,2023-06-13T18:40:00+08:00,16,12,237,481
