R_ID,Zone,System,Province,Industrial_Park,Resource,Resource_Other_Name,technology,Existing_Cap_MW,Existing_Cap_MWh,status,Start_Year,Retire_Year,commodity,supported_project,nature_of_support,plant_owner,owner_parent_company,owner_home_country_flag,major_mainland_china_shareholder,financier,epc,mainland_china_involvement_type,industrial_park,combustion_tech,coal_type,coal_source,alternate_fuel,latitude,longitude,hubname,hubdist,class,New_Build,Inv_Cost_per_MWyr,Inv_Cost_per_MWhyr,capex_mw,Fixed_OM_Cost_per_MWyr,Fixed_OM_Cost_per_MWhyr,Var_OM_Cost_per_MWh,Max_Cap_MW,Min_Power_MW,Ramp_Up_Percentage,Ramp_Dn_Percentage,Commit,Start_Cost_per_MW,Start_Fuel_MMBTU_per_MW,Heat_Rate_MMBTU_per_MWh,Fuel,Up_Time,Down_Time,Eff_Up,Eff_Down,THERM,VRE,STOR,RE
1,1,nusa_tenggara,west_nusa_tenggara,1,amman_mineral_power_station_unit_1,,coal_captive,31,0,operating,2000,,copper_gold,pt_amman_mineral_nusa_tenggara,,amman_mineral_nusa_tenggara,pt_amman_mineral_internasional_tbk,indonesia,,,,,no,,,,,-8.9012149,116.7392996,way/1320144715,0.2252501,4,-1,1600000,0,0,43900,0,0.12,31,0.25,0.035,0.035,1,110,13.7,8.97,coal_captive,24,24,1,1,1,0,0,0
2,1,nusa_tenggara,west_nusa_tenggara,1,amman_mineral_power_station_unit_2,,coal_captive,31,0,operating,2000,,copper_gold,pt_amman_mineral_nusa_tenggara,,amman_mineral_nusa_tenggara,pt_amman_mineral_internasional_tbk,indonesia,_,,,,no,,,,,-8.9012149,116.7392996,way/1320144715,0.2252501,4,-1,1600000,0,0,43900,0,0.12,31,0.25,0.035,0.035,1,110,13.7,8.97,coal_captive,24,24,1,1,1,0,0,0
3,1,nusa_tenggara,west_nusa_tenggara,1,amman_mineral_power_station_unit_3,,coal_captive,31,0,operating,2000,,copper_gold,pt_amman_mineral_nusa_tenggara,,amman_mineral_nusa_tenggara,pt_amman_mineral_internasional_tbk,indonesia,,,,,no,,,,,-8.9012149,116.7392996,way/1320144715,0.2252501,4,-1,1600000,0,0,43900,0,0.12,31,0.25,0.035,0.035,1,110,13.7,8.97,coal_captive,24,24,1,1,1,0,0,0
4,1,nusa_tenggara,west_nusa_tenggara,1,amman_mineral_power_station_unit_4,,coal_captive,31,0,operating,2000,,copper_gold,pt_amman_mineral_nusa_tenggara,,amman_mineral_nusa_tenggara,pt_amman_mineral_internasional_tbk,indonesia,,,,,no,,,,,-8.9012149,116.7392996,way/1320144715,0.2252501,4,-1,1600000,0,0,43900,0,0.12,31,0.25,0.035,0.035,1,110,13.7,8.97,coal_captive,24,24,1,1,1,0,0,0
5,1,nusa_tenggara,west_nusa_tenggara,1,amman_mineral_power_station_geothermal,,geothermal,1596.570558,0,,,,,,,,,,,,,,,,,,,-8.9012149,116.7392996,way/1320144715,0.2252501,1,1,3440000,0,0,43000,0,0.22,1596.570558,0,0.1,0.1,0,0,0,10.34,None,0,0,1,1,0,0,0,1
6,1,nusa_tenggara,west_nusa_tenggara,1,amman_mineral_power_station_geothermal,,geothermal,921.873521,0,,,,,,,,,,,,,,,,,,,-8.9012149,116.7392996,way/1320144715,0.2252501,1.5,1,3440000,0,0,43000,0,0.22,921.873521,0,0.1,0.1,0,0,0,10.34,None,0,0,1,1,0,0,0,1
7,1,nusa_tenggara,west_nusa_tenggara,1,amman_mineral_power_station_geothermal,,geothermal,144.456431,0,,,,,,,,,,,,,,,,,,,-8.9012149,116.7392996,way/1320144715,0.2252501,2,1,3440000,0,0,43000,0,0.22,144.456431,0,0.1,0.1,0,0,0,10.34,None,0,0,1,1,0,0,0,1
8,1,nusa_tenggara,west_nusa_tenggara,1,amman_mineral_power_station_geothermal,,geothermal,133.049347,0,,,,,,,,,,,,,,,,,,,-8.9012149,116.7392996,way/1320144715,0.2252501,2.5,1,3440000,0,0,43000,0,0.22,133.049347,0,0.1,0.1,0,0,0,10.34,None,0,0,1,1,0,0,0,1
9,1,nusa_tenggara,west_nusa_tenggara,1,amman_mineral_power_station_geothermal,,geothermal,20.907187,0,,,,,,,,,,,,,,,,,,,-8.9012149,116.7392996,way/1320144715,0.2252501,3,1,3440000,0,0,43000,0,0.22,20.907187,0,0.1,0.1,0,0,0,10.34,None,0,0,1,1,0,0,0,1
10,1,nusa_tenggara,west_nusa_tenggara,1,amman_mineral_power_station_solar,,solar,3831.769338,0,,,,,,,,,,,,,,,,,,,-8.9012149,116.7392996,way/1320144715,0.2252501,1,1,560000,0,0,10000,0,0,3831.769338,0,1,1,0,0,0,0,None,0,0,1,1,0,1,0,1
