Date,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,corresponding_week,r_id,month,day,hour,date,demand_ip1,demand_ip2
2000.0,1.0,1.0,1.0,2000.0,8.0,168.0,2022.0,24.0,1,6,11,1,2023-06-10T23:40:00+08:00,47,20
,2.0,0.9,0.04,1800.0,,,505.0,3.0,2,6,11,2,2023-06-11T00:40:00+08:00,47,20
,3.0,0.55,0.024,1100.0,,,168.0,4.0,3,6,11,3,2023-06-11T01:40:00+08:00,47,20
,4.0,0.2,0.003,400.0,,,2527.0,45.0,4,6,11,4,2023-06-11T02:40:00+08:00,47,20
,,,,,,,1516.0,8.0,5,6,11,5,2023-06-11T03:40:00+08:00,47,20
,,,,,,,842.0,46.0,6,6,11,6,2023-06-11T04:40:00+08:00,47,20
,,,,,,,337.0,39.0,7,6,11,7,2023-06-11T05:40:00+08:00,78,33
,,,,,,,843.0,5.0,8,6,11,8,2023-06-11T06:40:00+08:00,78,33
,,,,,,,,,9,6,11,9,2023-06-11T07:40:00+08:00,78,33
,,,,,,,,,10,6,11,10,2023-06-11T08:40:00+08:00,78,33
,,,,,,,,,11,6,11,11,2023-06-11T09:40:00+08:00,78,33
,,,,,,,,,12,6,11,12,2023-06-11T10:40:00+08:00,78,33
,,,,,,,,,13,6,11,13,2023-06-11T11:40:00+08:00,78,33
,,,,,,,,,14,6,11,14,2023-06-11T12:40:00+08:00,78,33
,,,,,,,,,15,6,11,15,2023-06-11T13:40:00+08:00,78,33
,,,,,,,,,16,6,11,16,2023-06-11T14:40:00+08:00,78,33
,,,,,,,,,17,6,11,17,2023-06-11T15:40:00+08:00,62,33
,,,,,,,,,18,6,11,18,2023-06-11T16:40:00+08:00,62,33
,,,,,,,,,19,6,11,19,2023-06-11T17:40:00+08:00,62,27
,,,,,,,,,20,6,11,20,2023-06-11T18:40:00+08:00,62,27
,,,,,,,,,21,6,11,21,2023-06-11T19:40:00+08:00,62,27
,,,,,,,,,22,6,11,22,2023-06-11T20:40:00+08:00,62,27
,,,,,,,,,23,6,11,23,2023-06-11T21:40:00+08:00,62,27
,,,,,,,,,24,6,11,24,2023-06-11T22:40:00+08:00,62,27
,,,,,,,,,25,6,12,1,2023-06-11T23:40:00+08:00,47,20
,,,,,,,,,26,6,12,2,2023-06-12T00:40:00+08:00,47,20
,,,,,,,,,27,6,12,3,2023-06-12T01:40:00+08:00,47,20
,,,,,,,,,28,6,12,4,2023-06-12T02:40:00+08:00,47,20
,,,,,,,,,29,6,12,5,2023-06-12T03:40:00+08:00,47,20
,,,,,,,,,30,6,12,6,2023-06-12T04:40:00+08:00,47,20
,,,,,,,,,31,6,12,7,2023-06-12T05:40:00+08:00,78,33
,,,,,,,,,32,6,12,8,2023-06-12T06:40:00+08:00,78,33
,,,,,,,,,33,6,12,9,2023-06-12T07:40:00+08:00,78,33
,,,,,,,,,34,6,12,10,2023-06-12T08:40:00+08:00,78,33
,,,,,,,,,35,6,12,11,2023-06-12T09:40:00+08:00,78,33
,,,,,,,,,36,6,12,12,2023-06-12T10:40:00+08:00,78,33
,,,,,,,,,37,6,12,13,2023-06-12T11:40:00+08:00,78,33
,,,,,,,,,38,6,12,14,2023-06-12T12:40:00+08:00,78,33
,,,,,,,,,39,6,12,15,2023-06-12T13:40:00+08:00,78,33
,,,,,,,,,40,6,12,16,2023-06-12T14:40:00+08:00,78,33
,,,,,,,,,41,6,12,17,2023-06-12T15:40:00+08:00,62,33
,,,,,,,,,42,6,12,18,2023-06-12T16:40:00+08:00,62,33
,,,,,,,,,43,6,12,19,2023-06-12T17:40:00+08:00,62,27
,,,,,,,,,44,6,12,20,2023-06-12T18:40:00+08:00,62,27
,,,,,,,,,45,6,12,21,2023-06-12T19:40:00+08:00,62,27
,,,,,,,,,46,6,12,22,2023-06-12T20:40:00+08:00,62,27
,,,,,,,,,47,6,12,23,2023-06-12T21:40:00+08:00,62,27
