R_ID,Zone,System,Province,Industrial_Park,Resource,Resource_Other_Name,technology,Existing_Cap_MW,Existing_Cap_MWh,status,Start_Year,Retire_Year,commodity,supported_project,nature_of_support,plant_owner,owner_parent_company,owner_home_country_flag,major_mainland_china_shareholder,financier,epc,mainland_china_involvement_type,industrial_park,combustion_tech,coal_type,coal_source,alternate_fuel,latitude,longitude,hubname,hubdist,class,New_Build,Inv_Cost_per_MWyr,Inv_Cost_per_MWhyr,capex_mw,Fixed_OM_Cost_per_MWyr,Fixed_OM_Cost_per_MWhyr,Var_OM_Cost_per_MWh,Max_Cap_MW,Min_Power_MW,Ramp_Up_Percentage,Ramp_Dn_Percentage,Commit,Start_Cost_per_MW,Start_Fuel_MMBTU_per_MW,Heat_Rate_MMBTU_per_MWh,Fuel,Up_Time,Down_Time,Eff_Up,Eff_Down,THERM,VRE,STOR,RE
1,1,papua,papua,1,amamapare_port_power_station_unit_1,freeport_pltu,coal_captive,65,0,operating,1998,,gold_copper,,,pt_puncakjaya_power,freeportmcmoran_inc_857,usa,,,,,no,subcritical,,pinang_coal_deposit,,-4.82775,136.8391,way/544403426,0.129614347,4,-1,1600000,0,0,43900,0,0.12,65,0.25,0.035,0.035,1,110,13.7,8.97,coal_captive,24,24,1,1,1,0,0,0
2,1,papua,papua,1,amamapare_port_power_station_unit_2,freeport_pltu,coal_captive,65,0,operating,1998,,gold_copper,,,pt_puncakjaya_power,freeportmcmoran_inc_857,usa,,,,,no,subcritical,,pinang_coal_deposit,,-4.82775,136.8391,way/544403426,0.129614347,4,-1,1600000,0,0,43900,0,0.12,65,0.25,0.035,0.035,1,110,13.7,8.97,coal_captive,24,24,1,1,1,0,0,0
3,1,papua,papua,1,amamapare_port_power_station_unit_3,freeport_pltu,coal_captive,65,0,operating,1999,,gold_copper,,,pt_puncakjaya_power,freeportmcmoran_inc_857,usa,,,,,no,subcritical,,pinang_coal_deposit,,-4.82775,136.8391,way/544403426,0.129614347,4,-1,1600000,0,0,43900,0,0.12,65,0.25,0.035,0.035,1,110,13.7,8.97,coal_captive,24,24,1,1,1,0,0,0
4,1,papua,papua,1,amamapare_port_power_station_solar,,solar,248.378381,0,,,,,,,,,,,,,,,,,,,-4.82775,136.8391,way/544403426,0.129614347,1,1,560000,0,0,10000,0,0,248.378381,0,1,1,0,0,0,0,None,0,0,1,1,0,1,0,1
5,1,papua,papua,1,amamapare_port_power_station_solar,,solar,59.796332,0,,,,,,,,,,,,,,,,,,,-4.82775,136.8391,way/544403426,0.129614347,1.5,1,560000,0,0,10000,0,0,59.796332,0,1,1,0,0,0,0,None,0,0,1,1,0,1,0,1
6,1,papua,papua,1,amamapare_port_power_station_solar,,solar,27.598005,0,,,,,,,,,,,,,,,,,,,-4.82775,136.8391,way/544403426,0.129614347,2,1,560000,0,0,10000,0,0,27.598005,0,1,1,0,0,0,0,None,0,0,1,1,0,1,0,1
7,1,papua,papua,1,amamapare_port_power_station_solar,,solar,1.056248,0,,,,,,,,,,,,,,,,,,,-4.82775,136.8391,way/544403426,0.129614347,2.5,1,560000,0,0,10000,0,0,1.056248,0,1,1,0,0,0,0,None,0,0,1,1,0,1,0,1
8,1,papua,papua,1,amamapare_port_power_station_solar,,solar,13.799932,0,,,,,,,,,,,,,,,,,,,-4.82775,136.8391,way/544403426,0.129614347,3,1,560000,0,0,10000,0,0,13.799932,0,1,1,0,0,0,0,None,0,0,1,1,0,1,0,1
9,2,papua,west_papua,2,bp_berau_ltd,,coal_captive,84,0,operating,,,gas,,,bp_berau_ltd,bp_plc,united_kingdom,,,,,no,,,,,-2.4450673,133.140215,,,4,-1,1600000,0,0,43900,0,0.12,84,0.25,0.035,0.035,1,110,13.7,8.97,coal_captive,24,24,1,1,1,0,0,0
10,2,papua,west_papua,2,bp_berau_ltd_solar,,solar,1258184.613,0,,,,,,,,,,,,,,,,,,,,,,,1,1,560000,0,0,10000,0,0,248.378381,0,1,1,0,0,0,0,None,0,0,1,1,0,1,0,1
11,2,papua,west_papua,2,bp_berau_ltd_solar,,solar,107294.971,0,,,,,,,,,,,,,,,,,,,,,,,1.5,1,560000,0,0,10000,0,0,59.796332,0,1,1,0,0,0,0,None,0,0,1,1,0,1,0,1
12,2,papua,west_papua,2,bp_berau_ltd_solar,,solar,18978.77992,0,,,,,,,,,,,,,,,,,,,,,,,2,1,560000,0,0,10000,0,0,27.598005,0,1,1,0,0,0,0,None,0,0,1,1,0,1,0,1
13,2,papua,west_papua,2,bp_berau_ltd_solar,,solar,474.499686,0,,,,,,,,,,,,,,,,,,,,,,,2.5,1,560000,0,0,10000,0,0,1.056248,0,1,1,0,0,0,0,None,0,0,1,1,0,1,0,1
14,2,papua,west_papua,2,bp_berau_ltd_solar,,solar,576.613382,0,,,,,,,,,,,,,,,,,,,,,,,3,1,560000,0,0,10000,0,0,13.799932,0,1,1,0,0,0,0,None,0,0,1,1,0,1,0,1
15,2,papua,west_papua,2,bp_berau_ltd_wind,,wind,0.61506,0,,,,,,,,,,,,,,,,,,,,,,,1.5,1,1280000,0,0,51000,0,0,681,0,1,1,0,0,0,0,None,0,0,1,1,0,1,0,1
16,1,papua,papua,1,amamapare_port_power_station_battery,,battery,100,208,,,,,,,,,,,,,,,,,,,,,,,4,1,0,578000,0,0,621,2.3,100,0,1,1,2,0,0,0,None,0,0,0.92,0.92,0,0,1,0
17,2,papua,west_papua,2,bp_berau_ltd_battery,,battery,100,208,,,,,,,,,,,,,,,,,,,,,,,4,1,0,578000,0,0,621,2.3,100,0,1,1,2,0,0,0,None,0,0,0.92,0.92,0,0,1,0
