R_ID,Zone,System,Province,Resource,technology,Existing_Cap_MW,Existing_Cap_MWh,cod,status,owner,quota_allocation,New_Build,Inv_Cost_per_MWyr,Inv_Cost_per_MWhyr,capex_mw,Fixed_OM_Cost_per_MWyr,Fixed_OM_Cost_per_MWhyr,Var_OM_Cost_per_MWh,Max_Cap_MW,Min_Power_MW,Ramp_Up_Percentage,Ramp_Dn_Percentage,Commit,Start_Cost_per_MW,Start_Fuel_MMBTU_per_MW,Heat_Rate_MMBTU_per_MWh,Fuel,Up_Time,Down_Time,Eff_Up,Eff_Down,THERM,VRE,STOR,JETP,post_JETP,JETP_r,RE,priority
1,1,sumatera,aceh,pltmg_arun_lng,gas,180,0,,operating,pln,,-1,730000,0,0,22500,0,2.23,180,0.3,0.2,0.2,1,24,13.7,9.75,gas,1,1,1,1,1,0,0,0,0,1,0,0
2,1,sumatera,aceh,pltmg_sumbagut2_peaker,gas,240,0,,operating,pln,,-1,730000,0,0,22500,0,2.23,240,0.3,0.2,0.2,1,24,13.7,9.75,gas,1,1,1,1,1,0,0,0,0,1,0,0
3,1,sumatera,aceh,pltu_meulaboh_nagan_raya_1_2,coal,220,0,,operating,pln,,-1,1360000,0,0,40000,0,0.12,220,0.25,0.04,0.04,1,50,13.7,8.97,coal,24,24,1,1,1,0,0,0,0,1,0,0
4,1,sumatera,aceh,plta_krueng_isep_1,hydropower,10,0,,operating,pln,,-1,2200000,0,0,40200,0,0.48,10,0,0.5,0.5,0,0,0,10.34,None,0,0,1,1,0,0,0,0,0,1,1,0
5,2,sumatera,north_sumatera,pltu_pangkalan_susu_1_2,coal,440,0,,operating,pln,,-1,1360000,0,0,40000,0,0.12,440,0.25,0.04,0.04,1,50,13.7,8.97,coal,24,24,1,1,1,0,0,0,0,1,0,0
6,2,sumatera,north_sumatera,pltu_pangkala_sus_3_4,coal,400,0,,operating,pln,,-1,1360000,0,0,40000,0,0.12,400,0.25,0.04,0.04,1,50,13.7,8.97,coal,24,24,1,1,1,0,0,0,0,1,0,0
7,2,sumatera,north_sumatera,pltgu_belawan,ccgt,900,0,,operating,pln,,-1,660000,0,0,22800,0,2.23,900,0.3,0.2,0.2,1,80,2,5.78,gas,6,6,1,1,1,0,0,0,0,1,0,0
8,2,sumatera,north_sumatera,mpp_paya_pasir,gas,75,0,,operating,pln,,-1,730000,0,0,22500,0,2.23,75,0.3,0.2,0.2,1,24,13.7,9.75,gas,1,1,1,1,1,0,0,0,0,1,0,0
9,2,sumatera,north_sumatera,plta_wampu,hydropower,45,0,,operating,pln,,-1,2200000,0,0,40200,0,0.48,45,0,0.5,0.5,0,0,0,10.34,None,0,0,1,1,0,0,0,0,0,1,1,0
10,2,sumatera,north_sumatera,plta_renun,hydropower,82,0,,operating,pln,,-1,2000000,0,0,36200,0,0.62,82,0,0.5,0.5,0,0,0,10.34,None,0,0,1,1,0,0,0,0,0,1,1,0
11,2,sumatera,north_sumatera,plta_asahan,hydropower,180,0,,operating,pln,,-1,2000000,0,0,36200,0,0.62,180,0,0.5,0.5,0,0,0,10.34,None,0,0,1,1,0,0,0,0,0,1,1,0
12,2,sumatera,north_sumatera,plta_hasang,hydropower,26,0,,operating,pln,,-1,2200000,0,0,40200,0,0.48,26,0,0.5,0.5,0,0,0,10.34,None,0,0,1,1,0,0,0,0,0,1,1,0
13,2,sumatera,north_sumatera,pltu_labuhan_angin,coal,230,0,,operating,pln,,-1,1360000,0,0,40000,0,0.12,230,0.25,0.04,0.04,1,50,13.7,8.97,coal,24,24,1,1,1,0,0,0,0,1,0,0
14,2,sumatera,north_sumatera,pltp_sarulla_i_1_2,geothermal,220,0,,operating,pln,,-1,3440000,0,0,43000,0,0.22,220,0,0.1,0.1,0,0,0,10.34,None,0,0,1,1,1,0,0,0,0,1,1,0
15,2,sumatera,north_sumatera,pltp_sarulla_1_3,geothermal,110,0,,operating,pln,,-1,3440000,0,0,43000,0,0.22,110,0,0.1,0.1,0,0,0,10.34,None,0,0,1,1,1,0,0,0,0,1,1,0
16,2,sumatera,north_sumatera,pltp_sorik_merapi,geothermal,45,0,,operating,pln,,-1,3440000,0,0,43000,0,0.22,45,0,0.1,0.1,0,0,0,10.34,None,0,0,1,1,1,0,0,0,0,1,1,0
17,3,sumatera,riau,pltmg_teluk_lembu_sewa,hydropower_mini,40,0,,operating,rent,,-1,2200000,0,0,40200,0,0.48,40,0,0.5,0.5,0,0,0,10.34,None,0,0,1,1,0,0,0,0,0,1,1,0
18,3,sumatera,riau,pltg_teluk_lembu,gas,114,0,,operating,pln,,-1,730000,0,0,22500,0,2.23,114,0.3,0.2,0.2,1,24,13.7,9.75,gas,1,1,1,1,1,0,0,0,0,1,0,0
19,3,sumatera,riau,pltgu_riau_power,ccgt,20,0,,operating,pln,,-1,660000,0,0,22800,0,2.23,20,0.3,0.2,0.2,1,80,2,5.78,gas,6,6,1,1,1,0,0,0,0,1,0,0
20,3,sumatera,riau,pltmg_duri,hydropower_mini,112,0,,operating,pln,,-1,2000000,0,0,36200,0,0.62,112,0,0.5,0.5,0,0,0,10.34,None,0,0,1,1,0,0,0,0,0,1,1,0
21,3,sumatera,riau,pltg_duri,gas,36,0,,operating,pln,,-1,730000,0,0,22500,0,2.23,36,0.3,0.2,0.2,1,24,13.7,9.75,gas,1,1,1,1,1,0,0,0,0,1,0,0
22,3,sumatera,riau,pltu_tenayan,coal,220,0,,operating,pln,,-1,1360000,0,0,40000,0,0.12,220,0.25,0.04,0.04,1,50,13.7,8.97,coal,24,24,1,1,1,0,0,0,0,1,0,0
23,3,sumatera,riau,plta_kotopanjang,hydropower,76,0,,operating,pln,,-1,2000000,0,0,36200,0,0.62,76,0,0.5,0.5,0,0,0,10.34,None,0,0,1,1,0,0,0,0,0,1,1,0
24,3,sumatera,riau,pltu_tembilahan,coal,14,0,,operating,pln,,-1,1600000,0,0,43900,0,0.12,14,0.25,0.035,0.035,1,110,13.7,8.97,coal,24,24,1,1,1,0,0,0,0,1,0,0
25,4,sumatera,bangka_belitung,pltu_air_anyir,coal,60,0,,operating,pln,,-1,1600000,0,0,43900,0,0.12,60,0.25,0.035,0.035,1,110,13.7,8.97,coal,24,24,1,1,1,0,0,0,0,1,0,0
26,4,sumatera,bangka_belitung,mpp_bangka,gas,50,0,,operating,pln,,-1,730000,0,0,22500,0,2.23,50,0.3,0.2,0.2,1,24,13.7,9.75,gas,1,1,1,1,1,0,0,0,0,1,0,0
27,5,sumatera,west_sumatera,plta_maninjau,hydropower,68,0,,operating,pln,,-1,2000000,0,0,36200,0,0.62,68,0,0.5,0.5,0,0,0,10.34,None,0,0,1,1,0,0,0,0,0,1,1,0
28,5,sumatera,west_sumatera,pltu_ombilin,coal,182,0,,operating,pln,,-1,1360000,0,0,40000,0,0.12,182,0.25,0.04,0.04,1,50,13.7,8.97,coal,24,24,1,1,1,0,0,0,0,1,0,0
29,5,sumatera,west_sumatera,plta_singkarak,hydropower,175,0,,operating,pln,,-1,2000000,0,0,36200,0,0.62,175,0,0.5,0.5,0,0,0,10.34,None,0,0,1,1,0,0,0,0,0,1,1,0
30,5,sumatera,west_sumatera,pltu_sumbar_peisirteluk_sirih,coal,224,0,,operating,pln,,-1,1360000,0,0,40000,0,0.12,224,0.25,0.04,0.04,1,50,13.7,8.97,coal,24,24,1,1,1,0,0,0,0,1,0,0
31,5,sumatera,west_sumatera,pltp_muara_laboh,geothermal,80,0,,operating,pln,,-1,3440000,0,0,43000,0,0.22,80,0,0.1,0.1,0,0,0,10.34,None,0,0,1,1,1,0,0,0,0,1,1,0
32,6,sumatera,jambi,pltg_batan_hari,gas,60,0,,operating,pln,,-1,730000,0,0,22500,0,2.23,60,0.3,0.2,0.2,1,24,13.7,9.75,gas,1,1,1,1,1,0,0,0,0,1,0,0
33,6,sumatera,jambi,pltg_sewa_batang_hari,gas,18,0,,operating,pln,,-1,730000,0,0,22500,0,2.23,18,0.3,0.2,0.2,1,24,13.7,9.75,gas,1,1,1,1,1,0,0,0,0,1,0,0
34,6,sumatera,jambi,pltg_payoselincah_sewa_beli,gas,100,0,,operating,rent,,-1,730000,0,0,22500,0,2.23,100,0.3,0.2,0.2,1,24,13.7,9.75,gas,1,1,1,1,1,0,0,0,0,1,0,0
35,6,sumatera,jambi,pltg_cng_sungai_gelam,gas,92,0,,operating,pln,,-1,730000,0,0,22500,0,2.23,92,0.3,0.2,0.2,1,24,13.7,9.75,gas,1,1,1,1,1,0,0,0,0,1,0,0
36,7,sumatera,south_sumatera,pltu_sumsel5,coal,300,0,,operating,pln,,-1,1360000,0,0,40000,0,0.12,300,0.25,0.04,0.04,1,50,13.7,8.97,coal,24,24,1,1,1,0,0,0,0,1,0,0
37,7,sumatera,south_sumatera,pltgu_agp_borang_ipp,ccgt,150,0,,operating,ipp,,-1,660000,0,0,22800,0,2.23,150,0.3,0.2,0.2,1,80,2,5.78,gas,6,6,1,1,1,0,0,0,0,1,0,0
38,7,sumatera,south_sumatera,pltg_sako_ipp,gas,12,0,,operating,ipp,,-1,730000,0,0,22500,0,2.23,12,0.3,0.2,0.2,1,24,13.7,9.75,gas,1,1,1,1,1,0,0,0,0,1,0,0
39,7,sumatera,south_sumatera,pltg_bot_borang,gas,68,0,,operating,pln,,-1,730000,0,0,22500,0,2.23,68,0.3,0.2,0.2,1,24,13.7,9.75,gas,1,1,1,1,1,0,0,0,0,1,0,0
40,7,sumatera,south_sumatera,pltd_sungai_juaro,diesel,25,0,,operating,pln,,-1,800000,0,0,8000,0,6,25,0.06,0.25,0.25,1,0,2,7.42,diesel,0.5,0.5,1,1,1,0,0,0,0,1,0,0
41,7,sumatera,south_sumatera,pltgu_musi_ii_ipp,ccgt,20,0,,operating,ipp,,-1,660000,0,0,22800,0,2.23,20,0.3,0.2,0.2,1,80,2,5.78,gas,6,6,1,1,1,0,0,0,0,1,0,0
