R_ID,Zone,System,Province,Industrial_Park,Resource,Resource_Other_Name,technology,Existing_Cap_MW,Existing_Cap_MWh,status,Start_Year,Retire_Year,commodity,supported_project,nature_of_support,plant_owner,owner_parent_company,owner_home_country_flag,major_mainland_china_shareholder,financier,epc,mainland_china_involvement_type,industrial_park,combustion_tech,coal_type,coal_source,alternate_fuel,latitude,longitude,hubname,hubdist,class,New_Build,Inv_Cost_per_MWyr,Inv_Cost_per_MWhyr,capex_mw,Fixed_OM_Cost_per_MWyr,Fixed_OM_Cost_per_MWhyr,Var_OM_Cost_per_MWh,Max_Cap_MW,Min_Power_MW,Ramp_Up_Percentage,Ramp_Dn_Percentage,Commit,Start_Cost_per_MW,Start_Fuel_MMBTU_per_MW,Heat_Rate_MMBTU_per_MWh,Fuel,Up_Time,Down_Time,Eff_Up,Eff_Down,THERM,VRE,STOR,RE
1,1,sumatera,aceh,1,andalas_cement_power_station_unit_1,,coal_captive,33,0,operating,2007,,cement,,,pt_solusi_bangun,pt_semen_indonesia_8352,indonesia,,,,,no,,,,,5.45346494,95.24653272,Gardu Induk Lamreung,12.55001624,4,-1,1600000,0,0,43900,0,0.12,33,0.25,0.035,0.035,1,110,13.7,8.97,coal_captive,24,24,1,1,1,0,0,0
2,1,sumatera,aceh,1,andalas_cement_power_station_geothermal,,geothermal,2148.394872,0,,,,,,,,,,,,,,,,,,,5.45346494,95.24653272,Gardu Induk Lamreung,12.55001624,1,1,3440000,0,0,43000,0,0.22,2148.394872,0,0.1,0.1,0,0,0,10.34,None,0,0,1,1,0,0,0,1
3,1,sumatera,aceh,1,andalas_cement_power_station_geothermal,,geothermal,675.9066,0,,,,,,,,,,,,,,,,,,,5.45346494,95.24653272,Gardu Induk Lamreung,12.55001624,1.5,1,3440000,0,0,43000,0,0.22,675.9066,0,0.1,0.1,0,0,0,10.34,None,0,0,1,1,0,0,0,1
4,1,sumatera,aceh,1,andalas_cement_power_station_geothermal,,geothermal,698.870778,0,,,,,,,,,,,,,,,,,,,5.45346494,95.24653272,Gardu Induk Lamreung,12.55001624,2,1,3440000,0,0,43000,0,0.22,698.870778,0,0.1,0.1,0,0,0,10.34,None,0,0,1,1,0,0,0,1
5,1,sumatera,aceh,1,andalas_cement_power_station_geothermal,,geothermal,798.410617,0,,,,,,,,,,,,,,,,,,,5.45346494,95.24653272,Gardu Induk Lamreung,12.55001624,2.5,1,3440000,0,0,43000,0,0.22,798.410617,0,0.1,0.1,0,0,0,10.34,None,0,0,1,1,0,0,0,1
6,1,sumatera,aceh,1,andalas_cement_power_station_geothermal,,geothermal,233.589255,0,,,,,,,,,,,,,,,,,,,5.45346494,95.24653272,Gardu Induk Lamreung,12.55001624,3,1,3440000,0,0,43000,0,0.22,233.589255,0,0.1,0.1,0,0,0,10.34,None,0,0,1,1,0,0,0,1
7,1,sumatera,aceh,1,andalas_cement_power_station_solar,,solar,5151.552213,0,,,,,,,,,,,,,,,,,,,5.45346494,95.24653272,Gardu Induk Lamreung,12.55001624,1,1,560000,0,0,10000,0,0,5151.552213,0,1,1,0,0,0,0,None,0,0,1,1,0,1,0,1
8,1,sumatera,aceh,1,andalas_cement_power_station_solar,,solar,1622.17584,0,,,,,,,,,,,,,,,,,,,5.45346494,95.24653272,Gardu Induk Lamreung,12.55001624,1.5,1,560000,0,0,10000,0,0,1622.17584,0,1,1,0,0,0,0,None,0,0,1,1,0,1,0,1
9,1,sumatera,aceh,1,andalas_cement_power_station_solar,,solar,1677.289868,0,,,,,,,,,,,,,,,,,,,5.45346494,95.24653272,Gardu Induk Lamreung,12.55001624,2,1,560000,0,0,10000,0,0,1677.289868,0,1,1,0,0,0,0,None,0,0,1,1,0,1,0,1
10,1,sumatera,aceh,1,andalas_cement_power_station_solar,,solar,129.209841,0,,,,,,,,,,,,,,,,,,,5.45346494,95.24653272,Gardu Induk Lamreung,12.55001624,2.5,1,560000,0,0,10000,0,0,129.209841,0,1,1,0,0,0,0,None,0,0,1,1,0,1,0,1
11,1,sumatera,aceh,1,andalas_cement_power_station_solar,,solar,560.614212,0,,,,,,,,,,,,,,,,,,,5.45346494,95.24653272,Gardu Induk Lamreung,12.55001624,3,1,560000,0,0,10000,0,0,560.614212,0,1,1,0,0,0,0,None,0,0,1,1,0,1,0,1
12,1,sumatera,aceh,1,andalas_cement_power_station_wind,,wind,10.721881,0,,,,,,,,,,,,,,,,,,,5.45346494,95.24653272,Gardu Induk Lamreung,12.55001624,1,1,1280000,0,0,51000,0,0,10.721881,0,1,1,0,0,0,0,None,0,0,1,1,0,1,0,1
13,1,sumatera,aceh,1,andalas_cement_power_station_wind,,wind,0.612692,0,,,,,,,,,,,,,,,,,,,5.45346494,95.24653272,Gardu Induk Lamreung,12.55001624,1.5,1,1280000,0,0,51000,0,0,0.612692,0,1,1,0,0,0,0,None,0,0,1,1,0,1,0,1
14,2,sumatera,north_sumatra,2,medan_steel_mill_power_plant_unit_1,,coal_captive,30,0,operating,2017,,iron_steel,,,pt_gahapi_nisco_steel,pt_gunung_gahapi_nanjing_iron_and_steel_co_ltd,china_indonesia,nanjing_iron_and_steel_co_ltd_,,nanjing_iron_and_steel_co,owner_epc,medan_industrial_estates,subcritical,,,,3.6675679,98.6653865,Gardu Induk Mabar,0.567170631,4,-1,1600000,0,0,43900,0,0.12,30,0.25,0.035,0.035,1,110,13.7,8.97,coal_captive,24,24,1,1,1,0,0,0
15,2,sumatera,north_sumatra,2,medan_steel_mill_power_plant_unit_2,,coal_captive,30,0,operating,2017,,iron_steel,,,pt_gahapi_nisco_steel,pt_gunung_gahapi_nanjing_iron_and_steel_co_ltd,china_indonesia,nanjing_iron_and_steel_co_ltd_,,nanjing_iron_and_steel_co,owner_epc,medan_industrial_estates,subcritical,,,,3.6675679,98.6653865,Gardu Induk Mabar,0.567170631,4,-1,1600000,0,0,43900,0,0.12,30,0.25,0.035,0.035,1,110,13.7,8.97,coal_captive,24,24,1,1,1,0,0,0
16,2,sumatera,north_sumatra,2,medan_steel_mill_power_plant_geothermal,,geothermal,1908.052725,0,,,,,,,,,,,,,,,,,,,3.6675679,98.6653865,Gardu Induk Mabar,0.567170631,1.5,1,3440000,0,0,43000,0,0.22,1908.052725,0,0.1,0.1,0,0,0,10.34,None,0,0,1,1,0,0,0,1
17,2,sumatera,north_sumatra,2,medan_steel_mill_power_plant_geothermal,,geothermal,1579.743253,0,,,,,,,,,,,,,,,,,,,3.6675679,98.6653865,Gardu Induk Mabar,0.567170631,2,1,3440000,0,0,43000,0,0.22,1579.743253,0,0.1,0.1,0,0,0,10.34,None,0,0,1,1,0,0,0,1
18,2,sumatera,north_sumatra,2,medan_steel_mill_power_plant_geothermal,,geothermal,2353.199131,0,,,,,,,,,,,,,,,,,,,3.6675679,98.6653865,Gardu Induk Mabar,0.567170631,2.5,1,3440000,0,0,43000,0,0.22,2353.199131,0,0.1,0.1,0,0,0,10.34,None,0,0,1,1,0,0,0,1
19,2,sumatera,north_sumatra,2,medan_steel_mill_power_plant_geothermal,,geothermal,1274.475078,0,,,,,,,,,,,,,,,,,,,3.6675679,98.6653865,Gardu Induk Mabar,0.567170631,3,1,3440000,0,0,43000,0,0.22,1274.475078,0,0.1,0.1,0,0,0,10.34,None,0,0,1,1,0,0,0,1
20,2,sumatera,north_sumatra,2,medan_steel_mill_power_plant_solar,,solar,3989.619041,0,,,,,,,,,,,,,,,,,,,3.6675679,98.6653865,Gardu Induk Mabar,0.567170631,1.5,1,560000,0,0,10000,0,0,3989.619041,0,1,1,0,0,0,0,None,0,0,1,1,0,1,0,1
21,2,sumatera,north_sumatra,2,medan_steel_mill_power_plant_solar,,solar,3791.383808,0,,,,,,,,,,,,,,,,,,,3.6675679,98.6653865,Gardu Induk Mabar,0.567170631,2,1,560000,0,0,10000,0,0,3791.383808,0,1,1,0,0,0,0,None,0,0,1,1,0,1,0,1
