ID,Resource,Zone,Village,technology,Total_MW,Start_MW,Change_in_MW,Electricity_GWh
1,pltd_bel1,1,1,diesel,0.0,0.2773,-0.2773,0.0
2,plts_bel1,1,1,solar,0.041804311774461166,0.0,0.041804311774461166,0.060758934502811474
3,batt_bel1,1,1,battery,0.06246378308457713,0.0,0.06246378308457713,0.14946778147348455
4,pltd_bel2,1,2,diesel,0.0,0.846,-0.846,0.0
5,plts_bel2,1,2,solar,0.0,0.0,0.0,0.0
6,batt_bel2,1,2,battery,0.4229919999999999,0.0,0.4229919999999999,1.1826134589381871
7,pltd_bel3,1,3,diesel,0.0,0.842,-0.842,0.0
8,plts_bel3,1,3,solar,3.1690727329974813,0.0,3.1690727329974813,4.862791500949629
9,batt_bel3,1,3,battery,0.42095099999999985,0.0,0.42095099999999985,1.1503543360379467
10,pltd_bel4,1,4,diesel,0.0,0.3891,-0.3891,0.0
11,plts_bel4,1,4,solar,0.0,0.0,0.0,0.0
12,batt_bel4,1,4,battery,0.019947226169844012,0.0,0.019947226169844012,0.054044142941292866
13,pltd_bel5,1,5,diesel,0.0,0.4381,-0.4381,0.0
14,plts_bel5,1,5,solar,0.0,0.0,0.0,0.0
15,batt_bel5,1,5,battery,0.21905900000000006,0.0,0.21905900000000006,0.5893374239524843
16,pltd_bel6,1,6,diesel,0.0,0.3851,-0.3851,0.0
17,plts_bel6,1,6,solar,0.0,0.0,0.0,0.0
18,batt_bel6,1,6,battery,0.018526930675909853,0.0,0.018526930675909853,0.04654195791246879
19,pltd_bel7,1,7,diesel,0.0,0.3586,-0.3586,0.0
20,plts_bel7,1,7,solar,0.0,0.0,0.0,0.0
21,batt_bel7,1,7,battery,0.179303,0.0,0.179303,0.4850505939468193
22,pltd_bel8,1,8,diesel,0.0,0.7089,-0.7089,0.0
23,plts_bel8,1,8,solar,2.6735447231424514,0.0,2.6735447231424514,4.207328285340026
24,batt_bel8,1,8,battery,0.35439,0.0,0.35439,0.9700568488651801
25,pltd_bel9,1,9,diesel,0.0,0.6833,-0.6833,0.0
26,plts_bel9,1,9,solar,0.0,0.0,0.0,0.0
27,batt_bel9,1,9,battery,0.341673,0.0,0.341673,0.8925611503732589
28,pltd_bel10,1,10,diesel,0.0,0.3968,-0.3968,0.0
29,plts_bel10,1,10,solar,0.0,0.0,0.0,0.0
30,batt_bel10,1,10,battery,0.02034174176776432,0.0,0.02034174176776432,0.05605180359637873
31,pltd_bel11,1,11,diesel,0.0,0.6602,-0.6602,0.0
32,plts_bel11,1,11,solar,0.0,0.0,0.0,0.0
33,batt_bel11,1,11,battery,0.330128,0.0,0.330128,0.8752557350130067
34,pltd_bel12,1,12,diesel,0.0,0.284,-0.284,0.0
35,plts_bel12,1,12,solar,0.0,0.0,0.0,0.0
