ID,Resource,Zone,Village,technology,Total_MW,Start_MW,Change_in_MW,Electricity_GWh
1,pltd_bel1,1,1,diesel,0.0,0.2773,-0.2773,0.0
2,plts_bel1,1,1,solar,0.0,0.0,0.0,0.0
3,batt_bel1,1,1,battery,0.010921252166377843,0.0,0.010921252166377843,0.004535883437789618
4,pltd_bel2,1,2,diesel,0.0,0.846,-0.846,0.0
5,plts_bel2,1,2,solar,0.0,0.0,0.0,0.0
6,batt_bel2,1,2,battery,0.40107399999999993,0.0,0.40107399999999993,0.3498849723799806
7,pltd_bel3,1,3,diesel,0.0,0.842,-0.842,0.0
8,plts_bel3,1,3,solar,0.0,0.0,0.0,0.0
9,batt_bel3,1,3,battery,0.39913599999999994,0.0,0.39913599999999994,0.31684687229777536
10,pltd_bel4,1,4,diesel,0.0,0.3891,-0.3891,0.0
11,plts_bel4,1,4,solar,0.0,0.0,0.0,0.0
12,batt_bel4,1,4,battery,0.09398630716171918,0.0,0.09398630716171918,0.07505007619788406
13,pltd_bel5,1,5,diesel,0.0,0.4381,-0.4381,0.0
14,plts_bel5,1,5,solar,0.0,0.0,0.0,0.0
15,batt_bel5,1,5,battery,0.20770900000000003,0.0,0.20770900000000003,0.16012742370791436
16,pltd_bel6,1,6,diesel,0.0,0.3851,-0.3851,0.0
17,plts_bel6,1,6,solar,0.0,0.0,0.0,0.0
18,batt_bel6,1,6,battery,0.010503000000000111,0.0,0.010503000000000111,0.00509599118341625
19,pltd_bel7,1,7,diesel,0.0,0.3586,-0.3586,0.0
20,plts_bel7,1,7,solar,0.0,0.0,0.0,0.0
21,batt_bel7,1,7,battery,0.170012,0.0,0.170012,0.14160550003375236
22,pltd_bel8,1,8,diesel,0.0,0.7089,-0.7089,0.0
23,plts_bel8,1,8,solar,0.0,0.0,0.0,0.0
24,batt_bel8,1,8,battery,0.336024,0.0,0.336024,0.25817682190910474
25,pltd_bel9,1,9,diesel,0.0,0.6833,-0.6833,0.0
26,plts_bel9,1,9,solar,0.0,0.0,0.0,0.0
27,batt_bel9,1,9,battery,0.32396899999999995,0.0,0.32396899999999995,0.25659279820355235
28,pltd_bel10,1,10,diesel,0.0,0.3968,-0.3968,0.0
29,plts_bel10,1,10,solar,0.0,0.0,0.0,0.0
30,batt_bel10,1,10,battery,0.018578000000000077,0.0,0.018578000000000077,0.008971810728666704
31,pltd_bel11,1,11,diesel,0.0,0.6602,-0.6602,0.0
32,plts_bel11,1,11,solar,0.0,0.0,0.0,0.0
33,batt_bel11,1,11,battery,0.31302299999999994,0.0,0.31302299999999994,0.2559254160542192
34,pltd_bel12,1,12,diesel,0.0,0.284,-0.284,0.0
35,plts_bel12,1,12,solar,0.0,0.0,0.0,0.0
36,batt_bel12,1,12,battery,0.013298000000000032,0.0,0.013298000000000032,0.006311346809219061
37,pltd_bel13,1,13,diesel,0.0,0.2672,-0.2672,0.0
38,plts_bel13,1,13,solar,0.0,0.0,0.0,0.0
39,batt_bel13,1,13,battery,0.133622,0.0,0.133622,0.09455613089240958
40,pltd_bel14,1,14,diesel,0.004249791597920299,0.2055,-0.2012502084020797,0.0006864938600193178
41,plts_bel14,1,14,solar,0.0,0.0,0.0,0.0
42,batt_bel14,1,14,battery,0.005058492201039877,0.0,0.005058492201039877,0.0027377364814929546
43,pltd_bel15,1,15,diesel,0.0,0.1749,-0.1749,0.0
44,plts_bel15,1,15,solar,0.0,0.0,0.0,0.0
45,batt_bel15,1,15,battery,0.009071599417637272,0.0,0.009071599417637272,0.00527199186849791
46,pltd_bel16,1,16,diesel,0.0,0.4908,-0.4908,0.0
47,plts_bel16,1,16,solar,0.0,0.0,0.0,0.0
48,batt_bel16,1,16,battery,0.02297599999999998,0.0,0.02297599999999998,0.010752176662933325
