ID,Resource,Zone,technology,owner,Total_MW,Start_MW,Change_in_MW,Percent_MW,GWh,Percent_GWh,STOR,VRE,THERM,New_Build
1,pln_timor_diesel,1,diesel,pln,2.0133414750443192e-10,122.131,-122.13099999979866,1.622341056916801e-10,6.945668647660337e-12,1.0182361517105925e-12,0,0,1,0
2,pltd_kefamenanu,1,diesel,,2.446931546273845e-12,4.2,-4.199999999997553,1.971725889617203e-12,3.5732580797353386e-12,5.238402147796242e-13,0,0,0,1
3,pltu_kupang_ftp1,1,coal,,32.99999999994663,33.0,-5.3368864882941125e-11,26.591244228448307,153.99533314649747,22.575740847830374,0,0,1,-1
4,pltmg_kupang_peaker,1,gas,,7.013056801952189e-12,16.8,-16.799999999992988,5.6510880669391774e-12,3.127537039077667e-11,4.5849743783494685e-12,0,0,0,1
5,pltd_labuhan_bajo,1,diesel,,2.446931546273845e-12,4.2,-4.199999999997553,1.971725889617203e-12,3.5732580797353386e-12,5.238402147796242e-13,0,0,0,1
6,mpp_flores_labuan_bajo,1,gas,,1.3994139180795173e-11,8.4,-8.399999999986006,1.1276411294667386e-11,6.30776823305234e-11,9.24719847335227e-12,0,0,0,1
7,pltd_ruteng,1,diesel,,2.446931546273845e-12,4.2,-4.199999999997553,1.971725889617203e-12,3.5732580797353386e-12,5.238402147796242e-13,0,0,0,1
8,pltp_ulumbu_adb,1,geothermal,,4.898220704045767e-13,2.1,-2.0999999999995103,3.946963122010111e-13,2.865553554013889e-12,4.2009061637896946e-13,0,0,0,1
9,pltd_bajawa,1,diesel,,2.446931546273845e-12,4.2,-4.199999999997553,1.971725889617203e-12,3.5732580797353386e-12,5.238402147796242e-13,0,0,0,1
10,pltmg_maumere,1,gas,,7.013056801952189e-12,16.8,-16.799999999992988,5.6510880669391774e-12,3.127537039077667e-11,4.5849743783494685e-12,0,0,0,1
11,pltmg_alor,1,gas,PLN,4.676259379721159e-12,4.2,-4.199999999995324,3.768107734604201e-12,2.089692244219063e-11,3.0634922236462345e-12,0,0,0,1
12,plts_lisdes_ntt,1,solar,PLN,0.257456727620099,0.9954,-0.7379432723799009,0.20745741583073385,0.35566531870308055,0.05214059348125361,0,1,0,1
13,pltp_sokoria,1,geothermal,IPP,4.898220704045767e-13,2.1,-2.0999999999995103,3.946963122010111e-13,2.865553554013889e-12,4.2009061637896946e-13,0,0,0,1
14,pltbm_sumba_kuota_tersebar,1,biomass,IPP,1.0565492924996533e-11,0.42,-0.4199999999894345,8.513624326150903e-12,7.900944873981332e-11,1.1582798016243215e-11,0,0,0,1
15,pltm_sumba_kuota_tersebar,1,hydropower,IPP,2.0173236040983207e-12,0.672,-0.6719999999979828,1.6255498377114773e-12,5.723380911060562e-12,8.39048571027825e-13,0,0,0,1
