ID,Resource,Zone,Village,technology,Total_MW,Start_MW,Change_in_MW,Electricity_GWh
1,pltd_bel1,1,1,diesel,1.4544827294113672e-10,0.2773,-0.2772999998545517,6.919142694291418e-12
2,plts_bel1,1,1,solar,5.697004320330274e-10,0.0,5.697004320330274e-10,7.59938952872619e-10
3,batt_bel1,1,1,battery,1.5873054146771338e-7,0.0,1.5873054146771338e-7,3.9979195150779677e-7
4,pltd_bel2,1,2,diesel,1.611541797471677e-10,0.846,-0.8459999998388458,6.934686666533734e-12
5,plts_bel2,1,2,solar,6.111306574153308e-10,0.0,6.111306574153308e-10,8.206138098310672e-10
6,batt_bel2,1,2,battery,1.575551609739464e-7,0.0,1.575551609739464e-7,3.96394351190588e-7
7,pltd_bel3,1,3,diesel,1.611100712667574e-10,0.842,-0.8419999998388898,6.934640217319252e-12
8,plts_bel3,1,3,solar,1.1441150384102116e-9,0.0,1.1441150384102116e-9,1.5652798048672452e-9
9,batt_bel3,1,3,battery,1.5796682424736236e-7,0.0,1.5796682424736236e-7,3.975549294122482e-7
10,pltd_bel4,1,4,diesel,1.5021568677696432e-10,0.3891,-0.38909999984978433,6.924639764138896e-12
11,plts_bel4,1,4,solar,7.907594067921749e-10,0.0,7.907594067921749e-10,1.070921728419999e-9
12,batt_bel4,1,4,battery,1.5812969197489981e-7,0.0,1.5812969197489981e-7,3.980854423508175e-7
13,pltd_bel5,1,5,diesel,1.520790628430112e-10,0.4381,-0.4380999998479209,6.9263938806542615e-12
14,plts_bel5,1,5,solar,6.663269502688783e-10,0.0,6.663269502688783e-10,8.984787636880953e-10
15,batt_bel5,1,5,battery,1.5731416320359536e-7,0.0,1.5731416320359536e-7,3.957790071256967e-7
16,pltd_bel6,1,6,diesel,1.5009693870898628e-10,0.3851,-0.38509999984990306,6.9240051016034005e-12
17,plts_bel6,1,6,solar,5.698669506058081e-10,0.0,5.698669506058081e-10,7.602103461661195e-10
18,batt_bel6,1,6,battery,1.5873312792033121e-7,0.0,1.5873312792033121e-7,3.99776785430503e-7
19,pltd_bel7,1,7,diesel,1.4897947333093137e-10,0.3586,-0.3585999998510205,6.923514943696736e-12
20,plts_bel7,1,7,solar,8.487482858067262e-10,0.0,8.487482858067262e-10,1.1526953271336095e-9
21,batt_bel7,1,7,battery,1.575691140132861e-7,0.0,1.575691140132861e-7,3.9650220030663267e-7
22,pltd_bel8,1,8,diesel,1.5919041252936705e-10,0.7089,-0.7088999998408095,6.932884224793888e-12
23,plts_bel8,1,8,solar,1.0244900599335901e-9,0.0,1.0244900599335901e-9,1.3970395858929848e-9
24,batt_bel8,1,8,battery,1.5782501736221247e-7,0.0,1.5782501736221247e-7,3.972321493203692e-7
25,pltd_bel9,1,9,diesel,1.587587362701915e-10,0.6833,-0.6832999998412412,6.932456152669002e-12
26,plts_bel9,1,9,solar,5.069853953426666e-10,0.0,5.069853953426666e-10,6.725549541992823e-10
27,batt_bel9,1,9,battery,1.5776573868240152e-7,0.0,1.5776573868240152e-7,3.970936128236393e-7
28,pltd_bel10,1,10,diesel,1.5050670415281633e-10,0.3968,-0.39679999984949327,6.925066441638859e-12
29,plts_bel10,1,10,solar,5.299321015845657e-10,0.0,5.299321015845657e-10,7.049930422064476e-10
30,batt_bel10,1,10,battery,1.5762643507008208e-7,0.0,1.5762643507008208e-7,3.967508067024385e-7
31,pltd_bel11,1,11,diesel,1.583651331171116e-10,0.6602,-0.6601999998416349,6.931973556496313e-12
32,plts_bel11,1,11,solar,5.505287320494401e-10,0.0,5.505287320494401e-10,7.348602982186052e-10
33,batt_bel11,1,11,battery,1.5762877560422065e-7,0.0,1.5762877560422065e-7,3.9665047226962966e-7
34,pltd_bel12,1,12,diesel,1.4572071460740289e-10,0.284,-0.28399999985427926,6.9201608525036386e-12
35,plts_bel12,1,12,solar,6.122517211425594e-10,0.0,6.122517211425594e-10,8.213522581370234e-10
36,batt_bel12,1,12,battery,1.5744258743809897e-7,0.0,1.5744258743809897e-7,3.962182676373121e-7
37,pltd_bel13,1,13,diesel,1.4490014751211145e-10,0.2672,-0.26719999985509985,6.016663064881735e-12
38,plts_bel13,1,13,solar,2.978640715765426,0.0,2.978640715765426,5.05980079685123
39,batt_bel13,1,13,battery,2.1252133097842,0.0,2.1252133097842,5.6741769534596065
40,pltd_bel14,1,14,diesel,1.4176439702137544e-10,0.2055,-0.20549999985823558,6.914458416254135e-12
41,plts_bel14,1,14,solar,5.697207013540283e-10,0.0,5.697207013540283e-10,7.599594622717958e-10
42,batt_bel14,1,14,battery,1.5873199581062575e-7,0.0,1.5873199581062575e-7,3.998143156097969e-7
43,pltd_bel15,1,15,diesel,1.3971390612863382e-10,0.1749,-0.1748999998602861,6.023371045679675e-12
44,plts_bel15,1,15,solar,1.9667300587885417,0.0,1.9667300587885417,3.309433103979128
45,batt_bel15,1,15,battery,1.3914635505820738,0.0,1.3914635505820738,3.7175185623526055
46,pltd_bel16,1,16,diesel,1.5395824002983658e-10,0.4908,-0.4907999998460418,6.927934184442655e-12
47,plts_bel16,1,16,solar,3.896042547721273e-9,0.0,3.896042547721273e-9,5.397307270364331e-9
48,batt_bel16,1,16,battery,1.5366006484673043e-7,0.0,1.5366006484673043e-7,3.866433120122704e-7
49,pltd_bel17,1,17,diesel,1.427733746017706e-10,0.2234,-0.2233999998572266,6.020217170473545e-12
50,plts_bel17,1,17,solar,2.4998942357802405,0.0,2.4998942357802405,4.230402011756611
51,batt_bel17,1,17,battery,1.7772017838792022,0.0,1.7772017838792022,4.745925540881142
52,pltd_bel18,1,18,diesel,1.3679047216232594e-10,0.1297,-0.12969999986320954,6.896872120636628e-12
53,plts_bel18,1,18,solar,0.883558420463709,0.0,0.883558420463709,1.4405209288102505
54,batt_bel18,1,18,battery,0.35906400668859667,0.0,0.35906400668859667,0.8975761142266581
55,pltd_bel19,1,19,diesel,1.4157525913848955e-10,0.203,-0.20299999985842476,6.914959409845679e-12
56,plts_bel19,1,19,solar,3.499489978341898e-10,0.0,3.499489978341898e-10,4.5291683023079313e-10
57,batt_bel19,1,19,battery,1.5720110927841936e-7,0.0,1.5720110927841936e-7,3.957274568023304e-7
58,pltd_bel20,1,20,diesel,0.0009666000005391236,0.0444,-0.04343339999946088,0.0013230337503661602
59,plts_bel20,1,20,solar,0.13074660022292794,0.0,0.13074660022292794,0.20490841085602002
60,batt_bel20,1,20,battery,0.05492027015190867,0.0,0.05492027015190867,0.151685426837947
61,pltd_bel21,1,21,diesel,0.0036244000006574848,0.1664,-0.16277559999934252,0.0049609887503644975
62,plts_bel21,1,21,solar,0.4899559006860385,0.0,0.4899559006860385,0.7684029079340637
63,batt_bel21,1,21,battery,0.20594297699528194,0.0,0.20594297699528194,0.5688074349295208
64,pltd_bel22,1,22,diesel,0.002577666667283901,0.1183,-0.1157223333327161,0.0035279987503699733
65,plts_bel22,1,22,solar,0.35200450133488703,0.0,0.35200450133488703,0.5464232183631399
66,batt_bel22,1,22,battery,0.14645582923020514,0.0,0.14645582923020514,0.40450535829004414
67,pltd_bel23,1,23,diesel,1.3589514769141586e-10,0.1143,-0.11429999986410486,6.896660353086883e-12
68,plts_bel23,1,23,solar,5.698510202175382e-10,0.0,5.698510202175382e-10,7.599272597962105e-10
69,batt_bel23,1,23,battery,1.5894581535253187e-7,0.0,1.5894581535253187e-7,4.003732742212091e-7
70,pltd_bel24,1,24,diesel,0.0014634000005585384,0.0672,-0.06573659999944145,0.002003074375352392
71,plts_bel24,1,24,solar,0.1964920403202253,0.0,0.1964920403202253,0.3102051806798569
72,batt_bel24,1,24,battery,0.08313627195063293,0.0,0.08313627195063293,0.22961946231247243
73,pltd_bel25,1,25,diesel,0.0010674000005540813,0.049,-0.04793259999944592,0.0014610037503829066
74,plts_bel25,1,25,solar,0.14723707318672397,0.0,0.14723707318672397,0.22625260242370052
75,batt_bel25,1,25,battery,0.06064047571706184,0.0,0.06064047571706184,0.16748543596490412
76,pltd_bel26,1,26,diesel,0.002986866667300135,0.1371,-0.13411313333269986,0.004088501875360853
77,plts_bel26,1,26,solar,0.4060816701338567,0.0,0.4060816701338567,0.6332152148148978
78,batt_bel26,1,26,battery,0.1697021158679923,0.0,0.1697021158679923,0.4687097243366415
79,pltd_bel27,1,27,diesel,1.3654544535878027e-10,0.1254,-0.12539999986345457,6.901803408524802e-12
80,plts_bel27,1,27,solar,2.749807882197053e-10,0.0,2.749807882197053e-10,3.4877190503846176e-10
81,batt_bel27,1,27,battery,1.5614233990381002e-7,0.0,1.5614233990381002e-7,3.930137937811603e-7
82,pltd_bel28,1,28,diesel,0.0020270000005833096,0.093,-0.09097299999941669,0.00277427375036823
83,plts_bel28,1,28,solar,0.27736742799008507,0.0,0.27736742799008507,0.4297424379821663
84,batt_bel28,1,28,battery,0.11518621051871643,0.0,0.11518621051871643,0.3181418149536959
85,pltd_bel29,1,29,diesel,0.001443066667226145,0.0662,-0.06475693333277385,0.0019753343753570046
86,plts_bel29,1,29,solar,0.19485430662986628,0.0,0.19485430662986628,0.3059407042334722
87,batt_bel29,1,29,battery,0.08200192435735888,0.0,0.08200192435735888,0.2264853566470053
88,pltd_bel30,1,30,diesel,0.001107533333908271,0.0508,-0.04969246666609173,0.0015160275004317558
89,plts_bel30,1,30,solar,0.16065130639848088,0.0,0.16065130639848088,0.23478870987959247
90,batt_bel30,1,30,battery,0.06292615338933258,0.0,0.06292615338933258,0.1737991058262919
91,pltd_bel31,1,31,diesel,0.0022553333339420025,0.1035,-0.101244666666058,0.003087078750400061
92,plts_bel31,1,31,solar,0.3188334303400599,0.0,0.3188334303400599,0.4781105033837794
93,batt_bel31,1,31,battery,0.1281298213985101,0.0,0.1281298213985101,0.3538889336187573
94,pltd_bel32,1,32,diesel,0.0033827333339903156,0.1553,-0.1519172666660097,0.004630025000382781
95,plts_bel32,1,32,solar,0.468728123760035,0.0,0.468728123760035,0.7171764817326609
96,batt_bel32,1,32,battery,0.19221278084920354,0.0,0.19221278084920354,0.5308858463367535
97,pltd_bel33,1,33,diesel,0.002000200000586167,0.0918,-0.08979979999941384,0.0027376368753796285
98,plts_bel33,1,33,solar,0.27634803096648053,0.0,0.27634803096648053,0.42403655808068563
99,batt_bel33,1,33,battery,0.11363271827749812,0.0,0.11363271827749812,0.3138498518312726
100,pltd_bel34,1,34,diesel,0.0016109333338998,0.0739,-0.07228906666610019,0.0022049650003646217
101,plts_bel34,1,34,solar,0.2189976872904879,0.0,0.2189976872904879,0.34150550559735426
102,batt_bel34,1,34,battery,0.09151694313380943,0.0,0.09151694313380943,0.25276615993083246
103,pltd_bel35,1,35,diesel,0.001651266667234584,0.0758,-0.07414873333276542,0.0022602168753663404
104,plts_bel35,1,35,solar,0.22557577857676445,0.0,0.22557577857676445,0.35005050581426567
105,batt_bel35,1,35,battery,0.09382069711145502,0.0,0.09382069711145502,0.2591268213084202
106,pltd_bel36,1,36,diesel,0.0009666000005456078,0.0444,-0.04343339999945439,0.0013230337503828077
107,plts_bel36,1,36,solar,0.13298828489654654,0.0,0.13298828489654654,0.2049111039954032
108,batt_bel36,1,36,battery,0.054925607583522655,0.0,0.054925607583522655,0.1517002671581834
109,pltd_bel37,1,37,diesel,0.0016914000005732452,0.0776,-0.07590859999942676,0.002315240625376506
110,plts_bel37,1,37,solar,0.23309908283455105,0.0,0.23309908283455105,0.3585847784739289
111,batt_bel37,1,37,battery,0.09610074914514956,0.0,0.09610074914514956,0.26542711231198024
112,pltd_bel38,1,38,diesel,1.3866237192863697e-10,0.1587,-0.15869999986133765,6.90910909810998e-12
113,plts_bel38,1,38,solar,2.923458212327813e-10,0.0,2.923458212327813e-10,3.746927358883032e-10
114,batt_bel38,1,38,battery,1.5645038010794006e-7,0.0,1.5645038010794006e-7,3.9370775605948226e-7
115,pltd_bel39,1,39,diesel,1.333069170080366e-10,0.0712,-0.07119999986669308,6.862416543928117e-12
116,plts_bel39,1,39,solar,5.704191408603837e-10,0.0,5.704191408603837e-10,7.600829783002101e-10
117,batt_bel39,1,39,battery,1.6021929821221064e-7,0.0,1.6021929821221064e-7,4.035586567963848e-7
118,pltd_bel40,1,40,diesel,0.0013894666672342063,0.0638,-0.06241053333276579,0.0019018325003820184
119,plts_bel40,1,40,solar,0.19240632352551745,0.0,0.19240632352551745,0.2945520214325155
120,batt_bel40,1,40,battery,0.07894004235123028,0.0,0.07894004235123028,0.21803010277520077
121,pltd_bel41,1,41,diesel,0.0015034000005644393,0.069,-0.06749659999943557,0.002057824375366109
122,plts_bel41,1,41,solar,0.20496633188711183,0.0,0.20496633188711183,0.3187420343028088
123,batt_bel41,1,41,battery,0.08542180078762861,0.0,0.08542180078762861,0.23593221560985694
124,pltd_bel42,1,42,diesel,1.3370635787156447e-10,0.0776,-0.07759999986629365,6.8708342376075764e-12
125,plts_bel42,1,42,solar,5.703085818578648e-10,0.0,5.703085818578648e-10,7.601395627727193e-10
