ID,Zone,Total_Import_MWh,Peak_Import_MW
1,1,2194.7610476025143,0.3781
2,1,6813.82602042718,1.1536
3,1,6720.999772188281,1.1481
4,1,3115.647474527054,0.5306
5,1,3508.432559342321,0.5974
6,1,3021.6824964633056,0.5251
7,1,2880.617918500512,0.489
8,1,5720.256242969155,0.9666
9,1,5528.661960520311,0.9318
10,1,3134.194772230928,0.5411
11,1,5189.033850032662,0.9003
12,1,2278.3166866165566,0.3873
13,1,421.0233905531159,0.3644
14,1,1623.1503617254423,0.2802
15,1,276.4851297008717,0.2386
16,1,3891.4386764010683,0.6692
17,1,358.70215761958326,0.3047
18,1,405.28518496009093,0.1769
19,1,1609.599696855397,0.2768
20,1,0.0,0.0
21,1,0.0,0.0
22,1,0.0,0.0
23,1,893.5603807317884,0.1559
24,1,0.0,0.0
25,1,0.0,0.0
26,1,0.0,0.0
27,1,996.2720413601762,0.171
28,1,0.0,0.0
29,1,0.0,0.0
30,1,0.0,0.0
31,1,0.0,0.0
32,1,0.0,0.0
33,1,0.0,0.0
34,1,0.0,0.0
35,1,0.0,0.0
36,1,0.0,0.0
37,1,0.0,0.0
38,1,1267.2902591016475,0.2163
39,1,573.3788137018433,0.097
40,1,0.0,0.0
41,1,0.0,0.0
42,1,617.3651562446456,0.1059
43,1,0.0,0.0
44,1,0.0,0.0
45,1,0.0,0.0
46,1,0.0,0.0
47,1,899.6634061772039,0.1542
48,1,0.0,0.0
49,1,1555.4864966484502,0.2726
50,1,1876.5083225699502,0.3201
51,1,0.0,0.0
52,1,1242.9155780225092,0.2184
53,1,0.0,0.0
54,1,0.0,0.0
55,1,1652.7377689364241,0.2815
56,1,0.0,0.0
57,1,1408.321743374196,0.2361
58,1,1949.3095277539142,0.3378
59,1,0.0,0.0
60,1,3388.6075277378877,0.5764
61,1,0.0,0.0
62,1,2263.4071744711655,0.3907
63,1,899.0272350537391,0.1542
64,1,0.0,0.0
65,1,0.0,0.0
66,1,3589.498779088401,0.61
67,1,2909.0011565946384,0.4924
68,1,1441.428890162144,0.2483
69,1,2817.98135006377,0.4697
70,1,0.0,0.0
71,1,1181.8428365933498,0.2025
72,1,1032.3405387160965,0.1756
73,1,803.1977338586012,0.1344
74,1,5621.904601566496,0.97
75,1,1241.7052520383386,0.2084
76,1,0.0,0.0
77,1,934.7401466942455,0.4293
78,1,0.0,0.0
79,1,522.9863774466459,0.0903
80,1,492.0640531998235,0.147
81,1,1361.5284635075272,0.2281
82,1,3051.083423635578,0.9103
83,1,1619.6839640069848,0.4999
84,1,2074.4528595992288,0.6587
85,1,334.7070882086707,0.1008
86,1,2045.2915404094165,0.6381
87,1,1953.0099295719858,0.5835
88,1,847.7480050563662,0.2697
89,1,4695.339746533103,1.2855
90,1,1263.20807665348,0.4121
91,1,1312.4956304043424,0.3903
92,1,1052.7682420240908,0.3289
93,1,5230.097665169406,1.4703
94,1,660.5768608309415,0.2159
95,1,179.2219788336594,0.0723
96,1,0.0,0.0
97,1,292.52934016913883,0.1378
98,1,0.0,0.0
99,1,192.12585387746134,0.076
100,1,649.3255233296829,0.3067
101,1,0.0,0.0
102,1,451.8105931737452,0.2
103,1,533.1052068058539,0.2432
104,1,617.8536184468331,0.2857
