Segment,Zone,NSE_Price,Max_NSE_MW,Total_NSE_MWh,NSE_Percent_of_Demand
1,1,2000.0,6.152556254571052e-14,4.900775461872741e-10,7.184544785873053e-14
1,2,2000.0,6.197134799278804e-14,5.155020665145278e-10,7.557268666760043e-14
1,3,2000.0,6.197000592650755e-14,5.154419612116876e-10,7.556387522044308e-14
1,4,2000.0,6.171752580851376e-14,5.003370364297982e-10,7.334949079440657e-14
1,5,2000.0,6.176547986730184e-14,5.032573633149085e-10,7.377761119001937e-14
1,6,2000.0,6.171026513797177e-14,4.996720161516107e-10,7.325199871362624e-14
1,7,2000.0,6.168139394413864e-14,4.982431874625228e-10,7.304253219576686e-14
1,8,2000.0,6.192477563171207e-14,5.129880848102035e-10,7.520413654148056e-14
1,9,2000.0,6.191473708287317e-14,5.123573943140041e-10,7.511167721231478e-14
1,10,2000.0,6.172699909733215e-14,5.009273894683189e-10,7.343603664572594e-14
1,11,2000.0,6.190442972149614e-14,5.117378530136663e-10,7.50208523570729e-14
1,12,2000.0,6.155201408001819e-14,4.915061495622828e-10,7.205488134550932e-14
1,13,2000.0,6.15777952050866e-14,5.024897284470773e-10,7.366507579373285e-14
1,14,2000.0,6.117766946415819e-14,4.792223283584273e-10,7.025407116215452e-14
1,15,2000.0,6.114590854332175e-14,4.886498220404239e-10,7.163614326694256e-14
1,16,2000.0,6.180842282359129e-14,5.057649888628222e-10,7.414522950257721e-14
1,17,2000.0,6.144683982630946e-14,4.969459173719453e-10,7.285235218981396e-14
1,18,2000.0,6.006024225100291e-14,4.626192108530371e-10,6.782005143954912e-14
1,19,2000.0,6.117418339528325e-14,4.795994039736178e-10,7.030935050857783e-14
1,20,2000.0,9.304946728856511e-15,6.053287984687962e-11,8.874130015978932e-15
1,21,2000.0,9.408332994702539e-15,6.43191895663535e-11,9.429203635743413e-15
1,22,2000.0,9.39474052532275e-15,6.357558366323179e-11,9.320190889585563e-15
1,23,2000.0,5.953976466600134e-14,4.5796374747669107e-10,6.713755975253826e-14
1,24,2000.0,9.361375061619966e-15,6.205424559636295e-11,9.097162481920138e-15
1,25,2000.0,9.32399097324787e-15,6.095863251628923e-11,8.936545426455816e-15
1,26,2000.0,9.400982104490398e-15,6.391155787612643e-11,9.369444763757502e-15
1,27,2000.0,5.993098014897382e-14,4.615342094592293e-10,6.766099005901471e-14
1,28,2000.0,9.382374603474196e-15,6.298807938331096e-11,9.234062666739574e-15
1,29,2000.0,9.36026333832859e-15,6.201926657557904e-11,9.092034551792688e-15
1,30,2000.0,9.32967256780237e-15,6.116856931027001e-11,8.96732219454674e-15
1,31,2000.0,9.387978602766443e-15,6.32955247714827e-11,9.279134210574107e-15
1,32,2000.0,9.40580579339818e-15,6.420861751277622e-11,9.412993754732288e-15
1,33,2000.0,9.381434625971996e-15,6.296467837534709e-11,9.230632075171791e-15
1,34,2000.0,9.368339760194525e-15,6.235245651257647e-11,9.140880250665935e-15
1,35,2000.0,9.370119372096626e-15,6.242965000594518e-11,9.152196829329865e-15
1,36,2000.0,9.305055002277474e-15,6.05551737482323e-11,8.877398305537722e-15
1,37,2000.0,9.37182277349579e-15,6.250904871951401e-11,9.163836693633259e-15
1,38,2000.0,6.069273006745967e-14,4.69885848052981e-10,6.888534163314918e-14
1,39,2000.0,5.655918198341683e-14,4.463806421548978e-10,6.543947463128874e-14
1,40,2000.0,9.356764805170635e-15,6.19287053768495e-11,9.078758265351969e-15
1,41,2000.0,9.363455956721709e-15,6.215356142706792e-11,9.11172219883019e-15
1,42,2000.0,5.710770120048649e-14,4.480500367528176e-10,6.568420815045034e-14
1,43,2000.0,9.40130432588751e-15,6.390273905416561e-11,9.368151923025884e-15
1,44,2000.0,9.390064808922672e-15,6.333029824652716e-11,9.284232007662773e-15
1,45,2000.0,9.374573043991093e-15,6.26181164748914e-11,9.179826044283983e-15
1,46,2000.0,9.391151274860697e-15,6.337429100504658e-11,9.290681353206061e-15
1,47,2000.0,5.948795960392013e-14,4.576285339620253e-10,6.708841739685022e-14
1,48,2000.0,9.391332801109036e-15,6.337695083952324e-11,9.29107128537229e-15
1,49,2000.0,6.11375509417646e-14,4.786353958206326e-10,7.016802675679709e-14
1,50,2000.0,6.138309126895481e-14,4.84876586280101e-10,7.108298629171279e-14
1,51,2000.0,9.404135668792473e-15,6.405257670479069e-11,9.390118146940875e-15
1,52,2000.0,6.071831376834253e-14,4.702427613038641e-10,6.893766517369069e-14
1,53,2000.0,9.401398021117747e-15,6.38903167896496e-11,9.366330817030486e-15
1,54,2000.0,9.397580254114485e-15,6.366943919960954e-11,9.333950126460506e-15
1,55,2000.0,6.119355414138646e-14,4.79792318660201e-10,7.033763183295992e-14
1,56,2000.0,9.406776645115436e-15,6.423936990958797e-11,9.417502061099023e-15
1,57,2000.0,6.085329303277965e-14,4.731273039372707e-10,6.936053959219242e-14
1,58,2000.0,6.143253021021995e-14,4.861379936546858e-10,7.126790881767712e-14
1,59,2000.0,9.372200997907427e-15,6.250806182597667e-11,9.163692014880414e-15
1,60,2000.0,6.174791681467083e-14,5.020852474270801e-10,7.360577881051431e-14
1,61,2000.0,9.342044170261275e-15,6.144319575808095e-11,9.007582476394646e-15
1,62,2000.0,6.156214609138705e-14,4.919102202342592e-10,7.211411817164138e-14
1,63,2000.0,5.948795960391367e-14,4.57628533962025e-10,6.708841739685017e-14
1,64,2000.0,9.389491012735088e-15,6.326645763911519e-11,9.274872964248582e-15
1,65,2000.0,9.333183847150365e-15,6.116071002802801e-11,8.966170022493732e-15
1,66,2000.0,6.177629826961455e-14,5.037955392662111e-10,7.385650787187909e-14
1,67,2000.0,6.168783213390153e-14,4.985447100433844e-10,7.308673545508786e-14
1,68,2000.0,6.092693083705701e-14,4.753740883278755e-10,6.968991854872866e-14
1,69,2000.0,6.166317001644257e-14,4.972128037303234e-10,7.289147777329404e-14
1,70,2000.0,9.35587634046306e-15,6.187198334370094e-11,9.070442806080838e-15
1,71,2000.0,6.050724787573045e-14,4.675764924336164e-10,6.85467897243153e-14
1,72,2000.0,6.001542725831552e-14,4.618086963758674e-10,6.770122988557002e-14
1,73,2000.0,5.881718200955833e-14,4.5412999337791065e-10,6.657553077906256e-14
1,74,2000.0,6.192513749516408e-14,5.130359899567624e-10,7.521115944374581e-14
1,75,2000.0,6.057950227433253e-14,4.679174739268114e-10,6.859677766659245e-14
1,76,2000.0,9.363192248458271e-15,6.212639620212612e-11,9.10773977244214e-15
1,77,2000.0,6.161329302388351e-14,4.938754486662708e-10,7.240222097892369e-14
1,78,2000.0,9.386469516770583e-15,6.316082011431617e-11,9.25938648595771e-15
1,79,2000.0,5.618266319961122e-14,4.4550101123925125e-10,6.531052059620455e-14
1,80,2000.0,5.926052560187385e-14,4.5633212187328e-10,6.689836317410526e-14
1,81,2000.0,6.079838844027674e-14,4.719621950445815e-10,6.918973443931268e-14
1,82,2000.0,6.190437459561457e-14,5.116925165691259e-10,7.501420602694074e-14
1,83,2000.0,6.168801824838905e-14,4.983953556320753e-10,7.306484007413507e-14
1,84,2000.0,6.179982149130855e-14,5.051384844777591e-10,7.405338385798381e-14
1,85,2000.0,5.679660589208503e-14,4.4709007629724293e-10,6.554347779176731e-14
1,86,2000.0,6.178799553538225e-14,5.044200802314606e-10,7.394806567880896e-14
1,87,2000.0,6.17523899046948e-14,5.023311891609879e-10,7.364183390864565e-14
1,88,2000.0,6.11088385687255e-14,4.778156396455701e-10,7.004785036840606e-14
1,89,2000.0,6.199557232778032e-14,5.165182302630353e-10,7.572165643815472e-14
1,90,2000.0,6.159142959816572e-14,4.928547035587833e-10,7.225257958039895e-14
1,91,2000.0,6.15519956153856e-14,4.911330190667965e-10,7.200018035427534e-14
1,92,2000.0,6.14060801011154e-14,4.851649915851916e-10,7.112526655627556e-14
1,93,2000.0,6.202660619758727e-14,5.176616020069257e-10,7.58892749214905e-14
1,94,2000.0,6.068189603873583e-14,4.692837115161794e-10,6.879706831906823e-14
1,95,2000.0,5.501336899343335e-14,4.4190752417162945e-10,6.478371480851562e-14
1,96,2000.0,9.339040086392926e-15,6.126402286765355e-11,8.981315701560647e-15
1,97,2000.0,5.894919774555661e-14,4.5463872329316673e-10,6.665011066725588e-14
1,98,2000.0,9.334638375705754e-15,6.113122967924518e-11,8.961848198574616e-15
1,99,2000.0,5.525481841478379e-14,4.425823441277762e-10,6.488264352367623e-14
1,100,2000.0,6.13309129295182e-14,4.831872978764017e-10,7.083533633739321e-14
1,101,2000.0,9.395751277302889e-15,6.352965484428565e-11,9.313457717269305e-15
1,102,2000.0,6.047251219740728e-14,4.670965963113783e-10,6.847643687486097e-14
1,103,2000.0,6.090117094230927e-14,4.746050044500566e-10,6.957717072734263e-14
1,104,2000.0,6.123027459144496e-14,4.806442879490616e-10,7.04625306690651e-14
1,105,2000.0,9.395761994678997e-15,6.35265093910071e-11,9.312996593307855e-15
1,106,2000.0,9.372630385898873e-15,6.244658581583873e-11,9.154679621810604e-15
1,107,2000.0,9.374037886982695e-15,6.24988992336439e-11,9.162348777356444e-15
1,108,2000.0,5.952850451460011e-14,4.5788606023097094e-10,6.712617078969943e-14
1,109,2000.0,6.015055347883309e-14,4.6344547516517193e-10,6.794118192189188e-14
1,110,2000.0,9.381813922458982e-15,6.287151698698464e-11,9.216974600508619e-15
1,111,2000.0,6.070976771821711e-14,4.703255498896512e-10,6.894980199381179e-14
1,112,2000.0,6.08901446067043e-14,4.744333011230724e-10,6.955199899172245e-14
1,113,2000.0,6.145874541300371e-14,4.876152812819108e-10,7.148447942373706e-14
1,114,2000.0,5.99842009466128e-14,4.6201063322651063e-10,6.773083386066848e-14
1,115,2000.0,6.001614052815734e-14,4.6224238043613827e-10,6.77648080392352e-14
1,116,2000.0,6.009592470882332e-14,4.629838162258734e-10,6.787350264641817e-14
1,117,2000.0,6.106429944095334e-14,4.77543016587283e-10,7.000788378378769e-14
1,118,2000.0,6.024933696567999e-14,4.645803313673753e-10,6.81075520254334e-14
1,119,2000.0,5.960234197352968e-14,4.5885529241904215e-10,6.726826038587217e-14
1,120,2000.0,6.030134972243448e-14,4.650555726589655e-10,6.817722247595882e-14
1,121,2000.0,6.105176571016864e-14,4.771691638199487e-10,6.995307690738349e-14
1,122,2000.0,6.04015594700856e-14,4.66178442022303e-10,6.834183530697598e-14
1,123,2000.0,6.018258953818124e-14,4.6394319182505645e-10,6.801414726505919e-14
1,124,2000.0,6.034120778071692e-14,4.656123141856741e-10,6.82588408741881e-14
1,125,2000.0,6.111780069306425e-14,4.782751573771449e-10,7.011521574247974e-14
1,126,2000.0,6.054271614490555e-14,4.681120946334122e-10,6.862530909378616e-14
1,127,2000.0,6.147945708179407e-14,4.885421156906413e-10,7.162035349857313e-14
1,128,2000.0,6.132307855054004e-14,4.830034542627192e-10,7.08083848337715e-14
1,129,2000.0,6.10967514415003e-14,4.780220190267922e-10,7.007810561920884e-14
1,130,2000.0,6.065367572042368e-14,4.694461126581694e-10,6.88208763528576e-14
1,131,2000.0,6.091771232390948e-14,4.751020088143493e-10,6.965003164786052e-14
1,132,2000.0,6.04913836614125e-14,4.674655120018285e-10,6.853051997499218e-14
1,133,2000.0,9.396713105043502e-15,6.355982580860328e-11,9.317880785537978e-15
1,134,2000.0,6.108000452265279e-14,4.774380417795297e-10,6.999249445992334e-14
1,135,2000.0,6.155974739600135e-14,4.914318521198258e-10,7.204398932837937e-14
1,136,2000.0,6.030903337301702e-14,4.650188729135138e-10,6.817184228731564e-14
1,137,2000.0,5.5715916294339823e-14,4.439164072541841e-10,6.507821739465697e-14
1,138,2000.0,9.345850157177022e-15,6.159997270475523e-11,9.030566002237378e-15
1,139,2000.0,9.415217350225864e-15,6.464578904919558e-11,9.477083172967206e-15
1,140,2000.0,9.268835186709198e-15,5.999643187871872e-11,8.795486656728398e-15
1,141,2000.0,9.378915815110365e-15,6.290420234551938e-11,9.221766279377855e-15
1,142,2000.0,9.39679102355485e-15,6.373189954504917e-11,9.343106823245398e-15
1,143,2000.0,9.405977160616516e-15,6.415099269594935e-11,9.404545947227307e-15
1,144,2000.0,9.393394198589541e-15,6.352862565194956e-11,9.313306837505696e-15
1,145,2000.0,9.395603697868342e-15,6.354729271899528e-11,9.316043432566094e-15
1,146,2000.0,9.388810031427232e-15,6.325847725090018e-11,9.273703038040261e-15
1,147,2000.0,9.313301388257438e-15,6.06944282814083e-11,8.897813042715999e-15
1,148,2000.0,9.302950639737828e-15,6.048314113334979e-11,8.866838312497984e-15
1,149,2000.0,9.378619155313165e-15,6.287220658229941e-11,9.217075695293755e-15
1,150,2000.0,9.408644373335402e-15,6.438162709220992e-11,9.438356987173702e-15
1,151,2000.0,9.384822157697217e-15,6.317744347764355e-11,9.261823473721107e-15
1,152,2000.0,6.051953746643533e-14,4.671622391525388e-10,6.848606012603537e-14
1,153,2000.0,5.5822009137779814e-14,4.442189088232709e-10,6.512256417381079e-14
1,154,2000.0,9.387260489250611e-15,6.3181223418083e-11,9.262377613603385e-15
1,155,2000.0,9.39753358163184e-15,6.3732706211908e-11,9.343225080737905e-15
1,156,2000.0,9.373469459643995e-15,6.261446796182915e-11,9.179291171676545e-15
1,157,2000.0,9.406570796106668e-15,6.421672125402427e-11,9.414181764515286e-15
1,158,2000.0,9.375857017280233e-15,6.261095605259068e-11,9.17877632521186e-15
1,159,2000.0,9.366317308198025e-15,6.226856281547246e-11,9.128581421046305e-15
1,160,2000.0,9.408430969925208e-15,6.4296548202402e-11,9.425884408111207e-15
1,161,2000.0,9.406667538868999e-15,6.42257982527228e-11,9.415512453998579e-15
1,162,2000.0,9.394317539212452e-15,6.349958428739803e-11,9.309049368746178e-15
1,163,2000.0,9.385785375784652e-15,6.310678671407116e-11,9.251465180706866e-15
1,164,2000.0,9.379369615762394e-15,6.283475973449719e-11,9.211585981324651e-15
1,165,2000.0,9.38659586695802e-15,6.31516902371149e-11,9.25804804447733e-15
1,166,2000.0,9.384943765810876e-15,6.305675989058542e-11,9.244131240259596e-15
1,167,2000.0,9.347606751466722e-15,6.15268340086606e-11,9.019843857512316e-15
1,168,2000.0,9.38999145538121e-15,6.332552623195874e-11,9.283532429552076e-15
1,169,2000.0,6.166540002129288e-14,4.973287579831899e-10,7.2908476685595e-14
1,170,2000.0,6.146595480581821e-14,4.880143677323877e-10,7.154298556218787e-14
1,171,2000.0,6.133263886741196e-14,4.833615449684762e-10,7.086088098938872e-14
1,172,2000.0,9.384042477892566e-15,6.301601569715647e-11,9.238158134886131e-15
1,173,2000.0,6.093022984362792e-14,4.752977549882676e-10,6.967872806874576e-14
1,174,2000.0,6.091505491860422e-14,4.744638765830198e-10,6.955648135911615e-14
1,175,2000.0,6.054957383175838e-14,4.679619702421783e-10,6.860330083365135e-14
1,176,2000.0,5.873206192912469e-14,4.5364426170033815e-10,6.650432243624852e-14
1,177,2000.0,6.162495470067388e-14,4.950071642766045e-10,7.256813067118713e-14
1,178,2000.0,5.980000705242417e-14,4.602824679150186e-10,6.747748454535294e-14
1,179,2000.0,9.388842832389081e-15,6.324559104140967e-11,9.271813917636255e-15
1,180,2000.0,9.400040990344294e-15,6.381456735017658e-11,9.355225936902174e-15
1,181,2000.0,9.397562354609423e-15,6.367886609657437e-11,9.33533211108646e-15
1,182,2000.0,6.129582652613709e-14,4.81975077487665e-10,7.06576246315421e-14
1,183,2000.0,9.40692811840982e-15,6.417762654292005e-11,9.408450473518499e-15
1,184,2000.0,9.38006011455868e-15,6.285698308492423e-11,9.214843928106287e-15
1,185,2000.0,6.107425431183312e-14,4.773874168668851e-10,6.998507283950827e-14
1,186,2000.0,9.391106852032244e-15,6.345143812470634e-11,9.301991133476731e-15
1,187,2000.0,9.36282026126391e-15,6.212072728725813e-11,9.106908708601873e-15
1,188,2000.0,6.202535775911129e-14,5.176180442379713e-10,7.588288934548808e-14
1,189,2000.0,6.200679328804267e-14,5.169509308611737e-10,7.578509041611158e-14
1,190,2000.0,6.21114462866635e-14,5.209348977504081e-10,7.636914060906211e-14
1,191,2000.0,6.186943022730658e-14,5.093165619537062e-10,7.466589069446964e-14
1,192,2000.0,6.091728177346997e-14,4.745292806403628e-10,6.956606960454412e-14
1,193,2000.0,6.031714792439852e-14,4.6475289789318056e-10,6.813285030614094e-14
