ID,Zone,Village,Resource,Total_Storage_MWh,Start_Storage_MWh,Change_in_Storage_MWh
3,1,1,batt_bel1,1.0040694206807713e-6,0.0,1.0040694206807713e-6
6,1,2,batt_bel2,9.979961151237397e-7,0.0,9.979961151237397e-7
9,1,3,batt_bel3,1.0000825431054046e-6,0.0,1.0000825431054046e-6
12,1,4,batt_bel4,1.000822068818099e-6,0.0,1.000822068818099e-6
15,1,5,batt_bel5,9.968420314086443e-7,0.0,9.968420314086443e-7
18,1,6,batt_bel6,1.0042484778326893e-6,0.0,1.0042484778326893e-6
21,1,7,batt_bel7,9.981063158884858e-7,0.0,9.981063158884858e-7
24,1,8,batt_bel8,9.995250125482014e-7,0.0,9.995250125482014e-7
27,1,9,batt_bel9,9.992511880309958e-7,0.0,9.992511880309958e-7
30,1,10,batt_bel10,9.984334941950685e-7,0.0,9.984334941950685e-7
33,1,11,batt_bel11,9.984304629568307e-7,0.0,9.984304629568307e-7
36,1,12,batt_bel12,9.972752223879342e-7,0.0,9.972752223879342e-7
39,1,13,batt_bel13,7.957687646936452,0.0,7.957687646936452
42,1,14,batt_bel14,1.0038538467859901e-6,0.0,1.0038538467859901e-6
45,1,15,batt_bel15,5.210432115651464,0.0,5.210432115651464
48,1,16,batt_bel16,9.717278590372033e-7,0.0,9.717278590372033e-7
51,1,17,batt_bel17,6.6543567606648795,0.0,6.6543567606648795
54,1,18,batt_bel18,1.9870867744246854,0.0,1.9870867744246854
57,1,19,batt_bel19,9.95493252611986e-7,0.0,9.95493252611986e-7
60,1,20,batt_bel20,0.28494143855738996,0.0,0.28494143855738996
63,1,21,batt_bel21,1.0685036882108998,0.0,1.0685036882108998
66,1,22,batt_bel22,0.7598341859986915,0.0,0.7598341859986915
69,1,23,batt_bel23,1.004863061428076e-6,0.0,1.004863061428076e-6
72,1,24,batt_bel24,0.4313609853865991,0.0,0.4313609853865991
75,1,25,batt_bel25,0.31459771643343093,0.0,0.31459771643343093
78,1,26,batt_bel26,0.8805172850715317,0.0,0.8805172850715317
81,1,27,batt_bel27,9.888232816180611e-7,0.0,9.888232816180611e-7
84,1,28,batt_bel28,0.5975792316859826,0.0,0.5975792316859826
87,1,29,batt_bel29,0.42543050198567167,0.0,0.42543050198567167
90,1,30,batt_bel30,0.3264670114664443,0.0,0.3264670114664443
93,1,31,batt_bel31,0.6648690365030566,0.0,0.6648690365030566
96,1,32,batt_bel32,0.9972742346551527,0.0,0.9972742346551527
99,1,33,batt_bel33,0.5896587721160272,0.0,0.5896587721160272
102,1,34,batt_bel34,0.4748883585131695,0.0,0.4748883585131695
105,1,35,batt_bel35,0.48675068030025476,0.0,0.48675068030025476
108,1,36,batt_bel36,0.28494331608672335,0.0,0.28494331608672335
111,1,37,batt_bel37,0.49861662139971835,0.0,0.49861662139971835
114,1,38,batt_bel38,9.909973402025328e-7,0.0,9.909973402025328e-7
117,1,39,batt_bel39,1.0129388188934987e-6,0.0,1.0129388188934987e-6
120,1,40,batt_bel40,0.4095755268552592,0.0,0.4095755268552592
123,1,41,batt_bel41,0.4432338159844344,0.0,0.4432338159844344
126,1,42,batt_bel42,1.0104038574080924e-6,0.0,1.0104038574080924e-6
129,1,43,batt_bel43,0.8765610470211801,0.0,0.8765610470211801
132,1,44,batt_bel44,0.6866215323152696,0.0,0.6866215323152696
135,1,45,batt_bel45,0.5204048740464374,0.0,0.5204048740464374
138,1,46,batt_bel46,0.7024089201478936,0.0,0.7024089201478936
141,1,47,batt_bel47,1.0049322468216014e-6,0.0,1.0049322468216014e-6
144,1,48,batt_bel48,0.7043952938903861,0.0,0.7043952938903861
147,1,49,batt_bel49,9.922637995185318e-7,0.0,9.922637995185318e-7
150,1,50,batt_bel50,9.66932519285671e-7,0.0,9.66932519285671e-7
153,1,51,batt_bel51,0.9458290974732952,0.0,0.9458290974732952
156,1,52,batt_bel52,9.994774065873614e-7,0.0,9.994774065873614e-7
159,1,53,batt_bel53,0.8824900856059479,0.0,0.8824900856059479
162,1,54,batt_bel54,0.8112953398173638,0.0,0.8112953398173638
165,1,55,batt_bel55,9.99161497675918e-7,0.0,9.99161497675918e-7
168,1,56,batt_bel56,1.0249141194298286,0.0,1.0249141194298286
171,1,57,batt_bel57,9.97381231521697e-7,0.0,9.97381231521697e-7
174,1,58,batt_bel58,1.00367687316165e-6,0.0,1.00367687316165e-6
177,1,59,batt_bel59,0.5025677867537545,0.0,0.5025677867537545
180,1,60,batt_bel60,9.948666467915327e-7,0.0,9.948666467915327e-7
183,1,61,batt_bel61,0.35814117006229873,0.0,0.35814117006229873
186,1,62,batt_bel62,9.97616416153124e-7,0.0,9.97616416153124e-7
