ID,Resource,Zone,technology,owner,Total_MW,Start_MW,Change_in_MW,Percent_MW,GWh,Percent_GWh,STOR,VRE,THERM,New_Build
1,pln_timor_diesel,1,diesel,pln,5.802369303335382,122.131,-116.32863069666462,4.675521795420973,2.823554038558003,0.41393348059249385,0,0,1,0
2,pltd_kefamenanu,1,diesel,,8.775202786637237e-13,4.2,-4.199999999999123,7.071016983454797e-13,1.4932209411993374e-12,2.1890643247610862e-13,0,0,0,1
3,pltu_kupang_ftp1,1,coal,,33.00000000000067,33.0,6.679101716144942e-13,26.59124422849185,249.52470715168016,36.580362590781675,0,0,1,-1
4,pltmg_kupang_peaker,1,gas,,1.3180567748349858e-12,16.8,-16.799999999998683,1.0620839274743845e-12,5.601630254229917e-12,8.211999049643736e-13,0,0,0,1
5,pltd_labuhan_bajo,1,diesel,,8.775202786637237e-13,4.2,-4.199999999999123,7.071016983454797e-13,1.4932210219297467e-12,2.1890644431119975e-13,0,0,0,1
6,mpp_flores_labuan_bajo,1,gas,,1.3145040611561853e-12,8.4,-8.399999999998686,1.0592211675620546e-12,5.623537564660048e-12,8.244115202311373e-13,0,0,0,1
7,pltd_ruteng,1,diesel,,8.775202786637237e-13,4.2,-4.199999999999123,7.071016983454797e-13,1.4932209406379675e-12,2.1890643239381172e-13,0,0,0,1
8,pltp_ulumbu_adb,1,geothermal,,1.151065398247248e-13,2.1,-2.099999999999885,9.275230644775206e-14,6.273731612457289e-13,9.19730073228509e-14,0,0,0,1
9,pltd_bajawa,1,diesel,,8.775202786637237e-13,4.2,-4.199999999999123,7.071016983454797e-13,1.4932211472454631e-12,2.1890646268250412e-13,0,0,0,1
10,pltmg_maumere,1,gas,,1.3180567748349858e-12,16.8,-16.799999999998683,1.0620839274743845e-12,5.601631678643744e-12,8.212001137836721e-13,0,0,0,1
11,pltmg_alor,1,gas,PLN,1.3091749906379846e-12,4.2,-4.199999999998691,1.0549270276935597e-12,5.584753454620407e-12,8.187257634008588e-13,0,0,0,1
12,plts_lisdes_ntt,1,solar,PLN,5.2351832826942905e-12,0.9954,-0.9953999999947648,4.218485977304204e-12,6.390087691546578e-12,9.36787893319008e-13,0,1,0,1
13,pltp_sokoria,1,geothermal,IPP,1.151065398248282e-13,2.1,-2.099999999999885,9.275230644783539e-14,6.273731612457283e-13,9.197300732285081e-14,0,0,0,1
14,pltbm_sumba_kuota_tersebar,1,biomass,IPP,6.121214646270801e-13,0.42,-0.41999999999938786,4.932445867697119e-13,3.728361101614923e-12,5.465783429756117e-13,0,0,0,1
