ID,Zone,Total_Import_MWh,Peak_Import_MW
1,1,2223.860455818563,0.3781
2,1,6886.159583686701,1.1536
3,1,6640.008628075581,1.1481
4,1,3130.997471396076,0.5306
5,1,3487.6944641804957,0.5974
6,1,3051.9831154719222,0.5251
7,1,2862.1448105628824,0.489
8,1,5663.138657066727,0.9666
9,1,5481.525751770207,0.9318
10,1,3226.6804837820896,0.5411
11,1,5280.988808770031,0.9003
12,1,2275.3485164936537,0.3873
13,1,1864.100004924205,0.3644
14,1,1703.2257170234152,0.2802
15,1,1573.1999543920667,0.2386
16,1,3945.3074394250843,0.6692
17,1,1750.9602574695393,0.3047
18,1,1040.0730401786127,0.1769
19,1,1621.8275126398348,0.2768
20,1,0.0,0.0
21,1,1309.243481734511,0.2269
22,1,943.9360714234992,0.1613
23,1,928.8858244247341,0.1559
24,1,515.6645142163231,0.0916
25,1,0.0,0.0
26,1,1122.0567690648882,0.1869
27,1,1017.4981566249481,0.171
28,1,744.369210545992,0.1269
29,1,534.154269865827,0.0903
30,1,0.0,0.0
31,1,807.3336640501645,0.1411
32,1,1230.0010700614548,0.2117
33,1,713.9764987155193,0.1252
34,1,577.5948402061156,0.1008
35,1,595.6085279574351,0.1033
36,1,0.0,0.0
37,1,614.3823340831113,0.1059
38,1,1279.4079698115477,0.2163
39,1,571.9474606267112,0.097
40,1,502.6104533659952,0.087
41,1,561.8647330522442,0.0941
42,1,614.2964127465497,0.1059
43,1,1083.9034101105467,0.1861
44,1,858.4285884103252,0.1458
45,1,655.2316368711657,0.1105
46,1,881.1929783037206,0.1491
47,1,924.2126135864792,0.1542
48,1,881.5628679857462,0.1495
49,1,1597.606458765514,0.2726
50,1,1914.1707390546599,0.3201
51,1,1203.5651157974273,0.2008
52,1,1307.4834055921983,0.2184
53,1,1068.1598923809115,0.1874
54,1,1006.2857799512551,0.1722
55,1,1651.3598944536177,0.2815
56,1,1296.785064140506,0.2176
57,1,1365.6394005008074,0.2361
58,1,1993.7203306113279,0.3378
59,1,619.1341685109004,0.1067
60,1,3409.921524826378,0.5764
61,1,441.2817658941018,0.076
62,1,2266.9569567315184,0.3907
63,1,920.0530482554143,0.1542
64,1,852.9853475970488,0.1441
65,1,416.17585230679026,0.0706
66,1,3555.3367280596667,0.61
67,1,2852.7019751248204,0.4924
68,1,1480.2407129891772,0.2483
69,1,2810.1459765147324,0.4697
70,1,503.474195850672,0.0861
71,1,1192.5942870395588,0.2025
72,1,1029.667707319918,0.1756
73,1,802.5861533830255,0.1344
74,1,5676.465960232004,0.97
75,1,1214.532971172266,0.2084
76,1,539.9451591570318,0.0937
77,1,2547.9994073378343,0.4293
78,1,776.2910676554035,0.1361
79,1,530.2688083942821,0.0903
80,1,855.5387856961555,0.147
81,1,1349.3413188841475,0.2281
82,1,5356.367771262299,0.9103
83,1,2950.387734829823,0.4999
84,1,3857.052633522071,0.6587
85,1,597.7947862052071,0.1008
86,1,3702.484620152052,0.6381
87,1,3475.7661027796194,0.5835
88,1,1566.7623264304866,0.2697
89,1,7524.367391891472,1.2855
90,1,2396.564719060817,0.4121
91,1,2292.678611412978,0.3903
92,1,1917.6186340041318,0.3289
93,1,8647.761709711509,1.4703
94,1,1264.4489069617264,0.2159
95,1,422.4747301525767,0.0723
96,1,441.58552744144475,0.0739
97,1,824.5031018784687,0.1378
