Segment,Zone,NSE_Price,Max_NSE_MW,Total_NSE_MWh,NSE_Percent_of_Demand
1,1,2000.0,1.1032205920485318e-14,4.468112380240092e-11,6.5502600055628444e-15
1,2,2000.0,1.1032205922698673e-14,4.468112399832007e-11,6.550260034284624e-15
1,3,2000.0,1.1032205922711598e-14,4.468112399749664e-11,6.5502600341639085e-15
1,4,2000.0,1.103220592209929e-14,4.468112388492117e-11,6.550260017660325e-15
1,5,2000.0,1.103220592240302e-14,4.4681123910223035e-11,6.550260021369583e-15
1,6,2000.0,1.1032205922087981e-14,4.4681123881939526e-11,6.550260017223217e-15
1,7,2000.0,1.1032205921821409e-14,4.468112386564211e-11,6.550260014834012e-15
1,8,2000.0,1.1032205922708366e-14,4.468112397984826e-11,6.550260031576653e-15
1,9,2000.0,1.103220592270352e-14,4.46811239757478e-11,6.550260030975525e-15
1,10,2000.0,1.1032205922189763e-14,4.4681123888742486e-11,6.550260018220532e-15
1,11,2000.0,1.103220592269221e-14,4.468112397197552e-11,6.550260030422508e-15
1,12,2000.0,1.1032205920633952e-14,4.468112380985994e-11,6.550260006656337e-15
1,13,2000.0,1.1032205892251318e-14,4.4769662911869997e-11,6.563239853389596e-15
1,14,2000.0,1.1032205917653194e-14,4.468112371942249e-11,6.550259993398193e-15
1,15,2000.0,1.1032205897784704e-14,4.4770773745360195e-11,6.5634027017596564e-15
1,16,2000.0,1.1032205922577504e-14,4.4681123929605706e-11,6.5502600242110855e-15
1,17,2000.0,1.1032205890273839e-14,4.4770972292016124e-11,6.563431808731659e-15
1,18,2000.0,1.1032205910565613e-14,4.468112357711366e-11,6.550259972535695e-15
1,19,2000.0,1.103220591751587e-14,4.468112371582758e-11,6.550259992871178e-15
1,20,2000.0,5.588445454445123e-15,4.668107492973165e-11,6.843453165617848e-15
1,21,2000.0,1.1032205914764524e-14,4.468112365781183e-11,6.5502599843660604e-15
1,22,2000.0,1.1032205908756156e-14,4.4681123545824656e-11,6.550259967948723e-15
1,23,2000.0,1.1032205907943516e-14,4.4681123533484704e-11,6.550259966139683e-15
1,24,2000.0,1.1032205891346589e-14,4.468112332904528e-11,6.55025993616883e-15
1,25,2000.0,5.588447002710741e-15,4.67043450927492e-11,6.846864575295253e-15
1,26,2000.0,1.1032205911606052e-14,4.4681123596169505e-11,6.5502599753292856e-15
1,27,2000.0,1.1032205910005005e-14,4.4681123565427796e-11,6.550259970822545e-15
1,28,2000.0,1.1032205902437595e-14,4.4681123459841965e-11,6.550259955343646e-15
1,29,2000.0,1.1032205891025087e-14,4.468112332256097e-11,6.550259935218229e-15
1,30,2000.0,5.588447562045586e-15,4.676705785441811e-11,6.8560582763403496e-15
1,31,2000.0,1.1032205905623532e-14,4.4681123497564186e-11,6.55025996087373e-15
1,32,2000.0,1.1032205913824253e-14,4.4681123637040776e-11,6.55025998132102e-15
1,33,2000.0,1.1032205902133864e-14,4.468112345457797e-11,6.550259954571943e-15
1,34,2000.0,1.1032205894558376e-14,4.468112337098373e-11,6.550259942317013e-15
1,35,2000.0,1.103220589557135e-14,4.4681123380803435e-11,6.550259943756584e-15
1,36,2000.0,5.588445449343906e-15,4.6701252386357624e-11,6.8464111840359975e-15
1,37,2000.0,1.1032205896451844e-14,4.468112338982567e-11,6.550259945079245e-15
1,38,2000.0,1.1032205914166757e-14,4.468112364381215e-11,6.550259982313705e-15
1,39,2000.0,1.1032205893419387e-14,4.4681123355093615e-11,6.55025993998752e-15
1,40,2000.0,1.103220588958883e-14,4.468112330384963e-11,6.550259932475144e-15
1,41,2000.0,1.1032205892315941e-14,4.468112334162817e-11,6.5502599380134834e-15
1,42,2000.0,1.1032205896338753e-14,4.468112339026115e-11,6.550259945143086e-15
1,43,2000.0,1.1032205911543044e-14,4.468112359444258e-11,6.550259975076118e-15
1,44,2000.0,1.1032205906313388e-14,4.468112350967177e-11,6.550259962648704e-15
1,45,2000.0,1.1032205897936569e-14,4.468112340720933e-11,6.5502599476276926e-15
1,46,2000.0,1.1032205906959623e-14,4.4681123517804475e-11,6.550259963840958e-15
1,47,2000.0,1.103220590770764e-14,4.4681123529654716e-11,6.550259965578207e-15
1,48,2000.0,1.1032205907040402e-14,4.468112351885588e-11,6.550259963995095e-15
1,49,2000.0,1.1032205917307459e-14,4.468112371143588e-11,6.550259992227355e-15
1,50,2000.0,1.1032205919089451e-14,4.468112375914872e-11,6.550259999222064e-15
1,51,2000.0,1.1032205912861363e-14,4.468112362125231e-11,6.550259979006428e-15
1,52,2000.0,1.1032205914273386e-14,4.4681123647092346e-11,6.550259982794582e-15
1,53,2000.0,1.1032205911630285e-14,4.468112359704696e-11,6.5502599754579204e-15
1,54,2000.0,1.1032205910106787e-14,4.468112356842793e-11,6.550259971262366e-15
1,55,2000.0,1.103220591766935e-14,4.468112372137664e-11,6.550259993684671e-15
1,56,2000.0,1.1032205914199069e-14,4.4681123645922945e-11,6.550259982623147e-15
1,57,2000.0,1.1032205915363907e-14,4.468112366897535e-11,6.5502599860026336e-15
1,58,2000.0,1.1032205919562818e-14,4.468112377311815e-11,6.550260001269985e-15
1,59,2000.0,1.1032205896681258e-14,4.468112339353045e-11,6.550259945622366e-15
1,60,2000.0,1.1032205922325472e-14,4.468112390285543e-11,6.550260020289491e-15
1,61,2000.0,1.1032205883859958e-14,4.4681123237775397e-11,6.55025992278865e-15
1,62,2000.0,1.1032205920684036e-14,4.468112381216463e-11,6.550260006994205e-15
1,63,2000.0,1.103220590770764e-14,4.4681123529654716e-11,6.550259965578207e-15
1,64,2000.0,1.1032205906017736e-14,4.4681123505601196e-11,6.550259962051957e-15
1,65,2000.0,1.1032205879774138e-14,4.468112319643392e-11,6.5502599167279825e-15
1,66,2000.0,1.1032205922454719e-14,4.468112391371324e-11,6.550260021881248e-15
1,67,2000.0,1.103220592187957e-14,4.468112386641381e-11,6.550260014947145e-15
1,68,2000.0,1.1032205916079612e-14,4.468112368337687e-11,6.550259988113899e-15
1,69,2000.0,1.1032205921669544e-14,4.468112385643196e-11,6.550260013483802e-15
1,70,2000.0,1.1032205889243094e-14,4.468112329986982e-11,6.5502599318917035e-15
1,71,2000.0,1.1032205913022921e-14,4.468112362353906e-11,6.550259979341666e-15
1,72,2000.0,1.1032205910476756e-14,4.468112357500715e-11,6.55025997222688e-15
1,73,2000.0,1.1032205904184044e-14,4.468112348078882e-11,6.550259958414458e-15
1,74,2000.0,1.1032205922714829e-14,4.468112398007348e-11,6.550260031609671e-15
1,75,2000.0,1.1032205913489826e-14,4.468112363256989e-11,6.550259980665588e-15
1,76,2000.0,1.103220589212207e-14,4.4681123339569005e-11,6.55025993771161e-15
1,77,2000.0,1.1032205921207486e-14,4.4681123837662364e-11,6.5502600107321766e-15
1,78,2000.0,1.103220590451524e-14,4.468112348519263e-11,6.550259959060057e-15
1,79,2000.0,1.1032205891076786e-14,4.468112332247013e-11,6.550259935204912e-15
1,80,2000.0,1.1032205906576729e-14,4.46811235125033e-11,6.550259963063806e-15
1,81,2000.0,1.103220591484692e-14,4.468112365975838e-11,6.5502599846514245e-15
1,82,2000.0,1.1032205922701904e-14,4.468112397297942e-11,6.550260030569679e-15
1,83,2000.0,1.1032205921913497e-14,4.4681123870526334e-11,6.5502600155500404e-15
1,84,2000.0,1.1032205922556501e-14,4.468112392708627e-11,6.550260023841736e-15
1,85,2000.0,1.103220589455353e-14,4.4681123370478897e-11,6.550259942243005e-15
1,86,2000.0,1.1032205922520958e-14,4.468112392185018e-11,6.5502600230741255e-15
1,87,2000.0,1.103220592236263e-14,4.468112390500158e-11,6.550260020604118e-15
1,88,2000.0,1.1032205917152362e-14,4.468112370821482e-11,6.550259991755147e-15
1,89,2000.0,1.1032205922653436e-14,4.468112400883758e-11,6.550260035826492e-15
1,90,2000.0,1.1032205921018462e-14,4.468112382621032e-11,6.550260009053306e-15
1,91,2000.0,1.1032205920677573e-14,4.4681123811493407e-11,6.550260006895803e-15
1,92,2000.0,1.1032205919339867e-14,4.468112376621805e-11,6.55026000025843e-15
1,93,2000.0,1.1032205922583966e-14,4.468112402055805e-11,6.550260037544715e-15
1,94,2000.0,1.103220591404882e-14,4.468112364380361e-11,6.550259982312452e-15
1,95,2000.0,1.1032205880572238e-14,4.468112320907623e-11,6.550259918581348e-15
1,96,2000.0,1.1032205882447935e-14,4.468112322181844e-11,6.550259920449359e-15
1,97,2000.0,1.1032205904810892e-14,4.4681123489037156e-11,6.550259959623665e-15
1,98,2000.0,1.1032205880331516e-14,4.4681123202571094e-11,6.550259917627694e-15
1,99,2000.0,1.1032205883674166e-14,4.468112323664051e-11,6.550259922622276e-15
1,100,2000.0,1.1032205918645165e-14,4.4681123746852034e-11,6.550259997419368e-15
1,101,2000.0,1.1032205909066349e-14,4.4681123551063365e-11,6.550259968716718e-15
1,102,2000.0,1.1032205912827435e-14,4.4681123619201974e-11,6.550259978705849e-15
1,103,2000.0,1.1032205915808194e-14,4.468112367753102e-11,6.5502599872568964e-15
