ID,Resource,Zone,technology,owner,Total_MW,Start_MW,Change_in_MW,Percent_MW,GWh,Percent_GWh,STOR,VRE,THERM,New_Build
1,pln_timor_diesel,1,diesel,pln,5.427676964087338,122.131,-116.70332303591266,4.373596477133414,0.9289909782678268,0.13619022828045935,0,0,1,0
2,pltd_kefamenanu,1,diesel,,3.0544455853487307e-12,4.2,-4.199999999996946,2.461257834625612e-12,4.881756800222108e-12,7.156663397007276e-13,0,0,0,1
3,pltu_kupang_ftp1,1,coal,,12.601144797329393,33.0,-20.398855202670607,10.153942995889956,70.60734045508507,10.351047577215395,0,0,1,-1
4,pltmg_kupang_peaker,1,gas,,4.696687483374262e-12,16.8,-16.799999999995304,3.784568604100097e-12,1.858425893091411e-11,2.7244553773208717e-12,0,0,0,1
5,pltd_labuhan_bajo,1,diesel,,3.0544455853487307e-12,4.2,-4.199999999996946,2.461257834625612e-12,4.881756627796759e-12,7.156663144231433e-13,0,0,0,1
6,mpp_flores_labuan_bajo,1,gas,,4.632738637155853e-12,8.4,-8.399999999995368,3.73303892567816e-12,1.8408156106080682e-11,2.698638674601522e-12,0,0,0,1
7,pltd_ruteng,1,diesel,,3.0544455853487307e-12,4.2,-4.199999999996946,2.461257834625612e-12,4.881756701324445e-12,7.15666325202314e-13,0,0,0,1
8,pltp_ulumbu_adb,1,geothermal,,4.0490467039913247e-13,2.1,-2.099999999999595,3.262702721163669e-13,1.862058547920544e-12,2.729780855199745e-13,0,0,0,1
9,pltd_bajawa,1,diesel,,3.0544455853487307e-12,4.2,-4.199999999996946,2.461257834625612e-12,4.881756797466767e-12,7.15666339296794e-13,0,0,0,1
10,pltmg_maumere,1,gas,,4.696687483374262e-12,16.8,-16.799999999995304,3.784568604100097e-12,1.8584249902281e-11,2.7244540537217914e-12,0,0,0,1
11,pltmg_alor,1,gas,PLN,4.553690757802542e-12,4.2,-4.1999999999954465,3.66934251762882e-12,1.8166993206591747e-11,2.663284154372041e-12,0,0,0,1
12,plts_lisdes_ntt,1,solar,PLN,1.1752718689859445e-11,0.9954,-0.9953999999882472,9.470285243357785e-12,1.224211699283018e-11,1.7946963392457886e-12,0,1,0,1
13,pltp_sokoria,1,geothermal,IPP,4.049046703991583e-13,2.1,-2.099999999999595,3.2627027211638774e-13,1.8620585479205526e-12,2.729780855199757e-13,0,0,0,1
14,pltbm_sumba_kuota_tersebar,1,biomass,IPP,1.8737233986598767e-12,0.42,-0.41999999999812626,1.5098374700122295e-12,1.0448135986123207e-11,1.531698432323389e-12,0,0,0,1
15,pltm_sumba_kuota_tersebar,1,hydropower,IPP,6.257935145910721e-13,0.672,-0.6719999999993742,5.042614600938527e-13,1.43997125365595e-12,2.1110001963459847e-13,0,0,0,1
16,pltmg_waingapu,1,gas,PLN,4.553690757802542e-12,4.2,-4.1999999999954465,3.66934251762882e-12,1.8167030968464782e-11,2.6632896902687604e-12,0,0,0,1
17,plts_adonara,1,solar,PLN,1.0305377925167809e-11,0.42,-0.4199999999896946,8.304024887122431e-12,1.0840270689815874e-11,1.589185443566676e-12,0,1,0,1
18,plts_adonara,1,solar,PLN,1.2418845900791383e-11,1.68,-1.679999999987581,1.0007047405573993e-11,1.279856484270206e-11,1.8762716844030954e-12,0,1,0,1
19,plts_alor_kalabahi,1,solar,PLN,1.0592640122353491e-11,0.504,-0.5039999999894074,8.535499409636902e-12,1.1125051669453625e-11,1.630934381429468e-12,0,1,0,1
20,plts_betun,1,solar,IPP,9.517402052165392e-12,0.252,-0.2519999999904826,7.66907764817801e-12,1.0008393577881164e-11,1.4672321238617617e-12,0,1,0,1
21,pltmg_waingapu_2,1,gas,PLN,4.553690757802542e-12,4.2,-4.1999999999954465,3.66934251762882e-12,1.8166980684957338e-11,2.6632823186984033e-12,0,0,0,1
22,plts_flores,1,solar,PLN,1.4318941494976178e-11,12.6,-12.59999999998568,1.1538135466254244e-11,1.4582806730402915e-11,2.1378418348975835e-12,0,1,0,1
23,plts_lembata,1,solar,PLN,1.2124769923241058e-11,1.26,-1.2599999999878753,9.770082371005116e-12,1.2577023148900487e-11,1.8437936361138285e-12,0,1,0,1
