Segment,Zone,NSE_Price,Max_NSE_MW,Total_NSE_MWh,NSE_Percent_of_Demand
1,1,2000.0,2.227481421115842e-14,1.6473437279858503e-10,2.415008580482635e-14
1,2,2000.0,2.2789924788480167e-14,1.8163747574908748e-10,2.6628083442402287e-14
1,3,2000.0,2.2789327628034152e-14,1.816034547733544e-10,2.6623095961834877e-14
1,4,2000.0,2.253923956465047e-14,1.722604626319333e-10,2.5253411796618107e-14
1,5,2000.0,2.258513251048555e-14,1.7421854335663705e-10,2.554046674884832e-14
1,6,2000.0,2.2368257145028444e-14,1.7057212422194476e-10,2.500590111153079e-14
1,7,2000.0,2.2509857803592804e-14,1.7091283777961957e-10,2.5055849774417164e-14
1,8,2000.0,2.2413101465436763e-14,1.801725567509162e-10,2.6413326079370276e-14
1,9,2000.0,2.262398394613809e-14,1.7989390644626681e-10,2.637247589945639e-14
1,10,2000.0,2.254915466831824e-14,1.7277001224302067e-10,2.532811185235342e-14
1,11,2000.0,2.273781648298644e-14,1.7948504062468848e-10,2.631253610361396e-14
1,12,2000.0,2.2400266158972992e-14,1.6687579263777923e-10,2.4464018301014794e-14
1,13,2000.0,2.2042145897809196e-14,1.74214824884036e-10,2.5539921620161132e-14
1,14,2000.0,2.2169524567445754e-14,1.589011280098319e-10,2.3294931171487105e-14
1,15,2000.0,2.1833359993902895e-14,1.6644239652697238e-10,2.4400482360787792e-14
1,16,2000.0,2.2630431870897522e-14,1.757881065998148e-10,2.5770564975192312e-14
1,17,2000.0,2.2145807495190018e-14,1.7035337956011184e-10,2.497383310858236e-14
1,18,2000.0,2.15092877772222e-14,1.516518926050761e-10,2.2232192083887645e-14
1,19,2000.0,2.2045870922480554e-14,1.6070452658059385e-10,2.3559309694829358e-14
1,20,2000.0,1.947723652165885e-14,1.3423171152480006e-10,1.9678390708514378e-14
1,21,2000.0,2.1700124332652926e-14,1.5638836500953767e-10,2.2926559707575965e-14
1,22,2000.0,2.1386374972312977e-14,1.4899621193998677e-10,2.184286886710798e-14
1,23,2000.0,2.1676081766285834e-14,1.4712887129755006e-10,2.1569116425674136e-14
1,24,2000.0,2.0399039232439364e-14,1.400084665088225e-10,2.0525263927306262e-14
1,25,2000.0,1.9731365123342664e-14,1.349772762864513e-10,1.9787690623650772e-14
1,26,2000.0,2.1556288782073443e-14,1.5135054269362704e-10,2.2188014137930555e-14
1,27,2000.0,2.146928488399113e-14,1.5101722337168194e-10,2.2139149471202966e-14
1,28,2000.0,2.1004928234185346e-14,1.4531347563871075e-10,2.1302979127271434e-14
1,29,2000.0,2.0369910718480145e-14,1.3974435804267055e-10,2.048654558327767e-14
1,30,2000.0,1.9822254650079316e-14,1.3498637167890132e-10,1.978902400966102e-14
1,31,2000.0,2.1177650104123756e-14,1.4624629862355507e-10,2.1439731128338316e-14
1,32,2000.0,2.165940588428761e-14,1.5489046038526017e-10,2.2706966646399974e-14
1,33,2000.0,2.097712726017786e-14,1.4481003157889722e-10,2.1229174146344397e-14
1,34,2000.0,2.0584874733881584e-14,1.4112033612279397e-10,2.0688264193280024e-14
1,35,2000.0,2.0644145662032802e-14,1.4194057065656384e-10,2.080851070913524e-14
1,36,2000.0,1.947743234745114e-14,1.342757893120568e-10,1.9684852519284366e-14
1,37,2000.0,2.067818120786693e-14,1.4217358309932683e-10,2.084267037108508e-14
1,38,2000.0,2.1673694571942636e-14,1.5530168118071056e-10,2.276725168179449e-14
1,39,2000.0,2.0874429536330596e-14,1.3924490493899146e-10,2.0413325677168064e-14
1,40,2000.0,2.0296876095782917e-14,1.3919639895208972e-10,2.0406214691610986e-14
1,41,2000.0,2.0438661972545836e-14,1.3991827965460353e-10,2.0512042519831588e-14
1,42,2000.0,2.103070123490953e-14,1.4055686092028928e-10,2.060565863708552e-14
