ID,Resource,Zone,technology,owner,Total_MW,Start_MW,Change_in_MW,Percent_MW,GWh,Percent_GWh,STOR,VRE,THERM,New_Build
1,pln_timor_diesel,1,diesel,pln,5.192104962566672,122.131,-116.93889503743333,4.183773670290064,0.9120065206260637,0.13370030403193273,0,0,1,0
2,pltd_kefamenanu,1,diesel,,2.686739719592879e-12,4.2,-4.199999999997313,2.1649621836994695e-12,4.1068604459456804e-12,6.020664083220857e-13,0,0,0,1
3,pltu_kupang_ftp1,1,coal,,25.252434526025723,33.0,-7.7475654739742765,20.348292540773823,144.49372702382036,21.182803847202862,0,0,1,-1
4,pltmg_kupang_peaker,1,gas,,3.801403636316536e-12,16.8,-16.7999999999962,3.063153106192969e-12,1.5353222852617508e-11,2.2507849635283792e-12,0,0,0,1
5,pltd_labuhan_bajo,1,diesel,,2.686739719592879e-12,4.2,-4.199999999997313,2.1649621836994695e-12,4.106861082940432e-12,6.020665017056198e-13,0,0,0,1
6,mpp_flores_labuan_bajo,1,gas,,3.7694292132073315e-12,8.4,-8.399999999996231,3.037388266982e-12,1.5302685258328364e-11,2.2433761439983796e-12,0,0,0,1
7,pltd_ruteng,1,diesel,,2.686739719592879e-12,4.2,-4.199999999997313,2.1649621836994695e-12,4.106861486547144e-12,6.020665608744294e-13,0,0,0,1
8,pltp_ulumbu_adb,1,geothermal,,3.2645481350909617e-13,2.1,-2.0999999999996737,2.630557477450594e-13,1.5034594562976827e-12,2.2040740045224172e-13,0,0,0,1
9,pltd_bajawa,1,diesel,,2.686739719592879e-12,4.2,-4.199999999997313,2.1649621836994695e-12,4.1068599117912505e-12,6.020663300149595e-13,0,0,0,1
10,pltmg_maumere,1,gas,,3.801403636316536e-12,16.8,-16.7999999999962,3.063153106192969e-12,1.5353146895679023e-11,2.2507738282288623e-12,0,0,0,1
11,pltmg_alor,1,gas,PLN,3.780975532663433e-12,4.2,-4.199999999996219,3.0466922366970717e-12,1.5344513062451247e-11,2.2495081068755514e-12,0,0,0,1
12,plts_lisdes_ntt,1,solar,PLN,1.3227387996594737e-11,0.9954,-0.9953999999867725,1.0658566809771667e-11,1.4426868271285036e-11,2.114981231466789e-12,0,1,0,1
13,pltp_sokoria,1,geothermal,IPP,3.2645481350909617e-13,2.1,-2.0999999999996737,2.630557477450594e-13,1.5034594562976794e-12,2.2040740045224126e-13,0,0,0,1
14,pltbm_sumba_kuota_tersebar,1,biomass,IPP,1.7707502131258934e-12,0.42,-0.41999999999822923,1.4268621631782928e-12,1.0173567323679459e-11,1.4914466218196987e-12,0,0,0,1
15,pltm_sumba_kuota_tersebar,1,hydropower,IPP,5.083023343504318e-13,0.672,-0.6719999999994918,4.0958762165529026e-13,1.1877785499902418e-12,1.7412852832158264e-13,0,0,0,1
16,pltmg_waingapu,1,gas,PLN,3.780975532663433e-12,4.2,-4.199999999996219,3.0466922366970717e-12,1.534453043704756e-11,2.2495106539941924e-12,0,0,0,1
17,plts_adonara,1,solar,PLN,1.3193071018802646e-11,0.42,-0.4199999999868069,1.0630914351054903e-11,1.438484641312934e-11,2.1088208202368925e-12,0,1,0,1
18,plts_adonara,1,solar,PLN,1.3246476373255727e-11,1.68,-1.6799999999867534,1.0673948133581298e-11,1.4444014010474103e-11,2.1174947996163417e-12,0,1,0,1
19,plts_alor_kalabahi,1,solar,PLN,1.3217537331259625e-11,0.504,-0.5039999999867825,1.065062919014321e-11,1.4416463194152199e-11,2.11345584546935e-12,0,1,0,1
20,plts_betun,1,solar,IPP,1.3167538187005043e-11,0.252,-0.2519999999868325,1.0610340115716265e-11,1.4348535017355251e-11,2.103497563719508e-12,0,1,0,1
21,pltmg_waingapu_2,1,gas,PLN,3.780087354243733e-12,4.2,-4.19999999999622,3.0459765467189893e-12,1.5344549921653215e-11,2.2495135104405462e-12,0,0,0,1
22,plts_flores,1,solar,PLN,1.3542720036723981e-11,12.6,-12.599999999986457,1.0912659879230611e-11,1.4759956112540223e-11,2.163811963087641e-12,0,1,0,1
23,plts_lembata,1,solar,PLN,1.3227651338056086e-11,1.26,-1.2599999999867724,1.065877900907816e-11,1.442447819669473e-11,2.1146308461437065e-12,0,1,0,1
24,pltb_maubesi,1,wind,PLN,5.463831526932398e-12,0.84,-0.8399999999945361,4.4027296532118175e-12,1.2868935212596569e-12,1.8865879920576468e-13,0,1,0,1
25,plts_reep_1_tersebar,1,solar,PLN,1.3255442430560595e-11,1.8312,-1.8311999999867445,1.0681172940234644e-11,1.4453864042123717e-11,2.118938815855802e-12,0,1,0,1
26,plts_rote,1,solar,PLN,1.3217537331259625e-11,0.504,-0.5039999999867825,1.065062919014321e-11,1.4416463194152157e-11,2.1134558454693438e-12,0,1,0,1
27,plts_rote,1,solar,PLN,1.3228655028754318e-11,0.84,-0.8399999999867713,1.0659587778305025e-11,1.442985897695158e-11,2.115419669403189e-12,0,1,0,1
28,plts_sabu_raijua,1,solar,PLN,1.3167538187005043e-11,0.252,-0.2519999999868325,1.0610340115716265e-11,1.434853501735505e-11,2.103497563719479e-12,0,1,0,1
29,pltp_sokoria,1,geothermal,IPP,3.2597603042772645e-13,1.26,-1.259999999999674,2.626699465981148e-13,1.5184789180799441e-12,2.226092559886537e-13,0,0,0,1
30,pltm_sumba_kuota_tersebar,1,hydropower,IPP,5.080996618520248e-13,0.84,-0.8399999999994918,4.0942430911275875e-13,1.1901507049393018e-12,1.7447628662234833e-13,0,0,0,1
31,pltu_timor_1,1,coal,PLN,99.99999999999629,100.0,-3.709033080667723e-12,80.57952796512218,548.9813343773735,80.48075277326406,0,0,1,-1
32,plts_dedieselisasi,1,solar,IPP,1.3540127081062732e-11,12.39,-12.389999999986461,1.0910570487798432e-11,1.4757371776923187e-11,2.163433099066492e-12,0,1,0,1
33,plts_dedieselisasi,1,solar,IPP,1.3585908174375507e-11,17.1192,-17.119199999986414,1.0947460676687139e-11,1.4801903572318414e-11,2.169961467503313e-12,0,1,0,1
34,plts_lembata,1,solar,PLN,1.3227651338056086e-11,1.26,-1.2599999999867724,1.065877900907816e-11,1.4424478196694766e-11,2.1146308461437114e-12,0,1,0,1
35,plts_sumba,1,solar,PLN,1.3270956175016792e-11,2.1,-2.099999999986729,1.0693673842287163e-11,1.4470926414698889e-11,2.1214401624462195e-12,0,1,0,1
36,pltb_sumba_kuota_tersebar,1,wind,IPP,5.480487448559929e-12,1.26,-1.2599999999945195,4.4161509162375236e-12,1.2902006201120707e-12,1.891436204345952e-13,0,1,0,1
37,plts_timor_kuota_tersebar,1,solar,IPP,1.3270956175016792e-11,2.1,-2.099999999986729,1.0693673842287163e-11,1.447092641469901e-11,2.1214401624462373e-12,0,1,0,1
38,pltm_wae_lega_ruteng,1,hydropower,IPP,5.082804585659991e-13,0.735,-0.7349999999994917,4.095699942514557e-13,1.1887269245204525e-12,1.7426756018172577e-13,0,0,0,1
39,pltmg_kupang_2,1,hydropower,PLN,5.615628730093712e-13,12.6,-12.599999999999438,4.5250471229834664e-13,2.815692753300342e-12,4.1278101489706275e-13,0,0,0,1
40,plts_sumba,1,solar,PLN,1.3270956175016792e-11,2.1,-2.099999999986729,1.0693673842287163e-11,1.4470926414698983e-11,2.1214401624462332e-12,0,1,0,1
41,plts_sumba,1,solar,PLN,1.3270956175016792e-11,2.1,-2.099999999986729,1.0693673842287163e-11,1.4470926414698965e-11,2.121440162446231e-12,0,1,0,1
42,plts_timor_kuota_tersebar,1,solar,IPP,1.3270956175016792e-11,2.1,-2.099999999986729,1.0693673842287163e-11,1.4470926414698818e-11,2.1214401624462094e-12,0,1,0,1
43,pltb_timor_kuota_tersebar,1,wind,IPP,5.498093836289149e-12,4.62,-4.619999999994502,4.430338060361439e-12,1.300564974744396e-12,1.9066303650684588e-13,0,1,0,1
44,pltb_timor_kuota_tersebar,1,wind,IPP,5.498093836289149e-12,4.62,-4.619999999994502,4.430338060361439e-12,1.3005649747444053e-12,1.9066303650684727e-13,0,1,0,1
45,pltp_sokoria,1,geothermal,IPP,3.34133117385267e-13,9.24,-9.239999999999666,2.692428887642058e-13,1.575610512596216e-12,2.309847570228032e-13,0,0,0,1
46,pltp_atadei,1,geothermal,PLN,3.1990946494733753e-13,4.2,-4.19999999999968,2.5778153677032216e-13,1.4423901118837074e-12,2.1145462464360574e-13,0,0,0,1
47,plts_dedieselisasi,1,solar,IPP,1.3270956175020101e-11,2.1,-2.099999999986729,1.069367384228983e-11,1.447092641469891e-11,2.1214401624462227e-12,0,1,0,1
48,pltm_flores,1,hydropower,PLN,5.079167227168961e-13,2.1,-2.099999999999492,4.092768976212086e-13,1.2161152077753991e-12,1.782826869547069e-13,0,0,0,1
49,pltm_sumba,1,hydropower,PLN,5.079167227169995e-13,2.1,-2.099999999999492,4.0927689762129193e-13,1.2161152077753985e-12,1.782826869547068e-13,0,0,0,1
50,pltp_ulumbu_5,1,geothermal,PLN,3.317712776375973e-13,8.4,-8.399999999999668,2.673397294442408e-13,1.5490668124490641e-12,2.2709344627058355e-13,0,0,0,1
51,pltp_mataloko_ftp2,1,geothermal,PLN,3.317712776374939e-13,8.4,-8.399999999999668,2.673397294441575e-13,1.549066812449029e-12,2.2709344627057837e-13,0,0,0,1
52,plts_sumba,1,solar,PLN,1.3270956175016792e-11,2.1,-2.099999999986729,1.0693673842287163e-11,1.4470926414698997e-11,2.1214401624462353e-12,0,1,0,1
53,plts_sumba,1,solar,PLN,1.3270956175020101e-11,2.1,-2.099999999986729,1.069367384228983e-11,1.4470926414698991e-11,2.121440162446234e-12,0,1,0,1
54,plt_ebt_base_timor_2,1,gas,PLN,3.8120617773529375e-12,21.0,-20.999999999996188,3.0717413859299583e-12,1.4836836645580877e-11,2.175082661716655e-12,0,0,0,1
55,pltu_atambua,1,coal,PLN,1.1003247149415397e-6,24.0,-23.999998899675283,8.866364613835019e-7,6.054862322010784e-6,8.876437997050882e-7,0,0,1,-1
56,pltp_ulumbu_6,1,geothermal,PLN,3.317712776375973e-13,8.4,-8.399999999999668,2.673397294442408e-13,1.54906681244904e-12,2.2709344627058e-13,0,0,0,1
57,pltp_oka_ile_ange_ftp2,1,geothermal,PLN,3.199094649473892e-13,4.2,-4.19999999999968,2.577815367703638e-13,1.4423901118837088e-12,2.1145462464360594e-13,0,0,0,1
58,plts_rote,1,solar,PLN,1.3193071018805955e-11,0.42,-0.4199999999868069,1.063091435105757e-11,1.4384846413129241e-11,2.108820820236878e-12,0,1,0,1
59,plts_sumba,1,solar,PLN,1.3270956175020101e-11,2.1,-2.099999999986729,1.069367384228983e-11,1.4470926414698938e-11,2.1214401624462264e-12,0,1,0,1
60,plts_sumba,1,solar,PLN,1.3270956175020101e-11,2.1,-2.099999999986729,1.069367384228983e-11,1.4470926414698988e-11,2.1214401624462337e-12,0,1,0,1
61,plt_ebt_base_timor_3,1,gas,PLN,3.8120617773529375e-12,21.0,-20.999999999996188,3.0717413859299583e-12,1.48367448054826e-11,2.1750691979433332e-12,0,0,0,1
