ID,Resource,Zone,Village,technology,Total_MW,Start_MW,Change_in_MW,Electricity_GWh
1,pltd_bel1,1,1,diesel,0.028879222839736204,0.2773,-0.24842077716026378,0.06138333025880029
2,plts_bel1,1,1,solar,0.7843877236977866,0.0,0.7843877236977866,1.1499992033991278
3,batt_bel1,1,1,battery,0.40722027770449093,0.0,0.40722027770449093,0.5206378767743011
4,pltd_bel2,1,2,diesel,0.14085623368396574,0.846,-0.7051437663160343,0.5196875072722148
5,plts_bel2,1,2,solar,2.2260346262618143,0.0,2.2260346262618143,3.1239673622036106
6,batt_bel2,1,2,battery,1.0121610094178821,0.0,1.0121610094178821,1.2997360009296985
7,pltd_bel3,1,3,diesel,0.14018913924921894,0.842,-0.701810860750781,0.5172254952107083
8,plts_bel3,1,3,solar,2.215498197767985,0.0,2.215498197767985,3.109179960718262
9,batt_bel3,1,3,battery,1.0073703513505208,0.0,1.0073703513505208,1.2935843485269924
10,pltd_bel4,1,4,diesel,0.06478522266818951,0.3891,-0.32431477733181047,0.2390231104936759
11,plts_bel4,1,4,solar,1.0238493945996765,0.0,1.0238493945996765,1.4368465130838626
12,batt_bel4,1,4,battery,0.4655370597805007,0.0,0.4655370597805007,0.5978054930305822
13,pltd_bel5,1,5,diesel,0.07294122263126222,0.4381,-0.36515877736873775,0.2691143931925246
14,plts_bel5,1,5,solar,1.1527410310715356,0.0,1.1527410310715356,1.61773152443759
15,batt_bel5,1,5,battery,0.5241436419122876,0.0,0.5241436419122876,0.6730631252122248
16,pltd_bel6,1,6,diesel,0.04010995603906833,0.3851,-0.3449900439609317,0.0852542705545475
17,plts_bel6,1,6,solar,1.089428236152806,0.0,1.089428236152806,1.5972210321076203
18,batt_bel6,1,6,battery,0.5655838954863297,0.0,0.5655838954863297,0.7231086090151145
19,pltd_bel7,1,7,diesel,0.059707003967876454,0.3586,-0.2988929960321235,0.22028730129028104
20,plts_bel7,1,7,solar,0.9435939147727065,0.0,0.9435939147727065,1.3242185539805242
21,batt_bel7,1,7,battery,0.4290457860134588,0.0,0.4290457860134588,0.5509462070877622
22,pltd_bel8,1,8,diesel,0.08563771670914477,0.7089,-0.6232622832908552,0.16959504475230464
23,plts_bel8,1,8,solar,2.0301202343192752,0.0,2.0301202343192752,2.9275447914341277
24,batt_bel8,1,8,battery,1.0460947896783637,0.0,1.0460947896783637,1.331311259229566
25,pltd_bel9,1,9,diesel,0.10860908031952445,0.6833,-0.5746909196804756,0.32205986149728894
26,plts_bel9,1,9,solar,1.8653064476432315,0.0,1.8653064476432315,2.636499818804077
27,batt_bel9,1,9,battery,0.8835421920990596,0.0,0.8835421920990596,1.1352680663772403
28,pltd_bel10,1,10,diesel,0.06606787318146441,0.3968,-0.3307321268185356,0.24375645581792163
29,plts_bel10,1,10,solar,1.0441135403853732,0.0,1.0441135403853732,1.4652848865423966
30,batt_bel10,1,10,battery,0.4747502754531757,0.0,0.4747502754531757,0.6096363164664276
31,pltd_bel11,1,11,diesel,0.10992509082046029,0.6602,-0.5502749091795397,0.4055667977483493
32,plts_bel11,1,11,solar,1.7372163558389484,0.0,1.7372163558389484,2.4379706045429805
33,batt_bel11,1,11,battery,0.7898993094126127,0.0,0.7898993094126127,1.014325397238587
34,pltd_bel12,1,12,diesel,0.04729410709865301,0.284,-0.23670589290134697,0.17449138636681133
35,plts_bel12,1,12,solar,0.7474153946337767,0.0,0.7474153946337767,1.0489055022485176
36,batt_bel12,1,12,battery,0.33984368407959625,0.0,0.33984368407959625,0.4364001025161767
37,pltd_bel13,1,13,diesel,0.05158901173694241,0.2672,-0.21561098826305758,0.0948684952256982
38,plts_bel13,1,13,solar,1.1930411105893282,0.0,1.1930411105893282,1.7283820507689338
39,batt_bel13,1,13,battery,0.584003648787139,0.0,0.584003648787139,0.7391587456787411
40,pltd_bel14,1,14,diesel,0.021402706716944112,0.2055,-0.18409729328305588,0.04549124815288359
41,plts_bel14,1,14,solar,0.5813195245629204,0.0,0.5813195245629204,0.8522779219621688
42,batt_bel14,1,14,battery,0.3017960451861661,0.0,0.3017960451861661,0.38585133324768006
43,pltd_bel15,1,15,diesel,0.03377464259258064,0.1749,-0.14112535740741936,0.06210873340433512
44,plts_bel15,1,15,solar,0.7810699629417733,0.0,0.7810699629417733,1.1315527521752322
45,batt_bel15,1,15,battery,0.3823413767789315,0.0,0.3823413767789315,0.4839194118811165
46,pltd_bel16,1,16,diesel,0.08171298095394268,0.4908,-0.4090870190460573,0.3014790275691145
47,plts_bel16,1,16,solar,1.2913597891789514,0.0,1.2913597891789514,1.812265171984947
48,batt_bel16,1,16,battery,0.587171351831151,0.0,0.587171351831151,0.7539984310288151
49,pltd_bel17,1,17,diesel,0.043305468633455205,0.2234,-0.1800945313665448,0.08033582219820513
50,plts_bel17,1,17,solar,1.0125443701380406,0.0,1.0125443701380406,1.4442847521302744
51,batt_bel17,1,17,battery,0.48740207011342523,0.0,0.48740207011342523,0.6185529150522402
52,pltd_bel18,1,18,diesel,0.01566859463572547,0.1297,-0.11403140536427454,0.031029927248746886
53,plts_bel18,1,18,solar,0.37143898783558077,0.0,0.37143898783558077,0.5356352063546019
54,batt_bel18,1,18,battery,0.19139760356428925,0.0,0.19139760356428925,0.24358193748922968
55,pltd_bel19,1,19,diesel,0.033803644610849386,0.203,-0.16919635538915062,0.12471919069693181
56,plts_bel19,1,19,solar,0.5342145277279445,0.0,0.5342145277279445,0.7497045704709719
57,batt_bel19,1,19,battery,0.24290258038354948,0.0,0.24290258038354948,0.3119160707746401
