Segment,Zone,NSE_Price,Max_NSE_MW,Total_NSE_MWh,NSE_Percent_of_Demand
1,1,2000.0,1.7655817943322357e-14,1.4515938708732236e-10,2.1280389720614205e-14
1,2,2000.0,1.7811948156352362e-14,1.4666461651071771e-10,2.1501056598530405e-14
1,3,2000.0,1.7810464369734506e-14,1.4665021383285263e-10,2.1498945163616413e-14
1,4,2000.0,1.7643211018459494e-14,1.4579844900783103e-10,2.1374076301943235e-14
1,5,2000.0,1.767078355803395e-14,1.459288585450853e-10,2.1393194361282975e-14
1,6,2000.0,1.7737744936150334e-14,1.4544339298164593e-10,2.1322025030844063e-14
1,7,2000.0,1.7625704454070066e-14,1.4572833027694555e-10,2.136379688460827e-14
1,8,2000.0,1.7729160677502287e-14,1.464620060373562e-10,2.1471353870232045e-14
1,9,2000.0,1.790077950663608e-14,1.4642063924659654e-10,2.1465289491988788e-14
1,10,2000.0,1.7650520684198413e-14,1.4584278697734215e-10,2.138057625547397e-14
1,11,2000.0,1.7751259433722978e-14,1.4637165778788119e-10,2.145810880218662e-14
1,12,2000.0,1.758069960189632e-14,1.4550867551064446e-10,2.133159546019701e-14
1,13,2000.0,1.7553728635196452e-14,1.442973702333923e-10,2.1154017909838133e-14
1,14,2000.0,1.7595018941988295e-14,1.4488740030560467e-10,2.1240516414244248e-14
1,15,2000.0,1.7495620429502155e-14,1.4386628253311372e-10,2.1090820382969458e-14
1,16,2000.0,1.7688620658180373e-14,1.460164917749799e-10,2.1406041407016997e-14
1,17,2000.0,1.7788108937353487e-14,1.440740614366974e-10,2.1121280803977732e-14
1,18,2000.0,1.7457737756338864e-14,1.4468488104358167e-10,2.1210827057542927e-14
1,19,2000.0,1.7540774391088427e-14,1.4516539725156848e-10,2.1281270811668723e-14
1,20,2000.0,1.7393186293217815e-14,1.4383687349859406e-10,2.1086509013732906e-14
1,21,2000.0,1.749815248595443e-14,1.450395465668533e-10,2.1262821080851565e-14
1,22,2000.0,1.745775276394134e-14,1.4467981942807095e-10,2.1210085023887058e-14
1,23,2000.0,1.749139605683624e-14,1.443326655947539e-10,2.1159192215545648e-14
1,24,2000.0,1.741444134683995e-14,1.4417867485553322e-10,2.1136617148168086e-14
1,25,2000.0,1.7397978897721847e-14,1.4390627919840982e-10,2.109668390059725e-14
1,26,2000.0,1.7469755195103175e-14,1.4479840591783365e-10,2.1227469822544492e-14
1,27,2000.0,1.7634905419450082e-14,1.4465423137709609e-10,2.1206333811458693e-14
1,28,2000.0,1.760481941604599e-14,1.4436127812950216e-10,2.1163386817786362e-14
1,29,2000.0,1.7424056166739363e-14,1.4408239867831435e-10,2.1122503044952727e-14
1,30,2000.0,1.758881096138817e-14,1.4383291018610038e-10,2.1085927991477695e-14
1,31,2000.0,1.7656844405754845e-14,1.4444646099245582e-10,2.1175874639328906e-14
1,32,2000.0,1.7654490543742528e-14,1.448608222576078e-10,2.123662006809168e-14
1,33,2000.0,1.7601760116590594e-14,1.4434453378417445e-10,2.116093209404207e-14
1,34,2000.0,1.7625479383556828e-14,1.4416074547369887e-10,2.113398869787947e-14
1,35,2000.0,1.7583320732132865e-14,1.441728456394827e-10,2.1135762584148425e-14
1,36,2000.0,1.7391105588176974e-14,1.4375157385580666e-10,2.107400407224777e-14
