ID,Resource,Zone,technology,owner,Total_MW,Start_MW,Change_in_MW,Percent_MW,GWh,Percent_GWh,STOR,VRE,THERM,New_Build
1,pln_timor_diesel,1,diesel,pln,1.3507103386416185e-9,122.131,-122.13099999864929,1.08839601505356e-9,6.564736191792589e-11,9.623913918176629e-12,0,0,1,0
2,pltd_kefamenanu,1,diesel,,5.504663391775466e-11,4.2,-4.1999999999449535,4.43563177716172e-11,1.13743071782041e-10,1.6674752794909158e-11,0,0,0,1
3,pltu_kupang_ftp1,1,coal,,32.9999999996655,33.0,-3.3450220371378236e-10,26.591244228221772,152.75118543538585,22.393348591334153,0,0,1,-1
4,pltmg_kupang_peaker,1,gas,,1.1530687515914906e-10,16.8,-16.799999999884694,9.29137357145785e-11,5.553930005656499e-10,8.142070407770796e-11,0,0,0,1
5,pltd_labuhan_bajo,1,diesel,,5.504663391775466e-11,4.2,-4.1999999999449535,4.43563177716172e-11,1.1374307192915483e-10,1.667475281647607e-11,0,0,0,1
6,mpp_flores_labuan_bajo,1,gas,,1.0934364524928242e-10,8.4,-8.399999999890657,8.81085932017328e-11,5.363855600726375e-10,7.863421021465959e-11,0,0,0,1
7,pltd_ruteng,1,diesel,,5.504663391775466e-11,4.2,-4.1999999999449535,4.43563177716172e-11,1.1374307192269982e-10,1.6674752815529763e-11,0,0,0,1
8,pltp_ulumbu_adb,1,geothermal,,1.1259331357061278e-11,2.1,-2.0999999999887407,9.072716059549301e-12,5.909678789085289e-11,8.663598702006765e-12,0,0,0,1
9,pltd_bajawa,1,diesel,,5.504663391775466e-11,4.2,-4.1999999999449535,4.43563177716172e-11,1.1374307205216509e-10,1.6674752834509393e-11,0,0,0,1
10,pltmg_maumere,1,gas,,1.1530687515914906e-10,16.8,-16.799999999884694,9.29137357145785e-11,5.55393012800577e-10,8.142070587135025e-11,0,0,0,1
11,pltmg_alor,1,gas,PLN,1.0517897663930853e-10,4.2,-4.199999999894821,8.475272289450409e-11,5.092405088151513e-10,7.46547412920066e-11,0,0,0,1
12,plts_lisdes_ntt,1,solar,PLN,0.4141765995956041,0.9954,-0.5812234004043959,0.3337415488961444,0.5636667229527975,0.08263363312330083,0,1,0,1
13,pltp_sokoria,1,geothermal,IPP,1.1259331357062518e-11,2.1,-2.0999999999887407,9.072716059550301e-12,5.909678789085171e-11,8.663598702006592e-12,0,0,0,1
14,pltbm_sumba_kuota_tersebar,1,biomass,IPP,1.0402229078110281e-10,0.42,-0.4199999998959777,8.382067088992257e-11,7.7722479297691e-10,1.1394128087026654e-10,0,0,0,1
15,pltm_sumba_kuota_tersebar,1,hydropower,IPP,1.3171603661107089e-11,0.672,-0.6719999999868285,1.0613616055557238e-11,3.282508971015717e-11,4.8121634822421665e-12,0,0,0,1
16,pltmg_waingapu,1,gas,PLN,1.0517897663930853e-10,4.2,-4.199999999894821,8.475272289450409e-11,5.092405459255983e-10,7.465474673240414e-11,0,0,0,1
17,plts_adonara,1,solar,PLN,0.30883388948365115,0.42,-0.11116611051634884,0.24885689034226244,0.41751961138518895,0.06120844283347206,0,1,0,1
18,plts_adonara,1,solar,PLN,0.44547181142243625,1.68,-1.2345281885775636,0.3589590828618917,0.6076530648385976,0.08908203798705872,0,1,0,1
19,plts_alor_kalabahi,1,solar,PLN,0.3399145032710327,0.504,-0.16408549672896733,0.2739015022207981,0.4607675601832041,0.067548599150647,0,1,0,1
20,plts_betun,1,solar,IPP,0.2108007314847152,0.252,-0.0411992685152848,0.16986223437741454,0.28126048765658607,0.04123283316663223,0,1,0,1
21,pltmg_waingapu_2,1,gas,PLN,1.0517897663930853e-10,4.2,-4.199999999894821,8.475272289450409e-11,5.09240568740003e-10,7.465475007699958e-11,0,0,0,1
22,plts_flores,1,solar,PLN,0.44900334367855116,12.6,-12.150996656321448,0.36180477488380525,0.6169927060048681,0.0904512308987742,0,1,0,1
